
[00:00:00.000 --> 00:00:09.000]  我們進到第四篇的培靈會的信息,亦都是去到《若書雅記》的其中的第五章的經文,
[00:00:09.000 --> 00:00:16.000]  在當中提及到當時的以色列人如何重新與神調整他們之間的關係。
[00:00:16.000 --> 00:00:29.000]  我們提到神如何主動提出要他們行割禮,亦都意味著神是願意與他們重新更新與他們之間的弱的關係。
[00:00:29.000 --> 00:00:36.000]  再一次,讓以色列人知道,在前面說服的不是哪一個人,不是若書雅,
[00:00:36.000 --> 00:00:43.000]  而是耶和華君中的元帥,要帶領我們走人生前面的每一步的路程。
[00:00:43.000 --> 00:00:51.000]  因此我們思想,在我們人生當中,如何去更新,調整我們與神之間的關係。
[00:00:51.000 --> 00:00:58.000]  我記得有一次,好幾年之前,在三藩市的地方,有機會聽到一對夫婦分享他們的見證。
[00:00:58.000 --> 00:01:05.000]  他們夫婦講及他們最初移民到三藩市時,生活很艱難,經濟很緊張。
[00:01:05.000 --> 00:01:12.000]  一路祈禱求神保守,後來有一個機會開了一間小的飯店。
[00:01:12.000 --> 00:01:17.000]  這間飯店生意很好,慢慢有很多人來,生意很好。
[00:01:17.000 --> 00:01:24.000]  因為生意好,兩夫妻就很投入,因此慢慢發覺不是太有動機回教會。
[00:01:24.000 --> 00:01:31.000]  再遲一些,連回教會都沒有動力之餘,更加沒有力量去靈修看聖經,
[00:01:31.000 --> 00:01:37.000]  開始變成一個掛名的教徒,完全沒有一種與神之間的關係。
[00:01:37.000 --> 00:01:47.000]  後來生意非常好,他們覺得不行了,要開多一間店舖,因此買了一間雙簾店,兩間店舖一起做飯店,更加忙碌,更加忙碌。
[00:01:47.000 --> 00:01:57.000]  有一個晚上,當我們睡得正是淋的時候,突然收到一個電話,有人通知他們,你們的店舖火燭了。
[00:01:57.000 --> 00:02:03.000]  夫婦馬上衝回店舖,發覺已經燒毀枯蕊了。
[00:02:03.000 --> 00:02:08.000]  短短的時間,兩間店舖就燒光了。
[00:02:08.000 --> 00:02:17.000]  當然兩口子很傷心,很多的代價,很多的勞苦,一夜之間就沒有了。
[00:02:17.000 --> 00:02:23.000]  在那時候他們內心很憤怒,他們埋怨神為什麼這樣待他們,他們很不開心。
[00:02:23.000 --> 00:02:31.000]  另外一段時間,慢慢靜下來,開始思想自己的人生,突然間他們學習去感謝神。
[00:02:31.000 --> 00:02:37.000]  在講見證的時候,這對夫婦說,我們感謝神,神奪走了我們兩間店舖。
[00:02:37.000 --> 00:02:42.000]  但是將屬靈生命重新給我們。
[00:02:42.000 --> 00:02:51.000]  在那段日子,他們開始重新回到神面前,他們開始做一次靈修,回教會,重建和神的關係。
[00:02:51.000 --> 00:02:59.000]  然後在後來,他們自己再想回整個過程的時候,他們心中就說,我們感謝神。
[00:02:59.000 --> 00:03:10.000]  神奪走了一些叫我們受困擾的事情,或者捆綁的事情,然後要將更美好的屬靈的恩惠賜給他們。
[00:03:10.000 --> 00:03:19.000]  當我自己聽的時候,我的感覺就是,有很多很多屬神的人,有些時候一直跟隨神,跟著跟著,後來退開了。
[00:03:19.000 --> 00:03:25.000]  但願我們不需要去面對著一些很嚴厲的管教,我們才能馬上回頭,
[00:03:25.000 --> 00:03:30.000]  能夠很快速地回轉回到神的身邊。
[00:03:30.000 --> 00:03:34.000]  這個相信是神對我們的一種期望。
[00:03:34.000 --> 00:03:40.000]  在《若書雅記》中,我們發現神其實是很願意領回那些遠離了的祂的子民。
[00:03:40.000 --> 00:03:47.000]  有些子民離開了,但是神沒有忘記他們,很多方法將他們拉回頭,挽回過來。
[00:03:47.000 --> 00:03:54.000]  在基督徒人生當中,有些時候我們曾經被很多事情將我們的心拉走。
[00:03:54.000 --> 00:04:04.000]  突然間感情的事情,突然間出現一些工作的問題,突然間經濟的問題,心開始轉移了其他的事。
[00:04:04.000 --> 00:04:15.000]  或者我做一個很簡單的比喻,就假如有一次,有一個信徒,聽見耶穌,就當是在耶穌的時候,
[00:04:15.000 --> 00:04:20.000]  他來到我們的村莊裡面,然後發現大群人湧過去聽他講道,
[00:04:20.000 --> 00:04:28.000]  你很開心有機會一起去,很想都能夠聽一聽主耶穌講的說話,因為你已經信了主,得到重生。
[00:04:28.000 --> 00:04:36.000]  發覺很多人逼著的時候,耶穌撐著小船,原來在彼得的船上,在船上講道,向著岸邊的群眾講道。
[00:04:36.000 --> 00:04:41.000]  但是你擠不過去,但是你發覺不要緊,因為我也有一隻船。
[00:04:41.000 --> 00:04:55.000]  你就自己撐開自己的船,在耶穌的船旁邊坐下來,很好的景觀,看到了耶穌講道的情況,然後一邊聽主耶穌的說話。
[00:04:55.000 --> 00:05:02.000]  聽著聽著的時候,突然間聽到很遠的一些漁船大聲叫,快點過來,快點過來,這裡很多魚。
