
[00:00:00.000 --> 00:00:04.000]  大家再看聖經馬太福音第五章經文
[00:00:04.000 --> 00:00:11.000]  我們剛才提及從聖經看教徒的社會倫理
[00:00:11.000 --> 00:00:13.800]  很多人說到倫理的時候
[00:00:13.800 --> 00:00:17.200]  自然會問根據在哪裡
[00:00:17.200 --> 00:00:20.800]  很多不同的人根據不同哲學的理論
[00:00:20.800 --> 00:00:23.400]  定出他們的倫理觀念
[00:00:23.400 --> 00:00:26.400]  也有很多現在這個社會的人
[00:00:26.400 --> 00:00:31.400]  按照民意來確定什麼是合適的
[00:00:31.400 --> 00:00:33.000]  什麼是不合適的
[00:00:33.000 --> 00:00:34.600]  當然你和我都知道
[00:00:34.600 --> 00:00:37.600]  民意有時候對有時候不對
[00:00:37.600 --> 00:00:40.600]  不是一個絕對正確的標準
[00:00:40.600 --> 00:00:43.200]  因此聖經裡面常常勉勵我們
[00:00:43.200 --> 00:00:45.400]  要留心神的話
[00:00:45.400 --> 00:00:50.800]  是我們教徒的生活行為的最高準則
[00:00:50.800 --> 00:00:54.200]  因為聖經的話是永恆的道
[00:00:54.200 --> 00:00:55.600]  是生命的道
[00:00:56.400 --> 00:00:58.800]  如果你和我都相信一位創造主
[00:00:58.800 --> 00:01:00.800]  他是生命的主
[00:01:00.800 --> 00:01:05.200]  也是一切美善公義良善的源頭
[00:01:05.200 --> 00:01:07.400]  自然我們就會思想
[00:01:07.400 --> 00:01:09.400]  我們既然是他所創造的
[00:01:09.400 --> 00:01:13.400]  就應該按照他對我們的心意來生活
[00:01:13.400 --> 00:01:18.000]  當我們跟隨創造主的心意生活的時候
[00:01:18.000 --> 00:01:21.000]  我們才會真正經歷到平安
[00:01:21.000 --> 00:01:24.200]  或者說經歷到平安的存在
[00:01:25.200 --> 00:01:28.200]  我記得我以前和大家分享過一件事情
[00:01:28.200 --> 00:01:29.600]  不知道大家記不記得
[00:01:29.600 --> 00:01:32.800]  一件好像挺愉悅的事情
[00:01:32.800 --> 00:01:35.200]  但也可以重複說一下
[00:01:35.200 --> 00:01:38.600]  就是很多年前我自己曾經是
[00:01:38.600 --> 00:01:41.800]  我在家想煮一些食物
[00:01:41.800 --> 00:01:46.000]  家人剛剛買了一個電子牙刷回來
[00:01:46.000 --> 00:01:48.400]  我從未用過電子牙刷
[00:01:48.400 --> 00:01:51.800]  我就試試用電子牙刷煮一些食物
[00:01:52.200 --> 00:01:54.200]  但發覺很久了
[00:01:54.200 --> 00:01:57.200]  為何這麼久都沒有反應
[00:01:57.200 --> 00:02:00.200]  因此我就有點心急
[00:02:00.200 --> 00:02:01.200]  不如快點吧
[00:02:01.200 --> 00:02:04.200]  我把牙刷裡面的牙膽拿出來
[00:02:04.200 --> 00:02:07.200]  然後放在火上煮一煮
[00:02:07.200 --> 00:02:09.200]  我以為這樣會快點
[00:02:09.200 --> 00:02:11.200]  突然一煮
[00:02:11.200 --> 00:02:13.200]  就爆了
[00:02:13.200 --> 00:02:14.200]  裂開了
[00:02:14.200 --> 00:02:16.200]  整個牙膽就爆了
