
[00:00:00.000 --> 00:00:06.000]  請各位翻到七十六第二章
[00:00:06.000 --> 00:00:10.000]  請打開開始錄第二章
[00:00:10.000 --> 00:00:20.000]  大家都很清楚在七十六的第二、三、兩章裡面
[00:00:20.000 --> 00:00:24.000]  大家清楚開始錄第二、第三章的裡面
[00:00:24.000 --> 00:00:29.000]  是主耶穌寫給七個教會的書信
[00:00:29.000 --> 00:00:33.000]  是主耶穌寫給七個教會的書信
[00:00:33.000 --> 00:00:40.000]  這七封的書信與當時的小亞細亞的七個教會有關
[00:00:40.000 --> 00:00:45.000]  這七封書信是與當時的小亞細亞七個教會有關
[00:00:45.000 --> 00:00:55.000]  同時這七個教會也代表歷史歷代各地各方的教會
[00:00:55.000 --> 00:01:00.000]  同時這七個教會也代表歷史歷代各地各方的教會
[00:01:00.000 --> 00:01:09.000]  所以這七封的書信是有超越時間地區的普遍性的信息
[00:01:09.000 --> 00:01:15.000]  所以這七封書信是超越時間地區的普遍性的信息
[00:01:15.000 --> 00:01:20.000]  在這七封書信裡面有一個共同點
[00:01:20.000 --> 00:01:23.000]  在這七封書信裡面有一個共同點
[00:01:23.000 --> 00:01:27.000]  就是到每封書信結束的時候
[00:01:27.000 --> 00:01:30.000]  就在每一封書信的最後那裡
[00:01:30.000 --> 00:01:33.000]  聖靈發出呼聲
[00:01:33.000 --> 00:01:35.000]  聖靈發出呼聲
[00:01:35.000 --> 00:01:39.000]  這個呼聲是呼召得勝者
[00:01:39.000 --> 00:01:43.000]  這個是呼召得勝者的呼聲
[00:01:43.000 --> 00:01:47.000]  這個呼聲我們願意特別地注意
[00:01:47.000 --> 00:01:50.000]  這個呼聲我願意大家有特別的注意
[00:01:50.000 --> 00:01:55.000]  今天晚上我們有一封靈獸的信息
[00:01:55.000 --> 00:01:58.000]  是今晚我們一封靈獸的信息
[00:01:58.000 --> 00:02:01.000]  請大家首先注意
[00:02:01.000 --> 00:02:03.000]  請大家首先注意
[00:02:03.000 --> 00:02:11.000]  在聖經裡面有四條的線是貫穿全部的聖經的
[00:02:11.000 --> 00:02:16.000]  在聖經裡面有四條的線是貫穿全部聖經的
[00:02:16.000 --> 00:02:19.000]  第一條是紅色的線
[00:02:19.000 --> 00:02:21.000]  第一條是紅色的線
[00:02:21.000 --> 00:02:25.000]  那就是代表寶血的救贖
[00:02:25.000 --> 00:02:30.000]  是貫穿全部聖經的中心的信息
[00:02:30.000 --> 00:02:32.000]  是代表寶血的救贖
[00:02:32.000 --> 00:02:36.000]  是貫穿全部聖經的中心信息
[00:02:36.000 --> 00:02:40.000]  第二條線是金色的線
[00:02:40.000 --> 00:02:42.000]  是金色的線
[00:02:42.000 --> 00:02:46.000]  金色在聖經裡面是象徵信息
[00:02:46.000 --> 00:02:50.000]  金色在聖經裡面是象徵信心
[00:02:50.000 --> 00:02:58.000]  信心的真理也是全部聖經的一個非常重要的真理
[00:02:58.000 --> 00:03:03.000]  信心的真理也是全部聖經裡面非常重要的真理
[00:03:03.000 --> 00:03:08.000]  第三條線是紫色的線
[00:03:08.000 --> 00:03:13.000]  在聖經裡面紫色是代表君王
[00:03:13.000 --> 00:03:16.000]  在聖經裡面紫色是代表君王
[00:03:16.000 --> 00:03:23.000]  那就是說國度的真理也是貫穿全部的聖經
[00:03:23.000 --> 00:03:27.000]  就是說國度的真理也都貫穿全部的聖經
[00:03:27.000 --> 00:03:32.000]  第四條線是白色的線
[00:03:32.000 --> 00:03:36.000]  白色是象徵著聖
[00:03:36.000 --> 00:03:38.000]  白色是象徵特性
[00:03:38.000 --> 00:03:40.000]  怎麼知道呢
[00:03:40.000 --> 00:03:45.000]  在七十六第二章十七節
[00:03:45.000 --> 00:03:50.000]  我們看見白色的意義
[00:03:50.000 --> 00:03:53.000]  第十七節
[00:03:53.000 --> 00:03:55.000]  聖靈向宗教會所說的話
[00:03:55.000 --> 00:03:57.000]  凡有耳的就應當聽
[00:03:57.000 --> 00:04:01.000]  得聖的我必將那隱藏的馬拿似吉他
[00:04:01.000 --> 00:04:03.000]  並似那一塊白石
[00:04:03.000 --> 00:04:05.000]  石上寫著生命
[00:04:05.000 --> 00:04:07.000]  除了那領受的以外
[00:04:07.000 --> 00:04:09.000]  沒有人能認識
[00:04:09.000 --> 00:04:11.000]  在這裡主的聖經說
[00:04:11.000 --> 00:04:13.000]  在這裡主的聖經說
[00:04:13.000 --> 00:04:16.000]  凡得聖的基督徒
[00:04:16.000 --> 00:04:18.000]  凡得聖的基督徒
[00:04:18.000 --> 00:04:21.000]  主要賜給他一塊白石
[00:04:21.000 --> 00:04:23.000]  主要賜給他一塊白石
[00:04:23.000 --> 00:04:27.000]  所以白和得聖是連在一起的
[00:04:27.000 --> 00:04:30.000]  所以白和得聖是連在一起的
[00:04:30.000 --> 00:04:34.000]  同時白色還代表尊貴
[00:04:34.000 --> 00:04:36.000]  同時白色也代表尊貴
[00:04:36.000 --> 00:04:40.000]  當時有族人請客的時候
[00:04:40.000 --> 00:04:42.000]  當時有族人請客的時候
[00:04:42.000 --> 00:04:48.000]  將一塊白石放在每個最尊貴的客人的面前
[00:04:48.000 --> 00:04:52.000]  將一塊白石擺在那位最尊貴的客人面前
[00:04:52.000 --> 00:04:56.000]  所以白色一方面象徵尊貴
[00:04:56.000 --> 00:04:59.000]  所以白色一方面象徵尊貴
[00:04:59.000 --> 00:05:01.000]  同時象徵勝利
[00:05:01.000 --> 00:05:03.000]  同時象徵勝利
[00:05:03.000 --> 00:05:05.000]  當時的羅馬帝國
[00:05:05.000 --> 00:05:06.000]  當時的羅馬帝國
[00:05:06.000 --> 00:05:11.000]  當將軍得聖開選回來的時候
[00:05:11.000 --> 00:05:14.000]  當將軍得勝開選回來的時候
[00:05:14.000 --> 00:05:17.000]  他穿著白色的袍
[00:05:17.000 --> 00:05:18.000]  穿著白色的袍
[00:05:18.000 --> 00:05:22.000]  騎著白色的高頭大馬
[00:05:22.000 --> 00:05:25.000]  騎著白色的高頭大馬
[00:05:25.000 --> 00:05:28.000]  後面跟從他的俘虜
[00:05:28.000 --> 00:05:30.000]  後面跟從他的俘虜
[00:05:30.000 --> 00:05:32.000]  也是身穿白衣
[00:05:32.000 --> 00:05:33.000]  也是身穿白衣
[00:05:33.000 --> 00:05:36.000]  來見證這個將軍的勝利
[00:05:36.000 --> 00:05:38.000]  是來見證這個將軍的勝利
[00:05:38.000 --> 00:05:45.000]  所以白色是同時象徵得勝又象徵尊貴
[00:05:45.000 --> 00:05:49.000]  所以白色是同時象徵特性和尊貴
[00:05:49.000 --> 00:05:54.000]  這條白色的線也是貫穿全部的聖經
[00:05:54.000 --> 00:05:57.000]  這條白色的線也是貫穿全部的聖經
[00:05:57.000 --> 00:06:02.000]  感謝神在每一個時代裡頭都有得勝的人
[00:06:02.000 --> 00:06:05.000]  感謝神在每一個時代裡頭都有得勝的人
[00:06:05.000 --> 00:06:10.000]  在許多違反神旨意的潮流當中
[00:06:10.000 --> 00:06:15.000]  這些人他們勝過與神為敵的事物
[00:06:15.000 --> 00:06:18.000]  見證他們得勝
[00:06:18.000 --> 00:06:20.000]  在許多與神為反的潮流裡邊
[00:06:20.000 --> 00:06:24.000]  這些人勝過與神為敵的潮流
[00:06:24.000 --> 00:06:26.000]  來見證神的得勝
[00:06:26.000 --> 00:06:28.000]  在末世的時候我們知道
[00:06:28.000 --> 00:06:33.000]  有許多的事物是與基督為敵的
[00:06:33.000 --> 00:06:35.000]  在末世的時候我們知道
[00:06:35.000 --> 00:06:37.000]  很多的事物是與基督為敵
[00:06:37.000 --> 00:06:43.000]  在末世基督徒面對許多潮流的衝擊
[00:06:43.000 --> 00:06:46.000]  在末世基督徒面對很多潮流的衝擊
[00:06:46.000 --> 00:06:52.000]  這些衝擊要將基督徒從跟從基督的路上推開
[00:06:52.000 --> 00:06:58.000]  這些衝擊要將基督徒從跟從基督的路上推開
[00:06:58.000 --> 00:07:02.000]  讓他們偏離主導
[00:07:02.000 --> 00:07:05.000]  是跟從世俗而行
[00:07:05.000 --> 00:07:06.000]  是跟從世俗而行
[00:07:06.000 --> 00:07:10.000]  是跟從自己的意願而行
[00:07:10.000 --> 00:07:12.000]  是跟從自己的意願而行
