
[00:00:00.000 --> 00:00:04.200]  我請大家先翻開聖經的詩篇二十四篇
[00:00:04.200 --> 00:00:08.600]  一章相關的經文我們先看二十四篇
[00:00:08.600 --> 00:00:11.720]  我們今次的講題是
[00:00:11.720 --> 00:00:15.000]  台起頭來榮耀的王將要進來
[00:00:15.000 --> 00:00:17.400]  亦是出自這一篇的詩篇
[00:00:17.400 --> 00:00:24.000]  詩篇二十四篇就這樣看好像是一篇詩篇
[00:00:24.000 --> 00:00:28.200]  習慣看到的一篇平凡的詩篇
[00:00:28.200 --> 00:00:31.200]  但其實背後是講當時的意識人
[00:00:31.200 --> 00:00:36.200]  他們抬躍跪進入聖城的一首詩篇
[00:00:36.200 --> 00:00:38.800]  當他們抬躍跪的時候他們清楚知道
[00:00:38.800 --> 00:00:43.200]  在戰場裏面躍跪正是象徵著神的同在
[00:00:43.200 --> 00:00:45.200]  當他們打聖仗的時候
[00:00:45.200 --> 00:00:46.800]  一起進入聖城
[00:00:46.800 --> 00:00:49.200]  躍跪在前面引領他們
[00:00:49.200 --> 00:00:51.600]  就表示著神的得勝
[00:00:51.600 --> 00:00:55.400]  他們歡呼抬著躍跪進入聖城當中
[00:00:55.400 --> 00:00:57.400]  神已經得勝了
[00:00:57.400 --> 00:00:59.400]  因此開始的時候聖經提及
[00:00:59.400 --> 00:01:03.400]  這位上帝他是君王
[00:01:03.400 --> 00:01:06.400]  他的王權也都基於兩方面
[00:01:06.400 --> 00:01:08.400]  第一在第一節
[00:01:08.400 --> 00:01:11.400]  地和其中所充滿的
[00:01:11.400 --> 00:01:15.400]  世界和住在其間的都屬耶和華
[00:01:15.400 --> 00:01:17.400]  他把地建立在海上
[00:01:17.400 --> 00:01:20.400]  安定在大水之上
[00:01:20.400 --> 00:01:23.200]  這裡所描寫的是神的創造
[00:01:23.200 --> 00:01:24.800]  祂偉大的創造
[00:01:24.800 --> 00:01:26.800]  正因為祂是創造主
[00:01:26.800 --> 00:01:29.400]  祂就是君王
[00:01:29.400 --> 00:01:32.800]  祂是宇宙穹蒼的大君王
[00:01:32.800 --> 00:01:35.200]  因此祂是創造主
[00:01:35.200 --> 00:01:38.800]  祂也都得到祂應得的王權
[00:01:38.800 --> 00:01:40.200]  聖經在說的時候
[00:01:40.200 --> 00:01:44.000]  神的王權也都基於祂得勝一切的勢力
[00:01:44.000 --> 00:01:48.200]  大家看回第七節
[00:01:48.200 --> 00:01:51.000]  眾城門那,你們要抬起頭來
[00:01:51.000 --> 00:01:54.400]  永久的門戶,你們要被舉起
[00:01:54.400 --> 00:01:57.400]  那榮耀的王將要進來
[00:01:57.400 --> 00:01:59.600]  大家一起讀第八節
[00:01:59.600 --> 00:02:02.000]  榮耀的王是誰呢?
[00:02:02.000 --> 00:02:08.600]  就是在戰場上有能的耶和華
[00:02:08.600 --> 00:02:11.600]  榮耀的王是誰呢?
[00:02:11.600 --> 00:02:15.000]  榮耀的王就是那位耶和華上帝
[00:02:15.000 --> 00:02:19.200]  有力有能,滿有權柄能力的上帝
[00:02:19.200 --> 00:02:23.200]  因為祂戰勝一切的強敵
[00:02:23.200 --> 00:02:25.000]  當時以色列人他們很感受到
[00:02:25.000 --> 00:02:27.400]  面對著很多的強敵的時候
[00:02:27.400 --> 00:02:29.200]  神幫助他們得勝
[00:02:29.200 --> 00:02:32.000]  他們就體會到神的權能
[00:02:32.000 --> 00:02:34.800]  當然我們今天未必會面對戰爭
[00:02:34.800 --> 00:02:38.200]  但其實我們很多時候都經歷很多的困擾
[00:02:38.200 --> 00:02:41.000]  或者說四面受敵
[00:02:41.000 --> 00:02:44.200]  在辦公室裡面可能面對著很多的壓力
[00:02:44.200 --> 00:02:46.400]  或者家庭裡面很多的困擾
[00:02:46.400 --> 00:02:48.400]  身體的軟弱等等
[00:02:48.400 --> 00:02:51.000]  好像真的四面受敵
[00:02:51.000 --> 00:02:52.800]  但這位上帝告訴我們知道
[00:02:52.800 --> 00:02:57.400]  祂是王,因此祂勝過一切的權勢
[00:02:57.400 --> 00:03:01.200]  不單止祂將秩序帶入這個世界
[00:03:01.200 --> 00:03:03.600]  將混亂清除了
[00:03:03.600 --> 00:03:06.600]  同時祂將一切的權勢清除
[00:03:06.600 --> 00:03:09.200]  以至祂能夠在這個地上
[00:03:09.200 --> 00:03:14.200]  祂完全的絕對的君王
[00:03:14.200 --> 00:03:15.800]  在我自己過去的侍奉裡面
[00:03:15.800 --> 00:03:18.200]  曾經有一次很深刻的經歷
[00:03:18.200 --> 00:03:20.400]  這次經歷就是幫一位朋友
[00:03:20.400 --> 00:03:24.000]  將他身上的邪靈趕逐出去
[00:03:24.000 --> 00:03:26.000]  在過程當中很多的體會
[00:03:26.000 --> 00:03:27.200]  很多的學習
[00:03:27.200 --> 00:03:30.200]  但深深感受到都不是人能夠做什麼
[00:03:30.200 --> 00:03:34.600]  而是主耶穌的聖命將惡者驅逐出去
[00:03:34.600 --> 00:03:38.400]  這位朋友身上有三隻明顯的惡靈
[00:03:38.400 --> 00:03:39.800]  在驅逐的過程當中
[00:03:39.800 --> 00:03:42.400]  我們一直經歷著神自己的幫助
[00:03:42.400 --> 00:03:45.000]  去到最後的階段的時候
[00:03:45.000 --> 00:03:48.400]  第三隻惡靈將快離開
[00:03:48.400 --> 00:03:50.400]  當祂將快離開的時候
[00:03:50.400 --> 00:03:52.000]  在這位朋友的口中
[00:03:52.000 --> 00:03:54.200]  有一把不是祂的聲音
[00:03:54.200 --> 00:03:55.800]  很粗糙的聲音
[00:03:55.800 --> 00:03:57.400]  就說了一句話
[00:03:57.400 --> 00:04:00.200]  是我一生不會忘記的
[00:04:00.200 --> 00:04:01.800]  祂就說
[00:04:01.800 --> 00:04:05.800]  祂贏了
[00:04:05.800 --> 00:04:07.800]  祂贏了
[00:04:07.800 --> 00:04:10.200]  耶穌基督得勝了
[00:04:10.200 --> 00:04:13.600]  然後這隻惡靈就離開了
[00:04:13.600 --> 00:04:14.400]  各位頂尖的觀眾
[00:04:14.400 --> 00:04:16.200]  我們未必經歷這些事情
[00:04:16.200 --> 00:04:19.800]  但是整個的天地有很多邪惡的勢力
[00:04:19.800 --> 00:04:23.600]  但主耶穌已經得勝一切的惡勢力
[00:04:23.600 --> 00:04:25.800]  無論天上地上面
[00:04:25.800 --> 00:04:27.600]  很多邪惡的東西
[00:04:27.600 --> 00:04:30.800]  不能夠抵擋基督的大能
[00:04:30.800 --> 00:04:33.800]  因為祂是君王
[00:04:33.800 --> 00:04:37.200]  當然祂不單止幫我們趕逐惡者
[00:04:37.200 --> 00:04:39.200]  而且你會發覺這位上帝
[00:04:39.200 --> 00:04:41.400]  這位君王在生活上每一天
[00:04:41.400 --> 00:04:43.200]  每一天保守我們
[00:04:43.200 --> 00:04:45.000]  引導我們
[00:04:45.000 --> 00:04:47.400]  我記得有一次和一位牧師聊天
[00:04:47.400 --> 00:04:50.000]  一位年長將快退休的牧師
[00:04:50.000 --> 00:04:52.200]  他們兄弟兩個都是牧師
[00:04:52.200 --> 00:04:53.400]  我就問他
[00:04:53.400 --> 00:04:54.600]  你們兩位都是牧師
[00:04:54.600 --> 00:04:58.600]  你們家庭一定是很敬虔的教徒家庭
[00:04:58.600 --> 00:04:59.800]  這位牧師一聽見
[00:04:59.800 --> 00:05:00.800]  他說是呀
[00:05:00.800 --> 00:05:03.800]  我媽媽對我好深影響
[00:05:03.800 --> 00:05:05.600]  然後他就說
[00:05:05.600 --> 00:05:07.000]  在很多年之前
[00:05:07.000 --> 00:05:09.400]  我媽媽在生的時候
[00:05:09.400 --> 00:05:11.000]  當然也很多年之前了
[00:05:11.000 --> 00:05:14.600]  當時日本人轟炸香港
[00:05:14.600 --> 00:05:16.600]  他說很深刻就是他們住在唐樓
[00:05:16.600 --> 00:05:19.200]  最高那層四樓那裡
[00:05:19.200 --> 00:05:21.600]  當日本人在那裡放炸彈的時候
[00:05:21.600 --> 00:05:22.800]  大家都很害怕
[00:05:22.800 --> 00:05:26.800]  因此很多人就躲到地下最低層的地方
[00:05:26.800 --> 00:05:29.000]  覺得比較安全
[00:05:29.000 --> 00:05:31.000]  但一位姐妹和她的子女
[00:05:31.000 --> 00:05:33.800]  這位姐妹就說我們不用下去
[00:05:33.800 --> 00:05:36.200]  有神的保守 放心
