
[00:00:00.000 --> 00:00:06.400]  各位好,我是陳志華牧師
[00:00:06.400 --> 00:00:09.720]  是建築神學院教中國教育歷史
[00:00:09.720 --> 00:00:12.040]  香港教育歷史的老師
[00:00:12.040 --> 00:00:17.160]  今天很想分享一本對我有很重要影響的書籍
[00:00:17.160 --> 00:00:19.960]  叫做《香港回想記》
[00:00:19.960 --> 00:00:23.280]  這本書是由一位日本牧師
[00:00:23.280 --> 00:00:26.120]  叫做角島勝龍牧師所著作的
[00:00:26.120 --> 00:00:28.160]  是一本他的回憶錄
[00:00:28.160 --> 00:00:30.720]  這本書為何影響到我呢?
[00:00:30.720 --> 00:00:35.600]  因為這本書其實是影響到我寫另一本我的著作
[00:00:35.600 --> 00:00:38.640]  叫做《太陽旗下的十家》
[00:00:38.640 --> 00:00:42.240]  香港日治時期的基督教歷史
[00:00:42.240 --> 00:00:46.080]  這段時間是一個很特殊的處境
[00:00:46.080 --> 00:00:51.200]  是一個香港教育裡面不容易的時段
[00:00:51.200 --> 00:00:57.600]  先說說這本書的作者角島勝龍牧師的故事
[00:00:57.600 --> 00:01:01.040]  當時他在日本的牧會服侍
[00:01:01.040 --> 00:01:07.440]  因為日本政府將香港的教會合併為一個組織
[00:01:07.440 --> 00:01:10.880]  叫做香港基督教總會
[00:01:10.880 --> 00:01:16.400]  所以在那段時間不同的宗派都被合而為一
[00:01:16.400 --> 00:01:17.840]  成為一個組織
[00:01:17.840 --> 00:01:23.200]  而角島勝龍牧師就是成為這個組織的顧問牧師
[00:01:23.200 --> 00:01:26.400]  這本書其實是說
[00:01:26.400 --> 00:01:30.240]  當時角島勝龍牧師在香港的不同經歷
[00:01:30.240 --> 00:01:33.040]  他面對著不同的處境
[00:01:33.040 --> 00:01:39.680]  當時很多的香港教會都在一個很艱難的階段
[00:01:39.680 --> 00:01:44.800]  當時一來面對著日本軍國主義的逼迫
[00:01:44.800 --> 00:01:48.480]  二來其實是不同的華人
[00:01:48.480 --> 00:01:52.800]  因為日本統治香港的緣故都選擇離開
[00:01:52.800 --> 00:01:57.920]  所以留下來的基督徒、教會領袖
[00:01:57.920 --> 00:02:02.000]  在一個資源缺乏的處境裏面
[00:02:02.000 --> 00:02:04.800]  他繼續怎樣去展現信仰
[00:02:04.800 --> 00:02:07.680]  而角島勝龍牧師雖然他是日本人
[00:02:07.680 --> 00:02:15.760]  但是他仍然處於站在一個支持、幫助華人教會
[00:02:15.760 --> 00:02:17.920]  香港教會的立場上面
[00:02:17.920 --> 00:02:21.360]  去和日本政府周旋
[00:02:21.360 --> 00:02:31.600]  當時無論是人的流失、經濟的困難、食物的短缺
[00:02:31.600 --> 00:02:34.800]  都是影響當時的信徒
[00:02:34.800 --> 00:02:38.160]  但是這本書其實是表現出
[00:02:38.160 --> 00:02:41.520]  就是在展述一個時間
[00:02:41.520 --> 00:02:43.920]  雖然是一個黑暗的處境裏面
[00:02:43.920 --> 00:02:48.960]  但是很多在地的基督徒
[00:02:48.960 --> 00:02:53.760]  仍然好在艱難裏面去怎樣去展現信仰
[00:02:53.760 --> 00:02:58.960]  去怎樣去藉著基督的信仰去渡過困難
[00:02:58.960 --> 00:03:02.320]  這本書亦都講述不同的人名
[00:03:02.320 --> 00:03:07.120]  有翁廷生牧師、中華基督教的公利堂
[00:03:07.120 --> 00:03:12.640]  亦都有中華基督教合一堂的張竹齡牧師等等
[00:03:12.640 --> 00:03:17.520]  這本書是講述一個香港教會歷史
[00:03:17.520 --> 00:03:20.080]  一個不容易的故事
[00:03:20.080 --> 00:03:22.160]  一個重要的片段
[00:03:22.160 --> 00:03:25.200]  亦都是讓後世、讓今日的我們
[00:03:25.200 --> 00:03:30.640]  讓今日的香港教會一個重要的歷史借鑒
[00:03:30.640 --> 00:03:33.440]  去站在歷史裏面
[00:03:33.440 --> 00:03:38.240]  去向前的一個重要的片段
[00:03:38.240 --> 00:03:40.480]  願上主宗大駕

