
[00:00:00.000 --> 00:00:02.560]  當我們檢討我們和神的關係的時候
[00:00:02.560 --> 00:00:05.960]  我們要記住這個關係不是抽象的
[00:00:05.960 --> 00:00:07.960]  也不是只有理論的
[00:00:07.960 --> 00:00:10.600]  因為神是一位很真很活的神
[00:00:10.600 --> 00:00:15.560]  所以我們和他的關係不是單單在頭腦裡面明白去說的
[00:00:15.560 --> 00:00:17.560]  而是我們真的經驗得到的
[00:00:17.560 --> 00:00:22.760]  這種關係當然是和我們人與人之間的關係有一點點不同
[00:00:22.760 --> 00:00:25.160]  因為反正我們用眼睛看不到神
[00:00:25.160 --> 00:00:31.240]  但是絕對不會只是一個抽象的不真實的一種關係
[00:00:31.240 --> 00:00:35.440]  所以我們要了解我們要體會的時候
[00:00:35.440 --> 00:00:38.040]  我們需要多一點點的想像
[00:00:38.040 --> 00:00:40.040]  想像不是幻想
[00:00:40.040 --> 00:00:41.040]  去想像
[00:00:41.040 --> 00:00:42.840]  那我們怎麼想像呢
[00:00:42.840 --> 00:00:44.840]  我們的神真的很好
[00:00:44.840 --> 00:00:48.720]  我們的神在聖經裡面知道我們有限制人
[00:00:48.720 --> 00:00:51.320]  得得那麼多明白那麼多
[00:00:51.320 --> 00:00:55.880]  所以他就在我們人生我們能夠認識的關係裡面
[00:00:55.880 --> 00:01:02.720]  我覺得他特別找了四種最親切的關係
[00:01:02.720 --> 00:01:05.440]  那些關係我們都經驗過我們都知道的
[00:01:05.440 --> 00:01:10.760]  又用這些關係讓我們可以類比和神建立同樣的關係
[00:01:10.760 --> 00:01:12.760]  是不是很好啊他真的很好
[00:01:12.760 --> 00:01:17.800]  我們上一次跟大家已經將其中兩種跟大家說過
[00:01:17.800 --> 00:01:19.400]  在聖經裡面
[00:01:19.400 --> 00:01:22.480]  思想的就是神說我是你的父親
[00:01:22.480 --> 00:01:27.080]  神說我也可以成為你最親切的情人
[00:01:27.080 --> 00:01:30.600]  今天我們再說多兩個聖經裡面
[00:01:30.600 --> 00:01:38.600]  特意選擇讓我們能夠和神建立一個很親切的人際關係裡面的類比
[00:01:38.600 --> 00:01:42.880]  一個就是神說我是你的知己朋友
[00:01:42.880 --> 00:01:50.000]  第二個神說我是你人生的導師或者人生的師傅
[00:01:50.000 --> 00:01:54.200]  我們一起思想一下這兩種的關係
[00:01:54.200 --> 00:01:58.640]  用聖經的說話成為我們的挑戰提醒
[00:01:58.640 --> 00:02:03.480]  也檢討一下現在你和神的關係在什麼狀態當中
[00:02:03.480 --> 00:02:05.480]  我們打開我們的心思想
[00:02:05.480 --> 00:02:10.080]  神說我是你的知己朋友
[00:02:10.080 --> 00:02:13.600]  當神說我是你的知己朋友的時候
[00:02:13.600 --> 00:02:17.520]  其實還有一個跟著要告訴我們的
[00:02:17.520 --> 00:02:21.960]  就是神說我也期待你成為我的知己
[00:02:21.960 --> 00:02:23.960]  不僅僅我是你的知己朋友
[00:02:23.960 --> 00:02:26.360]  剛才那段聖經我們讀過了
[00:02:26.360 --> 00:02:28.360]  你就會留意得到的
[00:02:28.360 --> 00:02:31.160]  在約翰福音第十三章那裡
[00:02:31.160 --> 00:02:35.520]  那裡其實記載了耶穌基督是要離開門徒了
[00:02:35.520 --> 00:02:36.840]  他上十字架了
[00:02:36.840 --> 00:02:39.840]  在最後要說的最珍貴的說話裡面
[00:02:39.840 --> 00:02:44.960]  他突然間提出了一種新的期待和新的關係
[00:02:44.960 --> 00:02:47.440]  這個關係耶穌用了一個字來表達
[00:02:47.440 --> 00:02:49.440]  就是朋友
[00:02:49.440 --> 00:02:53.960]  耶穌基督說我不再稱你們為僕人
[00:02:53.960 --> 00:02:57.440]  因為僕人不知道主人所作的事
[00:02:57.440 --> 00:03:01.640]  然後說我已經稱你們為朋友
[00:03:01.640 --> 00:03:04.440]  因為我從我父那裡所聽到的一切
[00:03:04.440 --> 00:03:07.840]  都已經告訴你們了
[00:03:07.840 --> 00:03:13.440]  耶穌說我現在是你們的朋友
[00:03:13.440 --> 00:03:15.640]  我不知道你們有什麼感覺
[00:03:15.640 --> 00:03:19.040]  我拿著這段聖經思想預備的時候
[00:03:19.040 --> 00:03:22.440]  我心裡越想越感動
[00:03:22.440 --> 00:03:25.040]  我想到這位天地的主宰
[00:03:25.040 --> 00:03:27.440]  那位偉大的宇宙的主宰
[00:03:27.440 --> 00:03:29.840]  竟然願意和我做朋友
[00:03:29.840 --> 00:03:31.840]  我真的是誰啊
[00:03:31.840 --> 00:03:33.440]  但就是這麼真
[00:03:33.440 --> 00:03:35.040]  就是這樣的事實
[00:03:35.040 --> 00:03:36.240]  我們真的不配
[00:03:36.240 --> 00:03:38.640]  但他就是這樣來苦咒我們
[00:03:38.640 --> 00:03:40.440]  願意來降杯
[00:03:40.440 --> 00:03:42.040]  和我們做平輩
[00:03:42.040 --> 00:03:43.640]  做我
[00:03:43.640 --> 00:03:45.440]  做你的朋友
[00:03:45.440 --> 00:03:46.440]  這個耶穌親口說的
[00:03:46.440 --> 00:03:47.840]  如果不是他親口說的
[00:03:47.840 --> 00:03:49.240]  我們都不會相信
[00:03:49.240 --> 00:03:50.440]  我們都不敢說
[00:03:50.440 --> 00:03:51.640]  都不敢想
[00:03:51.640 --> 00:03:53.840]  但事實上就是這樣
[00:03:53.840 --> 00:03:56.640]  不過在這裡我們再看下去的時候
[00:03:56.640 --> 00:03:59.840]  在這段話裡還加深了更深刻的意思
[00:03:59.840 --> 00:04:03.040]  我和大家一起畫下去
[00:04:03.040 --> 00:04:05.240]  當主耶穌說
[00:04:05.240 --> 00:04:07.640]  人為朋友寫明
[00:04:07.640 --> 00:04:10.640]  人的愛心沒有比這個更大
[00:04:10.640 --> 00:04:11.840]  最偉大的愛
[00:04:11.840 --> 00:04:13.240]  是犧牲的愛
[00:04:13.240 --> 00:04:14.240]  就是
[00:04:14.240 --> 00:04:15.640]  像我這樣
[00:04:15.640 --> 00:04:16.840]  當你們是朋友
[00:04:16.840 --> 00:04:18.640]  甚至為你們寫明
[00:04:18.640 --> 00:04:19.240]  那
[00:04:19.240 --> 00:04:20.440]  明眼人呢
[00:04:20.440 --> 00:04:22.040]  或者讀聖經熟一點的
[00:04:22.040 --> 00:04:24.640]  你立刻會想起其實耶穌有另外一個地方
[00:04:24.640 --> 00:04:26.240]  像樣的說這樣的話
[00:04:26.240 --> 00:04:28.040]  不過有了不同的說法
[00:04:28.040 --> 00:04:28.840]  和角色
[00:04:28.840 --> 00:04:31.440]  就是他前面的第十章說
[00:04:31.440 --> 00:04:33.640]  我是好木人
[00:04:33.640 --> 00:04:34.640]  然後什麼
[00:04:34.640 --> 00:04:35.840]  好木人
[00:04:35.840 --> 00:04:37.240]  為羊寫明
[00:04:37.240 --> 00:04:38.440]  一樣的
[00:04:38.440 --> 00:04:40.040]  耶穌說我為你寫明
[00:04:40.040 --> 00:04:42.840]  就好像木羊人為羊寫明一樣
[00:04:42.840 --> 00:04:44.840]  現在我又將一個新的方向
[00:04:44.840 --> 00:04:45.640]  告訴你
[00:04:45.640 --> 00:04:46.440]  我好像
[00:04:46.440 --> 00:04:47.840]  當你是朋友
[00:04:47.840 --> 00:04:49.040]  兩脅插刀
[00:04:49.040 --> 00:04:51.040]  我為你犧牲我生命
[00:04:51.040 --> 00:04:53.440]  這樣的朋友為你寫明
[00:04:53.440 --> 00:04:55.640]  不過當我們比較這兩個的時候
[00:04:55.640 --> 00:04:56.240]  其實呢
[00:04:56.240 --> 00:04:58.040]  有一個不同的層次
[00:04:58.040 --> 00:05:00.440]  也是一樣東西值得我們留意的
[00:05:00.440 --> 00:05:01.240]  是什麼呢
[00:05:01.240 --> 00:05:03.240]  就是如果我們是羊
[00:05:03.240 --> 00:05:05.240]  他是好木人的話
[00:05:05.240 --> 00:05:06.040]  是
[00:05:06.040 --> 00:05:08.440]  羊和木人的關係都很特別
[00:05:08.440 --> 00:05:09.440]  都很好
[00:05:09.440 --> 00:05:10.040]  不過
[00:05:10.040 --> 00:05:12.640]  基本上來說和朋友有不同
[00:05:12.640 --> 00:05:15.040]  羊和木羊人都是單向的
[00:05:15.040 --> 00:05:17.040]  就是木羊人就說了算
[00:05:17.040 --> 00:05:17.640]  是不是
[00:05:17.640 --> 00:05:19.040]  就是木羊人叫你走
[00:05:19.040 --> 00:05:19.640]  那你就走
[00:05:19.640 --> 00:05:20.440]  一吹雞
[00:05:20.440 --> 00:05:21.640]  那你就回來
[00:05:21.640 --> 00:05:23.040]  是完全是被動的
[00:05:23.040 --> 00:05:23.840]  對不對
[00:05:23.840 --> 00:05:24.840]  做一個羊
[00:05:24.840 --> 00:05:26.440]  最需要就是聽話
[00:05:26.440 --> 00:05:27.840]  被動就夠了
[00:05:27.840 --> 00:05:30.240]  但是做朋友呢
[00:05:30.240 --> 00:05:33.240]  很明顯的耶穌期待的是更多的
[00:05:33.240 --> 00:05:34.240]  為什麼呢
[00:05:34.240 --> 00:05:35.040]  因為呢
[00:05:35.040 --> 00:05:35.640]  接著
[00:05:35.640 --> 00:05:36.440]  剛才我讀的時候
[00:05:36.440 --> 00:05:38.240]  可能大家沒有留意
[00:05:38.240 --> 00:05:39.240]  耶穌接著
[00:05:39.240 --> 00:05:41.240]  說多了另外一個比對
[00:05:41.240 --> 00:05:41.640]  就是說
[00:05:41.640 --> 00:05:43.240]  我不叫你們做僕人
[00:05:43.240 --> 00:05:43.840]  是不是
[00:05:43.840 --> 00:05:45.640]  都是說這個東西
[00:05:45.640 --> 00:05:47.840]  僕人和主人之間一樣
[00:05:47.840 --> 00:05:49.240]  都是比較單向的
[00:05:49.240 --> 00:05:51.640]  最好的僕人就是聽話
[00:05:51.640 --> 00:05:52.840]  聽命令
[00:05:52.840 --> 00:05:53.840]  是不是
[00:05:53.840 --> 00:05:56.040]  但是耶穌說的很明白
[00:05:56.040 --> 00:05:57.240]  為什麼我不叫你僕人
[00:05:57.240 --> 00:05:59.640]  因為僕人不知道主人的事
[00:05:59.640 --> 00:06:01.440]  就是他沒有回頭
[00:06:01.440 --> 00:06:03.040]  回到主人的心事那裡
[00:06:03.040 --> 00:06:04.440]  他不會問主人
[00:06:04.440 --> 00:06:05.840]  究竟你現在在麻煩什麼
[00:06:05.840 --> 00:06:06.440]  在想什麼
[00:06:06.440 --> 00:06:07.840]  他不會問這件事
[00:06:07.840 --> 00:06:10.240]  一僕人就只不過是主人你叫我做
[00:06:10.240 --> 00:06:11.440]  我就做
[00:06:11.440 --> 00:06:13.640]  就是他的世界就是在他的那個
[00:06:13.640 --> 00:06:14.640]  聽話那裡
[00:06:14.640 --> 00:06:15.440]  都好
[00:06:15.440 --> 00:06:16.040]  不過耶穌說
[00:06:16.040 --> 00:06:17.640]  我想你明白
[00:06:17.640 --> 00:06:20.240]  我對你的期待不止這麼少
[00:06:20.240 --> 00:06:21.240]  還多一些
[00:06:21.240 --> 00:06:22.240]  因為呢
[00:06:22.240 --> 00:06:24.240]  如果我叫你做朋友的話呢
[00:06:24.240 --> 00:06:25.840]  你就不單單好像僕人那樣
[00:06:25.840 --> 00:06:27.040]  不知道主人的心事
[00:06:27.040 --> 00:06:28.040]  現在我將
[00:06:28.040 --> 00:06:29.440]  接著的耶穌說得很清楚了
[00:06:29.440 --> 00:06:32.440]  我將我所有的事都告訴你
[00:06:32.440 --> 00:06:33.040]  就是說
[00:06:33.040 --> 00:06:35.840]  我想你進入我的生命裡面
[00:06:35.840 --> 00:06:37.240]  在這裡
[00:06:37.240 --> 00:06:39.040]  當然同時你也會猜到
[00:06:39.040 --> 00:06:40.640]  你也聽得出來
[00:06:40.640 --> 00:06:41.040]  耶穌說
[00:06:41.040 --> 00:06:44.440]  我也想你將我放在你心裡面
[00:06:44.440 --> 00:06:45.240]  這種呢
[00:06:45.240 --> 00:06:47.640]  是一種很深切的
[00:06:47.640 --> 00:06:50.040]  自由的關係
[00:06:50.040 --> 00:06:51.040]  因為這種關係
[00:06:51.040 --> 00:06:51.640]  耶穌說
[00:06:51.640 --> 00:06:53.040]  我走了第一步
[00:06:53.040 --> 00:06:55.040]  我拿了一條命來給你
[00:06:55.040 --> 00:06:56.240]  這種朋友
[00:06:56.240 --> 00:06:58.840]  絕對不是很普通的朋友
[00:06:58.840 --> 00:07:01.440]  我希望你也不會將神
[00:07:01.440 --> 00:07:04.440]  將我當作你一個很普通的朋友
[00:07:04.440 --> 00:07:06.640]  現在我們討論一下朋友
[00:07:06.640 --> 00:07:08.640]  在我們人際的關係裡面
[00:07:08.640 --> 00:07:10.840]  其實有不同的等級的朋友
[00:07:10.840 --> 00:07:11.840]  坦白說
[00:07:11.840 --> 00:07:12.840]  社會生物學家
[00:07:12.840 --> 00:07:14.640]  和我們做了很多分析
[00:07:14.640 --> 00:07:15.840]  我作一點點
[00:07:15.840 --> 00:07:17.040]  和大家補充一下
[00:07:17.040 --> 00:07:18.240]  好不好
[00:07:18.240 --> 00:07:20.640]  社會生物學家
[00:07:20.640 --> 00:07:22.040]  他的分析裡面
[00:07:22.040 --> 00:07:22.840]  他說大概
[00:07:22.840 --> 00:07:24.640]  我們每個人周圍都有很多朋友
[00:07:24.640 --> 00:07:25.440]  不過其實
[00:07:25.440 --> 00:07:27.440]  不是每個人都一樣的等級
[00:07:27.440 --> 00:07:28.240]  在你的心目中
[00:07:28.240 --> 00:07:29.640]  其實你也知道
[00:07:29.640 --> 00:07:31.240]  有些不同等級的朋友
[00:07:31.240 --> 00:07:32.440]  我和大家簡單數一下
[00:07:32.440 --> 00:07:33.040]  我相信
[00:07:33.040 --> 00:07:33.640]  一數出來
[00:07:33.640 --> 00:07:35.240]  你會想是誰是誰
[00:07:35.240 --> 00:07:36.440]  那你們自己想一下
[00:07:36.440 --> 00:07:38.040]  我們一起來做一下這個
[00:07:38.040 --> 00:07:40.040]  簡單的來層級的分析
[00:07:40.040 --> 00:07:41.040]  挺有意思的
[00:07:41.040 --> 00:07:42.040]  挺好玩的
[00:07:42.040 --> 00:07:43.640]  第一種最疏的那些
[00:07:43.640 --> 00:07:45.440]  英文叫acquaintance
[00:07:45.440 --> 00:07:47.040]  就是認識的人
[00:07:47.040 --> 00:07:47.840]  認識的人
[00:07:47.840 --> 00:07:48.440]  你認識他
[00:07:48.440 --> 00:07:50.040]  不過和你真的沒什麼關係
[00:07:50.040 --> 00:07:50.840]  就是你
[00:07:50.840 --> 00:07:52.840]  早上按電梯上15樓的時候
[00:07:52.840 --> 00:07:54.840]  王先生那個
[00:07:54.840 --> 00:07:55.640]  王先生
[00:07:55.640 --> 00:07:56.240]  上班了
[00:07:56.240 --> 00:07:56.840]  是啊
[00:07:56.840 --> 00:07:57.840]  不用你說了
[00:07:57.840 --> 00:07:58.440]  這個時間
[00:07:58.440 --> 00:08:00.440]  早上按電梯走下去
[00:08:00.440 --> 00:08:01.640]  穿好衣服
[00:08:01.640 --> 00:08:02.440]  當然上班了
[00:08:02.440 --> 00:08:02.840]  我們說了
[00:08:02.840 --> 00:08:03.640]  其他沒有說
[00:08:03.640 --> 00:08:04.040]  你明白嗎
[00:08:04.040 --> 00:08:05.840]  不過你知道那個叫王先生
[00:08:05.840 --> 00:08:07.040]  那些叫acquaintance
[00:08:07.040 --> 00:08:08.440]  那些是你認識的朋友
[00:08:08.440 --> 00:08:09.240]  那些很多的
[00:08:09.240 --> 00:08:10.440]  不過呢
[00:08:10.440 --> 00:08:12.840]  和你完全可以沒關係
[00:08:12.840 --> 00:08:13.840]  再進一步
[00:08:13.840 --> 00:08:15.040]  好像金字塔
[00:08:15.040 --> 00:08:15.640]  少一點的
[00:08:15.640 --> 00:08:17.640]  不過也有很多的
[00:08:17.640 --> 00:08:20.040]  那些我們可以叫做
[00:08:20.040 --> 00:08:21.840]  是叫做casual friend
[00:08:21.840 --> 00:08:23.440]  很casual的
[00:08:23.440 --> 00:08:25.240]  就是一般的朋友
[00:08:25.240 --> 00:08:26.840]  那casual friend有什麼特別呢
[00:08:26.840 --> 00:08:27.640]  就是那些
[00:08:27.640 --> 00:08:28.840]  你認識他
[00:08:28.840 --> 00:08:31.640]  但是其實可能見得面多一點
[00:08:31.640 --> 00:08:33.840]  但是就是有機會才見
[00:08:33.840 --> 00:08:35.040]  沒空就不見那些
[00:08:35.040 --> 00:08:38.640]  比如早上一起在公園裡面打太極那些
[00:08:38.640 --> 00:08:39.440]  是不是
[00:08:39.440 --> 00:08:43.040]  然後說暑假去美國探望我兒子
[00:08:43.040 --> 00:08:45.240]  那我也不會在那裡打字了
[00:08:45.240 --> 00:08:46.640]  完了再回來
[00:08:46.640 --> 00:08:48.840]  就是他不會因為你走了很難過
[00:08:48.840 --> 00:08:49.840]  難什麼過
[00:08:49.840 --> 00:08:51.440]  就是你走
[00:08:51.440 --> 00:08:52.640]  你有空就來
[00:08:52.640 --> 00:08:54.040]  你沒空就不來
[00:08:54.040 --> 00:08:55.240]  回來的時候
[00:08:55.240 --> 00:08:56.040]  過了暑假
[00:08:56.040 --> 00:08:57.240]  誰不見他來打的
[00:08:57.240 --> 00:08:58.440]  哦他搬了
[00:08:58.440 --> 00:08:59.040]  是嗎
[00:08:59.040 --> 00:08:59.840]  這樣就完了
[00:08:59.840 --> 00:09:00.640]  你明白嗎
[00:09:00.640 --> 00:09:03.040]  這些叫做casual friend
[00:09:03.040 --> 00:09:04.640]  就是認識多一點的
[00:09:04.640 --> 00:09:05.240]  不過呢
[00:09:05.240 --> 00:09:07.640]  那些朋友就真的沒什麼特別
[00:09:07.640 --> 00:09:09.640]  是你需要關心他的
[00:09:09.640 --> 00:09:10.640]  再進一步
[00:09:10.640 --> 00:09:12.040]  再近一點的
[00:09:12.040 --> 00:09:13.040]  啊
[00:09:13.040 --> 00:09:14.640]  這叫做regular friend
[00:09:14.640 --> 00:09:15.640]  就是
[00:09:15.640 --> 00:09:17.640]  可以說不是一般朋友
