
[00:00:00.000 --> 00:00:12.000]  《為何要愛》
[00:00:12.000 --> 00:00:19.000]  為何要愛 使我心死
[00:00:19.000 --> 00:00:26.000]  為何要愛 我受寸冤
[00:00:26.000 --> 00:00:34.000]  我要永遠 愛著耶穌
[00:00:34.000 --> 00:00:42.000]  愛到耶穌 我所仰望
[00:00:42.000 --> 00:00:49.000]  愛到耶穌 永遠耶穌
[00:00:49.000 --> 00:00:57.000]  我受寸冤 我好寸冤
[00:00:57.000 --> 00:01:07.000]  教會我 是我聖聖
[00:01:07.000 --> 00:01:16.000]  永要救主 再來自我
[00:01:16.000 --> 00:01:24.000]  愛到耶穌 是我保住
[00:01:24.000 --> 00:01:32.000]  我眾罪過 也待難渡
[00:01:32.000 --> 00:01:41.000]  愛完耶穌 是我清義
[00:01:41.000 --> 00:01:50.000]  也一次我 數碎力量
[00:01:50.000 --> 00:01:57.000]  愛到耶穌 永遠耶穌
[00:01:57.000 --> 00:02:06.000]  我受寸冤 我好寸冤
[00:02:06.000 --> 00:02:15.000]  教會我 是我聖聖
[00:02:15.000 --> 00:02:27.000]  永要救主 再來自我
[00:02:27.000 --> 00:02:35.000]  愛完耶穌 是我聖聖
[00:02:35.000 --> 00:02:44.000]  天理是我 罪無全非
[00:02:44.000 --> 00:02:52.000]  愛到耶穌 是我使命
[00:02:52.000 --> 00:03:01.000]  寵愛我心 令我死
[00:03:01.000 --> 00:03:10.000]  愛到耶穌 永遠耶穌
[00:03:10.000 --> 00:03:19.000]  我受寸冤 我好寸冤
[00:03:19.000 --> 00:03:27.000]  教會我 是我聖聖
[00:03:27.000 --> 00:03:36.000]  永要救主 再來自我
[00:03:36.000 --> 00:03:45.000]  愛到耶穌 是我使命
[00:03:45.000 --> 00:03:54.000]  寵愛我心 令我死
[00:03:54.000 --> 00:04:02.000]  大靈光榮 豐盛昌平
[00:04:02.000 --> 00:04:11.000]  大靈昔來 愛到耶穌
[00:04:11.000 --> 00:04:20.000]  愛到耶穌 永遠耶穌
[00:04:20.000 --> 00:04:29.000]  我受寸冤 我好寸冤
[00:04:29.000 --> 00:04:37.000]  教會我 是我聖聖
[00:04:37.000 --> 00:04:47.000]  永要救主 再來自我
[00:04:47.000 --> 00:04:55.000]  愛到耶穌 我受寸冤
[00:04:55.000 --> 00:05:03.000]  天理是我 寵愛我心
[00:05:03.000 --> 00:05:12.000]  耶穌耶穌 使我聖聖
[00:05:12.000 --> 00:05:21.000]  耶穌賜我 美麗的聖靈
[00:05:21.000 --> 00:05:30.000]  愛到耶穌 永遠耶穌
[00:05:30.000 --> 00:05:39.000]  我受寸冤 我好寸冤
[00:05:39.000 --> 00:05:48.000]  教會我 是我聖聖
[00:05:48.000 --> 00:05:58.000]  永要救主 再來自我
[00:05:58.000 --> 00:05:58.500]  好
[00:05:58.500 --> 00:05:59.500]  拜拜!

