
[00:00:00.000 --> 00:00:04.000]  我們一起同心祈禱
[00:00:04.000 --> 00:00:07.000]  我們親愛的天父上帝
[00:00:07.000 --> 00:00:09.000]  我們要向禰敬拜
[00:00:09.000 --> 00:00:11.000]  向禰讚美
[00:00:11.000 --> 00:00:14.000]  因爲禰是神
[00:00:14.000 --> 00:00:17.000]  在我們人生的旅途裏面
[00:00:17.000 --> 00:00:20.000]  我們有很多不同的體驗
[00:00:20.000 --> 00:00:22.000]  有甜酸苦辣
[00:00:22.000 --> 00:00:26.000]  有順利有不順利
[00:00:26.000 --> 00:00:28.000]  我們向禰禱告
[00:00:28.000 --> 00:00:31.000]  就是因爲我們人是很渺小
[00:00:31.000 --> 00:00:33.000]  我們很需要依靠禰
[00:00:33.000 --> 00:00:38.000]  有時我們用人的想法去解決問題
[00:00:38.000 --> 00:00:41.000]  但是很多時候是解決不了的
[00:00:41.000 --> 00:00:44.000]  我們很需要禰給我們有智慧
[00:00:44.000 --> 00:00:47.000]  我們很需要禰給我們的內心
[00:00:47.000 --> 00:00:49.000]  有平安
[00:00:49.000 --> 00:00:52.000]  有滿足和喜樂
[00:00:52.000 --> 00:00:57.000]  有世界給不到的那種安全感
[00:00:57.000 --> 00:00:59.000]  我們就願禰的說話
[00:00:59.000 --> 00:01:02.000]  成爲我們生命的力量
[00:01:02.000 --> 00:01:05.000]  願禰的靈在我們當中工作
[00:01:05.000 --> 00:01:09.000]  讓我們明白禰話語的寶貴
[00:01:09.000 --> 00:01:12.000]  這樣的祈禱是奉耶穌基督的名
[00:01:12.000 --> 00:01:14.000]  阿們
[00:01:14.000 --> 00:01:15.000]  很感恩
[00:01:15.000 --> 00:01:18.000]  原來今天是洪恩嘉
[00:01:18.000 --> 00:01:24.000]  恢復一個現場實體崇拜的大日子
[00:01:24.000 --> 00:01:29.000]  我相信弟兄姊妹是帶着一個期待的心回來的
[00:01:29.000 --> 00:01:31.000]  我也是很榮幸
[00:01:31.000 --> 00:01:32.000]  今天來講道
[00:01:32.000 --> 00:01:35.000]  剛好是一個這樣的日子
[00:01:35.000 --> 00:01:38.000]  我也很感謝老牧師邀請我
[00:01:38.000 --> 00:01:45.000]  和安排弟兄姊妹在元朗西鐵站那裏接我過來
[00:01:45.000 --> 00:01:47.000]  真的非常之好
[00:01:47.000 --> 00:01:53.000]  我自己這段時間經常都有看聖經
[00:01:53.000 --> 00:01:57.000]  看聖經對我來講是要很多的考驗的
[00:01:57.000 --> 00:01:58.000]  爲什麼呢
[00:01:58.000 --> 00:02:02.000]  我的問題可能以爲自己很熟悉
[00:02:02.000 --> 00:02:05.000]  就是因爲如果我以爲自己很熟悉的時候
[00:02:05.000 --> 00:02:08.000]  我就會忽略很多東西
[00:02:08.000 --> 00:02:09.000]  很感恩
[00:02:09.000 --> 00:02:11.000]  我讀聖經
[00:02:11.000 --> 00:02:14.000]  大家應該聽過五餅二魚的神蹟
[00:02:14.000 --> 00:02:16.000]  你也很熟悉的
[00:02:16.000 --> 00:02:18.000]  我今天就是講這個題目
[00:02:18.000 --> 00:02:20.000]  就是這段經文
[00:02:20.000 --> 00:02:24.000]  但是我這次講就跟我平時的發現有不同
[00:02:24.000 --> 00:02:26.000]  我講的東西都是跟着聖經的
[00:02:26.000 --> 00:02:28.000]  就不會亂來的
[00:02:28.000 --> 00:02:30.000]  但是你試一下聽一下
[00:02:30.000 --> 00:02:32.000]  我發現了些什麼
[00:02:32.000 --> 00:02:34.000]  我也很有得着
[00:02:34.000 --> 00:02:40.000]  我的經文就選了約翰福音第六章第七到第九節
[00:02:40.000 --> 00:02:43.000]  其實講道的時候
[00:02:43.000 --> 00:02:46.000]  我用的經文是多過這兩三節的
[00:02:46.000 --> 00:02:50.000]  因爲我恐怕主席讀經文是用很多時間去讀
[00:02:50.000 --> 00:02:52.000]  這樣而已
[00:02:52.000 --> 00:02:54.000]  但是題目是怎麼樣呢
[00:02:54.000 --> 00:02:57.000]  是一個平凡但是重要的使徒
[00:02:57.000 --> 00:02:59.000]  安德烈
