
[00:00:00.000 --> 00:00:20.000]  (音樂)
[00:00:28.000 --> 00:00:30.000]  各位同仁姐妹平安
[00:00:30.000 --> 00:00:33.000]  今天晚上我們可以一起再來
[00:00:33.000 --> 00:00:36.000]  念讀神的話語
[00:00:36.000 --> 00:00:38.000]  我們真的很蒙恩
[00:00:38.000 --> 00:00:41.000]  剛才我們唱的最後四個
[00:00:41.000 --> 00:00:43.000]  可能大家有點想起了
[00:00:43.000 --> 00:00:45.000]  我們上一次 記得嗎
[00:00:45.000 --> 00:00:49.000]  是四篇 四十六篇 對
[00:00:49.000 --> 00:00:51.000]  我們心裡面有安靜
[00:00:51.000 --> 00:00:52.000]  我們放下
[00:00:52.000 --> 00:00:57.000]  因為我們知道我們神在掌管
[00:00:57.000 --> 00:01:00.000]  記得最後一節我們一起念的嗎
[00:01:00.000 --> 00:01:02.000]  要放鬆吧
[00:01:02.000 --> 00:01:04.000]  詩人說
[00:01:04.000 --> 00:01:06.000]  你要知道 這個神
[00:01:06.000 --> 00:01:07.000]  如果你有留意
[00:01:07.000 --> 00:01:10.000]  四篇四十六篇 整篇裡面
[00:01:10.000 --> 00:01:12.000]  只有這一句是神自己講的
[00:01:12.000 --> 00:01:14.000]  其他都是詩人講的
[00:01:14.000 --> 00:01:15.000]  這是我們講的
[00:01:15.000 --> 00:01:18.000]  然後最後一句 神發聲了
[00:01:18.000 --> 00:01:21.000]  他說 放鬆吧
[00:01:21.000 --> 00:01:23.000]  你要放鬆吧
[00:01:23.000 --> 00:01:24.000]  因為你要知道
[00:01:24.000 --> 00:01:26.000]  是神 就是我
[00:01:26.000 --> 00:01:28.000]  是乾這一切的事情
[00:01:28.000 --> 00:01:29.000]  還在乾
[00:01:29.000 --> 00:01:31.000]  我覺得這個對我們來說
[00:01:31.000 --> 00:01:33.000]  是個最大的安慰
[00:01:33.000 --> 00:01:35.000]  所以有了這個信念
[00:01:35.000 --> 00:01:37.000]  就好像剛才四個裡面
