
[00:00:00.000 --> 00:00:13.000]  宣讀馬可福音第四章35到41節
[00:00:13.000 --> 00:00:16.800]  那天晚上耶穌對門徒說
[00:00:16.800 --> 00:00:19.800]  我們渡到對岸去吧
[00:00:19.800 --> 00:00:22.000]  門徒離開眾人
[00:00:22.000 --> 00:00:24.000]  耶穌已在船上
[00:00:24.000 --> 00:00:27.000]  他們就請他一同去
[00:00:27.000 --> 00:00:30.000]  也有別的船和他同行
[00:00:30.000 --> 00:00:33.000]  忽然狂風大作
[00:00:33.000 --> 00:00:35.000]  波浪打入船內
[00:00:35.000 --> 00:00:39.000]  以致船灌滿了水
[00:00:39.000 --> 00:00:41.000]  耶穌在船尾上
[00:00:41.000 --> 00:00:44.000]  站著枕頭睡覺
[00:00:44.000 --> 00:00:46.000]  門徒叫醒他說
[00:00:46.000 --> 00:00:48.000]  老師我們快沒命了
[00:00:48.000 --> 00:00:51.000]  你不管嗎
[00:00:51.000 --> 00:00:52.000]  耶穌醒了
[00:00:52.000 --> 00:00:55.000]  赤子納風向海說
[00:00:55.000 --> 00:00:58.000]  住了吧 靜了吧
[00:00:58.000 --> 00:01:00.000]  風就止住
[00:01:00.000 --> 00:01:04.000]  大大平靜了
[00:01:04.000 --> 00:01:06.000]  耶穌對他們說
[00:01:06.000 --> 00:01:09.000]  為什麼膽怯
[00:01:09.000 --> 00:01:12.000]  你們還沒有信心嗎
[00:01:12.000 --> 00:01:16.000]  他們就非常懼怕彼此說
[00:01:16.000 --> 00:01:18.000]  這到底是誰
[00:01:18.000 --> 00:01:22.000]  連風和海都聽從他
[00:01:22.000 --> 00:01:24.000]  這是上主的話
[00:01:24.000 --> 00:01:27.000]  親愛的弟兄姐妹
[00:01:27.000 --> 00:01:29.000]  特別是我們在座的
[00:01:29.000 --> 00:01:32.000]  建道神學院裡面的同學們
[00:01:32.000 --> 00:01:33.000]  你們好
[00:01:33.000 --> 00:01:36.000]  願你們平安
[00:01:36.000 --> 00:01:38.000]  回想起來
[00:01:38.000 --> 00:01:39.000]  九年多前
[00:01:39.000 --> 00:01:42.000]  我提早的退休
[00:01:42.000 --> 00:01:46.000]  往後到今天才有機會
[00:01:46.000 --> 00:01:48.000]  跟大家在這裡
[00:01:48.000 --> 00:01:50.000]  一同的敬拜神
[00:01:51.000 --> 00:01:52.000]  其實
[00:01:52.000 --> 00:01:54.000]  我曾經在西玻倫堂
[00:01:54.000 --> 00:01:57.000]  祭奉了有十多年
[00:01:57.000 --> 00:01:58.000]  我
[00:01:58.000 --> 00:01:59.000]  我的太太
[00:01:59.000 --> 00:02:00.000]  孩子 岳母
[00:02:00.000 --> 00:02:02.000]  以及我的姻親
[00:02:02.000 --> 00:02:06.000]  都是祭堂的會友
[00:02:06.000 --> 00:02:08.000]  感謝神帶領我
[00:02:08.000 --> 00:02:11.000]  回到這個俗靈的家
[00:02:11.000 --> 00:02:14.000]  來跟大家分享神的道
[00:02:14.000 --> 00:02:15.000]  今天
[00:02:15.000 --> 00:02:17.000]  我會根據
[00:02:17.000 --> 00:02:20.000]  剛才陳萬里弟兄所讀的經文
[00:02:20.000 --> 00:02:25.000]  《馬可福音》第四章35到71節
[00:02:25.000 --> 00:02:28.000]  與大家思想一個主題
[00:02:28.000 --> 00:02:31.000]  就是人生的風浪
[00:02:31.000 --> 00:02:34.000]  造就新興的契機
[00:02:34.000 --> 00:02:38.000]  求聖靈引導我們的心思以念
[00:02:38.000 --> 00:02:44.000]  能夠明白真理
[00:02:44.000 --> 00:02:49.000]  這段經文記載了一件神跡
[00:02:49.000 --> 00:02:52.000]  第四章第一節說
[00:02:52.000 --> 00:02:54.000]  那一天
[00:02:54.000 --> 00:02:57.000]  耶穌在加利利海邊
[00:02:57.000 --> 00:02:59.000]  坐在船上
[00:02:59.000 --> 00:03:03.000]  對著站在岸上許多的群眾
[00:03:03.000 --> 00:03:07.000]  講述撒種和芥菜種的比喻
[00:03:07.000 --> 00:03:12.000]  說明神國的真理
[00:03:12.000 --> 00:03:15.000]  有一位考古學家
[00:03:15.000 --> 00:03:18.000]  曾經帶著儀器
[00:03:18.000 --> 00:03:20.000]  到加利利海邊
[00:03:20.000 --> 00:03:22.000]  驅逐的恰適
[00:03:22.000 --> 00:03:25.000]  證明岸上的人
[00:03:25.000 --> 00:03:27.000]  能夠很清楚地
[00:03:27.000 --> 00:03:30.000]  聽到耶穌的講論
[00:03:30.000 --> 00:03:32.000]  而這件神跡
[00:03:32.000 --> 00:03:34.000]  就是在那一天
[00:03:34.000 --> 00:03:36.000]  黃昏時分發生的
[00:03:36.000 --> 00:03:39.000]  讓我們再去深入一點
[00:03:39.000 --> 00:03:42.000]  瞭解這段經文的內容
[00:03:42.000 --> 00:03:47.000]  第三十五節說
[00:03:47.000 --> 00:03:50.000]  當那天晚上
[00:03:50.000 --> 00:03:53.000]  原文是黃昏時分
[00:03:53.000 --> 00:03:56.000]  耶穌對門徒說
[00:03:56.000 --> 00:03:59.000]  我們渡到那邊去吧
[00:03:59.000 --> 00:04:01.000]  這個那邊
[00:04:01.000 --> 00:04:05.000]  我們根據第五章第一節可以知道
[00:04:05.000 --> 00:04:07.000]  是耶穌吩咐門徒
[00:04:07.000 --> 00:04:12.000]  將船開到對岸的卡拉森
[00:04:12.000 --> 00:04:13.000]  於是
[00:04:13.000 --> 00:04:16.000]  門徒離開眾人
[00:04:16.000 --> 00:04:19.000]  帶著已經在船上的耶穌
[00:04:19.000 --> 00:04:21.000]  一同過去
[00:04:21.000 --> 00:04:23.000]  那你想想
[00:04:23.000 --> 00:04:24.000]  當時
[00:04:24.000 --> 00:04:26.000]  耶穌和門徒
[00:04:26.000 --> 00:04:28.000]  共有十三人
[00:04:28.000 --> 00:04:31.000]  相信他們所坐的船
[00:04:31.000 --> 00:04:34.000]  不會好像兒童主熱學
[00:04:34.000 --> 00:04:38.000]  課本所描繪的那樣的小船
[00:04:38.000 --> 00:04:39.000]  許多人
[00:04:39.000 --> 00:04:41.000]  聚在一起
[00:04:41.000 --> 00:04:43.000]  就好像廣東話說
[00:04:43.000 --> 00:04:46.000]  好像屈蛇一樣
[00:04:46.000 --> 00:04:48.000]  也有其他的船
[00:04:48.000 --> 00:04:50.000]  和他同行
[00:04:50.000 --> 00:04:52.000]  夫人
[00:04:52.000 --> 00:04:54.000]  原來的意思是
[00:04:54.000 --> 00:04:56.000]  突如其來
[00:04:56.000 --> 00:04:58.000]  起了暴風
[00:04:58.000 --> 00:05:00.000]  其實是
[00:05:00.000 --> 00:05:02.000]  颶風
[00:05:02.000 --> 00:05:04.000]  大浪
[00:05:04.000 --> 00:05:06.000]  打入船內
[00:05:06.000 --> 00:05:10.000]  船很快就關滿了水
[00:05:10.000 --> 00:05:13.000]  路加福音
[00:05:13.000 --> 00:05:16.000]  稱加利利海
[00:05:16.000 --> 00:05:18.000]  是什麼呢?
[00:05:18.000 --> 00:05:21.000]  是加尼薩拉湖
[00:05:21.000 --> 00:05:24.000]  海跟湖不同
[00:05:24.000 --> 00:05:27.000]  海會喚起風浪
[00:05:27.000 --> 00:05:30.000]  但是湖呢?
[00:05:30.000 --> 00:05:32.000]  可以說是
[00:05:32.000 --> 00:05:34.000]  波平於靜的
[00:05:34.000 --> 00:05:36.000]  加利利海的風浪
[00:05:36.000 --> 00:05:38.000]  是出名的
[00:05:38.000 --> 00:05:40.000]  可怕的
[00:05:40.000 --> 00:05:42.000]  因為風浪出現之前
[00:05:42.000 --> 00:05:45.000]  毫無預兆
[00:05:45.000 --> 00:05:51.000]  這是因為地理環境的因素
[00:05:51.000 --> 00:05:53.000]  加利利海
[00:05:53.000 --> 00:05:55.000]  其實是一個在
[00:05:55.000 --> 00:05:58.000]  越南河峽谷
[00:05:58.000 --> 00:06:02.000]  團山的內陸淡水湖
[00:06:02.000 --> 00:06:04.000]  北面的黑門山
[00:06:04.000 --> 00:06:06.000]  湧血的水
[00:06:06.000 --> 00:06:09.000]  沿著越南河
[00:06:09.000 --> 00:06:14.000]  向南流經加利利海
[00:06:14.000 --> 00:06:17.000]  由於加利利海的湖面
[00:06:17.000 --> 00:06:22.000]  比較海平面低超過200米
[00:06:22.000 --> 00:06:24.000]  當從洞面
[00:06:24.000 --> 00:06:28.000]  外越南高原群山吹來
[00:06:28.000 --> 00:06:33.000]  乾燥寒冷的沙巴風
[00:06:33.000 --> 00:06:36.000]  與從西面
[00:06:36.000 --> 00:06:40.000]  地中海吹來的橋式的暖流
[00:06:40.000 --> 00:06:44.000]  在加利利海面上相遇
[00:06:44.000 --> 00:06:48.000]  一瞬間就形成猛烈的風暴
[00:06:48.000 --> 00:06:52.000]  這個風暴就是這樣產生的
[00:06:52.000 --> 00:06:54.000]  經文說
[00:06:54.000 --> 00:06:56.000]  耶穌在船尾
[00:06:56.000 --> 00:07:00.000]  枕著枕頭睡覺
[00:07:00.000 --> 00:07:02.000]  門頭叫醒了他
[00:07:02.000 --> 00:07:04.000]  對他說
[00:07:04.000 --> 00:07:07.000]  老師,我們快沒命了
[00:07:07.000 --> 00:07:10.000]  你不管嗎?你不顧嗎?
[00:07:10.000 --> 00:07:12.000]  耶穌醒了
[00:07:12.000 --> 00:07:14.000]  氣著風說
[00:07:14.000 --> 00:07:16.000]  住了吧!
[00:07:16.000 --> 00:07:18.000]  又對海說
[00:07:18.000 --> 00:07:20.000]  靜了吧!
[00:07:20.000 --> 00:07:24.000]  我們習慣將風浪並提
[00:07:24.000 --> 00:07:27.000]  但是請留意
[00:07:27.000 --> 00:07:29.000]  耶穌在這裡
[00:07:29.000 --> 00:07:32.000]  他將風和海分開
[00:07:32.000 --> 00:07:34.000]  是有意思的
[00:07:34.000 --> 00:07:36.000]  於是
[00:07:36.000 --> 00:07:38.000]  風就停住
[00:07:38.000 --> 00:07:42.000]  海就立刻地大大平靜了
[00:07:42.000 --> 00:07:45.000]  耶穌對蠻徒說
[00:07:45.000 --> 00:07:49.000]  他其實是責備他們
[00:07:49.000 --> 00:07:51.000]  為什麼膽怯呢?
[00:07:51.000 --> 00:07:55.000]  你們還是沒有信心嗎?
[00:07:55.000 --> 00:07:57.000]  事實上
[00:07:57.000 --> 00:08:01.000]  中門徒曾經親眼地看見
[00:08:01.000 --> 00:08:05.000]  耶穌息行各樣的神跡
[00:08:05.000 --> 00:08:08.000]  實在不應該懷疑
[00:08:08.000 --> 00:08:11.000]  他擁有超人的能力了
[00:08:11.000 --> 00:08:13.000]  但是呢
[00:08:13.000 --> 00:08:16.000]  他們就大大地懼怕
[00:08:16.000 --> 00:08:19.000]  原來的一世
[00:08:19.000 --> 00:08:21.000]  遠遠超過這個懼怕
[00:08:21.000 --> 00:08:23.000]  是驚恐
[00:08:23.000 --> 00:08:25.000]  很奇怪
[00:08:25.000 --> 00:08:29.000]  門徒看見風浪都平靜了
[00:08:29.000 --> 00:08:34.000]  竟然比剛才置身於狂風巨浪的時候
[00:08:34.000 --> 00:08:37.000]  更加地恐慌
[00:08:37.000 --> 00:08:39.000]  他們比起說
[00:08:39.000 --> 00:08:42.000]  這人到底
[00:08:42.000 --> 00:08:44.000]  原來的一世是
[00:08:44.000 --> 00:08:47.000]  究竟真正是誰
[00:08:47.000 --> 00:08:53.000]  連風和海都聽從他呢?
[00:08:53.000 --> 00:08:55.000]  短短的經文
[00:08:55.000 --> 00:08:58.000]  其實很有意思的
[00:08:58.000 --> 00:09:00.000]  那弟兄姐妹
[00:09:00.000 --> 00:09:03.000]  人生的風浪
[00:09:03.000 --> 00:09:07.000]  大多數都是突如其來的
[00:09:07.000 --> 00:09:12.000]  事前無可預備
[00:09:12.000 --> 00:09:14.000]  有沒有想過就是
[00:09:14.000 --> 00:09:16.000]  面對困境
[00:09:16.000 --> 00:09:19.000]  又不能夠解決
[00:09:19.000 --> 00:09:22.000]  信主的人,我們基督徒
[00:09:22.000 --> 00:09:26.000]  可以怎樣反應呢?
[00:09:26.000 --> 00:09:29.000]  1998年
[00:09:29.000 --> 00:09:33.000]  美國知名的基督徒作家楊斐力
[00:09:33.000 --> 00:09:35.000]  Philip Young
[00:09:35.000 --> 00:09:38.000]  他寫了一本暢銷書
[00:09:38.000 --> 00:09:40.000]  《無語問上帝》
[00:09:40.000 --> 00:09:43.000]  Disappointment with God
[00:09:43.000 --> 00:09:47.000]  他在書里提出了
[00:09:47.000 --> 00:09:50.000]  信主的人在人生
[00:09:50.000 --> 00:09:52.000]  種種的風風雨雨當中
[00:09:52.000 --> 00:09:57.000]  常常發出的三個問題
[00:09:57.000 --> 00:09:59.000]  是什麼問題呢?
[00:09:59.000 --> 00:10:01.000]  他問
[00:10:01.000 --> 00:10:03.000]  神在聆聽嗎?
[00:10:03.000 --> 00:10:05.000]  Is God listening?
[00:10:05.000 --> 00:10:07.000]  第二
[00:10:07.000 --> 00:10:10.000]  神是可信的嗎?
[00:10:10.000 --> 00:10:12.000]  Can God be trusted?
[00:10:12.000 --> 00:10:14.000]  第三
[00:10:14.000 --> 00:10:17.000]  這些神真的存在嗎?
[00:10:17.000 --> 00:10:20.000]  Does He even exist?
[00:10:20.000 --> 00:10:22.000]  弟兄姐妹
[00:10:22.000 --> 00:10:26.000]  你有否曾經問過這些問題呢?
[00:10:26.000 --> 00:10:28.000]  回到經文
[00:10:28.000 --> 00:10:32.000]  當我們試讀經文的時候
[00:10:32.000 --> 00:10:34.000]  我們不難發現
[00:10:34.000 --> 00:10:38.000]  有四個很不尋常的地方
[00:10:38.000 --> 00:10:44.000]  讓我們一一地滲入了思想
[00:10:44.000 --> 00:10:46.000]  第一
[00:10:46.000 --> 00:10:52.000]  就是這次亡命的旅程
[00:10:52.000 --> 00:10:56.000]  是耶穌所出的主意
[00:10:56.000 --> 00:10:58.000]  經文說
[00:10:58.000 --> 00:11:04.000]  是耶穌吩咐門徒將船開到對岸去的
[00:11:04.000 --> 00:11:06.000]  奇怪嗎?
[00:11:06.000 --> 00:11:08.000]  真的很奇怪
[00:11:08.000 --> 00:11:12.000]  既然是出於耶穌的吩咐
[00:11:12.000 --> 00:11:18.000]  門徒又哪會遭遇這麼大的風浪呢?
[00:11:18.000 --> 00:11:20.000]  我們所相信的主
[00:11:20.000 --> 00:11:23.000]  他不是船隻的嗎?
[00:11:23.000 --> 00:11:28.000]  他不一定知道將來會發生的事情
[00:11:28.000 --> 00:11:36.000]  為什麼他不預先警告門徒
[00:11:36.000 --> 00:11:40.000]  他到底有什麼用意呢?
[00:11:40.000 --> 00:11:42.000]  各位
[00:11:42.000 --> 00:11:45.000]  人生所遇到的風浪
[00:11:45.000 --> 00:11:47.000]  好像剛才所說
[00:11:47.000 --> 00:11:49.000]  往往是沒有預兆
[00:11:49.000 --> 00:11:51.000]  意想不到的
[00:11:51.000 --> 00:11:58.000]  令人頓時陷入事無的情況
