
[00:00:00.000 --> 00:00:02.880]  保羅新冠是否已經很出色呢?
[00:00:02.880 --> 00:00:06.880]  現在最新的保羅研究究竟是講什麼呢?
[00:00:06.880 --> 00:00:09.520]  今天跟大家看一本書
[00:00:09.520 --> 00:00:11.200]  叫做天啟保羅
[00:00:11.200 --> 00:00:15.600]  其實是一個台灣的新藥研究的老師寫的
[00:00:15.600 --> 00:00:16.800]  他叫張啟元
[00:00:16.800 --> 00:00:18.880]  他在加拿大多倫多大學畢業
[00:00:18.880 --> 00:00:21.760]  現在在台灣神學院教書
[00:00:21.760 --> 00:00:23.200]  很有趣的是
[00:00:23.200 --> 00:00:26.640]  我們坊間很多時候都會聽過一些詞語
[00:00:26.640 --> 00:00:28.960]  例如保羅新冠
[00:00:28.960 --> 00:00:30.960]  究竟是什麼呢?
[00:00:30.960 --> 00:00:34.000]  事源是我們查經的時候
[00:00:34.000 --> 00:00:35.760]  很多時候不知道大家會怎樣查經
[00:00:35.760 --> 00:00:39.520]  例如我們在看保羅書信的時候
[00:00:39.520 --> 00:00:41.600]  會專門找一些神學概念出來
[00:00:41.600 --> 00:00:44.160]  例如什麼是清二、什麼是得救
[00:00:44.160 --> 00:00:47.200]  然後跟大家說怎樣才是得救
[00:00:47.200 --> 00:00:49.920]  就是口裡承認、心裡相信
[00:00:49.920 --> 00:00:51.600]  那就必得救
[00:00:51.600 --> 00:00:54.320]  變相有些人似乎不是這樣
[00:00:54.320 --> 00:00:57.840]  有些人很喜歡靠行為才是得救
[00:00:57.840 --> 00:00:59.840]  自然也會解讀成
[00:00:59.840 --> 00:01:02.960]  保羅書信裡面說的那群猶太人
[00:01:02.960 --> 00:01:05.120]  當時第一世紀猶太人
[00:01:05.120 --> 00:01:07.120]  會不會就是靠行為得救呢?
[00:01:07.120 --> 00:01:09.040]  一群學者走出來
[00:01:09.040 --> 00:01:10.880]  都四五十年前了
[00:01:10.880 --> 00:01:14.640]  會不會我們一直以來的解讀
[00:01:14.640 --> 00:01:17.200]  是解錯了保羅呢?
[00:01:17.200 --> 00:01:19.040]  保羅是不是真的這樣說的呢?
[00:01:19.040 --> 00:01:22.800]  這群學者就是我們相處保羅新冠的這群人
[00:01:22.800 --> 00:01:24.960]  他們說的是
[00:01:24.960 --> 00:01:26.960]  如果我們真的回到第一世紀
[00:01:26.960 --> 00:01:30.160]  我們回到當時的巴勒斯坦地區
[00:01:30.160 --> 00:01:32.160]  看回當時的猶太人的思想
[00:01:32.160 --> 00:01:34.640]  似乎他們不是這樣想的
[00:01:34.640 --> 00:01:38.560]  他們很著重的反而是和上帝的約
[00:01:38.560 --> 00:01:39.920]  上帝和他們納約
[00:01:39.920 --> 00:01:42.000]  而他們怎樣可以繼續留在約裡面
[00:01:42.000 --> 00:01:44.240]  就是遵守律法
[00:01:44.240 --> 00:01:45.920]  而這個似乎一直以來
[00:01:45.920 --> 00:01:46.960]  由舊約聖經開始
[00:01:46.960 --> 00:01:48.960]  他們一群猶太人
[00:01:48.960 --> 00:01:50.960]  而且他們的人都是這樣理解的
[00:01:50.960 --> 00:01:53.200]  會不會是理解錯了呢?
