
[00:00:00.000 --> 00:00:15.080]  歡迎來到神學茶館第四節 我是楊思妍
[00:00:15.080 --> 00:00:18.720]  我們這一節繼續有黃錦雯神父
[00:00:18.720 --> 00:00:21.960]  跟我們有最後一節的交流
[00:00:21.960 --> 00:00:26.680]  很開心我們今天的交流來到最後一節
[00:00:26.680 --> 00:00:31.760]  依然有一個主題 依然有一個很核心的主題
[00:00:31.760 --> 00:00:33.760]  我們都需要討論
[00:00:33.760 --> 00:00:38.000]  就是我們怎樣理解基督的身體
[00:00:38.000 --> 00:00:41.880]  我又講一下我們新教的看法
[00:00:41.880 --> 00:00:46.960]  我們新教其實都很強調基督的身體
[00:00:46.960 --> 00:00:50.520]  只不過我們的集中點就未必是說
[00:00:50.520 --> 00:00:59.600]  耶穌的肉身是在枱上或者是在餅裡面的臨在
[00:00:59.600 --> 00:01:05.200]  反而很強調就是基督升天之後坐在神的右邊
[00:01:05.200 --> 00:01:11.520]  譬如今天就是按他的應許猜拳聖靈跟信徒群體同在
[00:01:11.520 --> 00:01:14.800]  所以我們今天就是被呼喚
[00:01:14.800 --> 00:01:19.040]  我們這個群體成為基督的身體
[00:01:19.040 --> 00:01:25.760]  所以很多時候為什麼我們沒有很強調聖餐是一個奧秘呢?
[00:01:25.760 --> 00:01:33.240]  因為奧秘很多時候就是強調是神的工作
[00:01:33.240 --> 00:01:36.920]  奧秘只有是神的工作 不是人的工作
[00:01:36.920 --> 00:01:39.600]  但是如果我們看回福音書也好
[00:01:39.600 --> 00:01:44.480]  或者哥倫多前書保羅的教訓也好
[00:01:44.480 --> 00:01:51.520]  都有很多集中點是放在一起去守聖餐的群體那裡
[00:01:51.520 --> 00:01:53.640]  就算是最後晚餐也是
[00:01:53.640 --> 00:01:58.000]  最後晚餐其實如果你看四本福音書
[00:01:58.000 --> 00:02:04.000]  都是一開始除了強調說這個是逾越節的場合之外
[00:02:04.000 --> 00:02:09.280]  都很強調就是猶大是在場的
[00:02:09.280 --> 00:02:13.360]  是強調那位出賣耶穌的門徒是在場
[00:02:13.360 --> 00:02:17.600]  甚至乎如果你看《馬太》《馬可福音》
[00:02:17.600 --> 00:02:20.840]  是耶穌親口告訴門徒
[00:02:20.840 --> 00:02:24.760]  你們中間有一個會出賣我
[00:02:24.760 --> 00:02:29.480]  是這樣大家留意到互相互望
[00:02:29.480 --> 00:02:34.320]  留意到之後耶穌才開始去設立聖餐
[00:02:34.320 --> 00:02:38.000]  所以我們看到最後晚餐的場景
[00:02:38.000 --> 00:02:41.440]  耶穌也很想 或者福音書的作者也是
[00:02:41.440 --> 00:02:43.960]  都是想我們的集中點其實
[00:02:43.960 --> 00:02:47.120]  未必只是看著桌上有的東西
[00:02:47.120 --> 00:02:49.920]  而是這個群體發生了什麼事
[00:02:49.920 --> 00:02:57.080]  特別是耶穌很強調這個群體是一個破碎的群體
[00:02:57.080 --> 00:02:59.280]  我們看哥倫多前書也是
[00:02:59.280 --> 00:03:02.240]  就是我們所熟悉的哥倫多前書
[00:03:02.240 --> 00:03:05.120]  十一章廿三節那裡開始
[00:03:05.120 --> 00:03:08.080]  其實保羅之前是想
[00:03:08.080 --> 00:03:10.960]  highlight給哥倫多教會聽
[00:03:10.960 --> 00:03:14.240]  你們中間是有分門別類
[00:03:14.240 --> 00:03:15.880]  分門結黨的事
[00:03:15.880 --> 00:03:22.000]  就是那些有錢人他們在聖餐裡面自己吃飽了之後
[00:03:22.000 --> 00:03:27.560]  那些低下階層或者比較基層的弟兄姊妹才來到
[00:03:27.560 --> 00:03:30.440]  就發現原來沒得吃了
[00:03:30.440 --> 00:03:35.960]  保羅重新回基督去設立聖餐的意義
[00:03:35.960 --> 00:03:39.880]  還有提醒他們要彼此等待
[00:03:39.880 --> 00:03:45.160]  還有哥倫多前書十二章和十三章之後
[00:03:45.160 --> 00:03:47.880]  保羅就很強調他們的恩賜
[00:03:47.880 --> 00:03:50.000]  他們作為基督的身體
[00:03:50.000 --> 00:03:51.600]  各有自己的恩賜
[00:03:51.600 --> 00:03:55.320]  還有哥倫多前書我們很熟悉的就是講愛
[00:03:55.320 --> 00:04:00.480]  就是一切如果沒有愛其實是沒有意思的
[00:04:00.480 --> 00:04:06.000]  我自己博士論文是研究聖餐
[00:04:06.000 --> 00:04:09.280]  我最後都有一個結論
[00:04:09.280 --> 00:04:11.440]  就是其實到頭來
[00:04:11.440 --> 00:04:15.960]  神可能不是很在意我們的理論
[00:04:15.960 --> 00:04:18.440]  未必是最在意我們的理論
[00:04:18.440 --> 00:04:21.560]  而是反而在問我們的愛
[00:04:21.560 --> 00:04:23.560]  我們之間有沒有愛
[00:04:23.560 --> 00:04:26.840]  這個我們也明白為什麼耶穌在
[00:04:26.840 --> 00:04:30.120]  耶和福音十三章那裡
[00:04:30.120 --> 00:04:33.200]  原來耶穌在最後晚餐
[00:04:33.200 --> 00:04:37.000]  設立聖餐的時候是為門徒洗腳
[00:04:37.000 --> 00:04:39.720]  還有頒布一個新的命令
[00:04:39.720 --> 00:04:43.480]  因為他說這個是用他的血蠟的新藥
[00:04:43.480 --> 00:04:46.360]  所以新的藥就有新的命令
[00:04:46.360 --> 00:04:48.840]  就是要彼此相愛
[00:04:48.840 --> 00:04:50.720]  就是耶穌怎樣去愛我們
[00:04:50.720 --> 00:04:53.440]  我們都要這樣去彼此相愛
[00:04:53.440 --> 00:04:57.720]  所以重點在新教的角度來說
[00:04:57.720 --> 00:05:00.760]  真的不只是桌上有什麼
[00:05:00.760 --> 00:05:04.400]  或者桌上的東西有什麼意義
[00:05:04.400 --> 00:05:08.520]  而是這個群體我們一起守聖餐的群體
[00:05:08.520 --> 00:05:11.000]  我們是不是實行到
[00:05:11.000 --> 00:05:14.760]  這個新藥的群體有的使命呢
[00:05:14.760 --> 00:05:17.920]  就是要去彼此相愛
[00:05:17.920 --> 00:05:24.280]  這個也回到為什麼新教會很不著重
[00:05:24.280 --> 00:05:26.760]  聖餐是一個奧秘
[00:05:26.760 --> 00:05:29.480]  因為你越是強調奧秘
[00:05:29.480 --> 00:05:33.280]  我們人就只能越是被動
[00:05:33.280 --> 00:05:35.920]  不是我們能夠做到什麼
[00:05:35.920 --> 00:05:39.480]  但是例如耶穌吩咐我們彼此洗腳
[00:05:39.480 --> 00:05:41.320]  那個就不是一個奧秘
[00:05:41.320 --> 00:05:49.120]  而是人要去做回應上帝的愛的一件事
[00:05:49.120 --> 00:05:55.360]  這個我想是新教其實都很強調基督的身體
[00:05:55.360 --> 00:05:58.120]  不過我們同時都很強調
[00:05:58.120 --> 00:06:02.360]  這個群體在一些時刻
[00:06:02.360 --> 00:06:09.560]  是不是能夠發揮到基督的身體的作用呢
[00:06:09.560 --> 00:06:14.960]  沒錯 因為其實基督的身體這個概念
[00:06:14.960 --> 00:06:16.960]  是聖保祿提出來的
[00:06:16.960 --> 00:06:19.800]  他說基督是我們的頭
[00:06:19.800 --> 00:06:21.800]  教會是基督的身體
[00:06:21.800 --> 00:06:25.920]  我們知道頭和身體是整個事實
[00:06:25.920 --> 00:06:28.400]  所以我很同意
[00:06:28.400 --> 00:06:30.920]  我們從另一個觀點講
[00:06:30.920 --> 00:06:32.920]  我們從聖保祿這個觀點講
[00:06:32.920 --> 00:06:36.880]  我們信徒這個團體就是基督的奧體
[00:06:36.880 --> 00:06:38.480]  基督的身體
[00:06:38.480 --> 00:06:40.480]  但是基督的奧體本身就是奧秘
[00:06:40.480 --> 00:06:43.480]  所以我們說基督的奧體
[00:06:43.480 --> 00:06:50.000]  實際上奧秘和基督徒的生活是不可以分的
[00:06:50.000 --> 00:06:54.400]  因為實際上我們被召直接信望
[00:06:54.400 --> 00:06:57.600]  參與復活基督的身體
[00:06:57.600 --> 00:07:00.240]  成為他身體裏面的一個細胞
[00:07:00.240 --> 00:07:06.760]  所以我們在主耶穌升天之前
[00:07:06.760 --> 00:07:13.520]  祂跟我們說你們要將這個天國的喜訊
[00:07:13.520 --> 00:07:15.520]  一直傳到地極
[00:07:15.520 --> 00:07:18.840]  讓每一個人都知道天國彌臨的喜訊
[00:07:18.840 --> 00:07:21.720]  因為所謂福音的意思就是好消息
[00:07:21.720 --> 00:07:24.480]  好消息就是天國彌臨的好消息
[00:07:24.480 --> 00:07:27.760]  所以我們由主耶穌接受了一個使命
[00:07:27.760 --> 00:07:30.760]  就是要將這個天國的喜訊
[00:07:30.760 --> 00:07:32.760]  告訴世界上每一個人聽
[00:07:32.760 --> 00:07:34.760]  讓他們能夠接受這個喜訊
[00:07:34.760 --> 00:07:36.680]  成為基督徒的
[00:07:36.680 --> 00:07:40.680]  但我們知道實際上成為基督徒是什麼意思
[00:07:40.680 --> 00:07:46.160]  就是參與基督成為他的奧體裏面的一份子
[00:07:46.160 --> 00:07:50.400]  所以我們知道奧秘
[00:07:50.400 --> 00:07:52.400]  為什麼我們公教會還叫奧秘
[00:07:52.400 --> 00:07:55.400]  因為奧秘就是人能夠參與的
[00:07:55.400 --> 00:07:59.680]  因為如果人不參與基督這個死亡復活
[00:07:59.680 --> 00:08:05.120]  我們不參與他復活之後的那個奧體的話
[00:08:05.120 --> 00:08:07.120]  我們就不屬於基督了
[00:08:07.120 --> 00:08:10.120]  就是因為我們參與了基督的奧體
[00:08:10.120 --> 00:08:12.120]  我們才屬於基督
[00:08:12.120 --> 00:08:16.120]  我們才有力量去實踐基督派給我們的使命
[00:08:16.120 --> 00:08:18.120]  就是將福音全面普世
[00:08:18.120 --> 00:08:23.120]  所以我們公教會理解奧秘和我們的信仰生活
[00:08:23.120 --> 00:08:25.120]  不可以分割的
[00:08:25.120 --> 00:08:30.120]  因為沒有了參與基督這個奧體
[00:08:30.120 --> 00:08:32.120]  我們根本就不是基督徒
[00:08:32.120 --> 00:08:36.120]  我們也沒有力量去傳揚基督的福音
[00:08:36.120 --> 00:08:38.120]  所以在這個觀點來講
[00:08:38.120 --> 00:08:41.120]  我們會很平衡地看
[00:08:41.120 --> 00:08:45.120]  因為我們參與基督的生命
[00:08:45.120 --> 00:08:49.120]  成為他這個葡萄柿上的一個枝條
[00:08:49.120 --> 00:08:52.120]  我們連上基督的奧體
[00:08:52.120 --> 00:08:55.120]  所以我們才有力量
[00:08:55.120 --> 00:09:00.120]  我們有那個智慧能夠實踐到基督派給我們的使命
[00:09:00.120 --> 00:09:03.120]  就是將這個福音全面普世
[00:09:03.120 --> 00:09:06.120]  所以為什麼我們公教會這麼重視感恩祭
[00:09:06.120 --> 00:09:08.120]  和這麼重視領聖體呢
[00:09:08.120 --> 00:09:12.120]  因為感恩祭就是參與基督的死亡和復活
[00:09:12.120 --> 00:09:16.120]  我們在基督之內參與他的死亡和復活
[00:09:16.120 --> 00:09:18.120]  我們在他之內死亡
[00:09:18.120 --> 00:09:20.120]  在他之內和他一起復活
[00:09:20.120 --> 00:09:25.120]  這個全部我們是被包圍在基督的奧跡裏面的
[00:09:25.120 --> 00:09:28.120]  因為他的死亡復活是一個奧跡
[00:09:28.120 --> 00:09:30.120]  所以我們整個生命
[00:09:30.120 --> 00:09:32.120]  我們整個信徒的生命
[00:09:32.120 --> 00:09:37.120]  其實就是在基督這個奧跡之內
[00:09:37.120 --> 00:09:40.120]  我們才能夠和基督一條行路永恆
[00:09:40.120 --> 00:09:43.120]  我們才有力量在這個世界上
[00:09:43.120 --> 00:09:47.120]  將這個天國一直建設天國
[00:09:47.120 --> 00:09:51.120]  直至整個世界都歸屬於天主的國
[00:09:51.120 --> 00:09:54.120]  所以為什麼我們這麼重視聖體呢
[00:09:54.120 --> 00:09:57.120]  聖體就成為我們信仰的核心
[00:09:57.120 --> 00:10:00.120]  所以唯有我們直接領受聖體聖事
[00:10:00.120 --> 00:10:03.120]  參與基督的奧體
[00:10:03.120 --> 00:10:06.120]  成為基督的奧體的一個細胞
[00:10:06.120 --> 00:10:11.120]  我們才能夠有那份力量和我們兄弟姐妹在一起
[00:10:11.120 --> 00:10:13.120]  我們才能夠有力量去愛
[00:10:13.120 --> 00:10:16.120]  因為愛是來自基督的
[00:10:16.120 --> 00:10:18.120]  如果我們和基督的奧體沒有關係
[00:10:18.120 --> 00:10:20.120]  我們連愛的力量都沒有
[00:10:20.120 --> 00:10:22.120]  我們只知道一些概念
[00:10:22.120 --> 00:10:24.120]  我們知道主耶穌愛我們
