
[00:00:00.000 --> 00:00:06.600]  今天我們再一次的一同領受《聖經》裏面關於侍奉的信息
[00:00:06.600 --> 00:00:13.200]  我們每一個蒙恩得救的人最大的喜樂就是能夠爲主有所作爲
[00:00:13.200 --> 00:00:17.800]  雖然我們不配,我們軟弱,我們自己做不成什麼
[00:00:17.800 --> 00:00:25.000]  但是如果我們合乎主用,主就會在我們的身上彰顯他自己的作爲和能力
[00:00:25.000 --> 00:00:29.800]  是我們所做的有功效,而且是永遠的功效
[00:00:29.800 --> 00:00:32.000]  我們的心何等快樂
[00:00:32.000 --> 00:00:36.800]  我們的主也能夠從我們的侍奉得到滿足,得到喜樂
[00:00:36.800 --> 00:00:39.400]  這是我們最大的權利
[00:00:39.400 --> 00:00:45.000]  一個侍奉主的人最基本的條件就是愛主的心
[00:00:45.000 --> 00:00:50.600]  所以今天我們要一同來看一看主耶穌復活以後
[00:00:50.600 --> 00:00:56.400]  他問彼得的問題:你愛我嗎?
[00:00:56.400 --> 00:01:03.800]  主耶穌聽見彼得回答說:主啊是的,你知道我愛你的時候
[00:01:03.800 --> 00:01:08.200]  主跟着就把工作託付給他
[00:01:08.200 --> 00:01:13.000]  讓我讀約翰福音第21章
[00:01:13.000 --> 00:01:18.400]  約翰福音第21章第15節
[00:01:18.400 --> 00:01:22.200]  約翰福音21章15節
[00:01:22.200 --> 00:01:26.800]  他們喫完了早飯,耶穌對西門彼得說:
[00:01:26.800 --> 00:01:31.600]  約翰的兒子西門,你愛我比這些更深嗎?
[00:01:31.600 --> 00:01:35.200]  彼得說:主啊是的,你知道我愛你
[00:01:35.200 --> 00:01:39.400]  耶穌對他說:你餵羊,我的小羊
[00:01:39.400 --> 00:01:42.400]  我們在這裏看得很清楚
[00:01:42.400 --> 00:01:49.200]  當彼得說他愛主的時候,主立刻就把工作託付給他
[00:01:49.200 --> 00:01:52.400]  說:你餵羊,我的小羊
[00:01:52.400 --> 00:01:55.400]  這就是事工的託付
[00:01:55.400 --> 00:02:00.200]  主不能夠把他的工作託付給一個不愛他的人
[00:02:00.200 --> 00:02:02.600]  如果主那樣做的話
[00:02:02.600 --> 00:02:05.000]  一個人因爲不愛主
[00:02:05.000 --> 00:02:09.200]  他對工作沒有忠心,也沒有狠心
[00:02:09.200 --> 00:02:12.600]  他的工作是自我忠心
[00:02:12.600 --> 00:02:18.400]  他是隨着自己的喜好、興趣、方便而做
[00:02:18.400 --> 00:02:22.800]  他的興趣減退的時候,他的工作也減退
[00:02:22.800 --> 00:02:26.800]  甚至於把侍奉的工作完全放下
[00:02:26.800 --> 00:02:29.000]  他做是爲了自己
[00:02:29.000 --> 00:02:32.800]  所以這樣的侍奉不能夠滿足主的心
[00:02:32.800 --> 00:02:37.200]  也不能夠持久,也不能夠有贖靈得果孝
[00:02:37.200 --> 00:02:42.000]  所以主耶穌三次問彼得:你愛我嗎?
[00:02:42.000 --> 00:02:47.000]  彼得三次對主說:主啊是的,你知道我愛你
[00:02:47.000 --> 00:02:52.000]  主也三次把他的工作託付給他
