
[00:00:00.000 --> 00:00:05.000]  天地的主,祢配得上一切的尊崇
[00:00:05.000 --> 00:00:08.000]  主,我們知道今天成為何等樣的人
[00:00:08.000 --> 00:00:11.000]  都是出於祢的恩惠
[00:00:11.000 --> 00:00:14.000]  我們能夠說一句話
[00:00:14.000 --> 00:00:16.000]  能夠呼一口氣
[00:00:16.000 --> 00:00:18.000]  都是祢的恩典才成
[00:00:18.000 --> 00:00:21.000]  因此我們到祢的面前來
[00:00:21.000 --> 00:00:22.000]  我們尊崇祢
[00:00:22.000 --> 00:00:24.000]  我們很願意從心底
[00:00:24.000 --> 00:00:27.000]  發出對祢的感恩和讚美
[00:00:27.000 --> 00:00:30.000]  主,求祢上上開我們眼睛
[00:00:30.000 --> 00:00:33.000]  讓我們看到自己的需要
[00:00:33.000 --> 00:00:35.000]  以至我們知道謙卑禱告
[00:00:35.000 --> 00:00:37.000]  尋求祢的面
[00:00:37.000 --> 00:00:39.000]  求祢幫助我們
[00:00:39.000 --> 00:00:41.000]  讓我們看到祢的作為
[00:00:41.000 --> 00:00:43.000]  以至我們禱告的時候
[00:00:43.000 --> 00:00:44.000]  真的知道
[00:00:44.000 --> 00:00:47.000]  祢是那位行其事的上帝
[00:00:47.000 --> 00:00:50.000]  以至我們可以帶著信心向祢尋求
[00:00:50.000 --> 00:00:53.000]  不斷經歷祢自己的能力
[00:00:53.000 --> 00:00:55.000]  今天我們到祢的面前來
[00:00:55.000 --> 00:00:56.000]  仰望聖靈的工作
[00:00:56.000 --> 00:00:59.000]  在我們心中來指教我們
[00:00:59.000 --> 00:01:01.000]  除去一切的障礙
[00:01:01.000 --> 00:01:05.000]  讓我們在祢的面前再蒙恩惠
[00:01:05.000 --> 00:01:07.000]  我們仰望祈禱
[00:01:07.000 --> 00:01:09.000]  奉耶穌基督聖名求
[00:01:09.000 --> 00:01:13.000]  我們遣開聖經的剛才
[00:01:13.000 --> 00:01:16.000]  聶旺記上第20章
[00:01:16.000 --> 00:01:24.000]  如果大家會記得兩個星期之前
[00:01:24.000 --> 00:01:26.000]  當我們讀到第19章的時候
[00:01:26.000 --> 00:01:29.000]  曾經提及兩個重點
[00:01:29.000 --> 00:01:31.000]  第一個重點我們提出就是
[00:01:31.000 --> 00:01:33.000]  神是很大的憐憫
[00:01:33.000 --> 00:01:35.000]  祂憐憫當時的以利亞
[00:01:35.000 --> 00:01:36.000]  雖然祂很低沉
[00:01:36.000 --> 00:01:38.000]  但神仍然憐憫祂
[00:01:38.000 --> 00:01:40.000]  也憐憫以色列的人
[00:01:40.000 --> 00:01:41.000]  他們雖然背叛神
[00:01:41.000 --> 00:01:44.000]  但神沒有忘記他們
[00:01:44.000 --> 00:01:46.000]  當我們想到神對我們的憐憫
[00:01:46.000 --> 00:01:48.000]  和寬容的時候
[00:01:48.000 --> 00:01:50.000]  也讓我們自己看到
[00:01:50.000 --> 00:01:52.000]  我們學習去忍耐別人
[00:01:52.000 --> 00:01:54.000]  既然神可以忍耐他
[00:01:54.000 --> 00:01:57.000]  為什麼我不可以忍耐他呢?
[00:01:57.000 --> 00:02:00.000]  還有學習如何對自己不要灰心
[00:02:00.000 --> 00:02:02.000]  神對我們未灰心
[00:02:02.000 --> 00:02:05.000]  我們也不要對自己灰心
[00:02:05.000 --> 00:02:07.000]  第二方面我們上次提到
[00:02:07.000 --> 00:02:12.000]  在光輝烈熱的雷風暴雨當中
[00:02:12.000 --> 00:02:15.000]  神在微星向以利亞說話
[00:02:15.000 --> 00:02:19.000]  突然我們發覺神的能力的彰顯
[00:02:19.000 --> 00:02:23.000]  是在人留心神的話
[00:02:23.000 --> 00:02:26.000]  而聽從的時候顯明出來
[00:02:26.000 --> 00:02:28.000]  神的能力不單在
[00:02:28.000 --> 00:02:30.000]  光輝烈熱的神蹟當中顯明
[00:02:30.000 --> 00:02:34.000]  也更多在平凡的生活當中
[00:02:34.000 --> 00:02:36.000]  當我們小心聆聽祂的指示
[00:02:36.000 --> 00:02:38.000]  進行的時候
[00:02:38.000 --> 00:02:41.000]  而生命看到神的作為
