
[00:00:00.000 --> 00:00:03.000]  開始時我想和大家分享一件事
[00:00:03.000 --> 00:00:07.000]  亦是在過去一段時間曾經經歷的一件事
[00:00:07.000 --> 00:00:12.000]  我記得一次在晚上差不多到凌晨的時候收到電話
[00:00:12.000 --> 00:00:15.000]  一位姐妹邀請我到醫院當中
[00:00:15.000 --> 00:00:18.000]  因為她的弟弟將快離開
[00:00:18.000 --> 00:00:20.000]  很想能夠再次為他祈禱
[00:00:20.000 --> 00:00:22.000]  亦幫助他信主
[00:00:22.000 --> 00:00:24.000]  去到醫院的時候我才發覺
[00:00:24.000 --> 00:00:27.000]  一位男士已經在流離之間
[00:00:27.000 --> 00:00:29.000]  很快脫胎換骨
[00:00:29.000 --> 00:00:32.000]  當時他們的家人都圍在床邊
[00:00:32.000 --> 00:00:35.000]  很傷心地和他嘗試聊天
[00:00:35.000 --> 00:00:37.000]  但當時他似乎已經迷迷糊糊
[00:00:37.000 --> 00:00:40.000]  不太能夠聽到我們的說話
[00:00:40.000 --> 00:00:41.000]  在這樣的情況之下
[00:00:41.000 --> 00:00:43.000]  我們都知道這位朋友
[00:00:43.000 --> 00:00:45.000]  他曾經聽過福音
[00:00:45.000 --> 00:00:47.000]  但一直都未曾信主
[00:00:47.000 --> 00:00:49.000]  這個時候就更加困難
[00:00:49.000 --> 00:00:54.000]  因為已經去到一個很迷糊的狀況
[00:00:54.000 --> 00:00:56.000]  當時我記得我請這位姐妹
[00:00:56.000 --> 00:01:00.000]  和幾位當時有在場的教徒
[00:01:00.000 --> 00:01:02.000]  一起去一個房間
[00:01:02.000 --> 00:01:04.000]  我們就一起祈禱
[00:01:04.000 --> 00:01:05.000]  我們知道在這樣的情況下
[00:01:05.000 --> 00:01:07.000]  要能夠幫助人信主
[00:01:07.000 --> 00:01:09.000]  是很困難的事情
[00:01:09.000 --> 00:01:11.000]  所以我們就一起祈禱
[00:01:11.000 --> 00:01:13.000]  神父求你自己工作
[00:01:13.000 --> 00:01:16.000]  求你自己親自感動他
[00:01:16.000 --> 00:01:18.000]  讓他有清醒的一刻
[00:01:18.000 --> 00:01:20.000]  能夠可以去接受福音
[00:01:20.000 --> 00:01:22.000]  一直祈禱
[00:01:22.000 --> 00:01:23.000]  我們祈禱出來
[00:01:23.000 --> 00:01:25.000]  就回到病床旁邊
[00:01:25.000 --> 00:01:28.000]  當時家人可能都覺得很麻煩
[00:01:28.000 --> 00:01:32.000]  因為牧師阻礙他們去關心弟弟
[00:01:32.000 --> 00:01:33.000]  關心親人
