
[00:00:00.000 --> 00:00:05.280]  (音樂)
[00:00:05.280 --> 00:00:08.080]  各位主內的弟子妹 平安
[00:00:08.080 --> 00:00:10.240]  歡迎大家今天出席
[00:00:10.240 --> 00:00:13.600]  由中國神學研究院舉辦的公開講座
[00:00:13.600 --> 00:00:16.120]  我是忠臣的聖經科老師歐穎儀
[00:00:16.120 --> 00:00:17.600]  是今晚的主持
[00:00:17.600 --> 00:00:19.280]  今晚講座的主題是
[00:00:19.280 --> 00:00:26.040]  「翻天覆地 從初期教會看今日教會的機遇與挑戰」
[00:00:26.040 --> 00:00:29.680]  我們的講員會從早期基督教歷史的角度
[00:00:29.680 --> 00:00:31.280]  跟大家一起探討
[00:00:31.280 --> 00:00:37.560]  早期教會為何可以如此翻天覆地地高速擴展
[00:00:37.560 --> 00:00:39.280]  鑒古知今
[00:00:39.280 --> 00:00:43.680]  我們的回應講員也會從神學和實踐的角度
[00:00:43.680 --> 00:00:46.960]  去思考一下這段歷史對今日教會
[00:00:46.960 --> 00:00:48.960]  以及我們的處境來說
[00:00:48.960 --> 00:00:50.920]  有甚麼值得借鑒
[00:00:50.920 --> 00:00:53.400]  今晚的講員是張良牧師
[00:00:53.400 --> 00:00:57.880]  張良牧師是中國神學研究院周永健教席教授
[00:00:57.880 --> 00:00:59.520]  他是聖經科的教授
[00:00:59.520 --> 00:01:02.600]  張牧師在1989年加入忠臣
[00:01:02.600 --> 00:01:05.960]  曾經是我們的教務長和副院長
[00:01:05.960 --> 00:01:09.080]  他和忠臣同行了差不多40年
[00:01:09.080 --> 00:01:12.760]  一生為生神學教育的工作徒勞滿門
[00:01:12.760 --> 00:01:15.960]  相信我們今天當中在座很多
[00:01:15.960 --> 00:01:18.240]  都曾經受教於張牧師
[00:01:18.240 --> 00:01:20.840]  所以今晚才這麼壯無虛席
[00:01:20.840 --> 00:01:22.440]  所以再次歡迎大家
[00:01:22.440 --> 00:01:26.720]  也歡迎在課室轉播的弟兄姊妹
[00:01:26.720 --> 00:01:31.680]  張牧師對於新約的普通書信和兩約之間的文獻學問
[00:01:31.680 --> 00:01:33.480]  鑽研都甚深
[00:01:33.480 --> 00:01:36.080]  因此對於早期教會的歷史處境
[00:01:36.080 --> 00:01:37.520]  他是十分熟悉的
[00:01:37.520 --> 00:01:39.360]  張牧師也出版了很多著作
[00:01:39.360 --> 00:01:41.800]  例如有《雅各書著色》
[00:01:41.800 --> 00:01:42.840]  《彼得候書》
[00:01:42.840 --> 00:01:44.320]  《猶大書的著色書》
[00:01:44.320 --> 00:01:45.120]  《提多書》
[00:01:45.120 --> 00:01:47.960]  《立於恩典的健全生命》等等
[00:01:47.960 --> 00:01:52.920]  同時他也審教中文版本的《使徒教父著作》
[00:01:52.920 --> 00:01:56.320]  因此他對早期教會的領袖講論
[00:01:56.320 --> 00:01:58.800]  都有很深厚的理解
[00:01:58.800 --> 00:02:02.440]  今晚的講座流程將會分為三部分
