
[00:00:00.000 --> 00:00:05.000]  (廣東話)
[00:00:05.000 --> 00:00:11.000]  今天的主題「人生上半場」
[00:00:11.000 --> 00:00:15.800]  令我很快想起我初初信主的時候
[00:00:15.800 --> 00:00:18.800]  那時候我剛出來工作
[00:00:18.800 --> 00:00:22.600]  有一句經文很吸引我
[00:00:22.600 --> 00:00:27.200]  經文記載在約翰福音十章十節
[00:00:27.200 --> 00:00:32.400]  耶穌說「我來了是要叫揚得生命
[00:00:32.400 --> 00:00:35.400]  並且得的更豐盛」
[00:00:35.400 --> 00:00:39.200]  耶穌應許我們的生命要更豐盛
[00:00:39.200 --> 00:00:41.800]  我當時就相信這句話
[00:00:41.800 --> 00:00:47.000]  不是在報道會上叫人信主才會這樣說
[00:00:47.000 --> 00:00:52.200]  也不是要等死後見主面才有那種豐盛
[00:00:52.200 --> 00:00:56.000]  而是此時此刻就可以經歷到
[00:00:56.000 --> 00:01:00.400]  所以我就反覆思想這句話
[00:01:00.400 --> 00:01:03.200]  這句經文究竟是什麼意思呢?
[00:01:03.200 --> 00:01:08.400]  而這句經文也成為我生命裡的一個標記
[00:01:08.400 --> 00:01:12.600]  好像神給我的一句話、一個記號一樣
[00:01:12.600 --> 00:01:14.800]  讓我無論經歷什麼
[00:01:14.800 --> 00:01:19.600]  我都可以記得原來主耶穌給了我一個應許
[00:01:19.600 --> 00:01:23.600]  就是可以活得更豐盛
[00:01:23.600 --> 00:01:26.000]  漸漸我發現
[00:01:26.000 --> 00:01:29.800]  上帝會在我們不同人生階段
[00:01:29.800 --> 00:01:31.600]  不同經歷裡
[00:01:31.600 --> 00:01:36.400]  給我們一些記號或者把握
[00:01:36.400 --> 00:01:39.400]  有時可能是某句經文
[00:01:39.400 --> 00:01:42.400]  有時可能是某些經歷
[00:01:42.400 --> 00:01:45.600]  有時可能是某次祈禱
[00:01:45.600 --> 00:01:49.200]  或者某個人的說話很觸動你
[00:01:49.200 --> 00:01:55.600]  一些神在我們身上好像度身訂造的記號
[00:01:55.600 --> 00:02:00.000]  讓我們面對我們前面將要面對的困難
[00:02:00.000 --> 00:02:04.200]  或者我們剛才說的那些度身訂造的壓
[00:02:04.200 --> 00:02:06.600]  原來不單止有那些壓
[00:02:06.600 --> 00:02:09.200]  神也給我們一些把握
[00:02:09.200 --> 00:02:11.800]  一些應許、一些標記
[00:02:11.800 --> 00:02:16.600]  去幫助我們面對這些挑戰
[00:02:16.600 --> 00:02:19.000]  聖經裡的耶利米
[00:02:19.000 --> 00:02:22.400]  也有一個人生的標記
[00:02:22.400 --> 00:02:27.400]  當上帝呼召年輕的耶利米做先知的時候
[00:02:27.400 --> 00:02:31.000]  他給耶利米見到一個異象
[00:02:31.000 --> 00:02:34.600]  我們首先來看看當時的背景
[00:02:34.600 --> 00:02:37.600]  在耶利米書第一章
[00:02:37.600 --> 00:02:39.400]  就是這樣說
[00:02:39.400 --> 00:02:41.600]  那裡耶利米說
[00:02:41.600 --> 00:02:43.800]  「耶和華的話臨到我說」
[00:02:43.800 --> 00:02:46.600]  「我未將你做在福中」
[00:02:46.600 --> 00:02:48.400]  「我已曉得你」
[00:02:48.400 --> 00:02:50.200]  「你未出母胎」
[00:02:50.200 --> 00:02:52.400]  「我已分別你為聖」
[00:02:52.400 --> 00:02:56.600]  「我已派你作列國的先知」
[00:02:56.600 --> 00:03:00.000]  經文記載年輕的耶利米
[00:03:00.000 --> 00:03:02.600]  他當時被神呼召
[00:03:02.600 --> 00:03:05.200]  但是耶利米其實他一個很快
[00:03:05.200 --> 00:03:06.600]  他有一個反應
[00:03:06.600 --> 00:03:09.200]  他覺得自己不行
[00:03:09.200 --> 00:03:11.800]  耶利米書接著就說
[00:03:11.800 --> 00:03:13.200]  耶利米那裡說
[00:03:13.200 --> 00:03:14.400]  主耶和華
[00:03:14.400 --> 00:03:16.000]  我不知道怎麼說
