
[00:00:00.000 --> 00:00:02.980]  好 我想我們講一下
[00:00:02.980 --> 00:00:07.240]  為什麼我們會有今天這個對話
[00:00:07.240 --> 00:00:14.760]  上個星期香港發生了一個很大的災難
[00:00:14.760 --> 00:00:16.720]  我想全香港的人
[00:00:16.720 --> 00:00:24.180]  其實這幾天都在一個很沉重的哀傷和憤怒裡面
[00:00:24.180 --> 00:00:28.480]  我們都很想可以跟受苦的人同行
[00:00:28.480 --> 00:00:33.620]  還有可能我們自己的情緒都需要支援
[00:00:33.620 --> 00:00:36.700]  但是接下來又是聖誕節
[00:00:36.700 --> 00:00:41.900]  聖誕節我們知道傳統就是很小歡騰
[00:00:41.900 --> 00:00:45.040]  很喜慶的一個節日
[00:00:45.040 --> 00:00:51.000]  又知道所以在一個這麼大的張力裡面
[00:00:51.000 --> 00:00:55.160]  知道精神科醫生、輔導員
[00:00:55.160 --> 00:00:59.320]  我們之前有聽過一些分享
[00:00:59.320 --> 00:01:02.660]  所以今天都想可以有一個對話
[00:01:02.660 --> 00:01:07.500]  我們嘗試從精神科、輔導科、神學科
[00:01:07.500 --> 00:01:11.120]  我們看看可不可以有一些反省
[00:01:11.120 --> 00:01:16.080]  所以就有Ronald和Winnie在這裡
[00:01:16.080 --> 00:01:19.240]  想問一下Ronald
[00:01:19.240 --> 00:01:23.760]  你在一個這麼大的張力裡面
[00:01:23.760 --> 00:01:28.360]  你覺得我們怎麼樣好呢?
[00:01:28.360 --> 00:01:31.700]  是啊 詩妍你說得很好
[00:01:31.700 --> 00:01:35.400]  就是說我們現在真是一個很大的張力
[00:01:35.400 --> 00:01:37.480]  我想在香港生活
[00:01:37.480 --> 00:01:44.600]  一定是會被那個火災有大小程度的影響
[00:01:44.600 --> 00:01:48.400]  我就搞精神、心理、健康那些
[00:01:48.400 --> 00:01:53.840]  但是我覺得首先我一定要好好安頓我自己的心
[00:01:53.840 --> 00:02:01.320]  一知道這件事一定是很震撼、很害怕、不知所措
[00:02:01.320 --> 00:02:06.000]  即使我是醫生我一定會經歷過這些事情
[00:02:06.000 --> 00:02:10.320]  我也有時候真的要明白一下自己
[00:02:10.320 --> 00:02:12.800]  究竟內在的感覺是怎麼樣
[00:02:12.800 --> 00:02:17.780]  如果可以的 我都要有些空間給自己去抽離
[00:02:17.780 --> 00:02:22.460]  我經常提醒自己 我去抽離保護自己
[00:02:22.460 --> 00:02:26.080]  不代表我是冷漠、不理會這些事情
[00:02:26.080 --> 00:02:29.760]  而是正正我更加需要有一些空間
[00:02:29.760 --> 00:02:33.360]  處理好自己的情緒 我才有能力
[00:02:33.360 --> 00:02:37.120]  去支援我身邊的家人、朋友
[00:02:37.120 --> 00:02:41.280]  或者我自己見我一些受助者
[00:02:41.280 --> 00:02:45.940]  所以其實我很著重自己個人的一些空間
[00:02:45.940 --> 00:02:50.560]  特別是我有信仰 我會和上帝多些對話
[00:02:50.560 --> 00:02:54.720]  在當中希望上帝明白我的情緒
[00:02:54.720 --> 00:02:58.580]  我也知道上帝是一個共苦的上帝
[00:02:58.580 --> 00:03:00.800]  祂不是繞著手在上面
[00:03:00.800 --> 00:03:03.340]  看看你們多慘 你們求我吧
[00:03:03.340 --> 00:03:08.140]  我想我的認識上帝並非這樣
[00:03:08.140 --> 00:03:11.960]  上帝是和我們同在 很貼近我們
[00:03:11.960 --> 00:03:16.600]  我在上帝裡面基本上好像是一起去經歷這件事
[00:03:16.600 --> 00:03:21.540]  但是我們都知道 我們教會有很多的傳統
[00:03:21.540 --> 00:03:25.200]  或者這個社會有很多的傳統 特別是節日
[00:03:25.200 --> 00:03:29.500]  是真的有一個節日的氣氛
[00:03:29.500 --> 00:03:33.420]  但是今天我想我們很難去投入這個節日的氣氛
[00:03:33.420 --> 00:03:35.300]  我不是說那個節日氣氛不對
[00:03:35.300 --> 00:03:36.900]  而是我們投入不了
[00:03:36.900 --> 00:03:41.440]  比如我們宗教團體耶穌降生是一件很好的事情
[00:03:41.440 --> 00:03:45.080]  是一個很大的盼望、很大的希望
[00:03:45.080 --> 00:03:49.080]  但是我們傳統的聖誕節日
[00:03:49.080 --> 00:03:52.760]  一些的程序或者一些的崇拜
[00:03:52.760 --> 00:03:56.600]  可能今年 我不知道 我想像
[00:03:56.600 --> 00:03:59.720]  我可能有困難去投入
[00:03:59.720 --> 00:04:02.960]  過去我的工作裡面 我接觸很多
[00:04:02.960 --> 00:04:05.780]  比如患情緒病的病人
[00:04:05.780 --> 00:04:07.440]  他都很多時候和我分享
[00:04:07.440 --> 00:04:09.840]  在他有病情緒不好的時候
[00:04:09.840 --> 00:04:14.520]  他真的很難回到教會一些聚會
[00:04:14.520 --> 00:04:18.460]  那個難處不是說教會做錯了任何事情
[00:04:18.460 --> 00:04:21.320]  突然之間他講錯了什麼 而是那個氣氛
[00:04:21.320 --> 00:04:26.680]  去到那裡 你看每個人都是很喜樂
[00:04:26.680 --> 00:04:28.680]  不知道他內在是不是真的喜樂
[00:04:28.680 --> 00:04:33.600]  但是起碼表面喜樂 或者講的信息是很正面
[00:04:33.600 --> 00:04:38.080]  或者甚至有時候有些見證 病得醫治
[00:04:38.080 --> 00:04:41.440]  但是對於我的受助者病人來說
[00:04:41.440 --> 00:04:45.640]  他們的病真的不能醫治 去到那一刻都是
[00:04:45.640 --> 00:04:49.280]  很多妻言子孝、很美滿的家庭
[00:04:49.280 --> 00:04:51.280]  在台上去講見證
[00:04:51.280 --> 00:04:55.640]  但是我正正有很多的客戶在家庭破裂
[00:04:55.640 --> 00:04:58.760]  甚至在母親節、父親節
[00:04:58.760 --> 00:05:03.560]  我們傳統都會祝福一些父親、一些母親
[00:05:03.560 --> 00:05:07.880]  他們會站起來 我們接受教會一些的禮物
[00:05:07.880 --> 00:05:12.200]  一些的鼓勵 但是可能在當中
[00:05:12.200 --> 00:05:15.960]  我們有很多人是受苦的
[00:05:15.960 --> 00:05:19.720]  可能兒子、女兒可能離世、患重病
[00:05:19.720 --> 00:05:24.760]  或者爸爸媽媽剛剛過世 或者家庭有很多破裂
[00:05:24.760 --> 00:05:28.120]  所以有很多種種 其實我們所做的事情
[00:05:28.120 --> 00:05:30.800]  其實本來可能是善良是好
[00:05:30.800 --> 00:05:33.800]  但是如果我們不夠敏銳
[00:05:33.800 --> 00:05:37.000]  可能還有一部分的人還在受苦
[00:05:37.000 --> 00:05:41.040]  過往我們社會沒有災難
[00:05:41.040 --> 00:05:44.280]  我們這部分可能少數
[00:05:44.280 --> 00:05:48.520]  但是今天我們經歷過火災
[00:05:48.520 --> 00:05:53.680]  我想全城很多人都是傷痛、哀傷
[00:05:53.680 --> 00:05:57.600]  甚至是私人開始 開始講都有很多憤怒
[00:05:57.600 --> 00:06:00.040]  我們在這樣的情緒底下
[00:06:00.040 --> 00:06:05.560]  我們一觸碰到我們所謂節日的氣氛
[00:06:05.560 --> 00:06:08.960]  我們有一個很大的迴響
[00:06:08.960 --> 00:06:11.640]  我自己也在想象
[00:06:11.640 --> 00:06:16.120]  我應該用一個什麼心態去面對這件事
[00:06:16.120 --> 00:06:19.920]  我是逃避 我是硬著頭皮去頂
[00:06:19.920 --> 00:06:24.160]  或者我是希望一個這麼開心、這麼喜慶的日子
[00:06:24.160 --> 00:06:26.920]  可以幫我沖淡那些不開心的
[00:06:26.920 --> 00:06:31.800]  我自己在思想中 和嘗試去估計
[00:06:31.800 --> 00:06:34.440]  或者讓你們分享一下
[00:06:35.440 --> 00:06:39.440]  聽一下Winnie怎麼說
[00:06:39.440 --> 00:06:45.560]  好啊 多謝Volta剛才一直在講
[00:06:45.560 --> 00:06:51.760]  要安頓自己的心 這個是很認同的
[00:06:51.760 --> 00:06:55.280]  我自己做輔導
[00:06:55.280 --> 00:07:00.080]  這段日子其實很多朋友衝出去關心人
[00:07:00.080 --> 00:07:03.920]  盡力的要做 做到很純
[00:07:03.920 --> 00:07:07.440]  但是我看到他們都會很筋疲力竭
[00:07:07.440 --> 00:07:11.800]  那個助人者其實都有機會覺得
[00:07:11.800 --> 00:07:15.920]  好像要回氣 回不了氣 很傷心、很內疚
[00:07:15.920 --> 00:07:19.960]  想再做多一點 但是做不了很多事情
[00:07:19.960 --> 00:07:25.600]  其實這一幫人都是很需要停下來、慢下來
[00:07:25.600 --> 00:07:31.840]  我猜除了留意到這個層面之外
[00:07:31.840 --> 00:07:37.720]  另外其實都在想 當火災發生了
[00:07:37.720 --> 00:07:42.120]  剛剛大家過了一個週末 又過了崇拜
[00:07:42.120 --> 00:07:44.080]  接下來又有聖誕節
[00:07:44.080 --> 00:07:47.920]  其實以前在外國的教會 他們有一個概念
[00:07:47.920 --> 00:07:50.520]  他們每一年 有些教會每一年都會做的
[00:07:50.520 --> 00:07:52.240]  那些叫做Blue Christmas
[00:07:52.240 --> 00:07:56.840]  我們大約翻譯 當它是一個藍調的聖誕
[00:07:56.840 --> 00:08:00.080]  藍色聖誕、藍調的聖誕
[00:08:00.080 --> 00:08:04.840]  其實他們所做的事情 不是knowledge
[00:08:04.840 --> 00:08:07.720]  聖誕是一個很celebrated的日子
[00:08:07.720 --> 00:08:10.760]  但是他們都很明白 其實教會裏面
[00:08:10.760 --> 00:08:13.960]  也都有不同的人 經歷著不同的哀傷
[00:08:13.960 --> 00:08:18.400]  可能他的家人今年過世 他有一些失意
[00:08:18.400 --> 00:08:22.200]  他很孤單 他很抑鬱 很傷心
[00:08:22.200 --> 00:08:26.320]  他不可能進入那種很熱鬧的氣氛
[00:08:26.320 --> 00:08:29.440]  擊鼓彈琴、炸味的氣氛
[00:08:29.440 --> 00:08:31.840]  所以他們在外國的時候
[00:08:31.840 --> 00:08:35.440]  都有一些特別的聚會 一年可能一次
[00:08:35.440 --> 00:08:37.160]  就叫做Long Christmas
[00:08:37.160 --> 00:08:42.080]  或者Blue Christmas的崇拜聚會
[00:08:42.080 --> 00:08:44.760]  香港也有教會做的 但是不多
[00:08:44.760 --> 00:08:46.120]  通常都是一些英文教會
[00:08:46.120 --> 00:08:51.320]  他們會嘗試去做這些聚會
[00:08:51.320 --> 00:08:56.960]  我訪問過有香港一間教會 去問的時候
[00:08:56.960 --> 00:09:02.320]  他們的設置 都是一個小時內做一個聚會
[00:09:02.320 --> 00:09:06.040]  是一個藍色的 整個設置是藍色的
[00:09:06.040 --> 00:09:11.000]  就是一個比較慢、比較多的論文
[00:09:11.000 --> 00:09:16.560]  去分享一些經文 給大家很多空間去反省
[00:09:16.560 --> 00:09:21.640]  去哀傷 去經歷那份哀傷 去祈禱
[00:09:21.640 --> 00:09:24.480]  以致其實大家有很多空間
[00:09:24.480 --> 00:09:29.800]  去到神面前去表達裡面的那些不同的情緒
[00:09:29.800 --> 00:09:34.080]  可能是生氣 可能是哀傷 可能是不忿
[00:09:34.080 --> 00:09:37.560]  可能是很無助 可能是很無力
[00:09:37.560 --> 00:09:44.440]  我想不同的人在這麼複雜的人生當中
[00:09:44.440 --> 00:09:45.320]  都有不同的經歷
[00:09:45.320 --> 00:09:48.400]  我猜特別今年這個聖誕節當中
[00:09:48.400 --> 00:09:51.080]  很多香港人 其實有些人
[00:09:51.080 --> 00:09:52.740]  很多人其實還沒有準備好
[00:09:52.740 --> 00:09:57.160]  其實可能這種藍調的聖誕
[00:09:57.160 --> 00:10:01.840]  可能都是其中 我在想像中
[00:10:01.840 --> 00:10:06.240]  會不會這個都是其中一個教會的可能性
[00:10:06.240 --> 00:10:08.800]  一些活動的可能性
[00:10:08.800 --> 00:10:14.680]  一些空間給大家去哀傷、哀動一下
[00:10:14.680 --> 00:10:16.080]  是
[00:10:16.080 --> 00:10:18.880]  好啊 Winnie 那你帶出這個
[00:10:18.880 --> 00:10:24.180]  我覺得正正對應到我自己或者我的病人
[00:10:24.180 --> 00:10:28.200]  過去的經驗就是當有不開心、哀傷
[00:10:28.200 --> 00:10:30.160]  持續的不開心的時候
[00:10:30.160 --> 00:10:33.560]  真的有時候他們很想回到教會
[00:10:33.560 --> 00:10:36.200]  但是真的回到有一點格格不入
[00:10:36.200 --> 00:10:39.800]  而我深信我的信仰告訴我
[00:10:39.800 --> 00:10:42.320]  或者我的經驗告訴我
[00:10:42.320 --> 00:10:46.040]  那個群體的力量是很大的
[00:10:46.040 --> 00:10:48.720]  我們信仰群體其實是很重要的
[00:10:48.720 --> 00:10:51.420]  在那個依持 或者陪伴那裡
[00:10:51.420 --> 00:10:53.100]  如果我們有哀傷
[00:10:53.100 --> 00:10:55.320]  而我們又回不了那個群體那裡
[00:10:55.320 --> 00:10:57.760]  我覺得是一件很弔詭的一件事
[00:10:57.760 --> 00:10:59.440]  就是很難理解
[00:10:59.440 --> 00:11:04.480]  我們基督徒經常都說要關愛、愛鄰舍
[00:11:04.480 --> 00:11:05.760]  要去幫人
[00:11:05.760 --> 00:11:07.960]  但是正正我們至愛弟兄姊妹
[00:11:07.960 --> 00:11:10.040]  他們有困難、有哀傷的時候
[00:11:10.040 --> 00:11:11.720]  他們回不了去
[00:11:11.720 --> 00:11:14.080]  因為那個群體的力量很重要
[00:11:14.080 --> 00:11:17.680]  Winnie 剛才說那個藍吊聖誕
[00:11:17.680 --> 00:11:19.880]  正正可以給我們一個機會
[00:11:19.880 --> 00:11:21.280]  我們是一班信徒
[00:11:21.280 --> 00:11:26.240]  同一個理念、同一個信仰
[00:11:26.240 --> 00:11:29.960]  在一個地方有一個同一個空間
[00:11:29.960 --> 00:11:33.920]  同一個時段我們一起去互相守望
[00:11:33.920 --> 00:11:34.880]  互相同行
[00:11:34.880 --> 00:11:36.240]  那個群體力量
[00:11:36.240 --> 00:11:41.040]  我深信比一個人去面對好很多
[00:11:41.040 --> 00:11:43.960]  尤其當他想在節日的時候
[00:11:43.960 --> 00:11:45.400]  他想回教會
[00:11:45.400 --> 00:11:47.360]  而教會投入不了
[00:11:47.360 --> 00:11:51.480]  那種被拒絕、那種孤單感是很強的
