
[00:00:00.000 --> 00:00:02.000]  我們一起低頭祈禱
[00:00:02.000 --> 00:00:08.000]  願上帝祢的靈引導我們
[00:00:08.000 --> 00:00:11.000]  幫助我們明白祢的話
[00:00:11.000 --> 00:00:14.000]  並願意馴服在祢的心意下
[00:00:14.000 --> 00:00:16.000]  我們感謝祢
[00:00:16.000 --> 00:00:17.000]  聽我們的禱告
[00:00:17.000 --> 00:00:19.000]  奉耶穌基督的名
[00:00:19.000 --> 00:00:20.000]  阿們
[00:00:20.000 --> 00:00:25.000]  今天經文裡
[00:00:25.000 --> 00:00:28.000]  描述了聖靈的工作
[00:00:29.000 --> 00:00:32.000]  聖靈在五旬節的日子降臨
[00:00:32.000 --> 00:00:35.000]  五旬節究竟是什麼呢?
[00:00:35.000 --> 00:00:39.000]  五旬節是猶太教的一個大節
[00:00:39.000 --> 00:00:41.000]  慶祝豐收的日子
[00:00:41.000 --> 00:00:46.000]  是在逾越節之後的一個大節
[00:00:46.000 --> 00:00:49.000]  與逾越節相距約有50天
[00:00:49.000 --> 00:00:51.000]  也就是說
[00:00:51.000 --> 00:00:56.000]  耶穌復活之後的50天
[00:00:58.000 --> 00:01:03.000]  是耶穌升天後的約10天後的五旬節
[00:01:03.000 --> 00:01:06.000]  耶穌升天後的門徒
[00:01:06.000 --> 00:01:09.000]  在這段日子的五旬節之間
[00:01:09.000 --> 00:01:12.000]  聚集在一起
[00:01:12.000 --> 00:01:15.000]  究竟聚集在這裡做什麼呢?
[00:01:15.000 --> 00:01:19.000]  根據上一週的新聞
[00:01:19.000 --> 00:01:21.000]  在一章十四節裡說
[00:01:21.000 --> 00:01:23.000]  他們在禱告
[00:01:23.000 --> 00:01:25.000]  依從了耶穌的吩咐
[00:01:25.000 --> 00:01:27.000]  等候聖靈降臨
[00:01:27.000 --> 00:01:29.000]  當時門徒的人數
[00:01:29.000 --> 00:01:31.000]  除了12門徒之外
[00:01:31.000 --> 00:01:32.000]  也就是包括了
[00:01:32.000 --> 00:01:35.000]  應該有120人
[00:01:35.000 --> 00:01:41.000]  我們知道原來猶太的南丁
[00:01:41.000 --> 00:01:44.000]  在猶太的三個節期裡
[00:01:44.000 --> 00:01:47.000]  一年起碼三個節期裡
[00:01:47.000 --> 00:01:50.000]  要上耶路撒冷去守節
[00:01:50.000 --> 00:01:52.000]  這三個節日就是逾越節
[00:01:52.000 --> 00:01:54.000]  五旬節和駐棚節
[00:01:55.000 --> 00:01:58.000]  剛才說過五旬節是一個豐收的日子
[00:01:58.000 --> 00:02:04.000]  他們會把豐收的初屬小麥獻給神
[00:02:04.000 --> 00:02:08.000]  到時很多猶太的僑民
[00:02:08.000 --> 00:02:10.000]  從不同的地方
[00:02:10.000 --> 00:02:13.000]  來到耶路撒冷聚集過節
[00:02:13.000 --> 00:02:15.000]  就像我們中國人
[00:02:15.000 --> 00:02:16.000]  我們也是這樣
[00:02:16.000 --> 00:02:19.000]  和猶太人實在相同
[00:02:19.000 --> 00:02:22.000]  我們有很多中國人散居各地
[00:02:22.000 --> 00:02:24.000]  猶太人是很多散居各地
[00:02:24.000 --> 00:02:25.000]  但過節後
[00:02:25.000 --> 00:02:27.000]  有這麼大的節日
[00:02:27.000 --> 00:02:30.000]  他們就會聚集回到耶路撒冷
[00:02:30.000 --> 00:02:34.000]  我們看到除了本地
[00:02:34.000 --> 00:02:35.000]  在巴勒斯坦地區
[00:02:35.000 --> 00:02:39.000]  即現在的以色列人
[00:02:39.000 --> 00:02:43.000]  他們從外地回來的猶太人
[00:02:43.000 --> 00:02:45.000]  分佈也很廣
[00:02:45.000 --> 00:02:49.000]  如果以現在的地圖位置來說
[00:02:49.000 --> 00:02:54.000]  即伊朗、伊拉克、土耳其、羅馬
[00:02:54.000 --> 00:02:59.000]  甚至北非在埃及、利比亞等地方
[00:02:59.000 --> 00:03:02.000]  剛才我和大家讀出經文的地方
[00:03:02.000 --> 00:03:04.000]  古代的名字
[00:03:04.000 --> 00:03:06.000]  今日的地方
[00:03:06.000 --> 00:03:08.000]  我們熟悉的地方
[00:03:08.000 --> 00:03:10.000]  散得頗為開闊
[00:03:10.000 --> 00:03:15.000]  這些人不單是猶太人僑民
[00:03:15.000 --> 00:03:18.000]  而有些本來不是猶太人
[00:03:18.000 --> 00:03:20.000]  但他們信了猶太教
[00:03:20.000 --> 00:03:24.000]  歸入了猶太教的外邦人
[00:03:24.000 --> 00:03:28.000]  當時他們住在巴勒斯坦地區
[00:03:28.000 --> 00:03:30.000]  多數是說阿蘭語
[00:03:30.000 --> 00:03:34.000]  與希伯來語比較接近
[00:03:34.000 --> 00:03:37.000]  而僑居其他地方的人
[00:03:37.000 --> 00:03:40.000]  就用他們在那地方的說話
[00:03:40.000 --> 00:03:43.000]  如果是希臘的話就希臘語
[00:03:43.000 --> 00:03:44.000]  羅馬的話就希臘語
[00:03:44.000 --> 00:03:46.000]  伊拉克的話就伊拉克語
[00:03:46.000 --> 00:03:48.000]  伊朗的話就伊朗語
[00:03:48.000 --> 00:03:53.000]  他們都來到耶路撒冷聚集
[00:03:53.000 --> 00:03:54.000]  聚集的時候
[00:03:54.000 --> 00:03:58.000]  我們看到聖靈有很強烈的工作
[00:03:58.000 --> 00:04:01.000]  首先降臨時
[00:04:01.000 --> 00:04:03.000]  有很大的響聲
[00:04:03.000 --> 00:04:04.000]  很強的風
[00:04:04.000 --> 00:04:06.000]  然後有火
[00:04:06.000 --> 00:04:11.000]  好像蝕頭一樣降在使徒的身上
[00:04:11.000 --> 00:04:15.000]  然後這群人開始以
[00:04:15.000 --> 00:04:18.000]  不是他們自己的鄉下話
[00:04:18.000 --> 00:04:21.000]  而是其他人的鄉下話
[00:04:21.000 --> 00:04:23.000]  去說上帝的大作為
[00:04:23.000 --> 00:04:26.000]  我們相信什麼叫做神的大作為呢
[00:04:26.000 --> 00:04:29.000]  就是說基督復活的道理
[00:04:29.000 --> 00:04:32.000]  由於使徒的表現
[00:04:32.000 --> 00:04:34.000]  聖靈充滿究竟是怎麼樣呢
[00:04:34.000 --> 00:04:38.000]  我們相信當然是不同一般
[00:04:38.000 --> 00:04:40.000]  可能使徒表現得很興奮
[00:04:40.000 --> 00:04:42.000]  情緒很高昂
[00:04:42.000 --> 00:04:45.000]  於是有人覺得他們喝醉了
[00:04:45.000 --> 00:04:48.000]  當然我們知道他們不是
[00:04:48.000 --> 00:04:49.000]  彼得也指出
[00:04:49.000 --> 00:04:51.000]  因為當時是早上九點
[00:04:51.000 --> 00:04:54.000]  意思是說不是喝酒的時候
[00:04:54.000 --> 00:04:57.000]  沒理由像神一樣那麼早去喝酒
[00:04:57.000 --> 00:05:00.000]  不是一般人要做的事
[00:05:00.000 --> 00:05:03.000]  可能喝酒的時間是晚上那些時間
[00:05:03.000 --> 00:05:07.000]  當這群人聽彼得說道的時候
[00:05:07.000 --> 00:05:09.000]  這群人也很有反應
[00:05:09.000 --> 00:05:11.000]  有三千人因為這樣
[00:05:11.000 --> 00:05:14.000]  信了主並且受洗
[00:05:14.000 --> 00:05:15.000]  受了聖靈
[00:05:15.000 --> 00:05:18.000]  接著他們一起聚集
[00:05:18.000 --> 00:05:19.000]  彼此交往
[00:05:19.000 --> 00:05:21.000]  彼此談論新的信仰
[00:05:21.000 --> 00:05:23.000]  一起抹餅紀念主
[00:05:23.000 --> 00:05:25.000]  最後的晚餐
[00:05:25.000 --> 00:05:29.000]  就是這樣教會正式誕生了
[00:05:29.000 --> 00:05:31.000]  這裡這件事件
[00:05:31.000 --> 00:05:33.000]  五旬節聖靈降臨
[00:05:33.000 --> 00:05:35.000]  教會的誕生
