
[00:00:00.000 --> 00:00:03.460]  先說一個真人真事的事件
[00:00:03.460 --> 00:00:05.520]  在兩年前,不久之前
[00:00:05.520 --> 00:00:10.840]  有一位有18年駕駛飛機的經驗的機師
[00:00:10.840 --> 00:00:14.000]  他是65歲的奧尼爾先生
[00:00:14.000 --> 00:00:20.320]  有一天他由蘇格蘭自己駕駛一架小型飛機
[00:00:20.320 --> 00:00:22.680]  去英格蘭
[00:00:22.680 --> 00:00:26.640]  預計航程大約需要4個小時左右
[00:00:26.640 --> 00:00:31.120]  誰知道飛行了8個小時左右
[00:00:31.120 --> 00:00:34.240]  突然間發現他失去了視力
[00:00:34.240 --> 00:00:37.600]  就是說突然間看不到東西
[00:00:37.600 --> 00:00:41.520]  雖然說這一世代有自動導航系統
[00:00:41.520 --> 00:00:44.480]  但是很多東西機師都不會那麼容易放手
[00:00:44.480 --> 00:00:48.040]  把所有東西交給電腦搞定
[00:00:48.040 --> 00:00:51.360]  他知道無法完成航程
[00:00:51.360 --> 00:00:52.040]  怎麼辦呢?
[00:00:52.040 --> 00:00:54.360]  他就摸摸摸摸到無線電
[00:00:54.360 --> 00:00:56.120]  然後就求救了
[00:00:56.120 --> 00:00:58.880]  發出求救的信號
[00:00:58.880 --> 00:01:04.000]  然後就有一位皇家空軍的指揮官
[00:01:04.000 --> 00:01:06.080]  厲害了,名字叫做傑拉達
[00:01:06.080 --> 00:01:08.400]  不過不是希利泊爾的那個
[00:01:08.400 --> 00:01:11.080]  就應航空控制員的要求
[00:01:11.080 --> 00:01:14.040]  就是起飛了,他也駕駛了飛機
[00:01:14.040 --> 00:01:16.800]  去找到這位奧尼爾先生
[00:01:16.800 --> 00:01:21.080]  距離兩架飛機相距幾百公尺
[00:01:21.080 --> 00:01:22.240]  大概500公尺
[00:01:22.280 --> 00:01:24.600]  他就透過這個通話
[00:01:24.600 --> 00:01:28.600]  開始教奧尼爾如何控制方向
[00:01:28.600 --> 00:01:32.680]  如何去到最近的機場降落
[00:01:32.680 --> 00:01:35.800]  左一點,右一點,高一點,低一點,多少公尺
[00:01:35.800 --> 00:01:36.640]  等等
[00:01:36.640 --> 00:01:38.080]  他只能夠看到
[00:01:38.080 --> 00:01:39.520]  做到這些東西
[00:01:39.520 --> 00:01:41.760]  他不能說你的標板多少度等等
[00:01:41.760 --> 00:01:43.120]  那些完全看不到的
[00:01:43.120 --> 00:01:46.520]  只能夠用這些很簡單的指令去做
[00:01:46.520 --> 00:01:48.120]  好了,他找到機場了
[00:01:48.120 --> 00:01:48.840]  真的找到了
[00:01:48.840 --> 00:01:52.440]  我們開始學習降落了
[00:01:52.440 --> 00:01:54.120]  但是無法指
[00:01:54.120 --> 00:01:55.240]  他看不到東西
[00:01:55.240 --> 00:01:56.440]  這位奧尼爾先生
[00:01:56.440 --> 00:01:58.840]  他只能夠憑信心
[00:01:58.840 --> 00:02:02.520]  去聽這位傑拉達的指示
[00:02:02.520 --> 00:02:03.760]  他說你怎麼做
[00:02:03.760 --> 00:02:06.320]  你就跟着怎麼去做
[00:02:06.320 --> 00:02:08.080]  第一次嘗試
[00:02:08.080 --> 00:02:09.480]  他真的碰到跑道
[00:02:09.480 --> 00:02:10.320]  不過碰到之後
[00:02:10.320 --> 00:02:14.040]  立刻整架飛機彈起
[00:02:14.040 --> 00:02:15.720]  第二次,再來一次
[00:02:15.720 --> 00:02:16.520]  再試一次
[00:02:16.520 --> 00:02:17.800]  又是着陸的時候
[00:02:17.800 --> 00:02:19.680]  又是整架飛機彈起了
[00:02:19.680 --> 00:02:22.520]  直到第八次
[00:02:22.520 --> 00:02:25.400]  他才成功地降落了
[00:02:25.400 --> 00:02:28.160]  失去性命
[00:02:28.160 --> 00:02:29.240]  這是真人真事
[00:02:29.240 --> 00:02:31.560]  如果大家想看新聞報道
[00:02:31.560 --> 00:02:34.200]  可以用這條網址去看
