
[00:00:00.000 --> 00:00:01.420]  各位電影節目的早晨
[00:00:01.420 --> 00:00:03.600]  聖經裡面曾經說過
[00:00:03.600 --> 00:00:07.740]  他說耶穌基督在日今日直到永遠都是一樣的
[00:00:07.740 --> 00:00:10.660]  所以很多時候我們看到一樣東西就是說
[00:00:10.660 --> 00:00:12.900]  無論我們在營裡面
[00:00:12.900 --> 00:00:14.400]  神怎樣祝福我們
[00:00:14.400 --> 00:00:16.080]  和今天在這裡
[00:00:16.080 --> 00:00:17.580]  神也是祝福我們的
[00:00:17.580 --> 00:00:19.420]  今天跟大家分享一個題目
[00:00:19.420 --> 00:00:21.300]  就是如果大家不會善忘的
[00:00:21.300 --> 00:00:23.500]  就是「豐盛人生七大要訣」
[00:00:23.500 --> 00:00:25.680]  我們說了第一和第二
[00:00:25.680 --> 00:00:27.480]  記不記得我們說了一個態度
[00:00:27.480 --> 00:00:28.500]  說了一個毅力
[00:00:28.500 --> 00:00:30.320]  我們今天第三個要訣
[00:00:30.320 --> 00:00:33.040]  是「真愛真自尊」
[00:00:33.040 --> 00:00:36.260]  在這裡我們看到聖經剛才我們所讀的
[00:00:36.260 --> 00:00:38.880]  在《瑪利夫音》
[00:00:38.880 --> 00:00:42.320]  第二十二章第三十七到三十九節
[00:00:42.320 --> 00:00:44.120]  他說「耶穌對他說
[00:00:44.120 --> 00:00:47.300]  你要盡心、盡性、盡義
[00:00:47.300 --> 00:00:49.360]  愛主你的神
[00:00:49.360 --> 00:00:51.280]  這是誡命中的第一
[00:00:51.280 --> 00:00:52.820]  且是最大的
[00:00:52.820 --> 00:00:54.920]  其次也相仿
[00:00:54.920 --> 00:00:58.000]  就是要愛人如己」
[00:00:58.000 --> 00:00:59.560]  很多時候我們發覺
[00:00:59.560 --> 00:01:01.300]  在我們的生命裡面
[00:01:01.300 --> 00:01:02.400]  在聖經裡面
[00:01:02.400 --> 00:01:04.000]  常常教導我們要愛神
[00:01:04.000 --> 00:01:05.760]  盡心、盡性、盡義
[00:01:05.760 --> 00:01:06.700]  盡力去愛神
[00:01:06.700 --> 00:01:09.360]  這是其中我們的誡命裡面最大的一條
[00:01:09.360 --> 00:01:11.020]  但是我們不要忽略一件事
[00:01:11.020 --> 00:01:12.460]  耶穌同樣說了
[00:01:12.460 --> 00:01:13.800]  其次也相仿
[00:01:13.800 --> 00:01:17.640]  就是要愛人如己
[00:01:17.640 --> 00:01:20.440]  什麼叫做愛人如己呢?
[00:01:20.440 --> 00:01:22.140]  很多時候我們懂得
[00:01:22.140 --> 00:01:24.240]  好像我們說我們懂得怎樣愛人
[00:01:24.240 --> 00:01:25.940]  我們說我們要愛人
[00:01:25.940 --> 00:01:28.660]  但是耶穌不是單單叫你去愛人
[00:01:28.660 --> 00:01:31.760]  耶穌說是愛人如己
[00:01:31.760 --> 00:01:34.000]  就是說你要懂得去愛你自己
[00:01:34.000 --> 00:01:36.380]  懂得去看怎樣去幫助你自己
[00:01:36.380 --> 00:01:37.880]  你才懂得怎樣去愛人
[00:01:37.880 --> 00:01:39.240]  從這樣的角度來看
[00:01:39.240 --> 00:01:40.360]  上帝常常都說
[00:01:40.360 --> 00:01:41.640]  你要去愛人
[00:01:41.640 --> 00:01:44.040]  你首先要學懂怎樣去愛你自己
[00:01:44.040 --> 00:01:45.760]  你要去尊重人
[00:01:45.760 --> 00:01:48.020]  首先你要學懂怎樣尊重你自己
[00:01:48.020 --> 00:01:49.480]  你要去幫助人
[00:01:49.480 --> 00:01:51.840]  首先你要學懂怎樣去幫助你自己
[00:01:51.840 --> 00:01:53.140]  很多時候我們發覺
[00:01:53.140 --> 00:01:54.380]  我們想去幫助人
[00:01:54.380 --> 00:01:55.540]  想去愛人
[00:01:55.540 --> 00:01:59.480]  但是很可惜我們不學懂怎樣去愛我們自己
[00:01:59.480 --> 00:02:00.920]  在今天
[00:02:00.920 --> 00:02:05.540]  如果你不懂得愛自己的時候
[00:02:05.540 --> 00:02:07.660]  你就不懂得怎樣去愛人
[00:02:07.660 --> 00:02:10.560]  也不懂得怎樣去愛上神
[00:02:10.560 --> 00:02:12.440]  所以記得
[00:02:12.440 --> 00:02:14.780]  神不是單單
[00:02:14.780 --> 00:02:16.000]  單單
[00:02:16.000 --> 00:02:18.200]  叫我們怎樣去學懂去愛祂
[00:02:18.200 --> 00:02:19.620]  去學懂去愛人
[00:02:19.620 --> 00:02:21.660]  而是說神要我們學懂
[00:02:21.660 --> 00:02:23.860]  怎樣去愛我們自己
[00:02:23.860 --> 00:02:27.220]  聖經裡面說神先愛
[00:02:27.220 --> 00:02:28.540]  因為神愛我們
[00:02:28.540 --> 00:02:29.540]  所以神先愛
[00:02:29.540 --> 00:02:30.840]  所以神愛我們
[00:02:30.840 --> 00:02:32.300]  是我們
[00:02:32.300 --> 00:02:34.060]  神愛的是你
[00:02:34.060 --> 00:02:36.780]  然後教曉你怎樣去愛
[00:02:36.780 --> 00:02:39.300]  你才可以用神的愛去愛人
[00:02:39.300 --> 00:02:42.020]  很多時候在我們生活的過程裡面
[00:02:42.020 --> 00:02:44.380]  很多人是不懂得愛自己的
[00:02:44.380 --> 00:02:46.060]  如果我現在問
[00:02:46.060 --> 00:02:47.540]  在這裡當中
[00:02:47.540 --> 00:02:49.940]  有沒有人很懂得愛自己呢?
[00:02:49.940 --> 00:02:51.060]  不用你回答我
[00:02:51.060 --> 00:02:52.140]  你自己去想
[00:02:52.780 --> 00:02:54.700]  在我們成長的過程裡面
[00:02:54.700 --> 00:02:55.700]  我常常都說
[00:02:55.700 --> 00:02:57.580]  就是在我們成長的過程裡面
[00:02:57.580 --> 00:02:59.100]  我們有很多負面
[00:02:59.100 --> 00:03:00.340]  很多不開心
[00:03:00.340 --> 00:03:01.940]  很多不如意的事情
[00:03:01.940 --> 00:03:03.500]  跟著我們成長的
[00:03:03.500 --> 00:03:04.980]  從小時候開始
[00:03:04.980 --> 00:03:07.380]  可能因為我們是中國的社會
[00:03:07.380 --> 00:03:10.260]  很多父母嚴格的教導
[00:03:10.260 --> 00:03:12.780]  我不知道你有沒有曾經聽過你成長的時候
[00:03:12.780 --> 00:03:14.660]  父母被父母這樣罵過
[00:03:14.660 --> 00:03:15.940]  就是說什麼呢?
[00:03:15.940 --> 00:03:17.420]  你沒有出息
[00:03:17.420 --> 00:03:19.820]  你爛泥
[00:03:19.820 --> 00:03:22.220]  生一個叉燒比生你更好
[00:03:22.820 --> 00:03:25.300]  不知道你有沒有被父母這樣罵過
[00:03:25.300 --> 00:03:26.420]  被父母這樣罵過
[00:03:26.420 --> 00:03:28.500]  又或者你怎麼教都不聽
[00:03:28.500 --> 00:03:29.660]  你就是這樣
