
[00:00:00.000 --> 00:00:03.320]  人生其實有很多不同的危機
[00:00:03.320 --> 00:00:05.320]  不知道你這一刻
[00:00:05.320 --> 00:00:08.200]  有沒有在遇一些危機
[00:00:08.200 --> 00:00:13.600]  我們沒有想過在很開心
[00:00:13.600 --> 00:00:16.720]  人與月亮團圓的晚上
[00:00:16.720 --> 00:00:20.640]  會遇到很大的災難
[00:00:20.640 --> 00:00:23.480]  但是自從這個海難之後
[00:00:23.480 --> 00:00:25.160]  我相信
[00:00:25.160 --> 00:00:29.600]  免得我們可能不坐船
[00:00:29.600 --> 00:00:30.520]  但是一定要坐船
[00:00:30.520 --> 00:00:31.880]  我們上船的時候
[00:00:31.880 --> 00:00:34.360]  我們都會看看救生衣在哪裏
[00:00:34.360 --> 00:00:36.200]  容不容易拿
[00:00:36.200 --> 00:00:38.240]  甚至我們見到天星小輪
[00:00:38.240 --> 00:00:41.000]  本來是沒有水泡的
[00:00:41.000 --> 00:00:43.320]  現在就裝了水泡
[00:00:43.320 --> 00:00:44.680]  面對危機
[00:00:44.680 --> 00:00:46.360]  當有些事發生
[00:00:46.360 --> 00:00:47.160]  提醒我們
[00:00:47.160 --> 00:00:49.920]  我們要提高危機的意識
[00:00:49.920 --> 00:00:54.120]  免得我們遇到危險的時候措手不及
[00:00:54.120 --> 00:00:57.920]  其實有很多危險是可以避免的
[00:00:57.920 --> 00:00:59.720]  人都是這樣想的
[00:00:59.720 --> 00:01:02.720]  所以當中國和日本
[00:01:02.720 --> 00:01:04.560]  中國和菲律賓
[00:01:04.560 --> 00:01:09.280]  面對大家在海域上的爭拗
[00:01:09.280 --> 00:01:13.240]  今天我們都特別提高那種危機的意識
[00:01:13.240 --> 00:01:15.000]  不過有時候我們要小心
[00:01:15.000 --> 00:01:16.600]  因為我太太
[00:01:16.600 --> 00:01:18.960]  師母昨天早上告訴我
[00:01:18.960 --> 00:01:22.520]  原來有一個新的病毒叫釣魚島打醬料
[00:01:22.520 --> 00:01:26.800]  大家要小心開這些電郵之類
