
[00:00:00.000 --> 00:00:04.000]  事實上這段時間我都經常思考一個問題
[00:00:04.000 --> 00:00:08.000]  覺得人生真的充滿很多苦難
[00:00:08.000 --> 00:00:13.000]  剛剛今天看到美國東岸由於颱風的關係
[00:00:13.000 --> 00:00:17.000]  現在死亡人數又超過了110人
[00:00:17.000 --> 00:00:21.000]  我有一個朋友在美國東部
[00:00:21.000 --> 00:00:24.000]  他前幾天寫電郵告訴我
[00:00:24.000 --> 00:00:26.000]  他說我們停電了兩天
[00:00:26.000 --> 00:00:30.000]  幸好天氣還未冷得很厲害
[00:00:30.000 --> 00:00:35.000]  他說上次停電的時候是20度華氏
[00:00:35.000 --> 00:00:39.000]  華氏即是零度以下
[00:00:39.000 --> 00:00:41.000]  他說今次就好一點40度
[00:00:41.000 --> 00:00:45.000]  40度都是華氏即是只有幾度
[00:00:45.000 --> 00:00:47.000]  這麼冷的地方
[00:00:47.000 --> 00:00:51.000]  停電兩天沒有暖氣很不容易
[00:00:51.000 --> 00:00:55.000]  而我們香港南丫島的海難
[00:00:55.000 --> 00:00:57.000]  仍然歷歷在目
[00:00:57.000 --> 00:01:01.000]  我知道播道會有一個堂會有一個弟兄
[00:01:01.000 --> 00:01:03.000]  太太過世了
[00:01:03.000 --> 00:01:05.000]  女兒過世了
[00:01:05.000 --> 00:01:07.000]  剩下他和兒子
[00:01:07.000 --> 00:01:11.000]  人生真的有很多的苦難
[00:01:11.000 --> 00:01:15.000]  為什麼海難當中有基督徒獲救
[00:01:15.000 --> 00:01:21.000]  但是也有愛主的基督徒離世
[00:01:21.000 --> 00:01:23.000]  人生為什麼會這樣
[00:01:23.000 --> 00:01:27.000]  我先生有十個孫
[00:01:27.000 --> 00:01:31.000]  最近有一個十五歲
[00:01:31.000 --> 00:01:34.000]  血癌復發離開世界
[00:01:34.000 --> 00:01:38.000]  有時我問為什麼偏偏是這個孫
[00:01:38.000 --> 00:01:41.000]  因為我先生有四個子女
[00:01:41.000 --> 00:01:44.000]  每個子女都有三個小孩
[00:01:44.000 --> 00:01:46.000]  只有這個女兒一個
[00:01:46.000 --> 00:01:54.000]  偏偏是獨生女離開世界
[00:01:54.000 --> 00:01:58.000]  所以有時候我們真的不明白
[00:01:58.000 --> 00:02:01.000]  這個世界為什麼有這樣的苦難
[00:02:01.000 --> 00:02:06.000]  甚至有時候苦難是淋到愛主的人身上
[00:02:06.000 --> 00:02:08.000]  為什麼呢?
[00:02:08.000 --> 00:02:12.000]  今天我們很想透過核子被醫這件事
[00:02:12.000 --> 00:02:16.000]  來看看耶穌怎麼看待苦難
[00:02:16.000 --> 00:02:22.000]  也調教我們對苦難的一些觀念
[00:02:22.000 --> 00:02:25.000]  第一個問題我們要思想的是
[00:02:25.000 --> 00:02:29.000]  為什麼我們會受苦呢?
[00:02:29.000 --> 00:02:31.000]  原來在《約翰福音》
[00:02:31.000 --> 00:02:35.000]  起碼有三段經文提到
[00:02:35.000 --> 00:02:38.000]  我們受苦的原因
[00:02:38.000 --> 00:02:41.000]  在第五章提到有一個人
[00:02:41.000 --> 00:02:45.000]  他的腿長了三十八年
[00:02:45.000 --> 00:02:50.000]  由於在池邊
[00:02:50.000 --> 00:02:52.000]  以為池水會搞凍
[00:02:52.000 --> 00:02:55.000]  即是礦物質能夠流動的時候
[00:02:55.000 --> 00:02:57.000]  如果他第一個下去
[00:02:57.000 --> 00:02:59.000]  他就會康復
[00:02:59.000 --> 00:03:01.000]  但由於腿長
[00:03:01.000 --> 00:03:02.000]  沒有人抬他
[00:03:02.000 --> 00:03:05.000]  到他慢慢爬下去的時候
[00:03:05.000 --> 00:03:07.000]  已經有人先讓他下水
[00:03:07.000 --> 00:03:09.000]  所以他一直得不到醫治
[00:03:09.000 --> 00:03:12.000]  但是耶穌知道他已經三十八年
[00:03:12.000 --> 00:03:14.000]  沒有得到醫治
[00:03:14.000 --> 00:03:17.000]  耶穌很憐憫地救了他
[00:03:17.000 --> 00:03:19.000]  不過耶穌治好他之後
[00:03:19.000 --> 00:03:20.000]  耶穌說了一句話
[00:03:20.000 --> 00:03:22.000]  「你現在康復了
[00:03:22.000 --> 00:03:25.000]  不要再犯罪
[00:03:25.000 --> 00:03:28.000]  免得你後來所遇的比現在更嚴重」
[00:03:28.000 --> 00:03:31.000]  即是暗示這個人
[00:03:31.000 --> 00:03:34.000]  他三十八年的腿腿病患
[00:03:34.000 --> 00:03:36.000]  可能跟他的罪有關
[00:03:36.000 --> 00:03:39.000]  會不會他打劫
[00:03:39.000 --> 00:03:41.000]  在屋頂跌下來
[00:03:41.000 --> 00:03:43.000]  跌傷的呢?我們不知道
[00:03:43.000 --> 00:03:46.000]  即是說有時候有些苦難
[00:03:46.000 --> 00:03:49.000]  是因為我們自己的罪的緣故
[00:03:49.000 --> 00:03:52.000]  譬如有些人醉酒駕駛
[00:03:52.000 --> 00:03:55.000]  他就害人害己
[00:03:55.000 --> 00:03:56.000]  可能因為這樣
[00:03:56.000 --> 00:03:58.000]  他就撞到路邊
[00:03:58.000 --> 00:04:01.000]  然後自己就成為殘廢
[00:04:01.000 --> 00:04:03.000]  這類這樣的情況
[00:04:03.000 --> 00:04:06.000]  有時候是跟我們的罪有關
[00:04:06.000 --> 00:04:09.000]  但有時候我們受苦
[00:04:09.000 --> 00:04:11.000]  又不一定跟我們的罪有關
[00:04:11.000 --> 00:04:14.000]  甚至我們是為了福音
[00:04:14.000 --> 00:04:15.000]  為了耶穌
[00:04:15.000 --> 00:04:18.000]  為了主而受苦
[00:04:18.000 --> 00:04:20.000]  因為在約翰十五章說
[00:04:20.000 --> 00:04:21.000]  主耶穌說
[00:04:21.000 --> 00:04:24.000]  「我是葡萄樹,你們是枝子」
[00:04:24.000 --> 00:04:25.000]  然後主耶穌說
[00:04:25.000 --> 00:04:28.000]  「如果世界恨你們
[00:04:28.000 --> 00:04:30.000]  你不要覺得出奇
[00:04:30.000 --> 00:04:32.000]  是因為世界已經恨我了」
[00:04:32.000 --> 00:04:34.000]  主耶穌說
[00:04:34.000 --> 00:04:37.000]  「世人是不喜歡主」
[00:04:37.000 --> 00:04:38.000]  然後主耶穌說
[00:04:38.000 --> 00:04:41.000]  「僕人不能夠大過主人」
[00:04:41.000 --> 00:04:43.000]  如果連主耶穌都受人逼迫
[00:04:43.000 --> 00:04:46.000]  何況是跟隨主耶穌的門徒呢?
[00:04:46.000 --> 00:04:49.000]  意思是有時候我們為了信仰
