
[00:00:00.000 --> 00:00:02.000]  請大家打開聖經
[00:00:02.000 --> 00:00:08.000]  路加福音第六章第十七節到第二十六節
[00:00:08.000 --> 00:00:17.000]  路加福音第六章十七節到第二十六節
[00:00:17.000 --> 00:00:26.000]  我會用這個和合本修訂版讀出來
[00:00:26.000 --> 00:00:33.000]  和大家手頭的和合本其實只是很些微的不同
[00:00:33.000 --> 00:00:37.000]  只是字句字眼有些微的修改
[00:00:37.000 --> 00:00:40.000]  所以大家可以跟著聽我讀出來
[00:00:40.000 --> 00:00:45.000]  路加福音第六章十七節
[00:00:45.000 --> 00:00:47.000]  耶穌和他們下了山
[00:00:47.000 --> 00:00:49.000]  站在一塊平地上
[00:00:49.000 --> 00:00:52.000]  在一起的有許多門徒
[00:00:52.000 --> 00:00:56.000]  又有許多百姓從全猶太和耶路撒冷
[00:00:56.000 --> 00:00:59.000]  並推羅西頓的海邊來
[00:00:59.000 --> 00:01:01.000]  都要聽他講道
[00:01:01.000 --> 00:01:04.000]  有希望耶穌醫治他們的病
[00:01:04.000 --> 00:01:07.000]  還有被污穢纏磨的也得了醫治
[00:01:07.000 --> 00:01:09.000]  眾人都想要磨他
[00:01:09.000 --> 00:01:12.000]  因為有能力從他身上發出來
[00:01:12.000 --> 00:01:14.000]  治好了他們
[00:01:14.000 --> 00:01:15.000]  二十節
[00:01:15.000 --> 00:01:18.000]  耶穌舉目看著門徒
[00:01:18.000 --> 00:01:23.000]  說貧窮的人有福了
[00:01:23.000 --> 00:01:26.000]  因為上帝的國是你們的
[00:01:26.000 --> 00:01:30.000]  現在記我的人有福了
[00:01:30.000 --> 00:01:33.000]  因為你們將得飽足
[00:01:33.000 --> 00:01:35.000]  現在要哭泣的人有福了
[00:01:35.000 --> 00:01:39.000]  因為你們將要歡笑
[00:01:39.000 --> 00:01:41.000]  二十二節
[00:01:41.000 --> 00:01:44.000]  人為人子的緣故憎恨你們
[00:01:44.000 --> 00:01:46.000]  留意你們我們
[00:01:46.000 --> 00:01:48.000]  人為人子的緣故憎恨你們
[00:01:48.000 --> 00:01:49.000]  拒絕你們
[00:01:49.000 --> 00:01:50.000]  辱罵你們
[00:01:50.000 --> 00:01:52.000]  把你們當作惡人
[00:01:52.000 --> 00:01:53.000]  除掉你們的名
[00:01:53.000 --> 00:01:55.000]  你們就有福了
[00:01:55.000 --> 00:01:57.000]  在那日你們要歡欣雀躍
[00:01:57.000 --> 00:02:00.000]  因為你們在天上的賞賜是很多的
[00:02:00.000 --> 00:02:04.000]  他們的祖宗也是這樣待先知的
[00:02:04.000 --> 00:02:07.000]  二十四節
[00:02:07.000 --> 00:02:09.000]  但你們富足的人有禍了
[00:02:09.000 --> 00:02:12.000]  因為你們已經受過安慰
[00:02:12.000 --> 00:02:14.000]  你們現在飽足的人有禍了
[00:02:14.000 --> 00:02:16.000]  因為你們將要飢餓
[00:02:16.000 --> 00:02:18.000]  你們現在歡笑的人有禍了
[00:02:18.000 --> 00:02:21.000]  因為你們將要哀動哭泣
[00:02:21.000 --> 00:02:23.000]  人都說你們好的時候
[00:02:23.000 --> 00:02:25.000]  你們有禍了
[00:02:25.000 --> 00:02:28.000]  因為他們的祖宗也是這樣
[00:02:28.000 --> 00:02:34.000]  待假先知的
[00:02:34.000 --> 00:02:36.000]  這一段的經文
[00:02:36.000 --> 00:02:38.000]  是從馬太福音
[00:02:38.000 --> 00:02:41.000]  四章二十三節到第二十五節
[00:02:41.000 --> 00:02:44.000]  耶穌在山上和門徒所說的話
[00:02:44.000 --> 00:02:46.000]  稱為山上補糞的那段話
[00:02:46.000 --> 00:02:47.000]  很相似
[00:02:47.000 --> 00:02:51.000]  二十節到第二十六節
[00:02:51.000 --> 00:02:53.000]  就和馬太福音第五章
[00:02:53.000 --> 00:02:55.000]  第一節到第二十二節的八福
[00:02:55.000 --> 00:02:57.000]  是很相似
[00:02:57.000 --> 00:03:00.000]  只不過有些地理環境是不同的
[00:03:00.000 --> 00:03:03.000]  這個情況就是在山下
[00:03:03.000 --> 00:03:06.000]  耶穌在山上選了十二個門徒
[00:03:06.000 --> 00:03:08.000]  下了山和很多的門徒
[00:03:08.000 --> 00:03:12.000]  來自於猶太地和耶路撒冷
[00:03:12.000 --> 00:03:15.000]  記不記得我和大家用手掌做的地圖
[00:03:15.000 --> 00:03:17.000]  在加利利的南邊
[00:03:17.000 --> 00:03:20.000]  現在他們在加利利湖的附近
[00:03:20.000 --> 00:03:21.000]  一塊平地
[00:03:21.000 --> 00:03:23.000]  在南邊上來
[00:03:23.000 --> 00:03:28.000]  在海岸線的北邊
[00:03:28.000 --> 00:03:34.000]  在加利利向北的推羅西頓那邊
[00:03:34.000 --> 00:03:37.000]  來聽耶穌的講道
