
[00:00:00.000 --> 00:00:02.260]  在如此炎黃的情況下
[00:00:02.260 --> 00:00:06.600]  我想說的題目是「愛在炎東風雨時」
[00:00:06.600 --> 00:00:07.380]  為什麼呢?
[00:00:07.380 --> 00:00:10.540]  第一,聖誕節耶穌的出世
[00:00:10.540 --> 00:00:12.840]  很多考古學家和色經學家都認為
[00:00:12.840 --> 00:00:15.580]  耶穌出世的日子「平安夜」
[00:00:15.580 --> 00:00:18.420]  是很接近我們中國人的「冬至」
[00:00:18.420 --> 00:00:20.260]  也就是說是冷的日子
[00:00:20.260 --> 00:00:22.020]  以色列是更加冷的
[00:00:22.020 --> 00:00:23.360]  我們見到聖經這樣說
[00:00:23.360 --> 00:00:25.280]  《路加福音》二章六到七節
[00:00:25.280 --> 00:00:26.660]  「他們在那裡」的時候
[00:00:26.660 --> 00:00:29.980]  他們是指到約瑟和瑪利亞
[00:00:29.980 --> 00:00:33.120]  有多少人生過寶寶呢?
[00:00:33.120 --> 00:00:34.040]  請舉手,好嗎?
[00:00:34.040 --> 00:00:34.760]  姐妹
[00:00:34.760 --> 00:00:36.600]  生過的就知道
[00:00:36.600 --> 00:00:38.380]  荃灣的可能少一點
[00:00:38.380 --> 00:00:39.820]  生過寶寶就知道
[00:00:39.820 --> 00:00:42.400]  生寶寶是多麼的貧寒
[00:00:42.400 --> 00:00:45.420]  現在的預產期科技這麼先進
[00:00:45.420 --> 00:00:46.920]  預產期也不準確
[00:00:46.920 --> 00:00:48.640]  除非你開刀,是不是?
[00:00:48.640 --> 00:00:49.900]  是很貧寒的
[00:00:49.900 --> 00:00:51.260]  但是耶穌的時代
[00:00:51.260 --> 00:00:53.860]  在二千多年前更貧寒
[00:00:53.860 --> 00:00:55.440]  因為那時候不去醫院
[00:00:55.440 --> 00:00:57.240]  都是自己接生的
[00:00:57.240 --> 00:01:00.700]  但是突然間政府宣佈人口普查
[00:01:00.700 --> 00:01:03.160]  約瑟要回到原本的家鄉
[00:01:03.160 --> 00:01:04.920]  就是路經伯利恆
[00:01:04.920 --> 00:01:06.500]  耶穌在伯利恆出生
[00:01:06.500 --> 00:01:08.500]  是舊有聖經預言了的
[00:01:08.500 --> 00:01:09.920]  必須在那裡出生
[00:01:09.920 --> 00:01:10.460]  為什麼呢?
[00:01:10.460 --> 00:01:13.720]  因為伯利恆城是跟大衛城有關的
[00:01:13.720 --> 00:01:14.600]  跟大衛有關
[00:01:14.600 --> 00:01:18.140]  因為耶穌是大衛王朝的接續王位的那個
[00:01:18.140 --> 00:01:20.260]  所以必須在伯利恆出生
[00:01:20.260 --> 00:01:21.760]  伯利恆如果是以色列地的
[00:01:21.760 --> 00:01:23.700]  你會知道是一個很小的鎮
[00:01:23.700 --> 00:01:24.920]  不是很出名的
[00:01:24.920 --> 00:01:25.740]  如果不是耶穌出生
[00:01:25.740 --> 00:01:26.960]  根本沒有人去的
[00:01:26.960 --> 00:01:29.060]  約瑟和瑪麗亞去到一個地方
[00:01:29.060 --> 00:01:30.420]  瑪麗亞產期到了
[00:01:30.420 --> 00:01:32.560]  就生了投胎的兒子
[00:01:32.560 --> 00:01:35.180]  用布包起來放在馬槽裡面
[00:01:35.180 --> 00:01:36.400]  如果以色列地都知道
[00:01:36.400 --> 00:01:37.480]  那裡應該不是馬槽
[00:01:37.480 --> 00:01:38.940]  因為猶太人不養馬的
[00:01:38.940 --> 00:01:40.780]  是羅馬兵丁才會養馬的
[00:01:40.780 --> 00:01:42.640]  那裡應該是牛棚
[00:01:42.640 --> 00:01:45.320]  在那個地方因為客店
