
[00:00:00.000 --> 00:00:02.300]  我們其實都知道
[00:00:02.300 --> 00:00:05.300]  還有一個多月左右 復活節就到了
[00:00:05.300 --> 00:00:06.540]  復活節
[00:00:06.540 --> 00:00:09.800]  在復活節未到的這個星期
[00:00:09.800 --> 00:00:16.700]  我們會一起嘗試回到耶穌基督的時代
[00:00:16.700 --> 00:00:19.000]  尤其是最後那幾天
[00:00:19.000 --> 00:00:21.900]  就是耶穌基督最後的那一兩天
[00:00:21.900 --> 00:00:23.500]  我們回去做什麼呢
[00:00:23.500 --> 00:00:26.500]  我們嘗試回去重拾當年情
[00:00:26.500 --> 00:00:27.500]  什麼情呢
[00:00:27.500 --> 00:00:31.700]  這個是耶穌基督為我們死的那一份情
[00:00:31.700 --> 00:00:34.100]  我們與此同時也都可以經歷到
[00:00:34.100 --> 00:00:36.700]  神復活的大臨
[00:00:36.700 --> 00:00:41.400]  這個星期我們嘗試去做這件事情
[00:00:41.400 --> 00:00:44.900]  其實當耶穌和門徒
[00:00:44.900 --> 00:00:46.200]  守最後晚餐
[00:00:46.200 --> 00:00:48.200]  他們吃最後晚餐
[00:00:48.200 --> 00:00:51.100]  到他在黑西瑪尼園祈禱
[00:00:51.100 --> 00:00:54.200]  被捕
[00:00:54.200 --> 00:00:55.200]  受審
[00:00:55.200 --> 00:00:57.200]  被鞭打上十字架
[00:00:57.200 --> 00:00:59.900]  其實只不過是一整天的事情
[00:00:59.900 --> 00:01:01.100]  一整天的事情
[00:01:01.100 --> 00:01:02.400]  是一天而已
[00:01:02.400 --> 00:01:04.100]  由星期四的傍晚
[00:01:04.100 --> 00:01:07.100]  去到星期五的黃昏
[00:01:07.100 --> 00:01:09.900]  這裡面發生了很多的事情
[00:01:09.900 --> 00:01:12.300]  當我們和耶穌基督一起去走
[00:01:12.300 --> 00:01:15.500]  這一段最後的路的時候
[00:01:15.500 --> 00:01:17.600]  我們會見到很多事情
[00:01:17.600 --> 00:01:20.100]  我們會見到很多事情
[00:01:20.100 --> 00:01:23.600]  我們會不僅見到耶穌背著自己的十字架
[00:01:23.600 --> 00:01:26.500]  走上這條苦路
[00:01:26.500 --> 00:01:29.600]  我們最終會見到一個空的墳墓
[00:01:29.600 --> 00:01:33.200]  空的墳墓給我們一個極大的盼望
[00:01:33.200 --> 00:01:35.500]  在苦路當中很艱辛
[00:01:35.500 --> 00:01:38.300]  但我們最終會見到空的墳墓
[00:01:38.300 --> 00:01:40.400]  但我們這幾個星期
[00:01:40.400 --> 00:01:43.800]  我們的鏡頭更加想集中
[00:01:43.800 --> 00:01:47.400]  焦點於耶穌身邊的人
[00:01:47.400 --> 00:01:48.400]  在最後那一天
