
[00:00:00.000 --> 00:00:03.680]  所以我想和大家思考一個很重要
[00:00:03.680 --> 00:00:05.680]  同樣你可能覺得很簡單
[00:00:05.680 --> 00:00:07.680]  又或者是信徒一定要思考的問題
[00:00:07.680 --> 00:00:09.680]  祈禱
[00:00:09.680 --> 00:00:11.680]  禱告
[00:00:11.680 --> 00:00:13.680]  和大家去回想一下
[00:00:13.680 --> 00:00:15.680]  你從何時開始學會祈禱的?
[00:00:15.680 --> 00:00:19.680]  何時開始學會祈禱的?
[00:00:19.680 --> 00:00:22.680]  可能第一節目大家的反應就是
[00:00:22.680 --> 00:00:24.680]  祈禱要學的嗎?
[00:00:24.680 --> 00:00:26.680]  不知道的,總之叫就祈禱吧
[00:00:26.680 --> 00:00:28.680]  又或者開始回教會
[00:00:28.680 --> 00:00:30.680]  又或者你小時候在教會學校讀書
[00:00:30.680 --> 00:00:32.680]  那就叫你祈禱吧
[00:00:32.680 --> 00:00:34.680]  又或者在
[00:00:34.680 --> 00:00:36.680]  例如中學基督教會的學校一般你都會懂得背主禱文
[00:00:36.680 --> 00:00:38.680]  我們每個禮拜都會背
[00:00:38.680 --> 00:00:40.680]  祈禱可能從很小的時候已經開始
[00:00:40.680 --> 00:00:42.680]  如果我問一個問題
[00:00:42.680 --> 00:00:44.680]  就是過去在這個禮拜裏面
[00:00:44.680 --> 00:00:46.680]  就過去這個禮拜不要想太遠
[00:00:46.680 --> 00:00:48.680]  你花了多少時間
[00:00:48.680 --> 00:00:50.680]  在禱告裏面?
[00:00:50.680 --> 00:00:52.680]  你花了多少精神
[00:00:52.680 --> 00:00:54.680]  在禱告裏面?
[00:00:54.680 --> 00:00:56.680]  你花了多少心力在禱告裏面?
[00:00:58.680 --> 00:01:00.680]  我們常常會說
[00:01:00.680 --> 00:01:02.680]  祈禱是基督徒一個很重要的權柄
[00:01:02.680 --> 00:01:04.680]  祈禱是我們和上帝溝通的途徑
[00:01:04.680 --> 00:01:06.680]  祈禱是基督徒很重要的
[00:01:06.680 --> 00:01:08.680]  一定要做的
[00:01:08.680 --> 00:01:10.680]  但是你花了多少時間在裏面呢?
[00:01:10.680 --> 00:01:14.680]  可能一天祈禱
[00:01:14.680 --> 00:01:16.680]  一次,兩次
[00:01:16.680 --> 00:01:18.680]  三次
[00:01:18.680 --> 00:01:20.680]  每次可能是
[00:01:20.680 --> 00:01:22.680]  十秒,或者一分鐘
[00:01:22.680 --> 00:01:24.680]  還有沒有多一點呢?
[00:01:24.680 --> 00:01:26.680]  可能差不多了
[00:01:26.680 --> 00:01:28.680]  感謝主睡醒
[00:01:28.680 --> 00:01:30.680]  可能三秒
