
[00:00:00.000 --> 00:00:02.000]  最近這個星期
[00:00:02.000 --> 00:00:05.160]  很多人把我們的注意力
[00:00:05.160 --> 00:00:08.840]  都放在埃及熱氣球慘劇的事情上
[00:00:08.840 --> 00:00:14.920]  這個慘劇叫我們感到生命那種無常
[00:00:14.920 --> 00:00:21.280]  上一刻這班團友只開開心心來度假
[00:00:21.280 --> 00:00:24.360]  下一刻就是愁雲慘霧
[00:00:24.360 --> 00:00:27.640]  當我們看到這個新聞
[00:00:27.640 --> 00:00:32.000]  其實我們都來到去面對人生的無常
[00:00:32.000 --> 00:00:36.760]  基督徒同樣都要面對人生這些無常
[00:00:36.760 --> 00:00:41.600]  我從Facebook或者在這個新聞裏面
[00:00:41.600 --> 00:00:45.680]  都知道可能其中有幾位是基督徒
[00:00:45.680 --> 00:00:49.280]  可能屬於某一間教會
[00:00:49.280 --> 00:00:54.040]  基督徒同樣面對人生的無常
[00:00:54.040 --> 00:00:58.720]  基督徒怎樣面對人生的逆境呢?
[00:00:58.720 --> 00:01:05.800]  如果其中的可能有你的親戚至親的
[00:01:05.800 --> 00:01:13.720]  你會怎樣去了解或者去接受這個事情呢?
[00:01:13.720 --> 00:01:17.040]  很多時候我們基督徒
[00:01:17.040 --> 00:01:19.360]  我們都和普通人一樣
[00:01:19.360 --> 00:01:23.880]  我們希望能夠趨吉避凶
[00:01:23.880 --> 00:01:30.160]  我們希望能夠去人生順境就好了
[00:01:30.160 --> 00:01:33.160]  我們去拒絕這個逆境
[00:01:33.160 --> 00:01:37.640]  不過在人生裏面有順境有逆境
[00:01:37.640 --> 00:01:39.680]  究竟我們作為基督徒
[00:01:39.680 --> 00:01:42.480]  我們怎樣看我們的順境
[00:01:42.480 --> 00:01:46.040]  怎樣來處理我們的逆境
[00:01:46.040 --> 00:01:51.200]  亦都怎樣來面對人生種種的無常
[00:01:51.200 --> 00:01:54.120]  傳道書來教導我們
[00:01:54.120 --> 00:01:56.520]  我們要珍惜這個人生
[00:01:56.520 --> 00:02:00.720]  就在這麼短暫的無常人生裏面
[00:02:00.720 --> 00:02:03.360]  我們需要好好地珍惜
[00:02:03.360 --> 00:02:11.880]  在一段時間幾個星期之前
