
[00:00:00.000 --> 00:00:02.500]  常常聽見有人說一句話說
[00:00:02.500 --> 00:00:05.760]  有人的地方就有問題
[00:00:05.760 --> 00:00:07.660]  當然當我們說這句話的時候
[00:00:07.660 --> 00:00:08.640]  我們的意思是說
[00:00:08.640 --> 00:00:10.800]  有別人的地方就有問題
[00:00:10.800 --> 00:00:13.160]  不是嗎
[00:00:13.160 --> 00:00:14.960]  夫妻之間其實也不例外
[00:00:14.960 --> 00:00:15.500]  你知道嗎
[00:00:15.500 --> 00:00:17.900]  當兩個人結合在一起的時候
[00:00:17.900 --> 00:00:19.100]  我們彼此之間
[00:00:19.100 --> 00:00:21.900]  也會有很多不同的期望
[00:00:21.900 --> 00:00:23.660]  當夫妻年輕的時候
[00:00:23.660 --> 00:00:26.560]  兩個人一同為家庭在奮鬥
[00:00:26.560 --> 00:00:29.440]  在愛裡你是無需說抱歉的
[00:00:29.440 --> 00:00:32.500]  在愛裡也無需說謝謝的
[00:00:32.500 --> 00:00:35.660]  可是年復一年 日復一日
[00:00:35.660 --> 00:00:37.700]  這種家庭的責任
[00:00:37.700 --> 00:00:41.660]  好像把我們壓得透不過氣來
[00:00:41.660 --> 00:00:45.140]  所以漸漸漸漸我們開始想一個問題
[00:00:45.140 --> 00:00:47.800]  Did I miss something?
[00:00:47.800 --> 00:00:49.000]  我是不是在生命當中
[00:00:49.000 --> 00:00:52.060]  錯過些什麼事情了
[00:00:52.060 --> 00:00:54.540]  這些年當我在做婚姻輔導的時候
[00:00:54.540 --> 00:00:56.640]  我發現一件事情
[00:00:56.640 --> 00:00:58.200]  是在婚姻生活當中
[00:00:58.200 --> 00:01:01.140]  常常被忽略的
[00:01:01.140 --> 00:01:02.360]  那就是我們在婚姻當中
[00:01:02.360 --> 00:01:06.200]  常常是比較注重感覺不是嗎
[00:01:06.200 --> 00:01:08.160]  所以當感覺不在的時候
[00:01:08.160 --> 00:01:12.640]  我們就以為愛情是不是也失去了呢
[00:01:12.640 --> 00:01:15.400]  你知道仇敵常常就是這樣欺騙我們
[00:01:15.400 --> 00:01:19.860]  讓我們以為愛情只在於感覺而已
[00:01:19.860 --> 00:01:21.660]  但事實上今天早上我要告訴你
[00:01:21.660 --> 00:01:23.760]  在婚姻生活當中
[00:01:23.760 --> 00:01:29.440]  每一件事情其實都是一個選擇
[00:01:29.440 --> 00:01:33.840]  不只是單單在你們談戀愛的時候
[00:01:33.840 --> 00:01:36.540]  在彼此愛慕追求的時候
[00:01:36.540 --> 00:01:38.640]  那是一種選擇
[00:01:38.640 --> 00:01:42.560]  不只是在你們站在祭壇面前
[00:01:42.560 --> 00:01:45.440]  在那裡向神說我願意的時候
[00:01:45.440 --> 00:01:47.640]  那是一種選擇
[00:01:47.640 --> 00:01:50.600]  事實上在結婚以後的每一個日子
[00:01:50.600 --> 00:01:55.460]  在每一件事情上都是一個選擇
[00:01:55.460 --> 00:02:00.060]  而這每一個選擇都會影響夫妻的關係
[00:02:00.060 --> 00:02:01.640]  無論是正面的
[00:02:01.640 --> 00:02:03.640]  無論是負面的
[00:02:03.640 --> 00:02:08.240]  所以今天無論你的婚姻的光景是如何
[00:02:08.240 --> 00:02:10.900]  我都要勸告你一件事情
[00:02:10.900 --> 00:02:12.560]  最重要的是
[00:02:12.560 --> 00:02:17.240]  要在每天的生活當中做正確的選擇
[00:02:17.240 --> 00:02:20.760]  因為今天就算你說你有再好的婚姻
[00:02:20.760 --> 00:02:23.540]  你有再多的資源
[00:02:23.540 --> 00:02:28.300]  但如果你在生活當中持續做錯誤的選擇的話
[00:02:28.300 --> 00:02:30.660]  就算你有再好的婚姻
[00:02:30.660 --> 00:02:33.840]  也自終會破裂
[00:02:33.840 --> 00:02:36.100]  但反過來如果今天你說
[00:02:36.100 --> 00:02:38.360]  就算你有再糟糕的婚姻
[00:02:38.360 --> 00:02:39.900]  再少的資源
[00:02:39.900 --> 00:02:42.560]  但如果你能夠在生活當中
[00:02:42.560 --> 00:02:47.000]  每天事情上你能夠做正確的選擇的話
[00:02:47.000 --> 00:02:49.100]  那我告訴你再糟糕的婚姻
[00:02:49.100 --> 00:02:53.300]  也都是可以被挽回的
[00:02:53.300 --> 00:02:55.100]  那麼你說牧師
[00:02:55.100 --> 00:02:57.300]  我應當在婚姻生活當中
[00:02:57.300 --> 00:03:00.340]  做哪些正確的選擇呢?
[00:03:00.340 --> 00:03:04.900]  今天早上要跟大家分享在婚姻當中的三個選擇
[00:03:04.900 --> 00:03:08.100]  在婚姻當中的三個選擇
[00:03:08.100 --> 00:03:10.140]  第一個選擇
[00:03:10.140 --> 00:03:11.640]  要選擇溝通
[00:03:11.640 --> 00:03:15.300]  跟女朋友說要選擇溝通
[00:03:15.300 --> 00:03:17.040]  兩個人的結合
[00:03:17.040 --> 00:03:19.640]  不單是心靈跟肉體的結合
[00:03:19.640 --> 00:03:24.500]  我告訴你更是一個習慣與背景的結合
[00:03:24.500 --> 00:03:26.000]  按照我們人的本性
[00:03:26.000 --> 00:03:31.540]  我們都是想按照我們自己的一些背景跟習慣來愛別人
[00:03:31.540 --> 00:03:36.300]  而且我們也期待別人用我們所習慣的方式來愛我們
[00:03:36.300 --> 00:03:37.900]  不是嗎?
[00:03:37.900 --> 00:03:39.100]  但事實上你會發現
[00:03:39.100 --> 00:03:44.100]  你愛他的方式跟他愛你的方式是截然不同
[00:03:44.100 --> 00:03:50.700]  這為什麼我們在婚姻當中需要學習不斷的選擇溝通
[00:03:50.700 --> 00:03:56.800]  因為常常有很多事情並不是像你所想像的
[00:03:56.800 --> 00:04:01.500]  我最記得有一次我看一個Super Bowl的一個廣告
[00:04:01.500 --> 00:04:05.200]  裡面講那個年輕人正在做菜等他女朋友來
[00:04:05.200 --> 00:04:06.300]  他很高興
[00:04:06.300 --> 00:04:08.200]  那個菜刀正在切菜
[00:04:08.200 --> 00:04:12.200]  旁邊煮了一個番茄的濃湯
[00:04:12.200 --> 00:04:14.200]  沒想到正在切菜的時候
[00:04:14.200 --> 00:04:16.500]  他的貓就跳進來
[00:04:16.500 --> 00:04:19.300]  一跳就跳到這個湯的裡面
[00:04:19.300 --> 00:04:20.500]  燙死了
[00:04:20.500 --> 00:04:22.300]  就踢翻整鍋湯
[00:04:22.300 --> 00:04:23.900]  整鍋湯倒到地上
[00:04:23.900 --> 00:04:27.100]  這個貓也跌到這個湯汁的裡面
[00:04:27.100 --> 00:04:30.800]  他一看趕快把這隻貓救上來
[00:04:30.800 --> 00:04:33.000]  全隻貓紅淋淋的
[00:04:33.000 --> 00:04:34.600]  手上拿著菜刀
[00:04:34.600 --> 00:04:39.500]  就在這個時刻他女朋友走進來了
[00:04:39.500 --> 00:04:45.500]  下面有行字說很多事不是像你所想像的
[00:04:45.500 --> 00:04:47.600]  這是為什麼我們需要溝通
[00:04:47.600 --> 00:04:53.300]  很多時候我們常常發現在夫妻之間有多少的誤會跟誤解
[00:04:53.300 --> 00:04:55.200]  就是因為缺乏溝通
[00:04:55.200 --> 00:05:00.300]  但你要注意溝通的目的不是要去改變對方
[00:05:00.300 --> 00:05:03.600]  溝通的目的是要去了解對方
[00:05:03.600 --> 00:05:07.900]  太多時候我看見很多的夫妻太急於想改變對方
[00:05:07.900 --> 00:05:11.400]  為什麼溝通就希望改變他
[00:05:11.400 --> 00:05:12.500]  所以有人這樣的比喻
[00:05:12.500 --> 00:05:17.100]  他說在婚前常常是女方不斷地在講
[00:05:17.100 --> 00:05:19.900]  因為女的想改變男的
[00:05:19.900 --> 00:05:22.600]  結婚之後就變成男的開始講
[00:05:22.600 --> 00:05:24.100]  現在輪到我了
[00:05:24.100 --> 00:05:27.800]  結完婚是男的開始想改變女的
[00:05:27.800 --> 00:05:29.500]  不久之後兩個開始講
[00:05:29.500 --> 00:05:30.600]  鄰居聽了
[00:05:30.600 --> 00:05:31.500]  吵架了
[00:05:31.500 --> 00:05:33.300]  不斷地講
[00:05:33.300 --> 00:05:35.200]  再不久兩個都不講了
[00:05:35.200 --> 00:05:36.400]  因為吵架也沒用了
[00:05:36.400 --> 00:05:38.600]  就放棄了
[00:05:38.600 --> 00:05:41.500]  為什麼婚姻會變成這樣子呢
[00:05:41.500 --> 00:05:46.000]  因為我們只是不斷地想要改變對方
[00:05:46.000 --> 00:05:46.900]  事實上我告訴你
[00:05:46.900 --> 00:05:49.000]  一個成功美滿的婚姻
[00:05:49.000 --> 00:05:52.900]  永遠不是因為對方被改變
[00:05:52.900 --> 00:05:55.500]  很多人有一種錯誤的以為
[00:05:55.500 --> 00:05:57.400]  以為說如果對方被改變
[00:05:57.400 --> 00:06:01.200]  那美滿生活從此開始
[00:06:01.200 --> 00:06:04.800]  跟你旁邊說錯了
[00:06:04.800 --> 00:06:07.600]  常常問題不在於他
