
[00:00:00.000 --> 00:00:01.500]  請姐妹平安
[00:00:01.500 --> 00:00:03.000]  平安
[00:00:03.000 --> 00:00:06.000]  我們會繼續講彼得前書
[00:00:06.000 --> 00:00:10.000]  我們記得上一次吳教師
[00:00:10.000 --> 00:00:13.000]  跟我們講了彼得前書的背景
[00:00:13.000 --> 00:00:18.000]  再上一次李天佑教師跟我們講了彼得
[00:00:18.000 --> 00:00:20.500]  我們繼續講彼得前書第一章
[00:00:20.500 --> 00:00:23.000]  我們先揭開彼得前書第一章
[00:00:23.000 --> 00:00:25.000]  打開你的聖經
[00:00:25.000 --> 00:00:31.000]  我們今天會講第三節去到第十二節
[00:00:31.000 --> 00:00:33.000]  不過在講之前
[00:00:33.000 --> 00:00:37.000]  我想做一個很簡單的統計
[00:00:37.000 --> 00:00:40.000]  因為大家如果記得吳教師
[00:00:40.000 --> 00:00:42.000]  李天佑教師講的時候
[00:00:42.000 --> 00:00:46.000]  知道彼得前書就是彼得寫信給一班
[00:00:46.000 --> 00:00:49.000]  在小亞、細亞的信徒
[00:00:49.000 --> 00:00:54.000]  原因是因為他們正在受苦
[00:00:54.000 --> 00:00:57.000]  於是彼得寫信給他們
[00:00:57.000 --> 00:01:00.000]  在苦難裡他們怎樣堅持
[00:01:00.000 --> 00:01:04.000]  在苦難裡他們怎樣去過
[00:01:04.000 --> 00:01:07.000]  讓神得喜悅的生活
[00:01:07.000 --> 00:01:10.000]  所以我第一個問題就是
[00:01:10.000 --> 00:01:14.000]  你是不是其中的一個
[00:01:14.000 --> 00:01:17.000]  需要受到鼓勵的人
[00:01:17.000 --> 00:01:19.000]  我會問兩個問題
[00:01:19.000 --> 00:01:21.000]  第一個
[00:01:21.000 --> 00:01:26.000]  你現在的生活、你現在的生命苦嗎
[00:01:26.000 --> 00:01:29.000]  很簡單,容易嗎
[00:01:29.000 --> 00:01:34.000]  你現在的生命、你現在的生活、你現在的心境苦嗎
[00:01:34.000 --> 00:01:36.000]  我給三個選擇
[00:01:36.000 --> 00:01:38.000]  第一個選擇
[00:01:38.000 --> 00:01:40.000]  我自己覺得苦
[00:01:40.000 --> 00:01:43.000]  第二個選擇
[00:01:43.000 --> 00:01:47.000]  少少,但都OK,平平無奇
[00:01:47.000 --> 00:01:50.000]  有時苦有時不苦,都無所謂
[00:01:50.000 --> 00:01:52.000]  第三個選擇
[00:01:52.000 --> 00:01:55.000]  完全都不苦,我覺得非常之高興
[00:01:55.000 --> 00:01:58.000]  明不明白,這是第一個問題
[00:01:58.000 --> 00:02:02.000]  你生活、你的生命、你現在的心情苦嗎
[00:02:02.000 --> 00:02:04.000]  簡單的統計
[00:02:04.000 --> 00:02:08.000]  好,你覺得現在很快樂的
[00:02:08.000 --> 00:02:12.000]  不覺得苦的,請你舉起你的手
[00:02:12.000 --> 00:02:15.000]  大家看看旁邊的人
[00:02:15.000 --> 00:02:19.000]  你們知道我們團會弟兄姊妹的心境如何
[00:02:19.000 --> 00:02:21.000]  OK,感謝主
[00:02:21.000 --> 00:02:24.000]  第二個,平平無奇,OK啦
[00:02:24.000 --> 00:02:26.000]  舉手
[00:02:26.000 --> 00:02:29.000]  嘩,多這麼多
[00:02:29.000 --> 00:02:31.000]  OK,第三個
[00:02:31.000 --> 00:02:35.000]  苦的,你覺得辛苦的
[00:02:35.000 --> 00:02:38.000]  都有一些,是嗎
[00:02:38.000 --> 00:02:41.000]  好,第二個問題
[00:02:41.000 --> 00:02:45.000]  其實寫信給這班信徒
[00:02:45.000 --> 00:02:50.000]  我不是單單說他們生活受著壓迫而苦
[00:02:50.000 --> 00:02:55.000]  更加是因為他們在那個時候做基督徒
[00:02:55.000 --> 00:02:59.000]  堅持那個信仰
[00:02:59.000 --> 00:03:01.000]  痛苦
[00:03:01.000 --> 00:03:04.000]  那時羅馬政權逼迫他們
[00:03:04.000 --> 00:03:08.000]  那時猶太教的人,那些傳統的猶太人
[00:03:08.000 --> 00:03:13.000]  又覺得他們反叛
[00:03:13.000 --> 00:03:17.000]  可以說左右不是人
[00:03:17.000 --> 00:03:19.000]  所以他們辛苦
[00:03:19.000 --> 00:03:21.000]  所以第二個問題就是
[00:03:21.000 --> 00:03:25.000]  在香港此時此刻做基督徒
[00:03:25.000 --> 00:03:28.000]  按著神的心意做一個正直的人
[00:03:28.000 --> 00:03:31.000]  做一個有愛的人
[00:03:31.000 --> 00:03:35.000]  做一個誠實的人
[00:03:35.000 --> 00:03:39.000]  按時候親近神
[00:03:39.000 --> 00:03:42.000]  你覺得苦嗎
[00:03:42.000 --> 00:03:44.000]  這是第二個問題
[00:03:44.000 --> 00:03:46.000]  不是單單說你的生活
[00:03:46.000 --> 00:03:48.000]  說做基督徒
[00:03:48.000 --> 00:03:49.000]  你覺得苦嗎
[00:03:49.000 --> 00:03:51.000]  同樣剛才三個選擇
[00:03:51.000 --> 00:03:52.000]  不重複了
[00:03:52.000 --> 00:03:54.000]  不過我們這次從苦的開始
[00:03:54.000 --> 00:03:56.000]  先舉手
[00:03:56.000 --> 00:04:00.000]  你覺得苦的,請你舉手
[00:04:00.000 --> 00:04:02.000]  都有一些
[00:04:02.000 --> 00:04:05.000]  OK,你覺得OK啦
[00:04:05.000 --> 00:04:09.000]  請你舉手
[00:04:09.000 --> 00:04:12.000]  比剛才少
[00:04:12.000 --> 00:04:13.000]  第三個
[00:04:13.000 --> 00:04:17.000]  你覺得不苦的在香港做基督徒
[00:04:17.000 --> 00:04:22.000]  多很多
[00:04:22.000 --> 00:04:24.000]  可以為你們感恩
[00:04:24.000 --> 00:04:26.000]  不過又有少少擔心
[00:04:26.000 --> 00:04:29.000]  為什麼呢
[00:04:29.000 --> 00:04:32.000]  如果你在香港做基督徒不苦
[00:04:32.000 --> 00:04:34.000]  有兩個可能
[00:04:34.000 --> 00:04:37.000]  一個可能你堅持得很好
[00:04:37.000 --> 00:04:38.000]  你做的見證得很好
[00:04:38.000 --> 00:04:41.000]  所以身邊的人都很佩服你
[00:04:41.000 --> 00:04:43.000]  第二個可能
[00:04:43.000 --> 00:04:45.000]  你只是活在教會裏面
[00:04:45.000 --> 00:04:47.000]  或者是
[00:04:47.000 --> 00:04:49.000]  你已經和這個世界同化了
[00:04:49.000 --> 00:04:54.000]  都沒什麼所謂了
[00:04:54.000 --> 00:04:56.000]  所以完全沒有掙扎
[00:04:56.000 --> 00:05:00.000]  這個值得去反省
[00:05:00.000 --> 00:05:03.000]  因為我們現在知道
[00:05:03.000 --> 00:05:05.000]  如果你在香港生活
