
[00:00:00.000 --> 00:00:02.000]  到38章到41章
[00:00:02.000 --> 00:00:04.000]  耶和華神終於說話
[00:00:04.000 --> 00:00:07.000]  究竟約伯的期待
[00:00:07.000 --> 00:00:11.000]  是否上帝可以符合祂的期待呢?
[00:00:11.000 --> 00:00:14.000]  當我自己看回38章到41章的時候
[00:00:14.000 --> 00:00:17.000]  我看到耶和華終於開始說話了
[00:00:17.000 --> 00:00:19.000]  當我自己還沒看回這四章聖經的時候
[00:00:19.000 --> 00:00:21.000]  我自己心裡有個期待
[00:00:21.000 --> 00:00:23.000]  我說主啊,我應該期待
[00:00:23.000 --> 00:00:26.000]  如果我是約伯,我會期待神說
[00:00:26.000 --> 00:00:28.000]  喂,約伯,你真是乖孩子
[00:00:28.000 --> 00:00:31.000]  你看,撒旦說你不行
[00:00:31.000 --> 00:00:33.000]  我看得起你,我說你行
[00:00:33.000 --> 00:00:35.000]  所以我就給撒旦教教你
[00:00:35.000 --> 00:00:40.000]  終於你行了,真的讓我沒面子
[00:00:40.000 --> 00:00:44.000]  可能我期待耶和華神這樣去讚約伯
[00:00:44.000 --> 00:00:47.000]  說祂就算上帝不讚約伯
[00:00:47.000 --> 00:00:50.000]  最低限度去到約伯旁邊拍拍祂的肩膀
[00:00:50.000 --> 00:00:53.000]  我知道祢辛苦,這樣挺好的
[00:00:53.000 --> 00:00:55.000]  這個是人的期待
[00:00:55.000 --> 00:00:57.000]  這個也是我心上約伯的期待
[00:00:57.000 --> 00:00:59.000]  最低限度,我沒有功,也有什麼?
[00:00:59.000 --> 00:01:02.000]  也有奴,也是拍拍我的頭
[00:01:02.000 --> 00:01:05.000]  但如果我們看回38章到41章的時候
[00:01:05.000 --> 00:01:07.000]  我們看到耶和華神說了兩篇講章
[00:01:07.000 --> 00:01:10.000]  第一篇講章由38節到40章第五節
[00:01:10.000 --> 00:01:14.000]  第二篇講章由40章第六節到41章
[00:01:14.000 --> 00:01:16.000]  是兩篇不同的講章
[00:01:16.000 --> 00:01:18.000]  而上帝在這兩篇講章當中
[00:01:18.000 --> 00:01:20.000]  當我第一次讀的時候
[00:01:20.000 --> 00:01:22.000]  我說不是吧?說這些話
[00:01:22.000 --> 00:01:27.000]  因為上帝非但沒有任何對約伯的申冤
[00:01:27.000 --> 00:01:29.000]  也沒有作出任何回應
[00:01:29.000 --> 00:01:32.000]  我們以前也說申冤在上帝
[00:01:32.000 --> 00:01:36.000]  但我們看不到上帝有任何為約伯的申冤
[00:01:36.000 --> 00:01:38.000]  反而我們看到
[00:01:38.000 --> 00:01:40.000]  如果和合本的翻譯
[00:01:40.000 --> 00:01:42.000]  如果大家有空回去數一數
[00:01:42.000 --> 00:01:45.000]  和合本的翻譯由38章到41章
[00:01:45.000 --> 00:01:48.000]  你數一數有多少個問號
[00:01:48.000 --> 00:01:50.000]  我自己數的
[00:01:50.000 --> 00:01:52.000]  我數到有72個問號
[00:01:52.000 --> 00:01:56.000]  即是說上帝非但沒有去解釋
[00:01:56.000 --> 00:02:01.000]  或者去回應約伯的申訴
[00:02:01.000 --> 00:02:07.000]  反而上帝問了約伯72條問題
[00:02:07.000 --> 00:02:11.000]  有些解經家說某些翻譯版本有77條問題
[00:02:11.000 --> 00:02:13.000]  不過和合本你有空數
[00:02:13.000 --> 00:02:15.000]  我數到是72條
[00:02:15.000 --> 00:02:17.000]  有一個版本是59條
[00:02:17.000 --> 00:02:20.000]  每個人不同 視乎你怎樣看問題
[00:02:20.000 --> 00:02:22.000]  無論是59條也好 72條也好
[00:02:22.000 --> 00:02:24.000]  或者77條問題也好
[00:02:24.000 --> 00:02:28.000]  換言之上帝非但沒有回應約伯的申訴
[00:02:28.000 --> 00:02:31.000]  反而還問了約伯70多條問題
[00:02:31.000 --> 00:02:34.000]  當我自己這樣 為甚麼呢
[00:02:34.000 --> 00:02:36.000]  但另一方面 我也會這樣
