
[00:00:00.000 --> 00:00:03.000]  很想和大家介紹一個舊約裏面
[00:00:03.000 --> 00:00:04.760]  你可以說是一個小人物
[00:00:04.760 --> 00:00:08.200]  但是其實在我整個預備這個講道的過程裏面
[00:00:08.200 --> 00:00:10.000]  我覺得這個不是一個小人物
[00:00:10.000 --> 00:00:14.200]  雖然他的出現都好像只是曇花一現
[00:00:14.200 --> 00:00:18.200]  在舊約的整個那麼多卷裏面
[00:00:18.200 --> 00:00:21.200]  即是經卷裏面
[00:00:21.200 --> 00:00:21.800]  只是曇花一現
[00:00:21.800 --> 00:00:25.800]  好像突然間出現之後就消失了
[00:00:25.800 --> 00:00:27.600]  但是你會看到其實
[00:00:27.600 --> 00:00:31.000]  我會覺得在整個聖經裏面
[00:00:31.000 --> 00:00:33.000]  他是一個很重要的人
[00:00:33.000 --> 00:00:36.000]  以及是一個很令人感動的
[00:00:36.000 --> 00:00:38.600]  即是他的生命是很令人感動的人
[00:00:38.600 --> 00:00:42.600]  以及真的絕對值得我們每一個人來學習
[00:00:42.600 --> 00:00:45.800]  究竟這個人是什麼人呢?
[00:00:45.800 --> 00:00:48.000]  他叫做俄別爾東
[00:00:48.000 --> 00:00:49.800]  俄別爾東有沒有人聽過?
[00:00:49.800 --> 00:00:50.800]  (有)
[00:00:50.800 --> 00:00:51.800]  有,OK,好
[00:00:51.800 --> 00:00:52.400]  (剛剛聽完)
[00:00:52.400 --> 00:00:54.200]  剛剛聽完,對了
[00:00:54.200 --> 00:00:55.600]  是不是John Beyer?
[00:00:55.600 --> 00:00:56.600]  (不是)
[00:00:56.600 --> 00:00:58.200]  哦,OK,好
[00:00:58.200 --> 00:01:00.200]  那其他人應該舉手吧
[00:01:00.200 --> 00:01:01.800]  那麼懶的
[00:01:01.800 --> 00:01:02.800]  OK
[00:01:02.800 --> 00:01:04.800]  俄別爾東
[00:01:04.800 --> 00:01:08.400]  這個人,當我提起這個人
[00:01:08.400 --> 00:01:11.200]  你除了聯想起我剛剛說過之外
[00:01:11.200 --> 00:01:14.200]  其實你聯想起什麼呢?
[00:01:14.200 --> 00:01:23.400]  聯想起約瑰
[00:01:23.400 --> 00:01:25.200]  其實這件事大概就是這樣的
[00:01:25.200 --> 00:01:26.800]  就說,對了,聯想起約瑰
[00:01:26.800 --> 00:01:28.800]  就是大家一定會聯想
[00:01:28.800 --> 00:01:34.200]  因為大衛將約瑰第一次搬進耶路撒冷城的時候
[00:01:34.200 --> 00:01:40.600]  他就用牛車拉進城內
[00:01:40.600 --> 00:01:42.400]  但是怎知道牛失前蹄
[00:01:42.400 --> 00:01:44.400]  即是牛好像卡住了
[00:01:44.400 --> 00:01:46.400]  然後整個約瑰就倒塌了
[00:01:46.400 --> 00:01:47.600]  倒塌之後
[00:01:47.600 --> 00:01:51.000]  突然間烏薩非常熱心
[00:01:51.000 --> 00:01:55.800]  走走走,走去之後扶著約瑰一聲
[00:01:55.800 --> 00:01:57.200]  就死了
[00:01:57.200 --> 00:01:59.000]  對了,就被神去擊殺
[00:01:59.000 --> 00:02:02.400]  然後大衛王,怎樣?
[00:02:02.400 --> 00:02:04.800]  見到這樣的情況
[00:02:04.800 --> 00:02:06.000]  很害怕,膽怯
[00:02:06.000 --> 00:02:07.800]  哦,為什麼?
[00:02:07.800 --> 00:02:11.000]  哇,約瑰怎麼可以搬進去大衛的城?
[00:02:11.000 --> 00:02:13.600]  然後搬去哪裏?
[00:02:13.600 --> 00:02:15.600]  俄別爾東的家
[00:02:15.600 --> 00:02:18.800]  還要搬在那裏多久?
[00:02:18.800 --> 00:02:20.000]  三個月
[00:02:20.000 --> 00:02:22.000]  一個暑假那麼久
[00:02:22.000 --> 00:02:24.400]  暑假現在沒那麼久,抱歉
[00:02:24.400 --> 00:02:27.400]  不好意思,引起大家的羨慕
[00:02:27.400 --> 00:02:28.600]  三個月
[00:02:28.600 --> 00:02:30.400]  而聖經記載
[00:02:30.400 --> 00:02:34.200]  約瑰放在俄別爾東家裏三個月
[00:02:34.200 --> 00:02:36.000]  神因為約瑰在他家裏
[00:02:36.000 --> 00:02:39.000]  所以大大祝福俄別爾東
[00:02:39.000 --> 00:02:42.000]  然後這件事情
[00:02:42.000 --> 00:02:43.800]  成為俄別爾東
[00:02:43.800 --> 00:02:46.000]  他整個人生扭轉了
[00:02:46.000 --> 00:02:50.000]  然後到最後,他的生命有什麼改變呢?
[00:02:50.000 --> 00:02:53.000]  還有在這件事情發生了之後
[00:02:53.000 --> 00:02:59.000]  他會成為敬拜隊的其中一個成員
[00:02:59.000 --> 00:03:06.000]  同時亦成為看守神聖殿大門的其中一位成員
[00:03:06.000 --> 00:03:08.000]  究竟他生命裏發生了什麼事
[00:03:08.000 --> 00:03:09.000]  讓他成為
[00:03:09.000 --> 00:03:12.400]  讓神成為他一生的渴求呢?
[00:03:12.400 --> 00:03:16.000]  想一齊打開聖經,好嗎?
[00:03:16.000 --> 00:03:19.000]  撒慕爾記下六章九至十二節
[00:03:19.000 --> 00:03:21.000]  不如這樣,因為有兩節
[00:03:21.000 --> 00:03:23.000]  我想大兄打開這一節,好嗎?
[00:03:23.000 --> 00:03:26.000]  撒慕爾記下六章九至十二節
[00:03:26.000 --> 00:03:28.000]  (笑)
[00:03:28.000 --> 00:03:30.000]  那沒辦法了
[00:03:30.000 --> 00:03:36.000]  姐妹打開歷代至上十五章十六至十八節
[00:03:36.000 --> 00:03:41.000]  姐妹打開歷代至上十五章十六至十八節
[00:03:41.000 --> 00:03:43.000]  大兄首先讀,好嗎?
[00:03:43.000 --> 00:03:47.000]  撒慕爾記下六章九至十二節
[00:03:47.000 --> 00:03:50.000]  好,找到大兄一起讀,預備,一二三
[00:03:50.000 --> 00:03:53.000]  那日大衛懼怕耶和華
[00:03:53.000 --> 00:03:57.000]  說:耶和華的約衛怎可運到我這裡來?
[00:03:57.000 --> 00:04:02.000]  於是大衛不肯將耶和華的約衛運進大衛的城
[00:04:02.000 --> 00:04:06.000]  卻運到加特人俄別以東的家中
[00:04:06.000 --> 00:04:11.000]  耶和華的約衛在加特人俄別以東家中三個月
[00:04:11.000 --> 00:04:15.000]  耶和華似乎及俄別以東和他的全家
[00:04:15.000 --> 00:04:17.000]  有人告訴大衛王說
[00:04:17.000 --> 00:04:21.000]  耶和華因為約衛似乎及俄別以東的家
[00:04:21.000 --> 00:04:23.000]  和一切屬他的
[00:04:23.000 --> 00:04:27.000]  大衛就去歡歡喜喜的將神的約衛
[00:04:27.000 --> 00:04:30.000]  從俄別以東家中抬到大衛的城裡
[00:04:30.000 --> 00:04:32.000]  好,請姐妹
[00:04:32.000 --> 00:04:35.000]  大衛吩咐利美人的族長
[00:04:35.000 --> 00:04:37.000]  派他們歌唱的弟兄
[00:04:37.000 --> 00:04:39.000]  用琴瑟和筆作樂
[00:04:39.000 --> 00:04:42.000]  歡歡喜喜地大聲歌頌
[00:04:42.000 --> 00:04:46.000]  於是利美人派若爾的兒子希蠻
[00:04:46.000 --> 00:04:50.000]  和他弟兄中比利加的兒子阿薩
[00:04:50.000 --> 00:04:56.000]  並他們族弟兄米拉尼子孫裡古沙瓦的兒子以譚
[00:04:56.000 --> 00:05:00.000]  其次還有他們的弟兄薩加尼亞
[00:05:00.000 --> 00:05:07.000]  便那斯米拉末耶切烏尼以利亞比拿亞
[00:05:07.000 --> 00:05:14.000]  阿西亞瑪他提亞以利菲利胡尼克尼亞
[00:05:14.000 --> 00:05:17.000]  並守門的俄別以東和耶利
[00:05:17.000 --> 00:05:22.000]  有時候想如果舊約的名字是中國人的名字
[00:05:22.000 --> 00:05:25.000]  就是陳大文,達王小虎
[00:05:25.000 --> 00:05:28.000]  你說多容易讀呢
[00:05:28.000 --> 00:05:32.000]  其實聖經不單止是這兩段經文
[00:05:32.000 --> 00:05:34.000]  我只不過是很想透過這兩段經文
[00:05:34.000 --> 00:05:37.000]  讓你看到俄別以東前面發生什麼事
[00:05:37.000 --> 00:05:38.000]  他出場在哪裏出
[00:05:38.000 --> 00:05:41.000]  然後後面中間又發生了什麼事
[00:05:41.000 --> 00:05:44.000]  其實聖經提這個俄別以東
[00:05:44.000 --> 00:05:46.000]  其實雖然不多
[00:05:46.000 --> 00:05:50.000]  但其實都大概都有十次左右
[00:05:50.000 --> 00:05:52.000]  其實不是很顯眼
