
[00:00:00.000 --> 00:00:11.000]  今天要分享彼得前書第二章的第十八節到二十五節
[00:00:11.000 --> 00:00:14.000]  因爲這段聖經比較長
[00:00:14.000 --> 00:00:17.000]  我就不給大家唸了
[00:00:17.000 --> 00:00:23.000]  中心的思想就是基督徒要忍耐
[00:00:23.000 --> 00:00:29.000]  忍耐是我們基督徒的美德
[00:00:29.000 --> 00:00:37.000]  是信心 愛心 盼望的心所開出來的花朵
[00:00:37.000 --> 00:00:40.000]  我講國語你們聽得懂嗎
[00:00:40.000 --> 00:00:42.000]  真佩服你們
[00:00:42.000 --> 00:00:47.000]  又講粵語 又唱英語歌 還唱國語歌
[00:00:47.000 --> 00:00:49.000]  我儘量講得慢一點
[00:00:49.000 --> 00:00:54.000]  其實聖經裏告訴我們基督徒要忍耐
[00:00:54.000 --> 00:00:59.000]  這裏面講到不僅對好的要忍耐
[00:00:59.000 --> 00:01:02.000]  對不好的也要忍耐
[00:01:02.000 --> 00:01:05.000]  那些善良溫和的我們要忍耐
[00:01:05.000 --> 00:01:10.000]  就是那個乖僻的也要順服
[00:01:10.000 --> 00:01:16.000]  聖經告訴我們爲了我們的良心對得住神
[00:01:16.000 --> 00:01:21.000]  要忍受冤屈的苦楚
[00:01:21.000 --> 00:01:28.000]  我們如果因着我們行善而受苦能忍耐
[00:01:28.000 --> 00:01:32.000]  這就在上帝看來是可喜愛的
[00:01:32.000 --> 00:01:35.000]  你們蒙昭原是爲此
[00:01:35.000 --> 00:01:38.000]  因爲基督也爲你們受過苦
[00:01:38.000 --> 00:01:40.000]  給你們留下榜樣
[00:01:40.000 --> 00:01:42.000]  叫你們跟隨他的腳蹤行
[00:01:42.000 --> 00:01:44.000]  他並沒有犯罪
[00:01:44.000 --> 00:01:46.000]  口裏也沒有詭詐
[00:01:46.000 --> 00:01:51.000]  他被罵不還口受害不說威嚇的話
[00:01:51.000 --> 00:01:56.000]  只將自己交給那按公義審判人的主
[00:01:56.000 --> 00:01:59.000]  這一段聖經的含義很深
[00:01:59.000 --> 00:02:02.000]  他給我們基督徒提出了一個
[00:02:02.000 --> 00:02:09.000]  比世界上的好人還要高的道德標準
[00:02:09.000 --> 00:02:14.000]  就是讓我們要忍辱負重來榮耀神
[00:02:14.000 --> 00:02:16.000]  世界上講公平
[00:02:16.000 --> 00:02:18.000]  但是基督徒不講公平
[00:02:18.000 --> 00:02:19.000]  講喫虧
[00:02:19.000 --> 00:02:21.000]  你們知道
[00:02:21.000 --> 00:02:25.000]  世界上講以眼還眼以牙還牙
[00:02:25.000 --> 00:02:28.000]  有仇不報非君子
[00:02:28.000 --> 00:02:32.000]  但是基督徒就是打右臉給左臉
[00:02:32.000 --> 00:02:36.000]  偷內衣送外衣
[00:02:36.000 --> 00:02:40.000]  強迫你走一里你就陪他走二里
[00:02:40.000 --> 00:02:41.000]  這公平嗎
[00:02:41.000 --> 00:02:43.000]  一點都不公平
[00:02:43.000 --> 00:02:46.000]  所以如果一個基督徒站在大街上
[00:02:46.000 --> 00:02:48.000]  去跟世人一樣爭公平
[00:02:48.000 --> 00:02:51.000]  你就不是基督徒
[00:02:51.000 --> 00:02:54.000]  登山寶訓裏面講的
[00:02:54.000 --> 00:02:58.000]  全是超越人間的法律的
[00:02:58.000 --> 00:03:00.000]  如果有一個法官審判的時候說
[00:03:00.000 --> 00:03:01.000]  你偷了他一輛車
[00:03:01.000 --> 00:03:06.000]  我現在宣判再送他一輛
[00:03:06.000 --> 00:03:07.000]  他打了你了
[00:03:07.000 --> 00:03:11.000]  現在我宣判再打這邊
[00:03:11.000 --> 00:03:12.000]  你欠他一萬塊錢
[00:03:12.000 --> 00:03:15.000]  我宣判不還了
[00:03:15.000 --> 00:03:18.000]  這全是耶穌在登山寶訓的教導
[00:03:18.000 --> 00:03:19.000]  但是在人間
[00:03:19.000 --> 00:03:22.000]  這全是不合法的
[00:03:22.000 --> 00:03:23.000]  不合情的
[00:03:23.000 --> 00:03:24.000]  不合理的
[00:03:24.000 --> 00:03:25.000]  是不是
[00:03:25.000 --> 00:03:27.000]  是冤枉
[00:03:27.000 --> 00:03:29.000]  是要申冤的
[00:03:29.000 --> 00:03:32.000]  其實最大的冤枉就是耶穌基督
[00:03:32.000 --> 00:03:35.000]  人類歷史上最大的冤案是什麼案
[00:03:35.000 --> 00:03:38.000]  是十字架
[00:03:38.000 --> 00:03:40.000]  他一點罪都沒犯
[00:03:40.000 --> 00:03:44.000]  卻當作罪犯釘刺在十字架上
[00:03:44.000 --> 00:03:48.000]  而那個巴拉巴真正的罪犯卻放了
[00:03:48.000 --> 00:03:51.000]  到現在還逍遙在人間
[00:03:51.000 --> 00:03:53.000]  你們知道巴拉巴現在還活着呢
[00:03:53.000 --> 00:03:55.000]  你們知道嗎
[00:03:55.000 --> 00:03:58.000]  怎麼不知道我滿大街都是
[00:03:58.000 --> 00:04:02.000]  就那些犯罪的
[00:04:02.000 --> 00:04:07.000]  所以我們基督徒是特殊的人
[00:04:07.000 --> 00:04:09.000]  我們是神的兒女
[00:04:09.000 --> 00:04:11.000]  天國的子民
[00:04:11.000 --> 00:04:14.000]  我們走的是天路
[00:04:14.000 --> 00:04:18.000]  我們奔的是永生
[00:04:18.000 --> 00:04:21.000]  所以今生的那些律法
[00:04:21.000 --> 00:04:26.000]  已經不在我們的話下
[00:04:26.000 --> 00:04:27.000]  已經超越了
[00:04:27.000 --> 00:04:30.000]  所以耶穌說你們行的善行的義
[00:04:30.000 --> 00:04:32.000]  如果不勝過法利塞人
[00:04:32.000 --> 00:04:35.000]  就不能進神的國
[00:04:35.000 --> 00:04:38.000]  他向我們基督徒提出一個更高的標準
[00:04:38.000 --> 00:04:40.000]  這是看得起我們
[00:04:40.000 --> 00:04:43.000]  說你們是君尊的祭司
[00:04:43.000 --> 00:04:45.000]  聖潔的國度
[00:04:45.000 --> 00:04:48.000]  你們是神的形象
[00:04:48.000 --> 00:04:50.000]  你們是光要照在人前
[00:04:50.000 --> 00:04:53.000]  你不能跟他們一般見識
[00:04:53.000 --> 00:04:57.000]  你知道成年人從來不跟小孩子一般見識
[00:04:57.000 --> 00:04:58.000]  基督徒
[00:04:58.000 --> 00:05:00.000]  一個真正的基督徒
[00:05:00.000 --> 00:05:03.000]  是不跟世人計較的
[00:05:03.000 --> 00:05:05.000]  就是要受苦的
[00:05:05.000 --> 00:05:07.000]  就是要喫虧的
[00:05:07.000 --> 00:05:09.000]  耶穌講了很多這樣的話
[00:05:09.000 --> 00:05:14.000]  耶穌說你們忍耐到底的必然得救
[00:05:14.000 --> 00:05:16.000]  我們現在的說法是我們都得救了
[00:05:16.000 --> 00:05:18.000]  沒有問題
[00:05:18.000 --> 00:05:21.000]  但是得了救了就要忍耐
[00:05:21.000 --> 00:05:22.000]  因信稱義了
[00:05:22.000 --> 00:05:24.000]  你就要行出義來
[00:05:24.000 --> 00:05:26.000]  是吧
[00:05:26.000 --> 00:05:28.000]  所以耶穌還講過
[00:05:28.000 --> 00:05:31.000]  忍耐着結實
[00:05:31.000 --> 00:05:33.000]  忍耐着結果子
[00:05:33.000 --> 00:05:35.000]  我們基督徒生命的果子
[00:05:35.000 --> 00:05:38.000]  都是在忍耐中結出來的
[00:05:38.000 --> 00:05:40.000]  不是在隨心所欲
[00:05:40.000 --> 00:05:42.000]  情投意合
[00:05:42.000 --> 00:05:45.000]  在世人的鼓掌歡呼當中
[00:05:45.000 --> 00:05:46.000]  你做基督徒
[00:05:46.000 --> 00:05:47.000]  不是的
[00:05:47.000 --> 00:05:49.000]  你會有很多的苦
[00:05:49.000 --> 00:05:52.000]  誤解逼迫
[00:05:52.000 --> 00:05:54.000]  很多關於忍耐的事情
[00:05:54.000 --> 00:05:57.000]  耶穌說如果你只愛那愛你的人
[00:05:57.000 --> 00:05:59.000]  有什麼可賞賜的呢
[00:05:59.000 --> 00:06:01.000]  就是稅勵也是如此
[00:06:01.000 --> 00:06:03.000]  所以我們的基督徒講
[00:06:03.000 --> 00:06:05.000]  愛是恆久忍耐
[00:06:05.000 --> 00:06:07.000]  爲什麼愛是恆久忍耐呢
[00:06:07.000 --> 00:06:10.000]  因爲你是愛不可愛的人
[00:06:10.000 --> 00:06:13.000]  你是愛不愛你的人
[00:06:13.000 --> 00:06:15.000]  你要愛那恨你的人
[00:06:15.000 --> 00:06:18.000]  你要愛那冒犯你的人
[00:06:18.000 --> 00:06:19.000]  真的
[00:06:19.000 --> 00:06:20.000]  耶穌愛的是什麼人
[00:06:20.000 --> 00:06:21.000]  耶穌愛的是
[00:06:21.000 --> 00:06:25.000]  把他釘死在十字架上的仇敵
[00:06:25.000 --> 00:06:28.000]  我們原來都是與神爲敵的
[00:06:28.000 --> 00:06:29.000]  他卻愛我們
[00:06:29.000 --> 00:06:33.000]  我們還在過犯罪惡死亡當中
[00:06:33.000 --> 00:06:36.000]  他就爲我們死在十字架上
[00:06:36.000 --> 00:06:39.000]  神的愛在此向我們顯明
[00:06:39.000 --> 00:06:41.000]  這是真正的愛
[00:06:41.000 --> 00:06:46.000]  所以聖經裏面講了很多的忍耐
[00:06:46.000 --> 00:06:48.000]  當然我現在要跟大家分享
[00:06:48.000 --> 00:06:50.000]  剛纔我們經文裏邊所談到的忍耐
[00:06:50.000 --> 00:06:53.000]  不是無可奈何的忍耐
[00:06:53.000 --> 00:06:54.000]  不是無奈
[00:06:54.000 --> 00:06:56.000]  忍耐不是無奈
[00:06:56.000 --> 00:06:59.000]  聖經上講愛是恆久忍耐
[00:06:59.000 --> 00:07:00.000]  接下來一句話是什麼
[00:07:00.000 --> 00:07:01.000]  你們知道
[00:07:01.000 --> 00:07:03.000]  又有恩賜
[00:07:03.000 --> 00:07:05.000]  這個忍耐是帶着恩賜的
[00:07:05.000 --> 00:07:06.000]  什麼叫恩賜呢
[00:07:06.000 --> 00:07:08.000]  就是甘心樂意
[00:07:08.000 --> 00:07:11.000]  這是剛纔彼得前書所說的
[00:07:11.000 --> 00:07:14.000]  爲了叫良心對得住神
[00:07:14.000 --> 00:07:18.000]  所以我們就忍耐忍耐再忍耐
[00:07:18.000 --> 00:07:20.000]  是甘心情願的
[00:07:20.000 --> 00:07:22.000]  不是無可奈何的
[00:07:22.000 --> 00:07:25.000]  那種咬牙切齒的忍啊
[00:07:25.000 --> 00:07:28.000]  那個不是真正的忍耐
[00:07:28.000 --> 00:07:30.000]  因爲你忍來忍去
[00:07:30.000 --> 00:07:33.000]  最後總有一個忍無可忍的時候
[00:07:33.000 --> 00:07:36.000]  那一爆發不得了
[00:07:36.000 --> 00:07:38.000]  那真正的忍耐是什麼呢
