
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹,早晨!
[00:00:02.000 --> 00:00:06.000]  有一個返了教會很久的伯爺婆
[00:00:06.000 --> 00:00:09.000]  為著她仍然未信主的伯爺公
[00:00:09.000 --> 00:00:11.000]  心裏面好著急
[00:00:11.000 --> 00:00:14.000]  因為她知道時日無多
[00:00:14.000 --> 00:00:17.000]  於是乎她想到一個方法
[00:00:17.000 --> 00:00:22.000]  有一日,她要求這位伯爺公幫她去讀一篇文章
[00:00:22.000 --> 00:00:27.000]  伯爺公好仔細一句一句地慢慢來讀出
[00:00:27.000 --> 00:00:28.000]  然後讀完之後
[00:00:28.000 --> 00:00:31.000]  這個伯爺婆就好開心地跟這個伯爺公講
[00:00:31.000 --> 00:00:35.000]  恭喜你呀!你已經成為了基督徒了!
[00:00:35.000 --> 00:00:41.000]  原來剛才讀那篇文章是一篇大人缺志的圖文
[00:00:41.000 --> 00:00:44.000]  很多時候我們都會在報道會裏面
[00:00:44.000 --> 00:00:46.000]  見到特別在呼召的時候
[00:00:46.000 --> 00:00:47.000]  有人舉手缺志
[00:00:47.000 --> 00:00:49.000]  有人來到台前面
[00:00:49.000 --> 00:00:52.000]  來承認耶穌基督為他個人的救主
[00:00:52.000 --> 00:00:54.000]  之後有部份人就以為
[00:00:54.000 --> 00:00:56.000]  我已經缺了志了
[00:00:56.000 --> 00:00:59.000]  拿了進天堂的門票之後
[00:00:59.000 --> 00:01:03.000]  從此就消失在教會裏面
[00:01:03.000 --> 00:01:07.000]  究竟這班人能不能夠進入天國呢?
[00:01:07.000 --> 00:01:09.000]  沒錯!今天你和我
[00:01:09.000 --> 00:01:11.000]  每個星期都回到禮拜堂裏面
[00:01:11.000 --> 00:01:13.000]  一齊地去敬拜
[00:01:13.000 --> 00:01:17.000]  可能我們當中亦都有一些侍奉的崗位
[00:01:17.000 --> 00:01:19.000]  又或者可能你會說
[00:01:19.000 --> 00:01:22.000]  其實我回到建政已經一段好長的時間
[00:01:22.000 --> 00:01:28.000]  但是不知道你認為你自己能夠進入天國嗎?
[00:01:28.000 --> 00:01:31.000]  願意今天我們藉著馬太福音
[00:01:31.000 --> 00:01:35.000]  我們過去一直都在查考這個登山補訓
[00:01:35.000 --> 00:01:37.000]  已經來到尾聲
[00:01:37.000 --> 00:01:39.000]  願意今天這三節的經文
[00:01:39.000 --> 00:01:42.000]  都成為我們眾人的提醒和教導
[00:01:42.000 --> 00:01:44.000]  願意我們一齊翻開我們手上的聖經
[00:01:44.000 --> 00:01:49.000]  馬太福音第七章二十一到二十三節
[00:01:49.000 --> 00:01:56.000]  馬太福音第七章二十一到二十三節
[00:01:56.000 --> 00:02:05.000]  新約聖經馬太福音第七章二十一到二十三節
[00:02:05.000 --> 00:02:08.000]  找到的時候我們一齊來讀出
