
[00:00:00.000 --> 00:00:05.140]  剛才大家也是很整齊地讀了一段經文
[00:00:05.140 --> 00:00:06.940]  啟示錄
[00:00:06.940 --> 00:00:09.160]  五章十一到十四節
[00:00:09.160 --> 00:00:11.520]  我們看到這段經文
[00:00:11.520 --> 00:00:13.040]  本來不應該讀出來的
[00:00:13.040 --> 00:00:14.300]  是唱出來的
[00:00:14.300 --> 00:00:17.420]  因為這是一個很美好敬拜的時刻
[00:00:17.420 --> 00:00:21.160]  是歡唱讚美歌頌我們的主耶穌基督
[00:00:21.160 --> 00:00:23.440]  這個曾被殺的羔羊
[00:00:23.440 --> 00:00:27.460]  今天跟大家開始分享的是關於敬拜
[00:00:27.460 --> 00:00:29.680]  在2014年開始
[00:00:29.680 --> 00:00:33.200]  我盼望我也有好幾次的講道裡面
[00:00:33.200 --> 00:00:35.760]  提及到崇拜、敬拜
[00:00:35.760 --> 00:00:37.500]  是一個學習
[00:00:37.500 --> 00:00:39.060]  那麼你說
[00:00:39.060 --> 00:00:41.100]  需不需要再學習呢?
[00:00:41.100 --> 00:00:43.760]  我們已經崇拜了很多年了
[00:00:43.760 --> 00:00:45.900]  有人崇拜了五十年有沒有呢?
[00:00:45.900 --> 00:00:46.820]  有的
[00:00:46.820 --> 00:00:48.120]  四十年有沒有呢?
[00:00:48.120 --> 00:00:48.620]  有的
[00:00:48.620 --> 00:00:49.720]  我也差不多了
[00:00:49.720 --> 00:00:52.080]  三十年、二十年也一定很多了
[00:00:52.080 --> 00:00:53.080]  所以
[00:00:53.080 --> 00:00:54.880]  我已經崇拜了很久了
[00:00:54.880 --> 00:00:56.120]  還要學習什麼呢?
[00:00:56.120 --> 00:00:57.300]  還要知道
[00:00:57.300 --> 00:00:58.940]  這個敬拜什麼呢?
[00:00:59.680 --> 00:01:01.100]  實際上真的是需要的
[00:01:01.100 --> 00:01:03.340]  因為聖經提醒我們
[00:01:03.340 --> 00:01:06.620]  常常都要心意更新
[00:01:06.620 --> 00:01:08.240]  敬拜我們的主
[00:01:08.240 --> 00:01:14.000]  我們在剛才第五章十一到十四節啟示錄裡面
[00:01:14.000 --> 00:01:16.980]  你看到讚美的大合唱
[00:01:16.980 --> 00:01:18.720]  如果你置身其中
[00:01:18.720 --> 00:01:23.060]  你就感覺到十分雀躍
[00:01:23.060 --> 00:01:25.120]  而且你一定很開心
[00:01:25.120 --> 00:01:27.300]  一起去敬拜神
[00:01:27.300 --> 00:01:28.560]  你有沒有這樣的機會呢?
[00:01:29.480 --> 00:01:30.600]  有沒有呢?
[00:01:30.600 --> 00:01:31.200]  有
[00:01:31.200 --> 00:01:33.120]  因為將來新天新地裡面
[00:01:33.120 --> 00:01:35.020]  我們就要這樣去敬拜了
[00:01:35.020 --> 00:01:37.600]  你們也要肯參與其中
[00:01:37.600 --> 00:01:40.340]  如果剛才覺得唱詩歌不夠
[00:01:40.340 --> 00:01:42.640]  能夠很投入的話
[00:01:42.640 --> 00:01:45.280]  那你就要繼續學習了
[00:01:45.280 --> 00:01:46.680]  因為新天新地裡面
