
[00:00:00.000 --> 00:00:01.000]  早晨
[00:00:01.000 --> 00:00:02.800]  在這裡恭祝大家
[00:00:02.800 --> 00:00:04.300]  已婚者
[00:00:04.300 --> 00:00:05.800]  祝福你們夫妻恩愛
[00:00:05.800 --> 00:00:07.000]  單身者
[00:00:07.000 --> 00:00:08.800]  好好享受單身
[00:00:08.800 --> 00:00:09.800]  活得自在
[00:00:09.800 --> 00:00:11.200]  那些有兒有女的
[00:00:11.200 --> 00:00:12.400]  求主給你們智慧
[00:00:12.400 --> 00:00:13.100]  教導他們
[00:00:13.100 --> 00:00:15.100]  希望他們行在正路的當中
[00:00:15.100 --> 00:00:16.200]  親子區的弟兄姊妹
[00:00:16.200 --> 00:00:18.800]  也都希望你們可以專心聆聽
[00:00:18.800 --> 00:00:21.300]  上帝透過孩子
[00:00:21.300 --> 00:00:23.800]  還有透過聖經給大家的鼓勵
[00:00:23.800 --> 00:00:27.300]  今年的新年就是一個暖的年
[00:00:27.300 --> 00:00:31.100]  花市很開心又不開心
[00:00:31.100 --> 00:00:33.100]  因為花開得太早
[00:00:33.100 --> 00:00:37.600]  好像開到全融掉的感覺
[00:00:37.600 --> 00:00:39.600]  但是開心的就是天氣好
[00:00:39.600 --> 00:00:40.600]  所以很多人行花市
[00:00:40.600 --> 00:00:42.600]  不知道電視節目有沒有行花市呢
[00:00:42.600 --> 00:00:43.100]  我就有
[00:00:43.100 --> 00:00:44.600]  因為花市在家樓下
[00:00:44.600 --> 00:00:45.600]  走了幾轉
[00:00:45.600 --> 00:00:47.600]  經過又走走
[00:00:47.600 --> 00:00:49.600]  特別是年三十晚走了兩次
[00:00:49.600 --> 00:00:51.100]  是因為都很想買盤花
[00:00:51.100 --> 00:00:53.600]  好像主席Claudia說
[00:00:53.600 --> 00:00:55.100]  都很想整理家中
[00:00:55.100 --> 00:00:56.600]  收拾得乾乾淨淨
[00:00:56.600 --> 00:00:57.600]  擺盤花
[00:00:57.600 --> 00:00:58.600]  有些氣氛
[00:00:58.600 --> 00:01:00.600]  也都是有些清新的感覺
[00:01:00.600 --> 00:01:04.600]  第一轉都買得不對
[00:01:04.600 --> 00:01:05.600]  接著到半夜
[00:01:05.600 --> 00:01:06.600]  想著都放棄了
[00:01:06.600 --> 00:01:07.600]  跟我一起住的姐妹
[00:01:07.600 --> 00:01:09.600]  她去完街回來
[00:01:09.600 --> 00:01:10.600]  「小惠姐姐」
[00:01:10.600 --> 00:01:11.600]  「不如我們都下來走一走」
[00:01:11.600 --> 00:01:12.600]  「抽一抽熱鬧」
[00:01:12.600 --> 00:01:13.600]  那時是十二點多
[00:01:13.600 --> 00:01:14.600]  還沒睡
[00:01:14.600 --> 00:01:15.600]  「都好」
[00:01:15.600 --> 00:01:16.600]  下去走一走
[00:01:16.600 --> 00:01:18.600]  依然是很多人
[00:01:18.600 --> 00:01:20.600]  當然整個花市
[00:01:20.600 --> 00:01:22.600]  很多的呼聲
[00:01:22.600 --> 00:01:24.600]  特別是割價的時候
[00:01:24.600 --> 00:01:26.600]  這個百合二十元
[00:01:26.600 --> 00:01:27.600]  二十元一枝
[00:01:27.600 --> 00:01:28.600]  那些鳳梨
[00:01:28.600 --> 00:01:30.600]  本來三十元兩枝
[00:01:30.600 --> 00:01:31.600]  接著就十元
[00:01:31.600 --> 00:01:33.600]  我一開始都不知道那些花
[00:01:33.600 --> 00:01:35.600]  原來就叫鳳梨
[00:01:35.600 --> 00:01:37.600]  有些馬蹄蘭就稱馬蓮
[00:01:37.600 --> 00:01:39.600]  很多這些呼聲
[00:01:39.600 --> 00:01:41.600]  剛才讀的經文
[00:01:41.600 --> 00:01:42.600]  其實都有很多呼聲
[00:01:42.600 --> 00:01:44.600]  有很多聲音
[00:01:44.600 --> 00:01:45.600]  如果我們看完
[00:01:45.600 --> 00:01:47.600]  三十三節
[00:01:47.600 --> 00:01:49.600]  由第八節看到三十三節的時候
[00:01:49.600 --> 00:01:53.600]  你會找到三個呼聲
[00:01:53.600 --> 00:01:55.600]  由於時間關係
[00:01:55.600 --> 00:01:56.600]  我怕大家趕著去拜年
[00:01:56.600 --> 00:01:58.600]  加上我們有聖餐
[00:01:58.600 --> 00:02:00.600]  所以我剪掉了
[00:02:00.600 --> 00:02:02.600]  第二十節不說了
[00:02:02.600 --> 00:02:03.600]  留待下次說
[00:02:03.600 --> 00:02:04.600]  說到第十九節
[00:02:04.600 --> 00:02:05.600]  兩把聲音
[00:02:05.600 --> 00:02:07.600]  跟第一姐妹分享
[00:02:07.600 --> 00:02:08.600]  但這兩把聲音
[00:02:08.600 --> 00:02:09.600]  帶給我們的影響
[00:02:09.600 --> 00:02:11.600]  就不像我們走花市
[00:02:11.600 --> 00:02:12.600]  會不會便宜多五元
[00:02:12.600 --> 00:02:13.600]  還是便宜多十元
[00:02:13.600 --> 00:02:14.600]  是一個
[00:02:14.600 --> 00:02:18.600]  關乎我們生命禍福的抉擇
[00:02:18.600 --> 00:02:20.600]  上次說到的時候
[00:02:20.600 --> 00:02:21.600]  就說到一章第一節
[00:02:21.600 --> 00:02:23.600]  直到第七節
[00:02:23.600 --> 00:02:24.600]  期間就交代了
[00:02:24.600 --> 00:02:25.600]  真言
[00:02:25.600 --> 00:02:27.600]  帶給人兩個很重要的益處
[00:02:27.600 --> 00:02:29.600]  就是使我們這些自覺年少
[00:02:29.600 --> 00:02:31.600]  單純
[00:02:31.600 --> 00:02:33.600]  沒什麼經驗
[00:02:33.600 --> 00:02:35.600]  頭腦較為簡單
[00:02:35.600 --> 00:02:36.600]  在待人處事的時候
[00:02:36.600 --> 00:02:38.600]  不是受人影響
[00:02:38.600 --> 00:02:40.600]  是受上帝的影響
[00:02:40.600 --> 00:02:41.600]  我們可以帶著仁義
[00:02:41.600 --> 00:02:42.600]  公平
[00:02:42.600 --> 00:02:43.600]  和正直的原則
[00:02:43.600 --> 00:02:45.600]  來處事
[00:02:45.600 --> 00:02:46.600]  第二個的益處
[00:02:46.600 --> 00:02:48.600]  是帶給我們那些自覺
[00:02:48.600 --> 00:02:49.600]  我們已經有智慧了
[00:02:49.600 --> 00:02:50.600]  我們都聰明了
[00:02:50.600 --> 00:02:52.600]  我們的人生經驗了的人
[00:02:52.600 --> 00:02:55.600]  我們生命可以更加盡心
[00:02:55.600 --> 00:02:56.600]  去到什麼地步呢
[00:02:56.600 --> 00:02:58.600]  我們的盡心是追求
[00:02:58.600 --> 00:03:01.600]  我們更懂得敬畏上帝
[00:03:01.600 --> 00:03:02.600]  因為敬畏
[00:03:02.600 --> 00:03:05.600]  耶和華是知識之首
[00:03:05.600 --> 00:03:07.600]  來到八節
[00:03:07.600 --> 00:03:08.600]  直到三十三節
[00:03:08.600 --> 00:03:09.600]  再具體一些
[00:03:09.600 --> 00:03:10.600]  真言的作者
[00:03:10.600 --> 00:03:13.600]  給我們一些勸喻
[00:03:13.600 --> 00:03:15.600]  叫我們選擇
[00:03:15.600 --> 00:03:18.600]  一個關乎生命禍福的選擇
[00:03:18.600 --> 00:03:19.600]  一條道路
[00:03:19.600 --> 00:03:20.600]  是惡人的道路
[00:03:20.600 --> 00:03:21.600]  另一條道路
[00:03:21.600 --> 00:03:22.600]  是智慧的道路
[00:03:22.600 --> 00:03:24.600]  如果一邊在左邊
[00:03:24.600 --> 00:03:26.600]  一條道路在右邊
[00:03:26.600 --> 00:03:27.600]  你怎麼選擇呢
[00:03:27.600 --> 00:03:29.600]  你向左走
[00:03:29.600 --> 00:03:31.600]  還是向右走呢
[00:03:31.600 --> 00:03:34.600]  我們一起來看這段經文
[00:03:34.600 --> 00:03:36.600]  我們只看第一部分
[00:03:36.600 --> 00:03:37.600]  第一章第八節
[00:03:37.600 --> 00:03:38.600]  直到第十九節
[00:03:38.600 --> 00:03:40.600]  其實兩部分本身
[00:03:40.600 --> 00:03:43.600]  都可以分成三小段
[00:03:43.600 --> 00:03:45.600]  我們只看第一部分
[00:03:45.600 --> 00:03:47.600]  先看第一把聖音
[00:03:47.600 --> 00:03:49.600]  父親的呼聲
[00:03:49.600 --> 00:03:50.600]  第八節
[00:03:50.600 --> 00:03:52.600]  直到第十九節
[00:03:52.600 --> 00:03:53.600]  在這裡
[00:03:53.600 --> 00:03:55.600]  作者用了一個父親的身份
[00:03:55.600 --> 00:03:57.600]  來勸喻他的孩子
[00:03:57.600 --> 00:03:59.600]  這裡的孩子不只是兒子
[00:03:59.600 --> 00:04:01.600]  其實包括女兒
[00:04:01.600 --> 00:04:02.600]  包括兒孫
[00:04:02.600 --> 00:04:04.600]  三次出現
[00:04:04.600 --> 00:04:07.600]  所以我們可以用一個分段的標記
[00:04:07.600 --> 00:04:08.600]  在第八節
[00:04:08.600 --> 00:04:09.600]  第十節和第十五節
[00:04:09.600 --> 00:04:10.600]  都是說什麼
[00:04:10.600 --> 00:04:13.600]  我兒
[00:04:13.600 --> 00:04:14.600]  第八節說
[00:04:14.600 --> 00:04:16.600]  我兒要聽你父親的吩咐
[00:04:16.600 --> 00:04:18.600]  不要離棄你母親的法則
[00:04:18.600 --> 00:04:19.600]  第十節說
[00:04:19.600 --> 00:04:21.600]  我兒如果惡人引誘你
[00:04:21.600 --> 00:04:23.600]  你不要隨從
[00:04:23.600 --> 00:04:24.600]  第十五節
[00:04:24.600 --> 00:04:26.600]  不要和他們同行一道
[00:04:26.600 --> 00:04:30.600]  禁止你的腳走他們的路
[00:04:30.600 --> 00:04:32.600]  父親的聲音
[00:04:32.600 --> 00:04:35.600]  第一個要呼籲他的孩子
[00:04:35.600 --> 00:04:37.600]  第八節至第九節
[00:04:37.600 --> 00:04:41.600]  呼籲他們要重視父母的教誨
[00:04:41.600 --> 00:04:44.600]  要聽你父親的吩咐
[00:04:44.600 --> 00:04:47.600]  不要離棄你母親的法則
[00:04:47.600 --> 00:04:48.600]  為什麼呢
