
[00:00:00.000 --> 00:00:02.000]  奧運節目早晨
[00:00:02.000 --> 00:00:06.200]  有沒有試過在喫飯的時候和同臺人吵架
[00:00:06.200 --> 00:00:09.880]  可能不是試過的
[00:00:09.880 --> 00:00:11.240]  對上一次多久了
[00:00:11.240 --> 00:00:14.880]  昨天一問就見人家答昨天晚上而已
[00:00:14.880 --> 00:00:22.280]  當然啦,喫飯吵架,我估計生命很難沒有發生過的
[00:00:22.280 --> 00:00:25.800]  只不過你們有多貧密,喫飯都會和人吵架
[00:00:25.800 --> 00:00:27.800]  但問題是,吵什麼呢
[00:00:29.000 --> 00:00:30.000]  吵什麼呢
[00:00:30.000 --> 00:00:33.240]  有沒有想說昨天,但是昨天真的很踊躍
[00:00:33.240 --> 00:00:36.520]  第一時間就是說,昨天晚上吵架不夠鹹
[00:00:36.520 --> 00:00:40.040]  你明白我的意思嗎,這些菜不夠鹹,沒味道
[00:00:40.040 --> 00:00:41.280]  要放多一點
[00:00:41.280 --> 00:00:45.080]  可能你們會說,我們可能會吵架太鹹了
[00:00:45.080 --> 00:00:47.000]  不好的嘛,清淡點
[00:00:47.000 --> 00:00:49.600]  可能喫什麼都會是
[00:00:49.600 --> 00:00:52.640]  今天早上的就不是這麼說,今天早上的就說
[00:00:52.640 --> 00:00:55.040]  餐餐都是那些
[00:00:55.040 --> 00:00:58.360]  媽媽,又是蒸肉餅
[00:00:58.360 --> 00:01:00.360]  昨天是蒸肉餅,今天是蒸肉餅
[00:01:00.360 --> 00:01:02.360]  回想起上個禮拜有蒸肉餅
[00:01:02.360 --> 00:01:05.880]  我小時候在家裏也試過這樣的東西,結果被人家罵了一頓
[00:01:05.880 --> 00:01:09.160]  可能我們在喫飯的時候吵架是因爲喫什麼
[00:01:09.160 --> 00:01:11.520]  但也有更多的機會不是因爲喫什麼
[00:01:11.520 --> 00:01:13.920]  是因爲喫飯除了用口來喫東西之外
[00:01:13.920 --> 00:01:15.240]  總是會說的
[00:01:15.240 --> 00:01:18.280]  廣東廣西呢,不知不覺就說到某些東西
[00:01:18.280 --> 00:01:20.280]  大家就生氣了
[00:01:20.280 --> 00:01:21.640]  不論那些東西是
[00:01:21.640 --> 00:01:24.920]  你一輩子都是這樣,每次都是這樣那些
[00:01:24.920 --> 00:01:27.240]  又或者,剛剛前兩天那件事
[00:01:27.240 --> 00:01:28.720]  說着說着
[00:01:28.720 --> 00:01:30.720]  沒心的,不過就真的踩了別人的尾巴
[00:01:30.720 --> 00:01:32.160]  或者別人踩了我的尾巴
[00:01:32.160 --> 00:01:33.640]  吵架了
[00:01:33.640 --> 00:01:35.120]  喫飯吵架
[00:01:35.120 --> 00:01:37.120]  目測剛剛跟聖經有什麼關係
[00:01:37.120 --> 00:01:41.040]  如果你還打聖經的話,就算你用機器也好,直接推到前面
[00:01:41.040 --> 00:01:44.320]  看聖經永遠要懂得一件事,除了看你剛剛今天看的那一段
[00:01:44.320 --> 00:01:46.800]  還要看前文下理,上文下理
[00:01:46.800 --> 00:01:49.800]  其實原來呢,有一個很重要的東西我經常提的就是
[00:01:49.800 --> 00:01:51.480]  聖經你今天打開本
[00:01:51.480 --> 00:01:53.480]  聖經看到的節分段
[00:01:53.480 --> 00:01:54.840]  是後人加上去的
[00:01:54.840 --> 00:01:56.280]  本來是連着的
[00:01:56.280 --> 00:01:59.160]  剛剛在二十四節之前
[00:01:59.160 --> 00:02:02.200]  其實發生了一件事,耶穌是設立聖餐
[00:02:02.200 --> 00:02:08.240]  聖餐其實就是猶太人的逾越節的晚餐來的,本身是
[00:02:08.240 --> 00:02:09.960]  逾越節對於猶太人來說
[00:02:09.960 --> 00:02:13.040]  就好像我們中國人團年飯一樣的
[00:02:13.040 --> 00:02:15.800]  因爲逾越節對他們這個民族來說是很重要的
[00:02:15.800 --> 00:02:17.080]  因爲過了一個關
[00:02:17.080 --> 00:02:19.000]  就是當年出哪裏
[00:02:19.000 --> 00:02:20.320]  出埃及
[00:02:20.320 --> 00:02:22.160]  爲紀念出埃及這個民族
[00:02:22.160 --> 00:02:24.560]  真的是因爲這樣的緣故,建立的緣故
[00:02:24.560 --> 00:02:27.400]  所以他們每一年都一定要守逾越節的
[00:02:27.400 --> 00:02:29.840]  是跟你親人要坐齊的
[00:02:29.840 --> 00:02:32.360]  而每一道菜都有意思的
[00:02:32.360 --> 00:02:33.480]  苦菜
[00:02:33.480 --> 00:02:35.080]  紀念當年在埃及的時候
[00:02:35.080 --> 00:02:36.880]  多麼淒涼的日子
[00:02:36.880 --> 00:02:38.040]  每道菜都有的
[00:02:38.040 --> 00:02:39.720]  知道爲什麼要團年嗎
[00:02:39.720 --> 00:02:43.200]  當然知道了,髮菜蠔屎是爲了什麼
[00:02:43.200 --> 00:02:44.720]  發草屎嘛,對不對
[00:02:44.720 --> 00:02:47.240]  有豬手喫是爲了什麼
[00:02:47.240 --> 00:02:48.440]  橫財就手,對不對
[00:02:48.440 --> 00:02:50.200]  不是我們要正財
[00:02:50.200 --> 00:02:51.760]  照喫豬手
[00:02:51.760 --> 00:02:54.440]  我們都是這樣,好像有些東西當然不是一樣
[00:02:54.440 --> 00:02:57.360]  我們團年不是爲了紀念出埃及
[00:02:57.360 --> 00:02:59.720]  但那個意義是很重要的
[00:02:59.720 --> 00:03:02.600]  耶穌在那次的逾節晚餐
[00:03:02.600 --> 00:03:05.480]  就將那個無教餅重新解釋
[00:03:05.480 --> 00:03:07.640]  也都預告了祂的死
[00:03:07.640 --> 00:03:10.320]  因爲這個是代表紀念祂的身體
[00:03:10.320 --> 00:03:11.680]  那杯是葡萄酒
[00:03:11.680 --> 00:03:13.680]  也都去說另一件事就是
[00:03:13.680 --> 00:03:15.720]  代表我用血納的新約
[00:03:15.720 --> 00:03:17.720]  接着,如果你看回聖經
[00:03:17.720 --> 00:03:20.720]  其實同時耶穌說完這些
[00:03:20.720 --> 00:03:22.640]  繼續說
[00:03:22.640 --> 00:03:28.600]  21節,看,那賣我之人的手與我一同在桌子上
[00:03:28.600 --> 00:03:30.360]  其實這一節是跟着20節的
[00:03:30.360 --> 00:03:33.040]  這杯是用我血所納的新約爲你們流出來的
[00:03:33.040 --> 00:03:34.240]  然後就說
[00:03:34.240 --> 00:03:36.360]  你們這一臺人有人是賣我
[00:03:36.360 --> 00:03:38.720]  其實那一臺人有多少人啊
[00:03:38.720 --> 00:03:40.240]  13個,OK,行不行
[00:03:40.240 --> 00:03:42.400]  經常看達明西那幅畫,耶穌在中間
[00:03:42.400 --> 00:03:44.080]  一左一右,每邊6個
[00:03:44.080 --> 00:03:46.120]  多立體又對稱
[00:03:46.120 --> 00:03:47.080]  13個人
[00:03:47.080 --> 00:03:48.280]  耶穌發言
[00:03:48.280 --> 00:03:51.200]  換言之12個人當中有1個
[00:03:51.200 --> 00:03:53.520]  你們就有人是出賣我的
[00:03:53.520 --> 00:03:56.120]  如果你貼上馬太芬這個對話的時候
[00:03:56.120 --> 00:03:59.040]  你還見到出賣耶穌的猶大衆是
[00:03:59.040 --> 00:04:01.000]  我又很佩服他夠膽開口的
[00:04:01.000 --> 00:04:03.880]  是不是我啊這樣
[00:04:03.880 --> 00:04:05.760]  我都不想有時那些人的
[00:04:05.760 --> 00:04:07.880]  貧燼說話,你是很佩服的
[00:04:07.880 --> 00:04:10.720]  耶穌竟然戳了人出賣我,轉頭問是不是我
