
[00:00:00.000 --> 00:00:04.320]  希伯來書的作者是對舊約很熟悉的
[00:00:04.320 --> 00:00:05.760]  他很認識舊約
[00:00:05.760 --> 00:00:08.400]  而同樣因為他的對象
[00:00:08.400 --> 00:00:12.200]  他寫這封信的對象是一班猶太人
[00:00:12.200 --> 00:00:17.440]  因此他一定以舊約的觀點來作為一個起步
[00:00:17.440 --> 00:00:19.760]  以致他能夠和一班猶太人
[00:00:19.760 --> 00:00:21.920]  是一個正面的對話
[00:00:21.920 --> 00:00:24.200]  以致他對舊約很熟悉
[00:00:24.200 --> 00:00:25.080]  他熟悉到一個地步
[00:00:25.080 --> 00:00:26.800]  我相信新約書卷
[00:00:26.800 --> 00:00:28.240]  這麼多的書卷當中
[00:00:28.240 --> 00:00:30.800]  每一個作者寫的書卷裡
[00:00:30.800 --> 00:00:32.520]  引用舊約最多的
[00:00:32.520 --> 00:00:34.360]  我覺得可能是希伯來書
[00:00:34.360 --> 00:00:36.080]  另一方面
[00:00:36.080 --> 00:00:38.120]  就算我們不讀舊約也好
[00:00:38.120 --> 00:00:40.240]  你看著希伯來書十一章
[00:00:40.240 --> 00:00:41.480]  單單十一章
[00:00:41.480 --> 00:00:44.000]  他差不多可以將整個舊約寫完
[00:00:44.000 --> 00:00:46.160]  不過你讀完之後你不會明白
[00:00:46.160 --> 00:00:47.480]  因為全部都講人物
[00:00:47.480 --> 00:00:50.280]  摩西啊 哪個人很信啊
[00:00:50.280 --> 00:00:52.160]  每個人講一句說話就講完了
[00:00:52.160 --> 00:00:53.520]  但另一方面
[00:00:53.520 --> 00:00:54.640]  如果舊約
[00:00:54.640 --> 00:00:56.960]  就算我們信著很久的人
[00:00:56.960 --> 00:00:57.960]  很坦白講
[00:00:57.960 --> 00:00:59.800]  就算信著很久的人
[00:00:59.800 --> 00:01:01.600]  有時候我們看著舊約
[00:01:01.600 --> 00:01:04.200]  也會有很多疑惑
[00:01:04.200 --> 00:01:05.760]  特別我們會疑惑
[00:01:05.760 --> 00:01:07.280]  為什麼舊約的神
[00:01:07.280 --> 00:01:08.880]  好像比較凶惡
[00:01:08.880 --> 00:01:10.520]  動不動就全部死掉
[00:01:10.520 --> 00:01:11.280]  動不動就全部死掉
[00:01:11.280 --> 00:01:12.360]  哇 多麼凶惡
[00:01:12.360 --> 00:01:13.600]  到了新約就不是了
[00:01:13.600 --> 00:01:16.120]  耶穌說要寬恕敵人七十個七次
[00:01:16.120 --> 00:01:17.200]  要愛你的敵人
[00:01:17.200 --> 00:01:19.440]  哇 真的好像很矛盾
[00:01:19.440 --> 00:01:21.600]  同樣我們看到舊約
[00:01:21.600 --> 00:01:24.600]  我們的上帝曉遇摩西
[00:01:24.600 --> 00:01:25.920]  每一句說話
[00:01:25.920 --> 00:01:29.280]  都很執著
[00:01:29.280 --> 00:01:31.600]  所做的繪幕的尺寸
[00:01:31.600 --> 00:01:32.680]  都很執著
[00:01:32.680 --> 00:01:34.280]  顏色也很執著
[00:01:34.280 --> 00:01:35.640]  物料也很執著
[00:01:35.640 --> 00:01:36.840]  有時候我們讀聖經
[00:01:36.840 --> 00:01:38.040]  讀著春夏及記
[00:01:38.040 --> 00:01:39.720]  讀著那些利美記
[00:01:39.720 --> 00:01:40.640]  那些祭
[00:01:40.640 --> 00:01:41.440]  我們會想
[00:01:41.440 --> 00:01:44.160]  關我什麼事
[00:01:44.160 --> 00:01:46.000]  看著文數記的數字
[00:01:46.000 --> 00:01:47.000]  我連香港多少人
[00:01:47.000 --> 00:01:48.240]  我都不關我的事
[00:01:48.240 --> 00:01:50.000]  關我什麼事
[00:01:50.000 --> 00:01:51.280]  舊約的那些支派
[00:01:51.280 --> 00:01:53.120]  那麼多人數人關我什麼事
[00:01:53.120 --> 00:01:55.120]  香港幾百萬人都不關我的事
[00:01:55.120 --> 00:01:56.000]  看著這本聖經
[00:01:56.000 --> 00:01:58.640]  幾十萬人幾萬人關我什麼事
[00:01:58.640 --> 00:02:00.400]  我們會有這樣的感覺
[00:02:00.400 --> 00:02:01.600]  所以我們對舊約
[00:02:01.600 --> 00:02:03.040]  是有一種不同的感覺
[00:02:03.040 --> 00:02:04.880]  以致到當我們讀希伯來書的時候
[00:02:04.880 --> 00:02:06.920]  一個那麼熟悉舊約的人
[00:02:06.920 --> 00:02:08.440]  他看著這封信
[00:02:08.440 --> 00:02:10.720]  他寫這封信給那班猶太人
[00:02:10.720 --> 00:02:12.920]  以致到他一定是寫了很多舊約
[00:02:12.920 --> 00:02:14.960]  所以我們不明白
[00:02:14.960 --> 00:02:16.640]  我也有藉口的
[00:02:16.640 --> 00:02:18.800]  不過我不想成為一個藉口
[00:02:18.800 --> 00:02:20.880]  就因為這個作者
[00:02:20.880 --> 00:02:23.600]  他同樣作為一個新的作者
[00:02:23.600 --> 00:02:26.640]  他對耶穌基督同樣很熟悉
