
[00:00:00.000 --> 00:00:04.000]  我們很可惜,因爲我們很多想知的詳情
[00:00:04.000 --> 00:00:10.000]  都在新約作者的引筆那裏我們看不到
[00:00:10.000 --> 00:00:15.000]  我們從來不知道保羅在曠野的感悟是什麼
[00:00:15.000 --> 00:00:19.000]  但是他對法律的公用
[00:00:19.000 --> 00:00:28.000]  他對外邦人和猶太人在上帝救恩計劃的次序
[00:00:28.000 --> 00:00:34.000]  他對基督在我們聖徒生活的位置
[00:00:34.000 --> 00:00:41.000]  所有這些都是一個改變了後的猶太人纔可以寫出來
[00:00:41.000 --> 00:00:51.000]  而所有他寫的都成了我們教會萬古不變的一個信仰基石
[00:00:51.000 --> 00:00:57.000]  我們可以不知道哪一時日他明白什麼道理
[00:00:57.000 --> 00:01:07.000]  但是所有這些道理,如果我們說都是保羅在整個曠野的瞭解裏明白的
[00:01:07.000 --> 00:01:12.000]  我們是完全沒有資料來反對的
[00:01:12.000 --> 00:01:20.000]  然後第二樣東西,你要敢爲自己做決定
[00:01:20.000 --> 00:01:28.000]  這一點在我上半部,你知道這一長道是下半部
[00:01:28.000 --> 00:01:36.000]  上半部是靜靜聽心靈聲,那裏我是用了很長的時間來解釋
[00:01:36.000 --> 00:01:41.000]  事實上在我這個系列的講道里面
[00:01:41.000 --> 00:01:47.000]  都有過一次是用了整場的道來講到選擇之路
[00:01:47.000 --> 00:01:54.000]  你要能夠成就你內心的夢想,你一定有選擇要做
[00:01:54.000 --> 00:02:02.000]  你唯一不能夠的就是跟隨我們這個世界的自動系統去過你的活
[00:02:02.000 --> 00:02:06.000]  你知道我們這個世界是有些自動系統的
[00:02:06.000 --> 00:02:10.000]  讀小學你要升上中學,讀中學你要升上大學
[00:02:10.000 --> 00:02:13.000]  讀了大學出來你要找工作
[00:02:13.000 --> 00:02:17.000]  你的目的就是要追一個女孩,追一個男孩
[00:02:17.000 --> 00:02:20.000]  然後成家立業,然後買車買屋
[00:02:20.000 --> 00:02:24.000]  然後生兒子生女兒,然後老去等退休
[00:02:24.000 --> 00:02:29.000]  然後開始天天在這兒生氣,然後等死
[00:02:29.000 --> 00:02:32.000]  這個是我們的自動系統來的,對不對
[00:02:32.000 --> 00:02:36.000]  很多人都是一生這樣過去的
[00:02:36.000 --> 00:02:40.000]  你要真正能夠成就你的夢想
[00:02:40.000 --> 00:02:44.000]  你就不能夠跟着我們這個世界的自動系統
[00:02:44.000 --> 00:02:48.000]  我講一個最近是紅頭半邊籤的
[00:02:48.000 --> 00:02:51.000]  一個意大利音樂家的故事給你聽
[00:02:51.000 --> 00:02:54.000]  這個故事我都在你們當中提過
[00:02:54.000 --> 00:02:57.000]  就是Andrea Puccini
[00:02:57.000 --> 00:03:02.000]  一個很美麗的男高音的故事
[00:03:02.000 --> 00:03:07.000]  但我上次沒有提到這個故事的這一點
[00:03:07.000 --> 00:03:11.000]  就因爲Puccini自小生出來就是盲眼
[00:03:11.000 --> 00:03:15.000]  他媽媽就很想他找一份固定的職業
[00:03:15.000 --> 00:03:21.000]  叫他能夠可以無後顧之憂過完這一世
[00:03:21.000 --> 00:03:24.000]  我不知道爲什麼我們經常都有這個感覺
[00:03:24.000 --> 00:03:27.000]  就是我們要怎樣怎樣怎樣等我們過完這一世
[00:03:27.000 --> 00:03:29.000]  好像我們這一世是一種負累
[00:03:29.000 --> 00:03:31.000]  怎樣打發它就好了
[00:03:31.000 --> 00:03:33.000]  很多老人家都有這個想法
[00:03:33.000 --> 00:03:37.000]  不要有這個想法你過完這一世是什麼意思
[00:03:37.000 --> 00:03:39.000]  因爲這一世是差了你
[00:03:39.000 --> 00:03:41.000]  還是你覺得這一世很無奈
[00:03:41.000 --> 00:03:43.000]  所以都要過完它
[00:03:43.000 --> 00:03:46.000]  這是一個很沒有信仰的態度
[00:03:46.000 --> 00:03:48.000]  我們千萬不要說過完這一世
[00:03:48.000 --> 00:03:51.000]  如果你願命長你不如給我一條命
[00:03:51.000 --> 00:03:54.000]  我經常願命短你願命長
