
[00:00:00.000 --> 00:00:02.000]  各位電視姊妹早安
[00:00:02.000 --> 00:00:03.000]  早安
[00:00:03.000 --> 00:00:08.000]  「真言」系列「智慧在家庭」這個分題
[00:00:08.000 --> 00:00:11.000]  今天來到第三講
[00:00:11.000 --> 00:00:16.000]  題目就是「語言的藝術」
[00:00:16.000 --> 00:00:20.000]  最近有一些人在公眾的場合
[00:00:20.000 --> 00:00:22.000]  說了一些說話
[00:00:22.000 --> 00:00:29.000]  大家在電視、在報章都會見到或者聽過
[00:00:29.000 --> 00:00:34.000]  這些說話帶來社會很大的迴響
[00:00:34.000 --> 00:00:37.000]  基督教圈內的人有
[00:00:37.000 --> 00:00:39.000]  圈外的人亦都有
[00:00:39.000 --> 00:00:42.000]  無論他們說話的時候
[00:00:42.000 --> 00:00:46.000]  他的動機是想說笑
[00:00:46.000 --> 00:00:49.000]  還是其實心裏有很多的委屈
[00:00:49.000 --> 00:00:51.000]  想發洩一下
[00:00:51.000 --> 00:00:56.000]  我們在公眾場合所說的話
[00:00:56.000 --> 00:00:59.000]  都是要非常之小心
[00:00:59.000 --> 00:01:03.000]  不單止在公眾的場合說的時候要小心
[00:01:03.000 --> 00:01:05.000]  就算我們在家裏
[00:01:05.000 --> 00:01:08.000]  我們在和朋友聊天
[00:01:08.000 --> 00:01:09.000]  我們所說的話
[00:01:09.000 --> 00:01:12.000]  我們都要非常之小心
[00:01:12.000 --> 00:01:15.000]  所以今天這個主題
[00:01:15.000 --> 00:01:17.000]  就給到我們每一個
[00:01:17.000 --> 00:01:20.000]  都是一個很悉切的提醒
[00:01:20.000 --> 00:01:25.000]  我想先給兩幅圖像給大家看
[00:01:25.000 --> 00:01:29.000]  這幅圖像是甚麼呢
[00:01:29.000 --> 00:01:31.000]  「山火」
[00:01:31.000 --> 00:01:33.000]  那些火燒得很猛烈
[00:01:33.000 --> 00:01:38.000]  可能是將整個樹林都燒了
[00:01:38.000 --> 00:01:41.000]  代表著甚麼呢
[00:01:41.000 --> 00:01:44.000]  《真言十六章二十七節》
[00:01:44.000 --> 00:01:45.000]  剛才大家讀過了
[00:01:45.000 --> 00:01:49.000]  「匪徒圖謀奸惡
[00:01:49.000 --> 00:01:54.000]  嘴上彷彿有燒燒的火」
[00:01:54.000 --> 00:01:57.000]  另外一幅圖像
[00:01:57.000 --> 00:01:59.000]  像甚麼呢
[00:01:59.000 --> 00:02:04.000]  好像在沙漠裏面有一個綠洲
[00:02:04.000 --> 00:02:11.000]  代表著《真言十章》第十一節所說
[00:02:11.000 --> 00:02:18.000]  「二人的口是生命的泉源」
[00:02:18.000 --> 00:02:21.000]  如果今天我和大家分享的訊息
[00:02:21.000 --> 00:02:23.000]  大家離開的時候
[00:02:23.000 --> 00:02:25.000]  全部都忘記了
[00:02:25.000 --> 00:02:29.000]  我希望你能夠在腦海中
[00:02:29.000 --> 00:02:33.000]  仍然記得這兩幅圖像
[00:02:33.000 --> 00:02:37.000]  並且你時刻自己反省一下
[00:02:37.000 --> 00:02:42.000]  我說的話究竟是像燒焦的火
[00:02:42.000 --> 00:02:48.000]  還是像生命的泉源呢
[00:02:48.000 --> 00:02:52.000]  有一個太太有一天去弄頭髮
[00:02:52.000 --> 00:02:54.000]  髮型師替她梳了一個
[00:02:54.000 --> 00:02:59.000]  當時最新潮最流行的髮型
[00:02:59.000 --> 00:03:00.000]  弄了之後
[00:03:00.000 --> 00:03:03.000]  那天她丈夫回家
