
[00:00:00.000 --> 00:00:05.000]  我在想 如果經過今年這麼頻繁
[00:00:05.000 --> 00:00:08.000]  雖然是令人振奮的慶典
[00:00:08.000 --> 00:00:11.000]  明年應該是怎樣呢?
[00:00:11.000 --> 00:00:15.500]  我想明年是我們將今年的經驗來總結
[00:00:15.500 --> 00:00:19.000]  是一個休養生息的時候
[00:00:19.000 --> 00:00:22.000]  教會整體需要在神面前安靜
[00:00:22.000 --> 00:00:27.000]  以致我們能夠再次領受 再次得力
[00:00:27.000 --> 00:00:31.000]  所以我今天的訊息 其實是應該明年1月
[00:00:31.000 --> 00:00:33.000]  第一個主日講的
[00:00:33.000 --> 00:00:36.000]  我現在提前講 給大家有心理準備
[00:00:36.000 --> 00:00:39.000]  做完今年這麼多活動之後
[00:00:39.000 --> 00:00:43.000]  你不要說沒氣透 有機會讓你透氣
[00:00:43.000 --> 00:00:49.000]  因為明年我們是「作主門徒 改變天下」
[00:00:49.000 --> 00:00:54.000]  意思就是讓我們教會整體都內斂
[00:00:54.000 --> 00:00:59.000]  一同來學習 甚麼為之效法耶穌基督
[00:00:59.000 --> 00:01:02.000]  重整我們的內心世界
[00:01:02.000 --> 00:01:08.000]  而向外繼續重點去服事和傳福音
[00:01:08.000 --> 00:01:11.000]  所以 銜接著今年
[00:01:11.000 --> 00:01:15.000]  我覺得「作主門徒 改變天下」
[00:01:15.000 --> 00:01:19.000]  是明年最好的一個方向
[00:01:19.000 --> 00:01:26.000]  門徒訓練在信仰的基本知識和生命的培育訓練方面
[00:01:26.000 --> 00:01:29.000]  是有一個很獨特的位置
[00:01:29.000 --> 00:01:33.000]  因為信仰的知識的傳遞
[00:01:33.000 --> 00:01:37.000]  不單止只是頭腦上 書本上的傳遞
[00:01:37.000 --> 00:01:44.000]  信仰的知識有少少像學游泳和學駕駛的經歷
[00:01:44.000 --> 00:01:49.000]  游泳你不可以打開一本圖文並茂的書
[00:01:49.000 --> 00:01:52.000]  然後看熟了 倒轉都會背
[00:01:52.000 --> 00:01:56.000]  就代表你跌落水池就會游泳
[00:01:56.000 --> 00:01:58.000]  完全兩回事
[00:01:58.000 --> 00:02:03.000]  你一落到水那種浸著自己的眼鼻 窒息的感覺
[00:02:03.000 --> 00:02:05.000]  不要怎麼呼吸
