
[00:00:00.000 --> 00:00:01.580]  大家看看這幅相
[00:00:01.580 --> 00:00:04.960]  和你和我都很有關係
[00:00:04.960 --> 00:00:07.260]  你們找到自己了嗎?
[00:00:07.260 --> 00:00:09.960]  我們本堂的師班和會眾
[00:00:09.960 --> 00:00:14.160]  我們都是這個時代被神選照的聖物
[00:00:14.160 --> 00:00:18.960]  這幅相要多謝幹事Keith幫我們製作
[00:00:18.960 --> 00:00:22.440]  前兩天《福布斯》雜誌公佈了
[00:00:22.440 --> 00:00:28.160]  2014年度全世界最具影響力人物的排名榜
[00:00:28.160 --> 00:00:32.740]  大家知不知道榜首是誰?
[00:00:32.740 --> 00:00:34.900]  你看看這幅相就知道了
[00:00:34.900 --> 00:00:36.860]  奧巴馬貶嘴
[00:00:36.860 --> 00:00:39.240]  即榜首不是他
[00:00:39.240 --> 00:00:40.740]  沒錯
[00:00:40.740 --> 00:00:44.540]  第一位是俄羅斯總統普京
[00:00:44.540 --> 00:00:49.940]  他已經是第二年禪亂榜首
[00:00:49.940 --> 00:00:52.440]  其實這個賽果都是合理的
[00:00:52.440 --> 00:00:58.720]  因為在幾天前美國的中期選舉結果都出來
[00:00:58.720 --> 00:01:03.220]  奧巴馬所屬的民主黨大敗
[00:01:03.220 --> 00:01:13.840]  共和黨取得參眾兩院大多數的控制權
[00:01:13.840 --> 00:01:15.320]  對奧巴馬而言
[00:01:15.320 --> 00:01:17.520]  他餘下的兩年任期
[00:01:17.520 --> 00:01:22.020]  在他的權力上會面對一個很大的制衡
[00:01:22.020 --> 00:01:23.920]  相對於奧巴馬
[00:01:23.920 --> 00:01:26.320]  普京就舒服得多
[00:01:26.320 --> 00:01:32.720]  他在權力上沒有太大的制衡
[00:01:32.720 --> 00:01:36.520]  他與這位仁兄相似
[00:01:36.520 --> 00:01:42.320]  他的權力可以發揮到很盡
[00:01:42.320 --> 00:01:45.320]  影響力可以很大
[00:01:45.320 --> 00:01:49.220]  我們這群被神選召的聖民
[00:01:49.220 --> 00:01:53.320]  如果我們的行為舉止沒有規範的話
[00:01:53.320 --> 00:01:56.020]  其實都可以有很大的影響
[00:01:56.020 --> 00:02:02.020]  在十六世紀的時候
[00:02:02.020 --> 00:02:03.720]  1513年
[00:02:03.720 --> 00:02:08.120]  利奧十世成為了當時的教皇
[00:02:08.120 --> 00:02:12.020]  這個人是一個揮霍無度的人
[00:02:12.020 --> 00:02:13.520]  在他登基的時候
[00:02:13.520 --> 00:02:21.120]  就已經用了當時教會庫存的七分之一
[00:02:21.120 --> 00:02:22.420]  接著兩年
[00:02:22.420 --> 00:02:27.620]  他很快就連其餘的七分之六都用光了
[00:02:27.620 --> 00:02:31.620]  於是教廷就出現了很嚴重的裁斥
[00:02:31.620 --> 00:02:35.720]  為了維持奧巴馬奢華的生活
[00:02:35.720 --> 00:02:36.920]  他就想了一條辦法
[00:02:36.920 --> 00:02:42.620]  就是在教會裏創造了千多個就業職位
[00:02:42.620 --> 00:02:44.720]  進行聖職的買賣
[00:02:44.720 --> 00:02:46.920]  價高者得
[00:02:46.920 --> 00:02:51.620]  估計他們售賣聖職的總收益
[00:02:51.620 --> 00:02:56.320]  是之前教會庫存的三倍
[00:02:56.320 --> 00:02:57.420]  雖然是這麼多錢
[00:02:57.420 --> 00:02:59.720]  但這些收益都不夠他用
[00:02:59.720 --> 00:03:01.720]  結果他又想了第二條辦法
[00:03:01.720 --> 00:03:04.520]  就是售賣贖罪券
[00:03:04.520 --> 00:03:08.520]  聲稱任何人買了贖罪券
[00:03:08.520 --> 00:03:09.820]  你買得越多越好
[00:03:09.820 --> 00:03:11.720]  買了之後就可以贖罪
[00:03:11.720 --> 00:03:13.720]  你的罪就可以被神赦免
[00:03:13.720 --> 00:03:14.320]  不單止你
[00:03:14.320 --> 00:03:15.920]  還有你的親友
[00:03:15.920 --> 00:03:18.720]  都可以被神赦罪
[00:03:18.720 --> 00:03:20.920]  因為他們相信有煉獄
[00:03:20.920 --> 00:03:22.620]  人死了之後去煉獄
[00:03:22.620 --> 00:03:25.920]  你在煉獄逗留的日子就會縮短
[00:03:25.920 --> 00:03:30.120]  就可以提早回到天堂
[00:03:30.120 --> 00:03:34.320]  當時這些收益是用來支持教會聖功
[00:03:34.320 --> 00:03:35.720]  而其中一個事功
[00:03:35.720 --> 00:03:38.920]  就是興建聖彼得大教堂
[00:03:38.920 --> 00:03:40.320]  聖彼得大教堂
[00:03:40.320 --> 00:03:43.320]  也就是今天坐落在梵蒂岡
[00:03:43.320 --> 00:03:46.320]  聖彼得大教堂
[00:03:46.320 --> 00:03:52.320]  當時有收市負責推銷贖罪券
[00:03:52.320 --> 00:03:56.320]  他們在街市叫賣
[00:03:56.320 --> 00:03:58.320]  好像今天的小販
[00:03:58.320 --> 00:04:01.320]  他們在那裏會喊出一句口號
[00:04:01.320 --> 00:04:05.320]  就是「錢幣落入錢箱響叮噹」
[00:04:05.320 --> 00:04:08.320]  「靈魂脫離煉獄升天堂」
[00:04:08.320 --> 00:04:10.320]  壓穩了
[00:04:10.320 --> 00:04:12.320]  當然他們不是用中文說
[00:04:12.320 --> 00:04:15.320]  我相信他們也有可能是壓穩了
[00:04:15.320 --> 00:04:20.320]  結果當時的教會這麼無法無天
[00:04:20.320 --> 00:04:23.320]  結果引致1517年
[00:04:23.320 --> 00:04:28.320]  由馬丁路德所領導的宗教改革運動
[00:04:28.320 --> 00:04:30.320]  以上這個例子
[00:04:30.320 --> 00:04:33.320]  就是一個沒有規範所造成的惡果
[00:04:33.320 --> 00:04:36.320]  到底我們作為今時今日
[00:04:36.320 --> 00:04:37.320]  這個世代的基督徒
[00:04:37.320 --> 00:04:40.320]  我們應該有什麼規範呢?
[00:04:40.320 --> 00:04:43.320]  這兩三個月
[00:04:43.320 --> 00:04:46.320]  教會同工一直在說哥羅西書
[00:04:46.320 --> 00:04:48.320]  來到今天就是最後一講
[00:04:48.320 --> 00:04:49.320]  最後一堂
[00:04:49.320 --> 00:04:52.320]  最後一段的哥羅西書
[00:04:52.320 --> 00:04:54.320]  今天我想和大家一起重溫一下
[00:04:54.320 --> 00:04:57.320]  到底哥羅西書是說什麼的
[00:04:57.320 --> 00:05:00.320]  保羅當時為什麼要寫這個哥羅西書呢?
[00:05:00.320 --> 00:05:02.320]  其中一個很重要的原因
[00:05:02.320 --> 00:05:05.320]  就是因為當時教會裏面出現一些異端
[00:05:05.320 --> 00:05:08.320]  他們一方面質疑基督的神聖
[00:05:08.320 --> 00:05:12.320]  另一方面他們也提出了很多規條
[00:05:12.320 --> 00:05:14.320]  要人來守
[00:05:14.320 --> 00:05:17.320]  所以保羅寫這個哥羅西書
[00:05:17.320 --> 00:05:18.320]  就要以正視聽
[00:05:18.320 --> 00:05:22.320]  其中很強調的是基督的神聖
[00:05:22.320 --> 00:05:24.320]  基督就是創造主
[00:05:24.320 --> 00:05:25.320]  是教會的頭
[00:05:25.320 --> 00:05:28.320]  也是人和神之間唯一的忠報
[00:05:28.320 --> 00:05:32.320]  人要得救只有靠著基督
[00:05:32.320 --> 00:05:33.320]  別無他途
[00:05:33.320 --> 00:05:35.320]  人唯有靠著基督
[00:05:35.320 --> 00:05:38.320]  才可以得救成為新造的人
[00:05:38.320 --> 00:05:43.320]  而這段哥羅西書去到第三章的十二節
[00:05:43.320 --> 00:05:46.320]  到四章一節這個大段落
