
[00:00:00.000 --> 00:00:03.000]  今天我們講到的經文
[00:00:03.000 --> 00:00:09.000]  在耶利米蘇31章31到34節
[00:00:09.000 --> 00:00:15.000]  耶利米蘇31章31到34節
[00:00:15.000 --> 00:00:20.000]  四節的經文
[00:00:20.000 --> 00:00:25.000]  有些時候當我和頂姊妹聊天的時候
[00:00:25.000 --> 00:00:29.000]  通常聊到流眼淚是什麼處境呢
[00:00:29.000 --> 00:00:32.000]  很多時候是關於家人
[00:00:32.000 --> 00:00:37.000]  可能和家人吵架不開心
[00:00:37.000 --> 00:00:41.000]  可能為家人一些事情發生了
[00:00:41.000 --> 00:00:46.000]  家人身上很憂心很憂慮
[00:00:46.000 --> 00:00:50.000]  譬如說家裡有一個隱蔽的少年人
[00:00:50.000 --> 00:00:53.000]  或者青年人甚至中年人
[00:00:53.000 --> 00:00:56.000]  不知道怎樣把他帶出來
[00:00:56.000 --> 00:01:01.000]  家人有些情緒上的失控
[00:01:01.000 --> 00:01:05.000]  不知道怎樣相處
[00:01:05.000 --> 00:01:08.000]  甚至家人如果有賭博
[00:01:08.000 --> 00:01:11.000]  或者人與人之間的關係
[00:01:11.000 --> 00:01:14.000]  是勢成水火
[00:01:14.000 --> 00:01:16.000]  更加不知道怎樣辦
[00:01:16.000 --> 00:01:19.000]  有些時候我們也會憂心
[00:01:19.000 --> 00:01:23.000]  我們的下一代不再回教會
[00:01:23.000 --> 00:01:25.000]  離開這個群體
[00:01:25.000 --> 00:01:27.000]  我們憂慮
[00:01:27.000 --> 00:01:31.000]  為了家人祈禱
[00:01:31.000 --> 00:01:36.000]  神啊 為什麼家人還未相信主
[00:01:36.000 --> 00:01:39.000]  我們心裡有些時候會想
[00:01:39.000 --> 00:01:43.000]  神啊 你什麼時候應允我們的禱告
[00:01:43.000 --> 00:01:49.000]  你有沒有忘記我們
[00:01:49.000 --> 00:01:52.000]  耶利米先知也在這樣的處境之下
[00:01:52.000 --> 00:01:59.000]  與一群以色列人發出預言
[00:01:59.000 --> 00:02:02.000]  耶利米書31章31到34節
[00:02:02.000 --> 00:02:05.000]  神藉著耶利米先知
[00:02:05.000 --> 00:02:10.000]  與一群被擄到巴比倫的以色列人
[00:02:10.000 --> 00:02:13.000]  當他們呼求神的時候
[00:02:13.000 --> 00:02:17.000]  卻不能夠馬上得到回應的時候
[00:02:17.000 --> 00:02:22.000]  我們一起讀31到34節
[00:02:22.000 --> 00:02:23.000]  準備起
[00:02:23.000 --> 00:02:26.000]  看吶 日子將到
[00:02:26.000 --> 00:02:29.000]  我要與以色列家和尤達家
