
[00:00:00.000 --> 00:00:04.000]  今天的講題是「活出和好的福音」
[00:00:04.000 --> 00:00:09.280]  意思是我們傳福音不是只用口去講
[00:00:09.280 --> 00:00:12.920]  我們要身體力行的 行出來
[00:00:12.920 --> 00:00:18.280]  在春秋時代齊國的國君齊靈公
[00:00:18.280 --> 00:00:20.280]  他有一個很特別的嗜好
[00:00:20.280 --> 00:00:26.920]  他喜歡看到宮內的女士以男裝打扮
[00:00:26.920 --> 00:00:28.920]  即是女扮男裝
[00:00:28.920 --> 00:00:32.760]  上有好者 下有臣孝
[00:00:32.760 --> 00:00:38.320]  所以宮內每個女子都是男裝打扮
[00:00:38.320 --> 00:00:41.360]  這種風氣不單在宮內盛行
[00:00:41.360 --> 00:00:44.560]  吹到宮外的人也是這樣
[00:00:44.560 --> 00:00:48.720]  全國的女子都爭相仿效這種打扮
[00:00:48.720 --> 00:00:52.240]  齊靈公知道之後覺得不太行
[00:00:52.240 --> 00:00:56.480]  整個國家每個都是男裝打扮
[00:00:56.480 --> 00:00:58.040]  不太行
[00:00:58.040 --> 00:01:02.600]  於是他馬上叫官員去監督
[00:01:02.600 --> 00:01:04.600]  還下了一道禁令
[00:01:04.600 --> 00:01:09.680]  禁止宮外的女士再作男裝打扮
[00:01:09.680 --> 00:01:11.280]  這道禁令一出
[00:01:11.280 --> 00:01:15.840]  官員就上街去視察民情
[00:01:15.840 --> 00:01:21.360]  他們發現街上很多人的衣服都是被撕破的
[00:01:21.360 --> 00:01:23.600]  因為齊靈公出了一道禁令
[00:01:23.600 --> 00:01:27.120]  凡是女子男裝打扮的
[00:01:27.120 --> 00:01:29.120]  衣服都要被撕破
[00:01:29.120 --> 00:01:32.040]  腰帶也要被截斷
[00:01:32.040 --> 00:01:37.360]  所以官員在街上看到很多人的衣服都被撕破
[00:01:37.360 --> 00:01:41.560]  奇怪的是百姓個個都知道這道禁令出了
[00:01:41.560 --> 00:01:45.520]  但這種風氣仍然盛行
[00:01:45.520 --> 00:01:49.120]  女子個個仍然是女扮男裝
[00:01:49.120 --> 00:01:52.520]  齊靈公大傷腦筋
[00:01:52.520 --> 00:01:54.520]  不知道怎樣應付
[00:01:54.520 --> 00:01:58.800]  這時丞相顏英知道這件事後
[00:01:58.800 --> 00:02:01.080]  就去見齊靈公
[00:02:01.080 --> 00:02:08.000]  他說齊靈公向顏英求教
[00:02:08.000 --> 00:02:12.680]  「顏英啊顏英 怎樣處理這件事?」
[00:02:12.680 --> 00:02:16.880]  「為何我出了禁令風氣仍然不止息?」
[00:02:16.880 --> 00:02:19.080]  顏子就回答
[00:02:19.080 --> 00:02:20.760]  「大王啊大王」
[00:02:20.760 --> 00:02:25.200]  「你在宮裡任憑女子扮男裝」
[00:02:25.200 --> 00:02:28.920]  「但又禁止宮外的人這樣做」
[00:02:28.920 --> 00:02:30.920]  「這樣不行的」
[00:02:30.920 --> 00:02:35.480]  「猶如你在宮門掛上牛頭」
[00:02:35.480 --> 00:02:39.000]  「但在宮裡賣馬肉」
[00:02:39.000 --> 00:02:40.000]  「不如這樣吧」
[00:02:40.000 --> 00:02:45.320]  「你禁止宮裡的女子女扮男裝」
[00:02:45.320 --> 00:02:49.880]  「這種風氣自然在宮外都會消失」
[00:02:49.880 --> 00:02:53.320]  齊靈公一聽就恍然大悟
[00:02:53.320 --> 00:02:55.480]  於是他就真的下禁令
[00:02:55.480 --> 00:02:59.360]  禁止宮裡的女子再扮男裝
[00:02:59.360 --> 00:03:01.520]  結果不趨一個月
[00:03:01.520 --> 00:03:06.840]  這種風氣在宮外也消失了
[00:03:06.840 --> 00:03:09.280]  這個故事告訴我們
[00:03:09.280 --> 00:03:14.120]  我們要端正人前先要端正自己
[00:03:14.120 --> 00:03:17.160]  否則我們說一套做一套的話
[00:03:17.160 --> 00:03:20.200]  我們的說話也缺乏說服力
[00:03:20.200 --> 00:03:22.520]  在這裡 顏子用了一個比喻
[00:03:22.520 --> 00:03:26.040]  他說齊靈公這樣說一套做一套
[00:03:26.040 --> 00:03:29.160]  就好像在宮門掛上牛頭
[00:03:29.160 --> 00:03:31.000]  在宮裡賣馬肉
[00:03:31.000 --> 00:03:35.200]  這個比喻引申成為後來的一句說話
[00:03:35.200 --> 00:03:37.360]  大家知不知道那句說話是甚麼?
[00:03:37.360 --> 00:03:40.200]  是「掛羊頭賣狗肉」
[00:03:40.200 --> 00:03:43.920]  意思是「名不符實 表裡不一」
[00:03:43.920 --> 00:03:46.440]  其實我們傳呼音都是這樣的
[00:03:46.440 --> 00:03:50.280]  我們千萬不要說就天下無敵
[00:03:50.280 --> 00:03:51.800]  做就有心無力
[00:03:51.800 --> 00:03:54.120]  我們要將和好的呼音
[00:03:54.120 --> 00:03:56.440]  用生命來活出來
[00:03:56.440 --> 00:04:00.080]  今天我們要看看哥林多後書第六章
[00:04:00.080 --> 00:04:03.120]  保羅如何在這段聖經裡
[00:04:03.120 --> 00:04:07.960]  活出他所說的聖經
[00:04:07.960 --> 00:04:09.880]  他如何用他的生命
[00:04:09.880 --> 00:04:12.440]  來活出他所傳的呼音
[00:04:12.440 --> 00:04:13.320]  兩個星期前
[00:04:13.320 --> 00:04:15.440]  其實杜先生也跟我們說了第五章
[00:04:15.440 --> 00:04:16.920]  那裡有一個很重要的訊息
[00:04:16.920 --> 00:04:20.520]  就是神藉著基督的死
[00:04:20.520 --> 00:04:22.680]  叫人和祂和好
[00:04:22.680 --> 00:04:27.560]  並且將與人和好的使命
[00:04:27.560 --> 00:04:30.160]  交託給信徒
[00:04:30.160 --> 00:04:32.320]  所以我們每一個信徒都有責任
[00:04:32.320 --> 00:04:34.640]  將和好的呼音傳開
[00:04:34.640 --> 00:04:38.800]  使人和神和好
[00:04:38.800 --> 00:04:41.280]  接著來到第六章
[00:04:41.280 --> 00:04:43.240]  就是我們今天要看的這章
[00:04:43.240 --> 00:04:47.440]  保羅在這裡可以顯示
[00:04:47.440 --> 00:04:50.320]  他是如何回應上帝的託付
[00:04:50.320 --> 00:04:54.200]  這一段六章一節至七章一節
[00:04:54.200 --> 00:04:56.960]  其實可以分為三個段落
[00:04:56.960 --> 00:04:59.040]  表面上看這三個段落
[00:04:59.040 --> 00:05:03.120]  好像不是很大連貫
[00:05:03.120 --> 00:05:06.320]  但其實每一段都是緊緊相扣
