
[00:00:00.000 --> 00:00:06.540]  上兩個禮拜我們看過摩西
[00:00:06.540 --> 00:00:14.040]  這位被逼出來的人民領袖
[00:00:14.040 --> 00:00:20.620]  還被逼培養出信心
[00:00:20.620 --> 00:00:28.600]  今天我們要看另一位信心的名人
[00:00:28.600 --> 00:00:34.380]  他是屬於年輕一代的領袖
[00:00:34.380 --> 00:00:37.280]  叫做加勒
[00:00:37.280 --> 00:00:49.460]  他跟其他十一位少壯派的領袖
[00:00:49.460 --> 00:01:00.580]  被派出去做探子的時候是四十歲
[00:01:00.580 --> 00:01:05.640]  在明書記這裡沒有提到
[00:01:05.640 --> 00:01:15.240]  不過在約書亞記十四章第六到第七節就提到了
[00:01:15.240 --> 00:01:17.940]  十四章六節
[00:01:17.940 --> 00:01:24.440]  相信加勒和摩西
[00:01:24.440 --> 00:01:29.180]  跟其他的以色列人一樣
[00:01:29.180 --> 00:01:32.620]  一起經歷過
[00:01:32.620 --> 00:01:41.020]  上帝在埃及所行的十個實在的神蹟
[00:01:41.020 --> 00:01:45.700]  他們也一起渡過紅海
[00:01:45.700 --> 00:01:53.060]  他們都在曠野的地方吃過馬拿
[00:01:53.060 --> 00:01:56.360]  也吃過鵪鶉
[00:01:56.360 --> 00:02:01.900]  但是從今天的經文
[00:02:01.900 --> 00:02:14.520]  我們可以看見加勒和約書亞對上主有信心
[00:02:14.520 --> 00:02:22.120]  而其他的十位探子卻沒有信心
[00:02:22.120 --> 00:02:27.680]  我們從今天的經文來學習加勒的信心
[00:02:27.680 --> 00:02:37.340]  過兩個禮拜梁牧師會跟大家看約書亞的信心
[00:02:37.340 --> 00:02:44.600]  再過兩個禮拜我們會再看約書亞的信心
[00:02:44.600 --> 00:02:47.580]  請大家打開聖經
[00:02:47.580 --> 00:02:53.480]  第十三章十七到二十節
[00:02:53.480 --> 00:03:02.040]  是摩西對一半被人民選出來的人去偵查迦蘭地
[00:03:02.040 --> 00:03:09.820]  摩西就派人民選出來的領袖去偵查迦蘭地
[00:03:09.820 --> 00:03:13.120]  然後他吩咐那些探子要幹什麼
[00:03:13.120 --> 00:03:16.360]  他就吩咐那些探子你們要探什麼
[00:03:16.360 --> 00:03:22.040]  探子其實今天的講法就是情報員
[00:03:22.040 --> 00:03:27.000]  探子在今天的講法就是情報員
[00:03:27.000 --> 00:03:32.060]  情報員不是每一個都像我們看電影的007那麼厲害的
[00:03:32.060 --> 00:03:36.640]  情報員不是每一個都像今天的電影的007那麼厲害的
[00:03:36.640 --> 00:03:40.760]  他們只是要去搜集一些情報回來
[00:03:40.760 --> 00:03:43.200]  他們只是搜集一些情報回來
[00:03:43.200 --> 00:03:45.600]  為什麼要派情報員出去呢
[00:03:45.600 --> 00:03:48.560]  那派情報員出去呢
[00:03:48.560 --> 00:03:52.440]  因為上主要給以色列人的地
[00:03:52.440 --> 00:03:57.640]  因為上主要給以色列人領地一些地圖
[00:03:57.640 --> 00:04:01.560]  不是一塊沒有人居住的空地
[00:04:01.560 --> 00:04:04.160]  那些地不是沒有人住的那些空地
[00:04:04.160 --> 00:04:06.400]  而是有人住在那裡的
[00:04:06.400 --> 00:04:09.080]  已經有人住在那裡的
[00:04:09.080 --> 00:04:10.760]  而這個時候
[00:04:10.760 --> 00:04:11.920]  而在這個時候
[00:04:11.920 --> 00:04:15.440]  以色列人已經去到迦蘭地的邊緣
[00:04:15.440 --> 00:04:17.680]  他們已經來到迦蘭地的邊緣
[00:04:17.680 --> 00:04:21.240]  他們要準備攻佔迦蘭地了
[00:04:21.240 --> 00:04:24.360]  他們要攻佔迦蘭地了
[00:04:24.360 --> 00:04:28.120]  事實上在任何時代的戰爭
[00:04:28.120 --> 00:04:30.880]  其實在任何時代的戰爭
[00:04:30.880 --> 00:04:34.000]  軍事情報都是非常重要的
[00:04:34.000 --> 00:04:36.240]  軍事情報是非常重要的
[00:04:36.240 --> 00:04:39.760]  摩西在埃及當王子的時候
[00:04:39.760 --> 00:04:43.600]  當摩西在埃及當王子的時候
[00:04:43.600 --> 00:04:46.360]  一定會受過軍事訓練
[00:04:46.360 --> 00:04:48.680]  他肯定受過軍事訓練
[00:04:48.680 --> 00:04:54.960]  因此他明白上帝要他派情報員出去的意思
[00:04:54.960 --> 00:05:03.520]  他明白上主叫他派探子去搜集訊息
[00:05:03.520 --> 00:05:07.720]  所以他特別把探子要走的路線
[00:05:07.720 --> 00:05:12.840]  所以他為探子要求他們走的路線
[00:05:12.840 --> 00:05:17.560]  和他們要留心勘察的事情都講清楚
[00:05:17.560 --> 00:05:22.520]  並且他們要探察的事情都講得很清楚
[00:05:22.520 --> 00:05:26.400]  他們不是要出去遊覽地方
[00:05:26.400 --> 00:05:29.440]  他們不是去那裡去做遊覽的地方
[00:05:29.440 --> 00:05:34.320]  而是身負重任
[00:05:34.320 --> 00:05:38.920]  從摩西對他們的指示看來
[00:05:38.920 --> 00:05:46.680]  從摩西對他們的指示看來
[00:05:46.680 --> 00:05:51.280]  他們要搜集的情報
[00:05:51.280 --> 00:05:56.880]  都是重要的軍事情報
[00:05:56.880 --> 00:06:00.560]  首先是路線
[00:06:00.560 --> 00:06:03.360]  從南到北
[00:06:03.360 --> 00:06:08.080]  地勢如何
[00:06:08.080 --> 00:06:11.760]  有沒有大路和小路
[00:06:11.760 --> 00:06:16.120]  是否地勢不平
[00:06:16.120 --> 00:06:19.200]  這些資料
[00:06:19.200 --> 00:06:22.360]  對軍隊的前進很重要
[00:06:22.360 --> 00:06:30.280]  對軍隊的行徑是非常重要的
[00:06:30.280 --> 00:06:33.320]  有關居民的強弱
[00:06:33.320 --> 00:06:36.360]  而有關當地居民的強弱
[00:06:36.360 --> 00:06:39.240]  城市有沒有設防
[00:06:39.240 --> 00:06:42.200]  城市有沒有設防
[00:06:42.200 --> 00:06:47.040]  也是明顯的為準備作戰的資料
[00:06:47.040 --> 00:06:52.120]  也是用來做準備作戰的資料
[00:06:52.120 --> 00:06:56.960]  至於土壤是不是肥沃
[00:06:56.960 --> 00:06:58.600]  土壤是不是肥沃
[00:06:58.600 --> 00:07:00.880]  這個土壤是不是肥沃
[00:07:00.880 --> 00:07:04.640]  就有兩個目的
[00:07:04.640 --> 00:07:07.080]  一方面
[00:07:07.080 --> 00:07:10.680]  是加徵人民對上主的信心
[00:07:10.680 --> 00:07:14.000]  是加徵人民對上主的信心
[00:07:14.000 --> 00:07:17.200]  因為上主答應
[00:07:17.200 --> 00:07:19.880]  要帶他們到肥沃的土地
[00:07:19.880 --> 00:07:22.240]  要帶他們到肥沃的土地
[00:07:22.240 --> 00:07:24.760]  另一方面
[00:07:24.760 --> 00:07:27.800]  是增加他們作戰的信心
[00:07:27.800 --> 00:07:30.080]  是增加他們作戰的信心
[00:07:30.080 --> 00:07:33.800]  他們要佔領全地
[00:07:33.800 --> 00:07:39.720]  不是一兩天的事
[00:07:39.720 --> 00:07:45.880]  不是一兩天的事
[00:07:45.880 --> 00:07:51.800]  而是要經年累月的
[00:07:51.800 --> 00:07:56.520]  人民的糧食也是他們要關心的事
[00:07:56.520 --> 00:08:00.520]  人民的糧食也是他們要關心的事
[00:08:00.520 --> 00:08:05.800]  在21到26節
[00:08:05.800 --> 00:08:10.280]  記載了那些探子
[00:08:10.280 --> 00:08:13.960]  遵照摩西的吩咐
[00:08:13.960 --> 00:08:19.760]  從南到北偵察那地
[00:08:19.760 --> 00:08:23.880]  他們去到了不同的地方
[00:08:23.880 --> 00:08:28.520]  也了解了當地的民族
[00:08:28.520 --> 00:08:30.280]  最後
[00:08:30.280 --> 00:08:34.520]  他們也砍掉一枝的葡萄枝
[00:08:34.520 --> 00:08:38.680]  最後他們也砍掉一枝的葡萄枝
[00:08:38.680 --> 00:08:41.080]  上面有一大圈葡萄
[00:08:41.080 --> 00:08:45.680]  上面有一大圈葡萄
[00:08:45.680 --> 00:08:48.800]  和其他果實
[00:08:48.800 --> 00:08:53.160]  他們帶回到巴蘭礦野的加迪西營地
[00:08:53.160 --> 00:08:58.240]  他們帶回到巴蘭礦野的加迪西營地
[00:08:58.240 --> 00:09:01.200]  他們用了四十天的時間
[00:09:01.200 --> 00:09:03.880]  去完成這次偵察的任務
[00:09:03.880 --> 00:09:05.200]  他們用了四十天的時間
[00:09:05.200 --> 00:09:07.720]  去完成這次偵察的任務
[00:09:07.720 --> 00:09:10.920]  我們來看他們向摩西的報告
[00:09:10.920 --> 00:09:14.440]  我們來看他們向摩西的報告
[00:09:14.440 --> 00:09:16.680]  27節
[00:09:16.680 --> 00:09:19.840]  是有關土地肥沃的事實
[00:09:19.840 --> 00:09:23.120]  是有關土地肥沃的事實
[00:09:23.120 --> 00:09:26.400]  他們還帶了葡萄枝作為證據
[00:09:26.400 --> 00:09:29.520]  他們還帶了葡萄枝作為證據
[00:09:29.520 --> 00:09:31.880]  28到29節
[00:09:31.880 --> 00:09:38.560]  是有關當地人民和民族的分佈情況
[00:09:38.560 --> 00:09:42.440]  是有關當地人民和民族的分佈情況
[00:09:42.440 --> 00:09:44.960]  這是一個口頭報告
[00:09:44.960 --> 00:09:48.000]  這是一個口頭報告
[00:09:48.000 --> 00:09:51.000]  我們聽不見他們的語氣
[00:09:51.000 --> 00:09:53.000]  我們聽不見他們的語氣
[00:09:53.000 --> 00:09:55.600]  但是從30節來看
[00:09:55.600 --> 00:09:58.280]  但是從30節來看
[00:09:58.280 --> 00:10:01.600]  他們負責報告的領導
[00:10:01.600 --> 00:10:04.000]  他們負責報告的領導
[00:10:04.000 --> 00:10:07.200]  肯定是非常害怕當地人
[00:10:07.200 --> 00:10:09.960]  肯定是非常害怕當地人
[00:10:09.960 --> 00:10:13.960]  他們肯定有人認為當地人太強了
[00:10:13.960 --> 00:10:17.560]  他們肯定有人認為當地人太強了
[00:10:17.560 --> 00:10:21.240]  攻打他們無疑是送死
[00:10:21.240 --> 00:10:24.200]  攻打他們無疑是送死
[00:10:24.200 --> 00:10:26.320]  以致他們埋怨摩西
[00:10:26.320 --> 00:10:28.720]  以致他們埋怨摩西
[00:10:28.720 --> 00:10:32.680]  事實上這只不過是一個信心的問題
[00:10:32.680 --> 00:10:33.440]  事實上這只不過是一個信心的問題
[00:10:33.440 --> 00:10:36.840]  你說摩西的信息有問題
[00:10:36.840 --> 00:10:38.840]  事實上這是一個信心的問題
[00:10:38.840 --> 00:10:41.640]  其實這是一個信心的問題
[00:10:41.640 --> 00:10:43.640]  我記得有一個故事
[00:10:43.640 --> 00:10:45.080]  我記得有一個故事
[00:10:45.080 --> 00:10:51.400]  講到有兩位英國的作協商
[00:10:51.400 --> 00:10:52.800]  兩位英國的
[00:10:52.800 --> 00:10:53.960]  做鞋商
[00:10:53.960 --> 00:10:55.560]  做鞋商
[00:10:55.560 --> 00:10:59.120]  他們都派人去非洲考察
[00:10:59.120 --> 00:11:02.160]  他們都派人去非洲考察
[00:11:02.160 --> 00:11:06.240]  考慮要不要拓展非洲的市場
[00:11:06.240 --> 00:11:10.280]  他們考慮要不要拓展非洲的市場
[00:11:10.280 --> 00:11:15.440]  有一家公司的考察員回到英國報告
[00:11:15.440 --> 00:11:21.920]  於是有一家公司的考察員回到英國報告
