
[00:00:00.000 --> 00:00:04.000]  在介紹之前想跟大家介紹一本書
[00:00:04.000 --> 00:00:07.000]  這本書叫《一場遊戲一場空》
[00:00:07.000 --> 00:00:10.000]  我想問在座有沒有人看過這本書
[00:00:10.000 --> 00:00:13.000]  大家有機會可以看看
[00:00:13.000 --> 00:00:18.000]  這本書主要講述作者和他奶奶
[00:00:18.000 --> 00:00:21.000]  即是外祖母玩大富翁的遊戲
[00:00:21.000 --> 00:00:25.000]  作者在這本書第一句是這樣說
[00:00:25.000 --> 00:00:27.000]  外祖母剛剛出獄
[00:00:27.000 --> 00:00:30.000]  他摘色仔的時候摘中了黃色的地皮
[00:00:30.000 --> 00:00:33.000]  那個正正是我的物業
[00:00:33.000 --> 00:00:37.000]  以致他面臨破產的時候
[00:00:37.000 --> 00:00:39.000]  更加白上加根
[00:00:39.000 --> 00:00:42.000]  這個時候他還不獄除針板上
[00:00:42.000 --> 00:00:46.000]  我終於贏了
[00:00:46.000 --> 00:00:49.000]  因為從小到大我都是輸的
[00:00:49.000 --> 00:00:51.000]  我知道終有一天我會贏
[00:00:51.000 --> 00:00:53.000]  我今天終於贏了
[00:00:53.000 --> 00:00:59.000]  現在我知道玩大富翁要很有策略
[00:00:59.000 --> 00:01:01.000]  要買光所有的地皮
[00:01:01.000 --> 00:01:04.000]  要很機警很冒險
[00:01:04.000 --> 00:01:07.000]  最後才能夠成為大贏家
[00:01:07.000 --> 00:01:09.000]  這個時候我贏了
[00:01:09.000 --> 00:01:12.000]  我就是標基、李嘉誠、喬布斯
[00:01:12.000 --> 00:01:14.000]  一旦成為了大富翁
[00:01:14.000 --> 00:01:16.000]  就會穩操勝券
[00:01:16.000 --> 00:01:19.000]  對手只能夠對你畏懼又羨慕
[00:01:19.000 --> 00:01:23.000]  大富翁是外祖母教會我玩的
[00:01:23.000 --> 00:01:25.000]  但是在這個時候
[00:01:25.000 --> 00:01:28.000]  他教會我一個更重要的道理
[00:01:28.000 --> 00:01:29.000]  大家聽清楚
[00:01:29.000 --> 00:01:34.000]  就是現在將所有東西放回盒子裡
[00:01:34.000 --> 00:01:40.000]  將所有遊戲贏的房地產、大筆的金錢
[00:01:40.000 --> 00:01:42.000]  在遊戲結束的時候
[00:01:42.000 --> 00:01:45.000]  一切一切都要放回盒子裡
[00:01:45.000 --> 00:01:49.000]  這個時候我們很不情願
[00:01:49.000 --> 00:01:53.000]  難得贏了這麼多財產
[00:01:53.000 --> 00:01:56.000]  但是都要放回盒子裡
[00:01:56.000 --> 00:01:59.000]  我們其實很想留下
[00:01:59.000 --> 00:02:05.000]  甚至將我們所贏的豐功偉績
[00:02:05.000 --> 00:02:06.000]  倒上青銅
[00:02:06.000 --> 00:02:09.000]  為自己留下永不磨滅的回憶
[00:02:09.000 --> 00:02:11.000]  讓更多人知道我怎樣厲害
[00:02:11.000 --> 00:02:13.000]  我怎樣勝利
[00:02:13.000 --> 00:02:16.000]  這個時候大家可能會感覺到飄飄然
[00:02:16.000 --> 00:02:17.000]  很自豪
[00:02:17.000 --> 00:02:22.000]  很想這個感覺永遠停留
[00:02:22.000 --> 00:02:23.000]  但是很可惜
