
[00:00:00.000 --> 00:00:04.860]  我們感謝祢,讓今天去到這個時刻,讓祢開啟我們的心
[00:00:04.860 --> 00:00:10.860]  讓我們在祢的愛,在祢的恩典,在祢的慈恩裏,我們等候祢的說話
[00:00:10.860 --> 00:00:18.820]  因為我們今天深信,當祢的說話開啟,人生命就改變
[00:00:18.820 --> 00:00:27.140]  我們今天仍然百分百相信,主祢的說話仍然是向我們帶發慈愛
[00:00:27.140 --> 00:00:34.820]  帶發恩慈,並且改變生命,讓我們生命跟隨主,向著標竿直跑
[00:00:34.820 --> 00:00:38.280]  主,我們又讓聖靈在這裏很大的運行
[00:00:38.280 --> 00:00:44.000]  主,因為我們深信,神的說話必定需要有聖靈
[00:00:44.000 --> 00:00:49.360]  讓我們的生命,被祢,好像聖經所說
[00:00:49.360 --> 00:00:54.140]  好像兩刃的利劍刺透靈與魂,骨與骨髓
[00:00:54.140 --> 00:00:58.740]  準備我們的心,三一真神,我們歡迎祢
[00:00:58.740 --> 00:01:06.200]  在我們中間,我們多謝祢,向我們說話,奉耶穌命求
[00:01:06.200 --> 00:01:14.460]  Amen,大家聽錯,謝謝,很棒的敬拜隊,很開心
[00:01:14.460 --> 00:01:24.520]  好,今日講題是擊碎與建立,擊碎與建立,講下一些引言
[00:01:24.520 --> 00:01:33.460]  擊碎與建立,擊碎是需要用手擊碎,建立同樣都是用手來建立
[00:01:33.460 --> 00:01:38.700]  究竟擊碎還是建立,不知道大家想起擊碎,通常都是用手
[00:01:38.700 --> 00:01:45.020]  隨打過來,樣子變形,不知怎樣才復原等等
[00:01:45.020 --> 00:01:54.820]  但我相信疲愛的變形,遠容易復原過內心的擊碎
[00:01:54.820 --> 00:01:59.540]  先講下一些有趣的事,我以前經常看新聞
[00:01:59.540 --> 00:02:04.220]  我經常都不明白,為何很多新聞裏面拍了
[00:02:04.220 --> 00:02:09.300]  街邊有打鬥,有意外,有人拍完又不去報警,又不去幫手
[00:02:09.300 --> 00:02:12.460]  不知大家有沒有這感覺,我都很不明白
[00:02:12.460 --> 00:02:16.380]  直至幾個月前發生這件事,我開始有少少明白
[00:02:16.380 --> 00:02:22.660]  因為當時我正在坐火車,突然間我見到有一個男人
[00:02:22.660 --> 00:02:28.820]  很大聲說,你做甚麼撞我,然後舉起手,就打過去
[00:02:28.820 --> 00:02:34.820]  我望著他呆了,接著那個正在跌的男人說
[00:02:34.820 --> 00:02:39.740]  我不小心踩到你,接著打他的男人,再說
