
[00:00:00.000 --> 00:00:06.500]  我們已經看了十多位就業中的信心人物的故事
[00:00:06.500 --> 00:00:11.500]  我們已經看過十幾位舊約聖經中的信心人物的故事
[00:00:11.500 --> 00:00:16.500]  他們大部分人的信心都是要被上主磨練的
[00:00:16.500 --> 00:00:21.000]  他們大部分人的信心都是要被上主磨練的
[00:00:21.000 --> 00:00:32.500]  今天開始呢,我會跟大家思想幾位新業中的信心人物
[00:00:32.500 --> 00:00:37.000]  我會跟大家思想幾位新約聖經的信心人物
[00:00:37.000 --> 00:00:42.500]  第一位要思想的就是主耶穌的大弟子使徒彼得
[00:00:42.500 --> 00:00:47.000]  第一位要思想的就是主耶穌的大弟子使徒彼得
[00:00:47.000 --> 00:00:53.000]  在福音書裡面我們會讀到很多關於使徒彼得的記載
[00:00:53.000 --> 00:00:57.000]  在福音書裡面我們會看到很多關於使徒彼得的記載
[00:00:57.000 --> 00:01:00.000]  也有很多關於他的事情
[00:01:00.000 --> 00:01:02.000]  也有很多關於他的事情
[00:01:02.000 --> 00:01:08.000]  今天我選了他在海面行走的事情跟大家分享
[00:01:08.000 --> 00:01:12.000]  今天我選了他在海面行走的事情跟大家分享
[00:01:12.000 --> 00:01:15.000]  因為除了主耶穌以外
[00:01:15.000 --> 00:01:17.000]  因為除了主耶穌以外
[00:01:17.000 --> 00:01:21.000]  只有使徒彼得曾經在水面上行走
[00:01:21.000 --> 00:01:24.000]  只有使徒彼得曾經在水面上行走
[00:01:24.000 --> 00:01:26.000]  那是一件不簡單的事
[00:01:26.000 --> 00:01:29.000]  那是一件不簡單的事
[00:01:29.000 --> 00:01:35.000]  讓我們先介紹一下有關使徒彼得的背景
[00:01:35.000 --> 00:01:39.000]  讓我們先介紹一下有關使徒彼得的背景
[00:01:39.000 --> 00:01:42.000]  他的家鄉是在加百隆
[00:01:42.000 --> 00:01:45.000]  他的家鄉是在加百隆
[00:01:45.000 --> 00:01:48.000]  是在加利利湖的北面
[00:01:48.000 --> 00:01:50.000]  是在加利利湖的北面
[00:01:50.000 --> 00:01:52.000]  是一個漁村來的
[00:01:52.000 --> 00:01:53.000]  是一個漁村來的
[00:01:53.000 --> 00:01:55.000]  讓我們看一幅地圖
[00:01:55.000 --> 00:01:57.000]  讓我們看一幅地圖
[00:01:57.000 --> 00:02:00.000]  這幅地圖有兩個地圖
[00:02:00.000 --> 00:02:07.000]  在右下方那個是看整個地形的地圖
[00:02:07.000 --> 00:02:11.000]  在右下方那個是看整個地形的地圖
[00:02:11.000 --> 00:02:16.000]  看到藍色的地方就代表海或是湖
[00:02:16.000 --> 00:02:19.000]  看到藍色的地方就代表海或是湖
[00:02:19.000 --> 00:02:20.000]  看到藍色的地方就代表海或是湖
[00:02:20.000 --> 00:02:24.000]  在左上角那個藍色的地方就是地中海
[00:02:24.000 --> 00:02:27.000]  在左上角那個藍色的地方就是地中海
[00:02:27.000 --> 00:02:28.000]  在左上角那個藍色的地方就是地中海
[00:02:28.000 --> 00:02:33.000]  在中間我們會看到一個小的藍色在上面
[00:02:33.000 --> 00:02:33.000]  在中間我們會看到一個小的藍色在上面
[00:02:33.000 --> 00:02:36.000]  然後有一個比較大的藍色在下面
[00:02:36.000 --> 00:02:37.000]  然後有一個比較大的藍色在下面
[00:02:37.000 --> 00:02:42.000]  然後有一個比較大的藍色在上面
[00:02:42.000 --> 00:02:45.000]  好像倒轉了
[00:02:45.000 --> 00:02:47.000]  大的藍色是在下面
[00:02:47.000 --> 00:02:51.000]  是大的藍色在下面,小的藍色在上面
[00:02:51.000 --> 00:02:54.000]  那個大的藍色就是死海
[00:02:54.000 --> 00:02:55.000]  那個大的藍色就是死海
[00:02:55.000 --> 00:02:58.000]  小的就是加利利湖
[00:02:58.000 --> 00:03:00.000]  小的就是加利利湖
[00:03:00.000 --> 00:03:04.000]  然後我們看中間那個,它用綠色代表加利利湖
[00:03:04.000 --> 00:03:07.000]  加利利地區
[00:03:07.000 --> 00:03:09.000]  綠色那個代表加利利這個地區
[00:03:09.000 --> 00:03:13.000]  然後中間有一個藍色的就是加利利湖
[00:03:13.000 --> 00:03:16.000]  這個中間藍色那個就是加利利湖
[00:03:16.000 --> 00:03:18.000]  北面我們看到有些英文字
[00:03:18.000 --> 00:03:21.000]  第二個英文字就是加白龍的地方
[00:03:21.000 --> 00:03:28.000]  第二個英文字就是加白龍的地方
[00:03:28.000 --> 00:03:31.000]  地名第二個是加白龍
[00:03:31.000 --> 00:03:38.000]  根據馬太福音第四章十八到二十節的記載
[00:03:38.000 --> 00:03:42.000]  根據馬太福音第四章十八到二十節的記載
[00:03:42.000 --> 00:03:45.000]  是耶穌護照了彼得的
[00:03:45.000 --> 00:03:47.000]  是耶穌護照了彼得的
[00:03:47.000 --> 00:03:48.000]  讓我讀一下那個經文
[00:03:48.000 --> 00:03:50.000]  我現在讀一下那個經文
[00:03:50.000 --> 00:03:53.000]  耶穌沿加利利湖邊走著
[00:03:53.000 --> 00:03:56.000]  看見兩個打魚的兄弟
[00:03:56.000 --> 00:04:02.000]  西門和他的弟弟安德烈正在湖裡撒網打魚
[00:04:02.000 --> 00:04:04.000]  耶穌對他們說來跟蹤我
[00:04:04.000 --> 00:04:08.000]  我要使你們成為得人的漁夫
[00:04:08.000 --> 00:04:10.000]  耶穌沿加利利湖邊走著
[00:04:10.000 --> 00:04:12.000]  看見兩個打魚的兄弟
[00:04:12.000 --> 00:04:14.000]  西門別號叫彼得
[00:04:14.000 --> 00:04:18.000]  和他的弟弟安德烈正在湖裡撒網打魚
[00:04:18.000 --> 00:04:21.000]  耶穌對他們說來跟隨我
[00:04:21.000 --> 00:04:26.000]  我要使你們成為得人的漁夫
[00:04:26.000 --> 00:04:37.000]  他們立刻掉下了魚網跟從耶穌
[00:04:37.000 --> 00:04:39.000]  從這個簡單的記載
[00:04:39.000 --> 00:04:46.000]  我們可以看到這位漁夫彼得
[00:04:46.000 --> 00:04:49.000]  他可能早已厭倦了打魚的生活
[00:04:49.000 --> 00:04:51.000]  可能早已厭倦了打魚的生活
[00:04:51.000 --> 00:04:54.000]  打魚的生活可能很枯燥的
[00:04:54.000 --> 00:04:57.000]  打魚的生活可能是很枯燥的
[00:04:57.000 --> 00:05:01.000]  又要看天氣又沒有一定把握能夠打到魚
[00:05:01.000 --> 00:05:04.000]  又要看天氣又不一定有把握打到魚
[00:05:04.000 --> 00:05:07.000]  他可能也想過做人有什麼意義
[00:05:07.000 --> 00:05:10.000]  他可能都想過到底做人有什麼意義呢
[00:05:10.000 --> 00:05:14.000]  每天都這樣打魚滿身的魚腥味
[00:05:14.000 --> 00:05:16.000]  每天都是這樣打魚
[00:05:16.000 --> 00:05:20.000]  究竟為什麼要存在呢
[00:05:20.000 --> 00:05:22.000]  究竟為什麼要存在呢
[00:05:22.000 --> 00:05:27.000]  最近我聽到一位中國搖滾樂的教父汪峰唱的一首歌
[00:05:27.000 --> 00:05:33.000]  最近我聽到一位中國搖滾樂的教父汪峰唱的一首歌
[00:05:33.000 --> 00:05:35.000]  歌詞也是汪峰作的
[00:05:35.000 --> 00:05:37.000]  歌詞也是汪峰寫的
[00:05:37.000 --> 00:05:40.000]  我唸幾句
[00:05:40.000 --> 00:05:44.000]  多少人走著卻困在原地
[00:05:44.000 --> 00:05:49.000]  多少人活著卻如同死去
[00:05:49.000 --> 00:05:52.000]  多少人走著卻困在原地
[00:05:52.000 --> 00:05:55.000]  多少人活著卻如同死去
[00:05:55.000 --> 00:05:58.000]  多少人愛著卻好似分離
[00:05:58.000 --> 00:06:02.000]  多少人笑著卻滿含淚滴
[00:06:02.000 --> 00:06:05.000]  多少人愛著卻好似分離
[00:06:05.000 --> 00:06:08.000]  多少人笑著卻滿含淚滴
[00:06:08.000 --> 00:06:11.000]  誰知道我們該去向何處
[00:06:11.000 --> 00:06:14.000]  誰明白生命已變為何物
[00:06:14.000 --> 00:06:17.000]  誰知道我們該去向何處
