
[00:00:00.000 --> 00:00:02.880]  弟子們如何去看公平和公義呢?
[00:00:02.880 --> 00:00:07.080]  這一陣子快到中秋了
[00:00:07.080 --> 00:00:08.560]  有沒有人懂得做餅?
[00:00:08.560 --> 00:00:14.320]  這一陣子在臉書上有很多人做餅
[00:00:14.320 --> 00:00:15.920]  做那些冰皮月餅
[00:00:15.920 --> 00:00:19.600]  媽媽做一個冰皮月餅
[00:00:19.600 --> 00:00:21.200]  有兩個小朋友
[00:00:21.200 --> 00:00:22.480]  一個餅
[00:00:22.480 --> 00:00:25.440]  如何分得平均呢?
[00:00:25.440 --> 00:00:27.720]  如何分得公平呢?
[00:00:27.720 --> 00:00:29.240]  媽媽有沒有想過這個問題?
[00:00:30.320 --> 00:00:32.840]  你只做一個餅
[00:00:32.840 --> 00:00:33.960]  你如何做得平均呢?
[00:00:33.960 --> 00:00:36.760]  你做完這個餅要分給兩個小朋友的時候
[00:00:36.760 --> 00:00:38.600]  如何分得公平呢?
[00:00:38.600 --> 00:00:42.320]  有些博弈的人就說
[00:00:42.320 --> 00:00:44.160]  做了一個餅
[00:00:44.160 --> 00:00:48.520]  你不要切
[00:00:48.520 --> 00:00:50.600]  你一切就給他們兩個選
[00:00:50.600 --> 00:00:52.000]  誰先選誰後選
[00:00:52.000 --> 00:00:52.920]  你又很麻煩
[00:00:52.920 --> 00:00:54.240]  對不對?
[00:00:54.240 --> 00:00:58.120]  媽媽做又切就很麻煩
[00:00:58.120 --> 00:01:01.400]  因為她會說兩個小朋友有機會說你偏心
[00:01:01.400 --> 00:01:03.320]  要麼是哥哥
[00:01:03.320 --> 00:01:04.240]  要麼是偏心小的
[00:01:04.240 --> 00:01:05.240]  要麼是偏心大的
[00:01:05.240 --> 00:01:08.200]  生一個小朋友的人不太明白這些問題
[00:01:08.200 --> 00:01:12.800]  媽媽做了一個餅
[00:01:12.800 --> 00:01:13.800]  要公平呢?
[00:01:13.800 --> 00:01:16.000]  就給兩個小朋友去解決
[00:01:16.000 --> 00:01:18.800]  就給其中一個切
[00:01:18.800 --> 00:01:22.120]  切的那個就選後
[00:01:22.120 --> 00:01:26.600]  負責切的那個就選最後
[00:01:26.960 --> 00:01:29.480]  切的那個就要很細心很仔細
[00:01:29.480 --> 00:01:30.600]  一定要切得公平
[00:01:30.600 --> 00:01:32.200]  如果不是的話
[00:01:32.200 --> 00:01:33.000]  她選後的嘛
[00:01:33.000 --> 00:01:35.320]  當然是給哥哥或者是妹妹
[00:01:35.320 --> 00:01:37.400]  她選先的時候
[00:01:37.400 --> 00:01:38.280]  一般的情況
[00:01:38.280 --> 00:01:39.240]  正常的情況
[00:01:39.240 --> 00:01:40.880]  當然是選大塊的那塊
[00:01:40.880 --> 00:01:42.920]  這個世界哪有這麼好
[00:01:42.920 --> 00:01:44.120]  我孔洋洋來
[00:01:44.120 --> 00:01:45.520]  我給你吃大塊的
[00:01:45.520 --> 00:01:45.960]  不會的
[00:01:45.960 --> 00:01:47.960]  所以為了公平起見
[00:01:47.960 --> 00:01:49.840]  媽媽你做一個餅
[00:01:49.840 --> 00:01:51.080]  你就不要切了
[00:01:51.080 --> 00:01:52.520]  給兩個小朋友去解決
[00:01:52.520 --> 00:01:55.080]  誰負責切的那個就選最後
[00:01:55.080 --> 00:01:56.120]  那就輪著了
[00:01:56.120 --> 00:01:58.280]  這個是最好的公平
[00:01:58.280 --> 00:01:59.760]  但是是不是真的這個世界
[00:01:59.760 --> 00:02:01.280]  有完全的公平呢?
[00:02:01.280 --> 00:02:02.920]  其實也很難
[00:02:02.920 --> 00:02:05.080]  也很難
[00:02:05.080 --> 00:02:06.760]  但是我們作為一個人
[00:02:06.760 --> 00:02:08.040]  在一個社會裡面
