
[00:00:00.000 --> 00:00:02.240]  各位早晨
[00:00:02.240 --> 00:00:04.440]  師母前一陣子收到一個電話
[00:00:04.440 --> 00:00:06.840]  就是國內一些銀行保安打來
[00:00:06.840 --> 00:00:09.420]  他說你在中國的時候被人偷了
[00:00:09.420 --> 00:00:12.600]  偷了你的信用卡的資料
[00:00:12.600 --> 00:00:16.340]  就開了另外一個信用卡
[00:00:16.340 --> 00:00:17.940]  就在用你的錢
[00:00:17.940 --> 00:00:19.680]  那你快點要留意了
[00:00:19.680 --> 00:00:22.420]  那詳細情形請你在報道
[00:00:22.420 --> 00:00:24.420]  去香港的新華社報道
[00:00:24.420 --> 00:00:26.420]  以致有這個保障
[00:00:26.420 --> 00:00:30.260]  緊張地就打電話給我 怎麼辦
[00:00:30.260 --> 00:00:33.900]  我就說快點去報警啦
[00:00:33.900 --> 00:00:37.240]  這樣的事情不用聽了
[00:00:37.240 --> 00:00:40.140]  所以我們今天在這個社會裏面
[00:00:40.140 --> 00:00:41.920]  就要很小心 看清楚這些東西
[00:00:41.920 --> 00:00:45.040]  這些陷阱 或者借錢 或者一些什麼
[00:00:45.040 --> 00:00:47.940]  或者叫你出來聊天 這些騙案
[00:00:47.940 --> 00:00:49.540]  要看清楚
[00:00:49.540 --> 00:00:51.780]  如果日常生活有些事情都要看清楚
[00:00:51.780 --> 00:00:53.420]  如果我們說信耶穌
[00:00:53.420 --> 00:00:58.240]  看清楚上帝要我們如何生活
[00:00:58.240 --> 00:01:01.820]  看清楚上帝要我們如何辦教會
[00:01:01.820 --> 00:01:05.340]  就更加有理由叫我們去這樣做
[00:01:05.340 --> 00:01:06.980]  小心一點 看清楚
[00:01:06.980 --> 00:01:09.060]  看不看得到啊? 看不看得清楚?
[00:01:09.060 --> 00:01:10.820]  在這段聖經裏面
[00:01:10.820 --> 00:01:13.220]  就在說這個題目
[00:01:13.220 --> 00:01:16.400]  要看清楚上帝對我們的心意
[00:01:16.400 --> 00:01:18.000]  如果你溫習一下
[00:01:18.000 --> 00:01:21.000]  下幾章 不要經文了
