
[00:00:00.000 --> 00:00:02.760]  我在美國居住的時間大約一半
[00:00:02.760 --> 00:00:04.440]  其他一半時間都出來了
[00:00:04.440 --> 00:00:06.720]  很多時候很多地方都要去
[00:00:06.720 --> 00:00:08.360]  最重要是要進入中國
[00:00:08.360 --> 00:00:10.520]  就要用普通話講道
[00:00:10.520 --> 00:00:13.800]  普通話就不是廣東話的尾音
[00:00:13.800 --> 00:00:15.360]  肯定不是
[00:00:15.360 --> 00:00:18.320]  你要學那些國語人用什麼口腔
[00:00:18.320 --> 00:00:20.720]  不過在香港很多時候講道
[00:00:20.720 --> 00:00:23.160]  有些中學生 特別是中學生那些
[00:00:23.160 --> 00:00:25.560]  那班人有腦 他會想事情的
[00:00:25.560 --> 00:00:28.440]  他不知道怎樣找到我的電郵地址
[00:00:28.440 --> 00:00:31.120]  電郵裏面問我很多事情
[00:00:31.120 --> 00:00:32.960]  其中有培政中學的學生
[00:00:32.960 --> 00:00:34.480]  有英華書院男校
[00:00:34.480 --> 00:00:36.560]  有聖保羅男女校
[00:00:36.560 --> 00:00:38.560]  那班人是會想事情的
[00:00:38.560 --> 00:00:41.040]  他們問的問題就成為我
[00:00:41.040 --> 00:00:43.760]  下一次報道會的題目
[00:00:43.760 --> 00:00:45.280]  如果我知道我會回答他
[00:00:45.280 --> 00:00:47.280]  如果不知道我會做資料搜集
[00:00:47.280 --> 00:00:50.120]  本來這次我講一篇道是預備講
[00:00:50.120 --> 00:00:52.360]  神怎樣運作我們的人腦
[00:00:52.360 --> 00:00:54.040]  人腦的運作是怎樣
[00:00:54.040 --> 00:00:57.720]  因為這次2015年的講者是DGS
[00:00:57.720 --> 00:01:00.400]  呂拔萃 拾丘的學生
[00:01:00.400 --> 00:01:02.080]  有一晚他採訪的時候
[00:01:02.080 --> 00:01:03.880]  他告訴那些記者
[00:01:03.880 --> 00:01:06.640]  他的媽媽怎樣給他一個
[00:01:06.640 --> 00:01:09.400]  給他一個環境
[00:01:09.400 --> 00:01:11.640]  我本來想講這個題目 但是
[00:01:11.640 --> 00:01:12.760]  四個星期前
[00:01:12.760 --> 00:01:15.880]  我在星期二晚上查經班都講了
[00:01:15.880 --> 00:01:17.560]  世界局勢在歐洲
[00:01:17.560 --> 00:01:20.000]  不是在中國 也不是在美國
[00:01:20.000 --> 00:01:22.160]  將來會有很多軍事轉變
