
[00:00:00.000 --> 00:00:03.800]  根據熟悉地理的聖經學者來形容
[00:00:03.800 --> 00:00:07.800]  以法連的樹林是一個亂樹叢生
[00:00:07.800 --> 00:00:09.800]  枝葉糾纏
[00:00:09.800 --> 00:00:14.680]  並且遍地都是那些鱗酸怪石的地方
[00:00:14.680 --> 00:00:18.800]  所以缺乏在這種地形作戰的壓殺龍軍隊
[00:00:18.800 --> 00:00:23.400]  在作戰當日陣亡了二萬個士兵
[00:00:23.400 --> 00:00:27.200]  死在樹林的比死在刀劍的更多
[00:00:27.200 --> 00:00:31.800]  而他們的統帥就是密謀半變的壓殺龍
[00:00:31.800 --> 00:00:36.200]  也因為頭髮被樹卡住了
[00:00:36.200 --> 00:00:38.800]  整個人就吊起了
[00:00:38.800 --> 00:00:42.400]  最後被祝士多謀的虐壓
[00:00:42.400 --> 00:00:46.200]  趁壓殺龍還掛在樹上掙扎的時候
[00:00:46.200 --> 00:00:50.200]  用三支短槍刺透他的心臟
[00:00:50.200 --> 00:00:53.000]  最後壓殺龍被虐壓至死
[00:00:53.000 --> 00:00:58.800]  最後壓殺龍被虐壓的十個少年兵圍住來刺死了
[00:00:58.800 --> 00:01:01.600]  今天講到所選的這段經文
[00:01:01.600 --> 00:01:06.400]  細緻地描述了壓殺龍臨死之前的一幕
[00:01:06.400 --> 00:01:09.800]  其實大衛和壓殺龍這兩父子的故事
[00:01:09.800 --> 00:01:13.200]  經常在不同的聚會都有提及
[00:01:13.200 --> 00:01:17.800]  或者大家對他們的經歷未必會感到陌生
[00:01:17.800 --> 00:01:21.600]  不過今天我依然想請教大衛和壓殺龍
[00:01:21.600 --> 00:01:26.000]  不過今天我依然想透過這兩父子的遭遇
[00:01:26.000 --> 00:01:28.600]  以及壓殺龍的慘死
[00:01:28.600 --> 00:01:36.800]  跟大家一起深入地來看聖經對於兩代之間的關係的提醒
[00:01:36.800 --> 00:01:44.800]  讓我們一起祈禱
[00:01:44.800 --> 00:01:49.000]  聖靈求你賜智慧幫助我們明白主你自己的恩賢
[00:01:49.000 --> 00:01:54.800]  以至透過大衛和壓殺龍這兩父子的遭遇和關係
[00:01:54.800 --> 00:01:59.400]  提醒我們愛和恕的功課
[00:01:59.400 --> 00:02:03.000]  最後幫助我們能夠同感一靈
[00:02:03.000 --> 00:02:04.800]  同得益處
[00:02:04.800 --> 00:02:07.200]  祈禱感恩奉主明求
[00:02:07.200 --> 00:02:11.600]  阿門
[00:02:11.600 --> 00:02:14.000]  撒姆爾記下第十八章
[00:02:14.000 --> 00:02:18.600]  記錄了軍兵力勸大衛王
[00:02:18.600 --> 00:02:21.400]  不要親自出戰
[00:02:21.400 --> 00:02:23.200]  所以無可奈何的大衛王
[00:02:23.200 --> 00:02:26.800]  唯有向身邊最忠心最得力的助手
[00:02:26.800 --> 00:02:28.800]  跟他們說一聲
[00:02:28.800 --> 00:02:30.800]  要為王的緣故
[00:02:30.800 --> 00:02:33.400]  寬待那個少年人
[00:02:33.400 --> 00:02:35.400]  壓殺龍
[00:02:35.400 --> 00:02:38.400]  對於身為一國之君的大衛王
[00:02:38.400 --> 00:02:41.600]  如果他知道身邊有人要叛變自己
[00:02:41.600 --> 00:02:43.200]  爭奪王位的話
[00:02:43.200 --> 00:02:45.400]  他很應該怒火中燒
[00:02:45.400 --> 00:02:49.200]  應該恨不得馬上斬草除根
[00:02:49.200 --> 00:02:52.000]  無奈發動叛變的這個人
[00:02:52.000 --> 00:02:53.600]  不是別人
[00:02:53.600 --> 00:02:56.200]  正正就是他自己的兒子
[00:02:56.200 --> 00:02:58.800]  心愛的兒子壓殺龍
[00:02:58.800 --> 00:03:01.200]  所以身為父親的大衛
[00:03:01.200 --> 00:03:04.800]  絕對不想這一位跟自己一樣英俊
[00:03:04.800 --> 00:03:09.000]  從頭頂到腳底都毫無瑕疵
[00:03:09.000 --> 00:03:11.400]  而且心得民心的兒子
[00:03:11.400 --> 00:03:13.400]  戰死沙場
[00:03:13.400 --> 00:03:17.600]  所以他才這麼嚴謹的叮囑那群忠臣
[00:03:17.600 --> 00:03:19.400]  打仗歸打仗
[00:03:19.400 --> 00:03:21.000]  給我面子
[00:03:21.000 --> 00:03:23.400]  寬待我的兒子壓殺龍
[00:03:23.400 --> 00:03:28.200]  那壓殺龍究竟因為什麼
[00:03:28.200 --> 00:03:32.600]  要發起叛變來對抗自己的父親呢
[00:03:32.600 --> 00:03:34.800]  除了要應驗先知拿丹
[00:03:34.800 --> 00:03:39.400]  因為大衛犯罪而發出的預言之外
[00:03:39.400 --> 00:03:43.600]  其實聖經學者都有很多不同的意見
[00:03:43.600 --> 00:03:48.400]  不過既然今年我們報道會的主題是「恨親」
[00:03:48.400 --> 00:03:52.600]  現在就讓我將這個國事
[00:03:52.600 --> 00:03:56.600]  用一個家事的向度來探討
[00:03:56.600 --> 00:03:59.000]  以致到我們究竟看看
[00:03:59.000 --> 00:04:02.400]  醞釀成這個悲劇的成因
[00:04:02.400 --> 00:04:05.200]  究竟在家庭的角度來說
[00:04:05.200 --> 00:04:08.400]  為什麼會這樣發生呢
[00:04:08.400 --> 00:04:11.600]  如果以家事的向度來探討的話
[00:04:11.600 --> 00:04:15.800]  我們就不能夠不看大衛和壓殺龍這兩父子
[00:04:15.800 --> 00:04:19.400]  兩代之間他們怎樣去相處了
[00:04:19.400 --> 00:04:22.800]  無論在暗亂間烏他馬的事件
[00:04:22.800 --> 00:04:25.800]  或者是壓殺龍回京的事件
[00:04:25.800 --> 00:04:28.400]  大衛作為爸爸的
[00:04:28.400 --> 00:04:30.600]  他都默然不語
[00:04:30.600 --> 00:04:32.000]  沒有表態
[00:04:32.000 --> 00:04:35.200]  而且絲毫沒有做任何的行動
[00:04:35.200 --> 00:04:38.600]  所以對於身為兒子的壓殺龍來說
[00:04:38.600 --> 00:04:42.200]  大衛爸爸正正就是近代輔導學
[00:04:42.200 --> 00:04:45.000]  提出的absence father
[00:04:45.000 --> 00:04:48.000]  缺席父親的問題
[00:04:48.000 --> 00:04:52.400]  缺席父親這個情況對於下一代的成長
[00:04:52.400 --> 00:04:55.400]  有著很深遠的影響
[00:04:55.400 --> 00:04:58.400]  美國有一項調查報告
[00:04:58.400 --> 00:05:01.000]  說導致少年犯罪的問題
[00:05:01.000 --> 00:05:02.800]  眾多的因素當中
[00:05:02.800 --> 00:05:06.600]  缺席父親比起貧窮的父親
[00:05:06.600 --> 00:05:10.800]  引致的因素更加大
[00:05:10.800 --> 00:05:14.400]  當我們看看大衛這個家庭的時候
[00:05:14.400 --> 00:05:16.000]  我們看到一些事情
[00:05:16.000 --> 00:05:18.400]  大衛爸爸清楚知道
[00:05:18.400 --> 00:05:21.000]  他的長子暗亂
[00:05:21.000 --> 00:05:26.200]  姦污了同父異母的妹妹他馬
[00:05:26.200 --> 00:05:29.400]  大衛知道了之後當然怒火中燒
[00:05:29.400 --> 00:05:32.600]  但是他由始至終都不知道是什麼原因
[00:05:32.600 --> 00:05:35.600]  他完全沒有採取過任何行動
[00:05:35.600 --> 00:05:39.800]  全程缺席,完全隱形
[00:05:39.800 --> 00:05:42.600]  深愛著親妹妹的壓殺龍
[00:05:42.600 --> 00:05:46.800]  他等了兩年都未見父王有任何行動
[00:05:46.800 --> 00:05:51.800]  他當然不明白為什麼這個爸爸會沉默無聲
[00:05:51.800 --> 00:05:53.600]  或者他直覺覺得
[00:05:53.600 --> 00:05:58.000]  原來這個父親根本完全不關心這件事
[00:05:58.000 --> 00:06:01.000]  所以在忍無可忍的情況下
[00:06:01.000 --> 00:06:05.800]  壓殺龍親自設計來謀殺暗亂
[00:06:05.800 --> 00:06:10.200]  然後他就逃亡到基述這個地方
[00:06:10.200 --> 00:06:13.800]  就是他媽媽的家鄉
[00:06:13.800 --> 00:06:16.200]  成功殺死暗亂之後的壓殺龍
[00:06:16.200 --> 00:06:19.200]  在基述這個地方足足等了三年
[00:06:19.200 --> 00:06:24.400]  但是一直未得到大衛王允許他回京
[00:06:24.400 --> 00:06:27.800]  後來全靠約阿找了一個聰明的婦人
[00:06:27.800 --> 00:06:29.800]  向大衛講了一個故事
[00:06:29.800 --> 00:06:34.000]  大衛知錯之後才容許壓殺龍回京
[00:06:34.000 --> 00:06:37.200]  但是礙於王法和尊嚴
[00:06:37.200 --> 00:06:39.000]  壓殺龍回京之後
