
[00:00:00.000 --> 00:00:06.000]  去年同工當中有一位同工嫁女
[00:00:06.000 --> 00:00:08.000]  嫁女是一件很開心的事
[00:00:08.000 --> 00:00:10.000]  這位女孩子又可愛又漂亮
[00:00:10.000 --> 00:00:12.000]  我們心裏很愛她
[00:00:12.000 --> 00:00:16.000]  當同工嫁女結婚
[00:00:16.000 --> 00:00:17.000]  我們很開心
[00:00:17.000 --> 00:00:19.000]  一起組隊出去
[00:00:19.000 --> 00:00:20.000]  她有點不同
[00:00:20.000 --> 00:00:22.000]  因為這位女孩子
[00:00:22.000 --> 00:00:24.000]  一嫁就嫁到台灣這麼遠
[00:00:24.000 --> 00:00:26.000]  我們就要買機票
[00:00:26.000 --> 00:00:27.000]  做很多準備
[00:00:27.000 --> 00:00:30.000]  去到台灣
[00:00:30.000 --> 00:00:31.000]  一方面我們很開心
[00:00:31.000 --> 00:00:33.000]  另一方面我特別留意
[00:00:33.000 --> 00:00:35.000]  究竟在台灣的婚禮
[00:00:35.000 --> 00:00:38.000]  和在香港有什麼不相同
[00:00:38.000 --> 00:00:40.000]  其中一樣我特別留意到
[00:00:40.000 --> 00:00:45.000]  令我裏面充滿著一種很新鮮的感覺
[00:00:45.000 --> 00:00:47.000]  而今天我都會用這幾個字
[00:00:47.000 --> 00:00:49.000]  這幾個特別的說話
[00:00:49.000 --> 00:00:51.000]  成為我今天的講題
[00:00:51.000 --> 00:00:54.000]  原來當時在婚禮裏
[00:00:54.000 --> 00:00:57.000]  很多人用這句說話去祝福新人
[00:00:57.000 --> 00:01:00.000]  新人亦都用這句說話去祝福不同的人
[00:01:00.000 --> 00:01:01.000]  這句說話
[00:01:01.000 --> 00:01:03.000]  剛才我說台灣
[00:01:03.000 --> 00:01:06.000]  所以我用台灣比較溫暖的國語
[00:01:06.000 --> 00:01:10.000]  用一些尾音長一點的語氣
[00:01:10.000 --> 00:01:12.000]  去講這句說話
[00:01:12.000 --> 00:01:14.000]  我嘗試一下這樣講
[00:01:14.000 --> 00:01:16.000]  這四個字是這樣的
[00:01:16.000 --> 00:01:22.000]  叫做「要先富」
[00:01:22.000 --> 00:01:24.000]  都算合格了
[00:01:24.000 --> 00:01:26.000]  我相信你們講得更加好的
[00:01:26.000 --> 00:01:28.000]  不如我們一起試一次
[00:01:28.000 --> 00:01:29.000]  我們一起講
[00:01:29.000 --> 00:01:35.000]  要先富喔
[00:01:35.000 --> 00:01:36.000]  沒錯
[00:01:36.000 --> 00:01:38.000]  當聽到這句說話
[00:01:38.000 --> 00:01:42.000]  心靈裏面充滿著那種盼望和喜樂
[00:01:42.000 --> 00:01:43.000]  要幸福
[00:01:43.000 --> 00:01:45.000]  原來不單止是對新人在婚禮裏面
[00:01:45.000 --> 00:01:47.000]  很大的期望
[00:01:47.000 --> 00:01:48.000]  要幸福
[00:01:48.000 --> 00:01:51.000]  其實都是我們每個人心靈裏面那種渴望
[00:01:51.000 --> 00:01:53.000]  我們人生很多的努力
[00:01:53.000 --> 00:01:55.000]  都是期望能夠幸福
[00:01:55.000 --> 00:01:57.000]  感謝上帝
[00:01:57.000 --> 00:01:58.000]  上帝留下祂的說話
[00:01:58.000 --> 00:02:00.000]  讓我們能夠去進入
[00:02:00.000 --> 00:02:02.000]  並且經歷一個夢福的人生
[00:02:02.000 --> 00:02:05.000]  今天就讓我們打開聖經的話語
[00:02:05.000 --> 00:02:07.000]  去經歷這個要幸福的人生
[00:02:07.000 --> 00:02:09.000]  所以當我們打開話語之前
