
[00:00:00.000 --> 00:00:02.000]  請我們再一次同心協同祈禱
[00:00:02.000 --> 00:00:04.000]  天父我們再一次感謝祢
[00:00:04.000 --> 00:00:06.000]  給祢寶貴的話語作為我們生命的指引
[00:00:06.000 --> 00:00:09.000]  求祢藉著尼西米基的訊息
[00:00:09.000 --> 00:00:12.000]  去向我們每個人講祢所講的說話
[00:00:12.000 --> 00:00:16.000]  無論是提醒的、勸勉的、教導的、挑戰的、責備的
[00:00:16.000 --> 00:00:18.000]  改變我們生命
[00:00:18.000 --> 00:00:21.000]  見我們踏出這個教堂門口
[00:00:21.000 --> 00:00:23.000]  我們已經不同了
[00:00:23.000 --> 00:00:26.000]  因為聖靈是藉著聖經向我們講說話
[00:00:26.000 --> 00:00:28.000]  求祢與我們同在
[00:00:28.000 --> 00:00:30.000]  祈禱奉耶穌基督的名號
[00:00:30.000 --> 00:00:34.000]  其實我的題目是圍山苟日
[00:00:34.000 --> 00:00:36.000]  然後點兩點叫世俗化
[00:00:36.000 --> 00:00:38.000]  中國人有一句說話
[00:00:38.000 --> 00:00:42.000]  圍山苟日功虧一簣
[00:00:42.000 --> 00:00:44.000]  你一直想整個山
[00:00:44.000 --> 00:00:46.000]  最後你不去做的時候
[00:00:46.000 --> 00:00:48.000]  最後都是林美香
[00:00:48.000 --> 00:00:50.000]  在香港就是這一句說話
[00:00:50.000 --> 00:00:53.000]  林美香的意思就是說
[00:00:53.000 --> 00:00:55.000]  你做得開頭的時候
[00:00:55.000 --> 00:00:57.000]  你是威是勢
[00:00:57.000 --> 00:01:01.000]  但是到了末了的時候
[00:01:01.000 --> 00:01:03.000]  就林美香了
[00:01:03.000 --> 00:01:05.000]  兵敗如山倒
[00:01:05.000 --> 00:01:07.000]  事實上如果你是跑步的人
[00:01:07.000 --> 00:01:09.000]  一個長跑的運動員
[00:01:09.000 --> 00:01:11.000]  你就會知道
[00:01:11.000 --> 00:01:14.000]  不是說勝在起跑點
[00:01:14.000 --> 00:01:16.000]  而是勝在中跑點
[00:01:16.000 --> 00:01:19.000]  如果他不會跑最後的一兩個圈
[00:01:19.000 --> 00:01:21.000]  他不會是一個好的長跑員
[00:01:21.000 --> 00:01:24.000]  往往輸就輸在最後的一兩個圈
[00:01:24.000 --> 00:01:26.000]  任何一個長跑家
[00:01:26.000 --> 00:01:28.000]  一開始的時候
[00:01:28.000 --> 00:01:30.000]  心理已經預備怎樣去埋尾
[00:01:30.000 --> 00:01:33.000]  懂得怎樣去跑最後的一兩個圈
[00:01:33.000 --> 00:01:35.000]  就算你前頭跑得很好
[00:01:35.000 --> 00:01:37.000]  最後那兩個圈輸了的時候
[00:01:37.000 --> 00:01:39.000]  你都拿不到獎
[00:01:39.000 --> 00:01:41.000]  所以一個出色的長跑家
[00:01:41.000 --> 00:01:44.000]  一定會懂得怎樣跑最後那兩個圈
[00:01:44.000 --> 00:01:45.000]  但很可惜
[00:01:45.000 --> 00:01:47.000]  很多人真是林美香
[00:01:47.000 --> 00:01:49.000]  我想我們中國一個很出名的
[00:01:49.000 --> 00:01:51.000]  汪精衛
[00:01:51.000 --> 00:01:54.000]  最近我有一個同學
[00:01:54.000 --> 00:01:56.000]  他在新加坡大學教書
[00:01:56.000 --> 00:01:58.000]  他寄了一些東西給我
[00:01:58.000 --> 00:02:00.000]  是講汪精衛
[00:02:00.000 --> 00:02:03.000]  我看回汪精衛這個人
[00:02:03.000 --> 00:02:05.000]  是一個很有學問
[00:02:05.000 --> 00:02:07.000]  他寫的詩真是誤導你不服
[00:02:07.000 --> 00:02:09.000]  是一個非常漂亮
[00:02:09.000 --> 00:02:11.000]  非常有意思的一個文人
[00:02:11.000 --> 00:02:13.000]  而且更加難得
[00:02:13.000 --> 00:02:16.000]  他長得眉清目秀
[00:02:16.000 --> 00:02:18.000]  非常帥
[00:02:18.000 --> 00:02:20.000]  而且又是反清革命
[00:02:20.000 --> 00:02:22.000]  功不可沒的一個人
[00:02:22.000 --> 00:02:24.000]  如果你是說
[00:02:24.000 --> 00:02:28.000]  他的正職
[00:02:28.000 --> 00:02:31.000]  如果是說他的文學修養
[00:02:31.000 --> 00:02:33.000]  你是說這個人
[00:02:33.000 --> 00:02:36.000]  真是一個很令人敬佩的一個人
[00:02:36.000 --> 00:02:39.000]  但是他仍然是一個漢奸
[00:02:39.000 --> 00:02:41.000]  他仍然是林美香
[00:02:41.000 --> 00:02:43.000]  日本在攻中國的時候
[00:02:43.000 --> 00:02:45.000]  他做了漢奸成為歷史裡面的大罪人
[00:02:45.000 --> 00:02:48.000]  汪精衛是一個很好的例子
[00:02:48.000 --> 00:02:50.000]  他不懂得跑最後那幾個圈
[00:02:50.000 --> 00:02:52.000]  毛澤東無可否認
[00:02:52.000 --> 00:02:54.000]  是一個偉大的領袖
[00:02:54.000 --> 00:02:56.000]  是一個能夠將中國改變
[00:02:56.000 --> 00:02:58.000]  結束了很多年的內戰
[00:02:58.000 --> 00:03:02.000]  一個非常有成就的一個革命家
[00:03:02.000 --> 00:03:04.000]  但是文革來到的時候
[00:03:04.000 --> 00:03:06.000]  令到中國千千萬萬人
[00:03:06.000 --> 00:03:08.000]  受到極大的痛苦
[00:03:08.000 --> 00:03:10.000]  整個國家退後了不知道多少年
[00:03:10.000 --> 00:03:13.000]  在政治裡面我們看到有這樣的情形
[00:03:13.000 --> 00:03:15.000]  在社會裡面我們也看到這樣的情形
[00:03:15.000 --> 00:03:17.000]  在教會的圈子裡面
[00:03:17.000 --> 00:03:19.000]  我們也看到有這麼多的情形
[00:03:19.000 --> 00:03:21.000]  很多時候你怎麼埋沒
[00:03:21.000 --> 00:03:25.000]  哦 毛澤東退休了
[00:03:25.000 --> 00:03:27.000]  可能退休之後更危險
[00:03:27.000 --> 00:03:31.000]  最後那幾個圈子是真的難跑的
[00:03:31.000 --> 00:03:33.000]  Jimmy Baker和Jimmy Swaggart
[00:03:33.000 --> 00:03:37.000]  在未成年之前是一個忠心勿仰的牧人
[00:03:37.000 --> 00:03:38.000]  但是他跌倒了
[00:03:38.000 --> 00:03:42.000]  在三藩市有一個很出名的牧師叫Jim Jones
[00:03:42.000 --> 00:03:46.000]  他在日本town附近建了一個禮拜堂
[00:03:46.000 --> 00:03:48.000]  叫People's Temple
[00:03:48.000 --> 00:03:51.000]  他在未成年之前是一個很忠心
[00:03:51.000 --> 00:03:54.000]  一個很勤力很有愛心的牧師
[00:03:54.000 --> 00:03:57.000]  在貧民區裡面做了很多很多好的工作
[00:03:57.000 --> 00:03:59.000]  他帶領整個教會成千幾二千人
[00:03:59.000 --> 00:04:02.000]  當他一路爬上去權力越來越大的時候
[00:04:02.000 --> 00:04:03.000]  他開始變了
[00:04:03.000 --> 00:04:04.000]  變得越來越瘋了
[00:04:04.000 --> 00:04:06.000]  開始要控制會眾
[00:04:06.000 --> 00:04:08.000]  凡是不聽他說的話
[00:04:08.000 --> 00:04:12.000]  他就要用各樣很殘酷的手段去對待他
[00:04:12.000 --> 00:04:15.000]  後來他知道他沒有辦法在三藩市立足
[00:04:15.000 --> 00:04:19.000]  一千人去到南美的Guyana的地方建了一個Johnston
[00:04:19.000 --> 00:04:20.000]  在Johnston裡面
[00:04:20.000 --> 00:04:23.000]  後來因為有消息傳到美國政府
[00:04:23.000 --> 00:04:25.000]  就說這裡有很多虐待的事情
[00:04:25.000 --> 00:04:28.000]  所以美國政府就派一個眾議員
[00:04:28.000 --> 00:04:31.000]  Congressman Ryan 走去看看
[00:04:31.000 --> 00:04:33.000]  去到的時候就被他殺了
[00:04:33.000 --> 00:04:36.000]  所以美國就出軍隊去走到這個Johnston
[00:04:36.000 --> 00:04:38.000]  去到的時候進去就嚇了一跳
[00:04:38.000 --> 00:04:42.000]  一千個人是吃了麥死了
[00:04:42.000 --> 00:04:45.000]  都在這個Jim Jones淫威之下
[00:04:45.000 --> 00:04:48.000]  結果所有吃毒藥死
[00:04:48.000 --> 00:04:50.000]  幸存的幾個人
[00:04:50.000 --> 00:04:51.000]  不少是中國人
[00:04:51.000 --> 00:04:54.000]  是將這個恐怖的故事說出來
[00:04:54.000 --> 00:04:57.000]  本來是一個很受人尊重的牧師
[00:04:57.000 --> 00:05:00.000]  本來是一個很有愛心的牧師
[00:05:00.000 --> 00:05:02.000]  他不懂得跑最後幾個圈
[00:05:02.000 --> 00:05:08.000]  結果造成一個這麼大的傷害
[00:05:08.000 --> 00:05:12.000]  People's Magazine有一個很有趣的研究
[00:05:12.000 --> 00:05:14.000]  研究那時候的童星
[00:05:14.000 --> 00:05:16.000]  他們現在的近況是什麼
[00:05:16.000 --> 00:05:18.000]  如果在我們這個年代
[00:05:18.000 --> 00:05:20.000]  看英文電視就知道
[00:05:20.000 --> 00:05:23.000]  有一套片集叫《I Love Lucy》
[00:05:23.000 --> 00:05:27.000]  《I Love Lucy》那個小朋友
[00:05:27.000 --> 00:05:30.000]  很有趣的小朋友叫Little Ricky
[00:05:30.000 --> 00:05:33.000]  現在的人去查他是怎樣
[00:05:33.000 --> 00:05:36.000]  吸毒 身敗名裂
[00:05:36.000 --> 00:05:40.000]  在ABC飾演Nicholas的Adam Ridge
[00:05:40.000 --> 00:05:44.000]  他飾演一套電視劇叫《Age is Enough》
[00:05:44.000 --> 00:05:47.000]  在1985年的時候被捕入獄
[00:05:47.000 --> 00:05:51.000]  CBS飾演Family Affairs的女孩子
[00:05:51.000 --> 00:05:53.000]  Anissa Jones更慘
[00:05:53.000 --> 00:05:57.000]  18歲的時候去吸毒 過量而死亡
[00:05:57.000 --> 00:05:59.000]  中國人說得很對
[00:05:59.000 --> 00:06:00.000]  真是臨尾向
[00:06:00.000 --> 00:06:03.000]  中國人說這句話創業難
[00:06:03.000 --> 00:06:04.000]  首頁更加難
[00:06:04.000 --> 00:06:06.000]  在中國的歷史裡面
[00:06:06.000 --> 00:06:08.000]  你不會看到這些所謂名人
[00:06:08.000 --> 00:06:10.000]  什麼大的企業家
[00:06:10.000 --> 00:06:12.000]  不會過第三代
[00:06:12.000 --> 00:06:14.000]  不懂得跑最後一圈
[00:06:14.000 --> 00:06:16.000]  尼西米基第十三章
[00:06:16.000 --> 00:06:18.000]  是尼西米最後的一章
[00:06:18.000 --> 00:06:19.000]  我們看看背景
[00:06:19.000 --> 00:06:22.000]  自從尼西米去帶領猶太人
[00:06:22.000 --> 00:06:25.000]  回到耶路撒冷
[00:06:25.000 --> 00:06:27.000]  建立一個
[00:06:27.000 --> 00:06:28.000]  建了城牆
[00:06:28.000 --> 00:06:30.000]  不單建了城牆
[00:06:30.000 --> 00:06:32.000]  建立一個有公義的政府
[00:06:32.000 --> 00:06:34.000]  尼西米就搞定了
[00:06:34.000 --> 00:06:38.000]  就離開耶路撒冷
[00:06:38.000 --> 00:06:40.000]  回到波斯的王朝裡面
[00:06:40.000 --> 00:06:42.000]  做回走政的職位
[00:06:42.000 --> 00:06:43.000]  我們不知道
[00:06:43.000 --> 00:06:45.000]  聖經沒有記載他離開了多久
[00:06:45.000 --> 00:06:47.000]  不知道他離開了巴勒斯坦
[00:06:47.000 --> 00:06:48.000]  回到波斯有多久
[00:06:48.000 --> 00:06:49.000]  但我們知道
[00:06:49.000 --> 00:06:51.000]  當他十三章回來的時候
[00:06:51.000 --> 00:06:52.000]  貓走了的時候
[00:06:52.000 --> 00:06:54.000]  老鼠就作怪了
[00:06:54.000 --> 00:06:55.000]  留下來的領袖
[00:06:55.000 --> 00:06:57.000]  似乎是經不起考驗
[00:06:57.000 --> 00:06:58.000]  臨尾向
[00:06:58.000 --> 00:07:01.000]  當尼西米回到巴勒斯坦的時候
[00:07:01.000 --> 00:07:02.000]  看一看的時候
[00:07:02.000 --> 00:07:03.000]  他發覺
[00:07:03.000 --> 00:07:04.000]  變質了
[00:07:04.000 --> 00:07:06.000]  整個社會變質了
[00:07:06.000 --> 00:07:08.000]  他面對這種情況的時候
[00:07:08.000 --> 00:07:09.000]  他怎樣去解決呢
[00:07:09.000 --> 00:07:11.000]  他知道如果繼續下去的時候
[00:07:11.000 --> 00:07:12.000]  整個耶路撒冷
[00:07:12.000 --> 00:07:14.000]  整個以色列不行了
[00:07:14.000 --> 00:07:16.000]  十三章就說他
[00:07:16.000 --> 00:07:19.000]  回到耶路撒冷的時候
[00:07:19.000 --> 00:07:21.000]  目睹那個情況
[00:07:21.000 --> 00:07:23.000]  他做了一些很果斷
[00:07:23.000 --> 00:07:25.000]  很勇敢的決定
[00:07:25.000 --> 00:07:26.000]  上個星期
[00:07:26.000 --> 00:07:27.000]  林牧師當然跟我們說
[00:07:27.000 --> 00:07:28.000]  第一個決定
[00:07:28.000 --> 00:07:32.000]  就是講到聖潔的問題
[00:07:32.000 --> 00:07:33.000]  今天我想跟大家講
[00:07:33.000 --> 00:07:35.000]  另外一個很重要的問題
[00:07:35.000 --> 00:07:36.000]  如果你看看第十三章
[00:07:36.000 --> 00:07:37.000]  你會發覺
