
[00:00:00.000 --> 00:00:03.960]  靈姐妹們,我們生活在一個年代
[00:00:03.960 --> 00:00:07.720]  一個尋尋覓覓的年代
[00:00:07.720 --> 00:00:11.440]  尋尋覓覓是我們所經歷的
[00:00:11.440 --> 00:00:15.000]  也是我們的特性
[00:00:15.000 --> 00:00:18.080]  所以很多時候,尤其是我們
[00:00:18.080 --> 00:00:20.400]  我們會在家裡說
[00:00:20.400 --> 00:00:22.240]  「鎖匙不見了」
[00:00:22.240 --> 00:00:24.560]  「書不見了」
[00:00:24.560 --> 00:00:29.520]  「怎麼辦呢?怎辦呢?」
[00:00:29.520 --> 00:00:32.280]  這是我們的特性
[00:00:32.280 --> 00:00:34.280]  我們會說在哪裡,在哪裡
[00:00:34.280 --> 00:00:37.520]  我們能夠找到我們所要找的東西
[00:00:37.520 --> 00:00:39.760]  我們的經驗就是說,很多時候
[00:00:39.760 --> 00:00:45.000]  我們都是有些東西,我們很熟悉的
[00:00:45.000 --> 00:00:48.520]  當我們需要的時候,我們想找到它的時候
[00:00:48.520 --> 00:00:51.360]  我們卻找不到
[00:00:51.360 --> 00:00:55.920]  昔日在《聖經》的記載當中告訴我們
[00:00:55.920 --> 00:01:00.520]  就是在《瑪特福音》的記載當中
[00:01:00.520 --> 00:01:05.800]  有三位博士,他們都是尋尋覓覓
[00:01:05.800 --> 00:01:10.040]  他們第一個要發出的問題就是說
[00:01:10.040 --> 00:01:12.200]  在哪裡
[00:01:12.200 --> 00:01:17.280]  這三位博士他們是從熟悉的地方去到不熟悉的地方
[00:01:17.280 --> 00:01:20.880]  因此他們按照星星的指引
[00:01:20.880 --> 00:01:26.360]  他們要找到生命的方向
[00:01:26.360 --> 00:01:28.560]  在《瑪特福音》告訴我們
[00:01:28.560 --> 00:01:34.720]  三位博士他們看到星星
[00:01:34.720 --> 00:01:38.320]  在漆黑的晚上移動
[00:01:38.320 --> 00:01:40.560]  這是他們從來沒有見過的
[00:01:40.560 --> 00:01:44.360]  所以他們追尋這個星星
[00:01:44.360 --> 00:01:49.160]  他們來到伯利恆發現瑪利亞和約瑟
[00:01:49.160 --> 00:01:52.360]  又看到一個嬰孩在馬槽當中
[00:01:52.360 --> 00:01:56.000]  這個嬰孩就是耶穌基督
[00:01:56.000 --> 00:01:57.800]  這個就是應驗
[00:01:57.800 --> 00:02:00.640]  以塞夏仙師所預言的
[00:02:00.640 --> 00:02:04.600]  有一個孩子由童貞女所生
[00:02:04.600 --> 00:02:07.600]  他的名字叫爾瑪萊尼
[00:02:07.600 --> 00:02:10.000]  就是神同在的意思
[00:02:10.000 --> 00:02:14.880]  就是神同在的愛的意思
[00:02:14.880 --> 00:02:18.840]  同樣,大家都因為很多種原因
[00:02:18.840 --> 00:02:20.560]  來到城鎮
[00:02:20.560 --> 00:02:22.880]  我們都是像三位博士一樣
[00:02:22.880 --> 00:02:24.280]  尋尋覓覓
[00:02:24.280 --> 00:02:26.920]  能夠看到星星的導引
[00:02:26.920 --> 00:02:28.800]  我們來到教會
[00:02:28.800 --> 00:02:32.400]  我們都希望能夠找到生命的新方向
[00:02:32.400 --> 00:02:34.800]  我們希望找到耶穌基督
[00:02:34.800 --> 00:02:37.880]  我們希望能夠經歷爾瑪萊尼
[00:02:37.880 --> 00:02:40.880]  我們能夠經歷愛
[00:02:40.880 --> 00:02:43.840]  所以對於我們每一個人來說
[00:02:43.840 --> 00:02:46.320]  愛是很重要的
[00:02:46.320 --> 00:02:48.320]  愛是重要的
[00:02:48.320 --> 00:02:52.440]  愛是我們人的基本需要
[00:02:52.440 --> 00:02:56.240]  因為其實愛也是神的心意
[00:02:56.240 --> 00:02:57.560]  但是另一方面
[00:02:57.560 --> 00:03:00.360]  從古時到現在
[00:03:00.360 --> 00:03:05.640]  我們都覺得愛是不可能的
[00:03:05.640 --> 00:03:07.760]  愛是一個理想
[00:03:07.760 --> 00:03:10.760]  是一個不可能的理想
[00:03:10.760 --> 00:03:12.320]  為什麼這麼說呢?
[00:03:12.320 --> 00:03:16.200]  這個可以從人間的經驗去看
[00:03:16.200 --> 00:03:18.320]  我們經驗到什麼呢?我們經驗到
[00:03:18.320 --> 00:03:19.880]  通常有兩種的愛
[00:03:19.880 --> 00:03:23.040]  一種就是一種功利的愛
[00:03:23.040 --> 00:03:25.320]  因此有功利的友情
[00:03:25.320 --> 00:03:28.000]  功利的愛,功利的友情是什麼意思呢?
[00:03:28.000 --> 00:03:29.200]  意思就是說
[00:03:29.200 --> 00:03:30.880]  我和你去交往
[00:03:30.880 --> 00:03:32.720]  我愛你,你愛我的時候
[00:03:32.720 --> 00:03:34.000]  就是什麼呢?
[00:03:34.000 --> 00:03:36.200]  我對你有用,你對我有用
[00:03:36.200 --> 00:03:39.160]  大家有好處,所以大家相愛
[00:03:39.160 --> 00:03:41.680]  所以大家交朋友
[00:03:41.680 --> 00:03:43.360]  除此之外,有另一種的愛
[00:03:43.360 --> 00:03:49.000]  另一種的愛叫做歡愉的愛
[00:03:49.000 --> 00:03:51.400]  歡愉的愛,所得的友情
[00:03:51.400 --> 00:03:53.120]  是歡愉的友情
[00:03:53.120 --> 00:03:55.360]  意思就是說,我和你一起
[00:03:55.360 --> 00:03:56.760]  很開心的
[00:03:56.760 --> 00:03:58.200]  我看到你的髮型
[00:03:58.200 --> 00:03:59.440]  看到你和我聊天
[00:03:59.440 --> 00:04:01.800]  很合適的,很喜歡的
[00:04:01.800 --> 00:04:04.120]  所以待會我們聚會之後
[00:04:04.120 --> 00:04:06.360]  我們成長班之後,我們一起去
[00:04:06.360 --> 00:04:09.520]  一起去吃飯,聊聊天
[00:04:09.520 --> 00:04:12.880]  但是譬如看到某些人的外形一般般
[00:04:12.880 --> 00:04:14.760]  都不合情理的,是不是?
[00:04:14.760 --> 00:04:17.360]  那我就不會愛你了
[00:04:17.360 --> 00:04:21.360]  我也不會和你做朋友了,是不是?
