
[00:00:00.000 --> 00:00:07.000]  2016年是過了剛剛一個星期到第二個星期的時間
[00:00:07.000 --> 00:00:11.000]  神真寺來祝福使用我們新的一年
[00:00:11.000 --> 00:00:15.000]  不知道大家在今年裡面有什麼願望
[00:00:15.000 --> 00:00:21.000]  我們希望神自己不單止在教會的建堂工作上來說領我們
[00:00:21.000 --> 00:00:26.000]  也在我們每個人的生命上來施恩看顧我們眾人
[00:00:26.000 --> 00:00:33.000]  在今年的裡面我們訂了生命祭
[00:00:33.000 --> 00:00:39.000]  會是其中一個我們會去思想的在港道裡面的經卷
[00:00:39.000 --> 00:00:46.000]  我們盼望從摩西過去怎樣跟以色列人走過這個曠野
[00:00:46.000 --> 00:00:49.000]  面向這個艱難地的時候
[00:00:49.000 --> 00:00:53.000]  去留下生命祭很豐富的教導在當中
[00:00:53.000 --> 00:00:58.000]  也幫助我們讓我們可以在當中明白到神的心意
[00:00:58.000 --> 00:01:04.000]  明白到上一代他們在神的恩典下面怎樣經歷神自己的作為
[00:01:04.000 --> 00:01:07.000]  提醒我們作為新一代
[00:01:07.000 --> 00:01:12.000]  不單止是年歲更加是我們熟練的生命
[00:01:12.000 --> 00:01:15.000]  我們能夠踏進一個新的里程
[00:01:15.000 --> 00:01:20.000]  所以和大家一起去思想第一開始的生命祭
[00:01:20.000 --> 00:01:24.000]  和大家先來讀一讀或是提醒我們一些情況
[00:01:24.000 --> 00:01:27.000]  先和大家讀當中的經文
[00:01:27.000 --> 00:01:33.000]  剛剛開始了2016年大概十天左右的時間
[00:01:33.000 --> 00:01:37.000]  我不知道弟兄姊妹在你新一年開始展開的時候
[00:01:37.000 --> 00:01:43.000]  你為這個年度做了什麼期望呢
[00:01:43.000 --> 00:01:47.000]  無論在你的家庭在你的事業學業
[00:01:47.000 --> 00:01:51.000]  或者我們的教會生活和社會裡面
[00:01:51.000 --> 00:01:54.000]  怎樣去面對呢
[00:01:54.000 --> 00:01:57.000]  我深信我們都有自己在當中的思想
[00:01:57.000 --> 00:02:01.000]  特別在過去這幾年香港的社會都很動蕩
[00:02:01.000 --> 00:02:06.000]  我們期盼著新的一年會怎樣呢
[00:02:06.000 --> 00:02:08.000]  但同時我們在想這個問題的時候
[00:02:08.000 --> 00:02:09.000]  我們都會問自己
[00:02:09.000 --> 00:02:14.000]  究竟我的生命建基在什麼基礎上面
[00:02:14.000 --> 00:02:19.000]  是隨著時代不同的氣氛不同的情景
[00:02:19.000 --> 00:02:23.000]  或者我們經常都會說就是這樣
[00:02:23.000 --> 00:02:26.000]  還是我們生命裡面是有一些信念
[00:02:26.000 --> 00:02:30.000]  來確立我們去走我們人生的路途
[00:02:30.000 --> 00:02:33.000]  我們回望過往走過的日子
[00:02:33.000 --> 00:02:36.000]  無論有成功有失敗的地方
[00:02:36.000 --> 00:02:38.000]  我們怎樣去選擇
[00:02:38.000 --> 00:02:42.000]  我們走過的日子所提供給我們的經驗
[00:02:42.000 --> 00:02:44.000]  你要走前面的路
[00:02:44.000 --> 00:02:45.000]  所以人生很重要的部分
[00:02:45.000 --> 00:02:48.000]  不是我們走過多少的日子
[00:02:48.000 --> 00:02:52.000]  而是我們所經過的年歲和所有的經驗
[00:02:52.000 --> 00:02:56.000]  有沒有塑造了我們一些個人的信念
[00:02:56.000 --> 00:02:58.000]  這些信念是能夠幫助我們
[00:02:58.000 --> 00:03:00.000]  無論環境如何
[00:03:00.000 --> 00:03:04.000]  我們能夠站在這個信念當中
[00:03:04.000 --> 00:03:06.000]  我們深信我們這個信念
[00:03:06.000 --> 00:03:07.000]  作為基督徒
[00:03:07.000 --> 00:03:10.000]  是我們相信掌管歷史的神
[00:03:10.000 --> 00:03:12.000]  掌管我們生命的主
[00:03:12.000 --> 00:03:15.000]  會輔助我們會施恩給我們
[00:03:15.000 --> 00:03:18.000]  耶穌來要使我們得生命
[00:03:18.000 --> 00:03:20.000]  並且得更豐盛
[00:03:20.000 --> 00:03:24.000]  這是我們仍然持定的信念
[00:03:24.000 --> 00:03:26.000]  在我們信仰的人生裡面
[00:03:26.000 --> 00:03:27.000]  我們深信神
[00:03:27.000 --> 00:03:29.000]  深信愛我們的主耶穌基督
[00:03:29.000 --> 00:03:32.000]  會將最好的賜給我們
[00:03:32.000 --> 00:03:34.000]  同樣我們會問的就是
[00:03:34.000 --> 00:03:35.000]  今天我們所信的
[00:03:35.000 --> 00:03:36.000]  我們的生命
[00:03:36.000 --> 00:03:38.000]  我們所屬的群體
[00:03:38.000 --> 00:03:42.000]  我們如何去認識他們呢
[00:03:42.000 --> 00:03:45.000]  細緻我們自己的家庭
[00:03:45.000 --> 00:03:46.000]  我們的鄰舍
[00:03:46.000 --> 00:03:48.000]  我們的工作環境
[00:03:48.000 --> 00:03:50.000]  我們的教會
[00:03:50.000 --> 00:03:53.000]  我們香港這個城市
[00:03:53.000 --> 00:03:55.000]  甚至如果說得更闊的時候
[00:03:55.000 --> 00:03:57.000]  亞洲和這個世界
[00:03:57.000 --> 00:04:00.000]  我們仍然有我們所屬的群體
[00:04:00.000 --> 00:04:03.000]  成為我們生命成長的一個
[00:04:03.000 --> 00:04:06.000]  很重要的一個元素
[00:04:06.000 --> 00:04:11.000]  我們有沒有這樣的毀身
[00:04:11.000 --> 00:04:13.000]  在自己所屬的群體裡面
[00:04:13.000 --> 00:04:15.000]  一同去成長
[00:04:15.000 --> 00:04:16.000]  去突破困難
[00:04:16.000 --> 00:04:20.000]  去解決面對的每一個挑戰
[00:04:20.000 --> 00:04:22.000]  而能夠繼續這個群體
[00:04:22.000 --> 00:04:24.000]  成為一個相愛
[00:04:24.000 --> 00:04:28.000]  和彼此互相建立的群體
[00:04:28.000 --> 00:04:29.000]  當然我相信
[00:04:29.000 --> 00:04:30.000]  在我們生命裡面
[00:04:30.000 --> 00:04:32.000]  最關鍵的
[00:04:32.000 --> 00:04:35.000]  就是如何建立在和神的關係裡面
[00:04:35.000 --> 00:04:37.000]  只有神的關係
[00:04:37.000 --> 00:04:39.000]  能夠使我們可以明白到
[00:04:39.000 --> 00:04:41.000]  我們真正的信念
[00:04:41.000 --> 00:04:46.000]  是在於掌管我們生命的主
[00:04:46.000 --> 00:04:48.000]  我們教會一個
[00:04:48.000 --> 00:04:51.000]  很基本的
[00:04:51.000 --> 00:04:54.000]  報道的一個方式
[00:04:54.000 --> 00:04:55.000]  就是問
[00:04:55.000 --> 00:05:00.000]  你們是不是有美滿的人生
[00:05:00.000 --> 00:05:05.000]  你們是不是想擁有一個美滿而豐盛的人生
[00:05:05.000 --> 00:05:07.000]  我相信在新一年開始的時候
[00:05:07.000 --> 00:05:10.000]  我們盼望我們仍然有這種期盼
[00:05:10.000 --> 00:05:15.000]  就是我們希望活得更豐盛
[00:05:15.000 --> 00:05:18.000]  這個耶穌基督給我們的一份應許
[00:05:18.000 --> 00:05:20.000]  叫我們得生命
[00:05:20.000 --> 00:05:23.000]  並且得的更豐盛
[00:05:23.000 --> 00:05:25.000]  所以我求神幫助我們
[00:05:25.000 --> 00:05:27.000]  當我們要調教我們自己人生的時候
[00:05:27.000 --> 00:05:31.000]  我們是不是行在神的心意裡面
[00:05:31.000 --> 00:05:35.000]  生命記載當摩西來到他的晚年
[00:05:35.000 --> 00:05:37.000]  知道自己不能夠進入迦南地
[00:05:37.000 --> 00:05:40.000]  又帶著新的一代興起
[00:05:40.000 --> 00:05:43.000]  望著這個神所應許的
[00:05:43.000 --> 00:05:46.000]  流乃與物之地的迦南的時候
[00:05:46.000 --> 00:05:48.000]  他語重心長地
[00:05:48.000 --> 00:05:52.000]  向這班百姓宣講
[00:05:52.000 --> 00:05:57.000]  過去神怎樣恩待這班以色列民
[00:05:57.000 --> 00:06:00.000]  怎樣帶領他們走過曠野的路
[00:06:00.000 --> 00:06:02.000]  怎樣來頒下律法
[00:06:02.000 --> 00:06:04.000]  怎樣教導我們行事為人
[00:06:04.000 --> 00:06:08.000]  怎樣成為一個合神心意的人
[00:06:08.000 --> 00:06:12.000]  我們仍然需要這樣被神忠告著我們的人生
[00:06:12.000 --> 00:06:14.000]  使我們的生命能夠知道
[00:06:14.000 --> 00:06:17.000]  前面還有很多未得之地
[00:06:17.000 --> 00:06:22.000]  我們盼望能夠得獎
[00:06:22.000 --> 00:06:24.000]  在摩西的律法裡面
[00:06:24.000 --> 00:06:27.000]  最要緊的是什麼呢
[00:06:27.000 --> 00:06:30.000]  這個也成為了以色列人歷史裡面
[00:06:30.000 --> 00:06:34.000]  留意的一件事情
[00:06:34.000 --> 00:06:39.000]  誡命中第一要緊的是什麼呢
[00:06:39.000 --> 00:06:40.000]  我相信對我們基督徒來說
[00:06:40.000 --> 00:06:42.000]  或者要我們回答這個問題也不難
[00:06:42.000 --> 00:06:46.000]  因為聖經有了最正確的答案給我們
[00:06:46.000 --> 00:06:47.000]  在耶穌的年代
[00:06:47.000 --> 00:06:49.000]  耶穌被問過這個問題
[00:06:49.000 --> 00:06:50.000]  在誡命當中
[00:06:50.000 --> 00:06:52.000]  第一要緊的是什麼呢
[00:06:52.000 --> 00:06:55.000]  耶穌清楚地回答這個問題
[00:06:55.000 --> 00:06:57.000]  這個問題的答案就是
[00:06:57.000 --> 00:06:58.000]  第一要緊的是
[00:06:58.000 --> 00:07:04.000]  以色列你要聽主耶和華神是獨一的真神
[00:07:04.000 --> 00:07:08.000]  這個是引自《生命記》裡面的說話
[00:07:08.000 --> 00:07:10.000]  在當中耶穌提出
[00:07:10.000 --> 00:07:13.000]  祂自己所揀選的百姓
[00:07:13.000 --> 00:07:18.000]  在多年來都不會迷失這樣的誡命
[00:07:18.000 --> 00:07:21.000]  你要聽神是獨一的真神
[00:07:21.000 --> 00:07:24.000]  然後我們的態度這個誡命是什麼呢
[00:07:24.000 --> 00:07:31.000]  就是我們要在當中盡心盡性盡義盡力
[00:07:31.000 --> 00:07:34.000]  下一句是什麼呢
[00:07:34.000 --> 00:07:38.000]  愛主你的神
[00:07:38.000 --> 00:07:47.000]  是愛我們自己生命裡面所經歷所相信的神
[00:07:47.000 --> 00:07:48.000]  摩西告訴這群百姓聽
[00:07:48.000 --> 00:07:50.000]  是愛你的神
[00:07:50.000 --> 00:07:52.000]  不是愛摩西的神
[00:07:52.000 --> 00:07:54.000]  不是愛列祖的神
[00:07:54.000 --> 00:08:00.000]  是愛和你生命建立一個真實關係的神
[00:08:00.000 --> 00:08:04.000]  我想這個也是摩西在他自己人生最後階段的時候
[00:08:04.000 --> 00:08:10.000]  很清楚的告訴新一代的以色列民聽
[00:08:10.000 --> 00:08:14.000]  神怎樣帶領你的列祖走過這段路途
[00:08:14.000 --> 00:08:17.000]  今天你們這群新的一代
[00:08:17.000 --> 00:08:21.000]  就在當中帶出了這句說話
[00:08:21.000 --> 00:08:22.000]  我們再一次讀好不好
[00:08:22.000 --> 00:08:25.000]  在《生命記》第六章四到五節
[00:08:25.000 --> 00:08:27.000]  以色列你要聽
[00:08:27.000 --> 00:08:30.000]  耶和華我們獨一的主
[00:08:30.000 --> 00:08:33.000]  你要盡心盡性盡力
[00:08:33.000 --> 00:08:36.000]  愛耶和華你的神
[00:08:36.000 --> 00:08:38.000]  這個就是整個《生命記》裡面
