
[00:00:00.000 --> 00:00:02.000]  我們再一次禱告
[00:00:02.000 --> 00:00:07.480]  天父我們謙卑恭敬
[00:00:07.480 --> 00:00:09.480]  站在祢面前
[00:00:09.480 --> 00:00:12.400]  願祢引領我們這段時間
[00:00:12.400 --> 00:00:15.680]  醫治祢的僕人
[00:00:15.680 --> 00:00:18.560]  不因著祢僕人的軟弱
[00:00:18.560 --> 00:00:20.560]  破壞了祢的說話
[00:00:20.560 --> 00:00:23.480]  讓會眾能夠清晰地去聽禱
[00:00:23.480 --> 00:00:26.600]  我們這樣禱告奉耶穌命救
[00:00:26.600 --> 00:00:28.600]  阿們
[00:00:29.600 --> 00:00:32.520]  請大家回到你們的聖經
[00:00:32.520 --> 00:00:35.400]  《瑪德溫層八章》一至十四節
[00:00:35.400 --> 00:00:41.000]  上星期周耀輝傳道說
[00:00:41.000 --> 00:00:44.000]  叫我們不要用一條線來量度別人
[00:00:44.000 --> 00:00:47.400]  今天我們看一段經文
[00:00:47.400 --> 00:00:51.000]  叫我們不要戴一個有色的眼鏡來看別人
[00:00:51.000 --> 00:00:55.000]  有些人可愛的
[00:00:55.000 --> 00:00:58.000]  我們就要跟他親近多些
[00:00:58.000 --> 00:01:00.000]  有些人不可愛的
[00:01:00.000 --> 00:01:03.000]  我們眼尾都不看他
[00:01:03.000 --> 00:01:05.000]  今天的講題
[00:01:05.000 --> 00:01:10.000]  不要輕看神家裡的小羊
[00:01:10.000 --> 00:01:15.000]  所以我集中在說家裡的小羊
[00:01:15.000 --> 00:01:21.000]  當然羊圈外面也有很多小羊
[00:01:21.000 --> 00:01:24.000]  這關乎社群的關懷
[00:01:24.000 --> 00:01:27.800]  今天我集中在教會內的小羊
[00:01:27.800 --> 00:01:29.800]  另外
[00:01:29.800 --> 00:01:33.800]  主耶穌這段經文提到小羊
[00:01:33.800 --> 00:01:37.800]  小孩子或小弟兄
[00:01:37.800 --> 00:01:40.800]  在和諧本是用小子
[00:01:40.800 --> 00:01:45.800]  是廣泛提到弱小的人
[00:01:45.800 --> 00:01:47.800]  又或者
[00:01:47.800 --> 00:01:52.800]  像哥倫多前書十二章所提到的比較軟弱
[00:01:52.800 --> 00:01:56.800]  和不大體面的人
[00:01:58.800 --> 00:02:03.800]  怎樣不輕看神家裡的小羊呢?
[00:02:03.800 --> 00:02:06.800]  這段經文讓我們看到
[00:02:06.800 --> 00:02:08.800]  是有一個態度
[00:02:08.800 --> 00:02:10.800]  和兩個行為
[00:02:10.800 --> 00:02:14.800]  首先我們看第一至第四節
[00:02:14.800 --> 00:02:16.800]  一個態度
[00:02:16.800 --> 00:02:18.800]  這個態度是什麼呢?
[00:02:18.800 --> 00:02:22.800]  第四節說:所以凡謙卑像者小孩子的
[00:02:22.800 --> 00:02:25.800]  這個態度就是謙卑
[00:02:28.800 --> 00:02:30.800]  第四節
[00:02:30.800 --> 00:02:35.800]  主耶穌說謙卑像者小孩子的
[00:02:35.800 --> 00:02:39.800]  他在天國裡是最大的
[00:02:39.800 --> 00:02:46.800]  這個凡自己卑微
[00:02:46.800 --> 00:02:48.800]  原來的意思就是
[00:02:48.800 --> 00:02:52.800]  自己將自己壓低
[00:02:54.800 --> 00:02:57.800]  就是將自己的身份
[00:02:57.800 --> 00:03:00.800]  將自己的地位壓低
[00:03:00.800 --> 00:03:02.800]  就好像主耶穌那樣
[00:03:02.800 --> 00:03:04.800]  甘願的降卑
[00:03:04.800 --> 00:03:06.800]  成為人的樣式
[00:03:06.800 --> 00:03:08.800]  受人的限制
[00:03:08.800 --> 00:03:12.800]  甚至說是奴僕的樣式
[00:03:12.800 --> 00:03:15.800]  也就像上個禮拜提到的
[00:03:15.800 --> 00:03:18.800]  羅馬書十二章三節說
[00:03:18.800 --> 00:03:21.800]  不自視過高
[00:03:21.800 --> 00:03:26.800]  當我看到謙卑這兩個字的時候
[00:03:26.800 --> 00:03:29.800]  我就很容易想起
[00:03:29.800 --> 00:03:31.800]  去年八月的時候
[00:03:31.800 --> 00:03:35.800]  雙劍科那個特殊孩子親子福音營
[00:03:35.800 --> 00:03:37.800]  很多的助教
[00:03:37.800 --> 00:03:43.800]  他們因為要遷就那些小孩子
[00:03:43.800 --> 00:03:46.800]  因為要遷就服侍他們的人
[00:03:46.800 --> 00:03:50.800]  他們很多時候都是怎樣走路呢?
[00:03:50.800 --> 00:04:00.800]  或者是將自己的高度
[00:04:00.800 --> 00:04:03.800]  遷就服侍者的高度
[00:04:03.800 --> 00:04:07.800]  輕看別人
