
[00:00:00.000 --> 00:00:01.720]  預祝一個早年
[00:00:01.720 --> 00:00:03.960]  跟大家拜個早年
[00:00:03.960 --> 00:00:06.300]  因為明天就是農曆年
[00:00:06.300 --> 00:00:08.760]  因為明天就是農曆初一了
[00:00:08.760 --> 00:00:13.180]  很多人講說話的時候
[00:00:13.180 --> 00:00:17.000]  在不知不覺當中會重複一些說話
[00:00:17.000 --> 00:00:20.000]  很多人在不知不覺當中會重複一些說話
[00:00:20.000 --> 00:00:23.760]  老人家很多時候都會講一個口頭禪
[00:00:23.760 --> 00:00:26.000]  老人家常常都會說一個口頭禪
[00:00:26.000 --> 00:00:27.000]  是三個字的
[00:00:27.000 --> 00:00:28.000]  三個字
[00:00:28.000 --> 00:00:29.000]  是什麼
[00:00:29.000 --> 00:00:30.000]  是什麼嗎
[00:00:30.000 --> 00:00:31.000]  大家知道嗎
[00:00:31.000 --> 00:00:32.000]  口頭禪
[00:00:32.000 --> 00:00:33.000]  常常都講的
[00:00:33.000 --> 00:00:34.000]  老人家講講的
[00:00:34.000 --> 00:00:35.000]  三個字的
[00:00:35.000 --> 00:00:36.000]  三個字
[00:00:36.000 --> 00:00:40.000]  老人家
[00:00:40.000 --> 00:00:41.000]  很多老人家都會講
[00:00:41.000 --> 00:00:43.000]  想當年
[00:00:43.000 --> 00:00:44.000]  沒錯
[00:00:44.000 --> 00:00:47.000]  想當年
[00:00:47.000 --> 00:00:48.000]  想當年
[00:00:48.000 --> 00:00:52.000]  他們的思想常常都存留在當年
[00:00:52.000 --> 00:00:55.000]  他們的思想常常存在當年
[00:00:55.000 --> 00:00:58.000]  我之前也有一個口頭禪
[00:00:58.000 --> 00:01:00.000]  我之前也有一個口頭禪
[00:01:00.000 --> 00:01:02.000]  接著就被人說了
[00:01:02.000 --> 00:01:03.000]  接著就被人說了
[00:01:03.000 --> 00:01:04.000]  這樣講不是很好
[00:01:04.000 --> 00:01:05.000]  這樣講不是很好
[00:01:05.000 --> 00:01:07.000]  我常常說
[00:01:07.000 --> 00:01:08.000]  我常常說
[00:01:08.000 --> 00:01:09.000]  我在講
[00:01:09.000 --> 00:01:10.000]  你知不知道
[00:01:10.000 --> 00:01:11.000]  你知不知道
[00:01:11.000 --> 00:01:12.000]  你知不知道
[00:01:12.000 --> 00:01:13.000]  你知不知道
[00:01:13.000 --> 00:01:16.000]  我很認真的
[00:01:16.000 --> 00:01:18.000]  我很認真
[00:01:18.000 --> 00:01:21.000]  但是人們告訴我不是很好
[00:01:21.000 --> 00:01:24.000]  但是很多人都跟我說不是太好
[00:01:24.000 --> 00:01:26.000]  有時候我又會說
[00:01:26.000 --> 00:01:28.000]  有時候我又會說
[00:01:28.000 --> 00:01:29.000]  真是慘
[00:01:29.000 --> 00:01:30.000]  真是慘
[00:01:30.000 --> 00:01:33.000]  真的很苦
[00:01:33.000 --> 00:01:35.000]  這個是我的口頭禪
[00:01:35.000 --> 00:01:37.000]  這個是我的口頭禪
[00:01:37.000 --> 00:01:38.000]  但我是認真的
[00:01:38.000 --> 00:01:39.000]  但是我是認真的
[00:01:39.000 --> 00:01:41.000]  我不是假的
[00:01:41.000 --> 00:01:42.000]  我不是假的
[00:01:42.000 --> 00:01:44.000]  但如果人聽得多
[00:01:44.000 --> 00:01:46.000]  就以為你是講假話
[00:01:46.000 --> 00:01:47.000]  但很多人聽得多
[00:01:47.000 --> 00:01:49.000]  就覺得你在說假話
[00:01:49.000 --> 00:01:51.000]  在剛才那兩段經文裏
[00:01:51.000 --> 00:01:55.000]  主耶穌對跟從的門徒
[00:01:55.000 --> 00:01:59.000]  講了一些重複的說話
[00:01:59.000 --> 00:02:00.000]  當時主耶穌就跟他的門徒
[00:02:00.000 --> 00:02:02.000]  講了一些重複的話
[00:02:02.000 --> 00:02:06.000]  你們都明白了嗎
[00:02:06.000 --> 00:02:07.000]  你們都明白了嗎
[00:02:07.000 --> 00:02:10.000]  你們到如今也不明白
[00:02:10.000 --> 00:02:12.000]  你們到如今也不明白
[00:02:12.000 --> 00:02:13.000]  接著他就說
[00:02:13.000 --> 00:02:15.000]  你們要聽也要明白
[00:02:15.000 --> 00:02:16.000]  接著他就說
[00:02:16.000 --> 00:02:18.000]  你們要聽也要明白
[00:02:18.000 --> 00:02:20.000]  可以說
[00:02:20.000 --> 00:02:22.000]  或者這是其中一個口頭禪
[00:02:22.000 --> 00:02:24.000]  就是說你要明白
[00:02:24.000 --> 00:02:25.000]  這個可能就是
