
[00:00:00.000 --> 00:00:04.000]  今日係繼續同大家講小仙之書
[00:00:04.000 --> 00:00:08.000]  今日講到蝦蓋書
[00:00:08.000 --> 00:00:13.000]  蝦蓋書係一個特別嘅書卷
[00:00:13.000 --> 00:00:18.000]  呢個書好短得兩張
[00:00:18.000 --> 00:00:23.000]  佢特別之處就係呢卷仙之書
[00:00:23.000 --> 00:00:25.000]  可以話係
[00:00:25.000 --> 00:00:29.000]  差唔多係唯一一卷仙之書係冇去譴責
[00:00:30.000 --> 00:00:34.000]  佢哋嘅以色列人嘅或者猶大人嘅罪惡
[00:00:34.000 --> 00:00:39.000]  有提醒但佢唔係話指責社會敗壞呀
[00:00:39.000 --> 00:00:44.000]  道德差呀欺壓貧窮呀拜偶像呀
[00:00:44.000 --> 00:00:48.000]  呢一卷書係冇指責呢啲嘢好得意㗎
[00:00:48.000 --> 00:00:52.000]  佢淨係提醒百姓要起來見神嘅電
[00:00:52.000 --> 00:00:58.000]  咁蝦蓋書係猶猶太人亡國
[00:00:58.000 --> 00:01:01.000]  被擄到去巴比倫
[00:01:01.000 --> 00:01:04.000]  經過七十年然後回歸
[00:01:04.000 --> 00:01:07.000]  回歸到耶路撒冷之後
[00:01:07.000 --> 00:01:13.000]  所編排或者編寫嘅第一卷仙之書
[00:01:13.000 --> 00:01:18.000]  回歸之後呢總共有三卷嘅小仙之書
[00:01:18.000 --> 00:01:21.000]  咁我哋陸續都會繼續講落去㗎
[00:01:23.000 --> 00:01:29.000]  猶太人回歸係應驗咗耶利米先知嘅預言
[00:01:29.000 --> 00:01:33.000]  呢個係耶利米書25章嗰度29章都有提到
[00:01:33.000 --> 00:01:39.000]  耶利米先知預言話猶太人被擄七十年
[00:01:39.000 --> 00:01:43.000]  七十年之後呢就會被釋放可以返到去耶路撒冷
[00:01:43.000 --> 00:01:46.000]  並且係可以去重建聖殿
[00:01:46.000 --> 00:01:51.000]  咁呢個預言應驗咗啦咁猶太人呢
[00:01:51.000 --> 00:01:55.000]  佢哋就係可以返到去耶路撒冷
[00:01:55.000 --> 00:01:58.000]  喺嗰度可以重建聖殿
[00:01:58.000 --> 00:02:00.000]  最重要嘅就
[00:02:00.000 --> 00:02:06.000]  佢哋可以係去自由地咁去敬拜佢哋嗰個耶和華神
[00:02:06.000 --> 00:02:13.000]  至於回歸嗰個始末同埋啲細節呀進程呀咁樣
[00:02:13.000 --> 00:02:19.000]  喺以斯拉記裏面有較為清楚同埋細節嘅記載
[00:02:19.000 --> 00:02:23.000]  如果邊個即係大家有興趣呀自己可以返去睇以斯拉記
[00:02:23.000 --> 00:02:29.000]  咁喺喺呢度我就唔會詳細講嗰啲回歸嘅細節啦
[00:02:29.000 --> 00:02:32.000]  呢一次回歸呢
[00:02:32.000 --> 00:02:35.000]  有四萬幾人響應
[00:02:35.000 --> 00:02:38.000]  回歸
[00:02:38.000 --> 00:02:41.000]  唔係一個簡單嘅事情
[00:02:41.000 --> 00:02:46.000]  我相信我哋在座之中我哋好多都係移民嚟㗎係咪
[00:02:48.000 --> 00:02:52.000]  回歸好似就移民緊係舉家移民
[00:02:52.000 --> 00:02:57.000]  所謂年根拔起唔諗住會返轉頭唔係嚟
[00:02:57.000 --> 00:03:00.000]  讀幾年書返返去啦
[00:03:00.000 --> 00:03:08.000]  或者嚟做嘢搵幾年錢就返去啦返屋返屋起屋啦唔理啦
[00:03:08.000 --> 00:03:17.000]  唔係呢個回歸嘅移民呢係年根拔起呀唔諗住返轉頭
[00:03:18.000 --> 00:03:21.000]  長途跋涉經過幾千里
[00:03:21.000 --> 00:03:27.000]  沿途呢係會有危險嘅有賊啦有之類呀即係有啲
[00:03:27.000 --> 00:03:36.000]  有嗰啲山賊呀嗰啲嗰啲或者其他啲外邦人呀會搶掠呀咁呀
[00:03:36.000 --> 00:03:40.000]  仲有返到去耶路撒冷呢
[00:03:40.000 --> 00:03:42.000]  未必安全
[00:03:44.000 --> 00:03:51.000]  咁呢個係一個幾多碼係一個好大嘅人一個人生生命嘅一個投注呀
[00:03:51.000 --> 00:03:54.000]  帶著好大嘅犧牲
[00:03:54.000 --> 00:03:56.000]  好啦個問題就係
[00:03:56.000 --> 00:04:00.000]  佢哋冇咁大嘅危險
[00:04:00.000 --> 00:04:04.000]  遇咗咁大嘅犧牲為咗咩呢
[00:04:04.000 --> 00:04:08.000]  點解要回歸呢
[00:04:10.000 --> 00:04:15.000]  咁答案呢好簡單就係因為佢哋有一個崇高嘅理想
[00:04:15.000 --> 00:04:19.000]  佢哋有一個好神聖嘅目標
[00:04:19.000 --> 00:04:28.000]  就係要返到耶路撒冷神畀佢哋嘅地方去重建佢哋嘅聖殿
[00:04:28.000 --> 00:04:33.000]  咁第二個問題問就係點解要重建聖殿啫
[00:04:35.000 --> 00:04:40.000]  咁重建聖殿之後就可以敬拜神咁你話冇聖殿唔可以敬拜神咩
[00:04:40.000 --> 00:04:45.000]  等於我哋今日講冇禮拜堂我哋就唔可以敬拜神咩
[00:04:45.000 --> 00:04:47.000]  係咪呀
[00:04:47.000 --> 00:04:49.000]  喺屋企敬拜咪得囉
[00:04:49.000 --> 00:04:51.000]  喺心裏面敬拜咪得囉
[00:04:51.000 --> 00:04:55.000]  點解一定要個禮拜堂建築物喺度敬拜啫
[00:04:55.000 --> 00:05:02.000]  我相信即係我哋都會有人會咁樣一時會問呢啲問題呀
[00:05:03.000 --> 00:05:05.000]  咁我哋想喺屋企敬拜嘅時候
[00:05:05.000 --> 00:05:13.000]  喺今日呢個社會裏面冇禮拜堂
[00:05:13.000 --> 00:05:17.000]  當然可以因為有好多其他禮拜堂去支持
[00:05:17.000 --> 00:05:22.000]  即係一啲嘅支持嗰個信仰嗰個見證係咪
[00:05:22.000 --> 00:05:26.000]  我哋見到禮拜堂即係見到有一個信仰喺度
[00:05:26.000 --> 00:05:30.000]  有一班人信佢哋嘅上帝喺嗰度敬拜神
[00:05:34.000 --> 00:05:35.000]  我哋可唔可以
[00:05:35.000 --> 00:05:38.000]  正話嗰個問題就係冇禮拜堂
[00:05:38.000 --> 00:05:42.000]  我哋可唔可以喺屋企喺心裏面敬拜得呢
[00:05:42.000 --> 00:05:44.000]  可以
[00:05:44.000 --> 00:05:49.000]  如果喺可及嘅範圍裏面真係冇一間禮拜堂嘅時候
[00:05:49.000 --> 00:05:51.000]  係可以
[00:05:51.000 --> 00:05:55.000]  你諗下我哋平日其實我哋就喺屋企
[00:05:55.000 --> 00:05:58.000]  喺心裏面去敬拜神咋嘛係咪
[00:05:59.000 --> 00:06:03.000]  但係如果我哋個心裏面我哋係刻意
[00:06:03.000 --> 00:06:05.000]  唔肯去禮拜堂敬拜神
