
[00:00:00.000 --> 00:00:03.480]  好 新年了 大家先拜年
[00:00:03.480 --> 00:00:06.760]  不同的堂會 彼此來拜年
[00:00:06.760 --> 00:00:10.840]  希望今天 今天是甚麼日子
[00:00:10.840 --> 00:00:13.200]  每個人生日快樂 好嗎
[00:00:13.200 --> 00:00:22.800]  通常我們過年最開心是甚麼
[00:00:22.800 --> 00:00:25.000]  誰說要逗利是
[00:00:25.000 --> 00:00:28.520]  你還有機會逗利是
[00:00:28.520 --> 00:00:32.920]  要派利是 我們很慘
[00:00:32.920 --> 00:00:35.120]  派利是也好 表示你有
[00:00:35.120 --> 00:00:36.760]  有才可以派出去
[00:00:36.760 --> 00:00:38.520]  沒有就不能派
[00:00:38.520 --> 00:00:44.320]  還有呢 除了利是之外還有甚麼好東西
[00:00:44.320 --> 00:00:49.520]  很多東西吃 還有呢
[00:00:49.520 --> 00:00:51.120]  問一下Nelson的爸爸媽媽
[00:00:51.120 --> 00:00:54.520]  最開心是甚麼
[00:00:54.520 --> 00:00:56.320]  祝福人家
[00:00:56.320 --> 00:01:04.240]  真好 媽媽呢
[00:01:04.240 --> 00:01:06.520]  這就是我的心
[00:01:06.520 --> 00:01:08.520]  答中了 Bingo
[00:01:08.520 --> 00:01:10.120]  新年最開心的就是
[00:01:10.120 --> 00:01:12.920]  如果你有些親人特別飛過來
[00:01:12.920 --> 00:01:15.120]  有些子女特別飛回去
[00:01:15.120 --> 00:01:17.520]  大家聚在一家人就是最開心的
[00:01:17.520 --> 00:01:19.520]  我經常跟兒子說
[00:01:19.520 --> 00:01:21.920]  將來你們媽媽老了的時候
[00:01:21.920 --> 00:01:23.720]  不要緊買禮物
[00:01:23.720 --> 00:01:25.320]  新年過節生日
[00:01:25.320 --> 00:01:27.120]  千萬不要花心機買禮物
[00:01:27.120 --> 00:01:29.920]  最重要是回來跟媽媽吃一頓飯
[00:01:29.920 --> 00:01:31.520]  一起開心
[00:01:31.520 --> 00:01:33.120]  這個我覺得是最開心的
[00:01:33.120 --> 00:01:34.720]  新年其實只是一個日子
[00:01:34.720 --> 00:01:39.320]  造就讓我們有個一起回來的心意
[00:01:39.320 --> 00:01:41.720]  對於猶太人來說
[00:01:41.720 --> 00:01:43.720]  他們有很多節日
[00:01:43.720 --> 00:01:44.920]  剛才讀了一段經文
[00:01:44.920 --> 00:01:46.720]  就說到一個叫如月節
[00:01:46.720 --> 00:01:49.920]  如月節在猶太人當中是一個大節
[00:01:49.920 --> 00:01:51.920]  所以其實有很多相似的地方
[00:01:51.920 --> 00:01:53.720]  有人說
