
[00:00:00.000 --> 00:00:06.780]  (主席)各位兄弟姊妹早晨 主內平安
[00:00:06.780 --> 00:00:14.400]  今年農曆新年前後 發生了兩場地震
[00:00:14.400 --> 00:00:20.600]  新年前發生的是台灣高雄地區的206地震
[00:00:20.600 --> 00:00:24.100]  年廿八 清晨的時分
[00:00:24.100 --> 00:00:29.300]  一場地震震碎了很多人的美夢
[00:00:29.300 --> 00:00:31.900]  原本應該是團圓的日子
[00:00:31.900 --> 00:00:35.480]  對很多人來說卻是永別
[00:00:35.480 --> 00:00:41.920]  大家都知道地震是由於不同的地殼板塊的磨擦
[00:00:41.920 --> 00:00:45.800]  擠壓 相撞而造成的
[00:00:45.800 --> 00:00:50.400]  新年之後 發生了另外一場地震
[00:00:50.400 --> 00:00:55.800]  這一場地震 卻不是由於地殼板塊的運動造成
[00:00:55.800 --> 00:01:02.000]  而是由於政治的板塊的磨擦 擠壓 相撞而造成
[00:01:02.000 --> 00:01:05.500]  這一次的地震就是年初二清晨時分
[00:01:05.500 --> 00:01:09.500]  香港旺角的暴力事件
[00:01:09.500 --> 00:01:11.900]  原本是喜慶的日子
[00:01:11.900 --> 00:01:16.200]  但很多人卻是頭破血流
[00:01:16.200 --> 00:01:18.600]  地震的恐怖
[00:01:18.600 --> 00:01:21.400]  在於我們立足的大地
[00:01:21.400 --> 00:01:24.400]  那個我們以為堅固的大地
[00:01:24.400 --> 00:01:29.200]  在裂開 在崩潰 在瓦解
[00:01:29.200 --> 00:01:32.700]  當我們立足的大地在瓦解的時候
[00:01:32.700 --> 00:01:37.200]  我們就不再知道應該立足於何處
[00:01:37.200 --> 00:01:41.100]  人在地震裏面依附的任何東西
[00:01:41.100 --> 00:01:42.900]  都在震動
[00:01:42.900 --> 00:01:45.900]  你沒辦法把持著一些東西
[00:01:45.900 --> 00:01:49.100]  然後可以令自己穩定下來
[00:01:49.100 --> 00:01:51.600]  你腳下的大地在顛簸
[00:01:51.600 --> 00:01:54.600]  在搖動 在怒吼
[00:01:54.600 --> 00:01:59.200]  一切堅固的東西都煙消雲散了
[00:01:59.200 --> 00:02:03.800]  這個句子原先是出自共產黨宣言
[00:02:03.800 --> 00:02:07.000]  共產黨宣言裏面的這句句子
[00:02:07.000 --> 00:02:15.200]  正好就形容地震所帶來的分崩離析
[00:02:15.200 --> 00:02:17.200]  1995年1月
[00:02:17.200 --> 00:02:22.800]  日本發生板神大地震 或者我們一般叫的神戶大地震
[00:02:22.800 --> 00:02:26.200]  受災的地區滿目瘡痍
[00:02:26.200 --> 00:02:29.000]  好像大戰過後的情景
[00:02:29.000 --> 00:02:32.000]  日本的作家村上春樹
[00:02:32.000 --> 00:02:36.400]  對這個大地震作了一個深刻的沉思
[00:02:36.400 --> 00:02:40.000]  然後他寫了一系列的短篇小說
[00:02:40.000 --> 00:02:43.800]  這個很多的小說最後結集成為一本書
[00:02:43.800 --> 00:02:48.000]  書名叫做「神的孩子全跳舞」
[00:02:48.000 --> 00:02:49.600]  在這個書裏面
[00:02:49.600 --> 00:02:55.800]  村上春樹藉著小說的主人公他這樣說
[00:02:55.800 --> 00:03:01.000]  「可也真是不可思議地震這東西
[00:03:01.000 --> 00:03:06.000]  我們從來都深信腳下地面是牢固不動的
[00:03:06.000 --> 00:03:11.400]  甚至有腳踏大地這樣的說法
[00:03:11.400 --> 00:03:13.800]  想不到有一天
[00:03:13.800 --> 00:03:17.200]  事情突然變得不是這樣
[00:03:17.200 --> 00:03:19.800]  本應堅固的地面
[00:03:19.800 --> 00:03:24.400]  岩石竟變得液體一樣軟軟乎乎
[00:03:24.400 --> 00:03:27.800]  在電視新聞上聽到了
[00:03:27.800 --> 00:03:32.800]  是叫液狀化罷」
[00:03:32.800 --> 00:03:39.200]  這個正正就是一切堅固的東西都煙消雲散了
[00:03:39.200 --> 00:03:41.600]  在這個小說裏面
[00:03:41.600 --> 00:03:45.600]  每一個人都因為地震而改變他的生命
[00:03:45.600 --> 00:03:49.400]  有人因為地震不再接受現在的
[00:03:49.400 --> 00:03:51.600]  那種不假思索的
[00:03:51.600 --> 00:03:55.200]  了無生趣的那種生命
[00:03:55.200 --> 00:03:59.000]  有人因為地震他不再想及明天
[00:03:59.000 --> 00:04:02.600]  今朝有酒今朝醉
[00:04:02.600 --> 00:04:12.200]  誰能夠知道地震會不會在明天就在自己的腳下發生呢?
[00:04:12.200 --> 00:04:17.000]  有人因為地震時時都想起那些悲慘的畫面
[00:04:17.000 --> 00:04:20.600]  他無法投入到當下的生活
[00:04:20.600 --> 00:04:23.400]  當然亦都會有人因為地震
[00:04:23.400 --> 00:04:26.400]  他積極地去尋索生命的意義
[00:04:26.400 --> 00:04:31.000]  積極地去尋索當大地分崩離析的時候
[00:04:31.000 --> 00:04:34.600]  雙腳仍然可站立的地方
[00:04:34.600 --> 00:04:36.600]  簡單點來說
[00:04:36.600 --> 00:04:39.800]  地震震碎了他們固有的生命
[00:04:39.800 --> 00:04:46.200]  他們要在地震的廢墟裏面重新站立起來
[00:04:46.200 --> 00:04:51.000]  台灣的高雄地震救災的情景令人動容
[00:04:51.000 --> 00:04:53.400]  社會整體無分藍綠
[00:04:53.400 --> 00:04:56.000]  每個人都盡上自己的本份
[00:04:56.000 --> 00:04:58.800]  每個人都獻上最好的禮物
[00:04:58.800 --> 00:05:01.400]  有人免費送上飯吃
[00:05:01.400 --> 00:05:04.400]  有人免費提供住宿
[00:05:04.400 --> 00:05:08.400]  沒有一個失蹤者被遺棄
[00:05:08.400 --> 00:05:15.400]  就算那個失蹤者只不過是一個精神失常的流浪者
[00:05:15.400 --> 00:05:20.800]  每一個離世的遺體都被仔細地重建
[00:05:20.800 --> 00:05:26.200]  讓他們獲得人性最後的尊重
[00:05:26.200 --> 00:05:30.600]  很希望這一次的地震能夠修補台灣社會的裂痕
[00:05:30.600 --> 00:05:33.400]  願天父看顧台灣
[00:05:33.400 --> 00:05:38.000]  至於香港因不同的政治板塊的撞擊
[00:05:38.000 --> 00:05:41.400]  而造成的流血事件
[00:05:41.400 --> 00:05:43.800]  令人非常心傷
[00:05:43.800 --> 00:05:46.600]  板塊的相撞會形成壓力
[00:05:46.600 --> 00:05:48.800]  總是需要宣洩的
[00:05:48.800 --> 00:05:51.000]  令人心傷的就是我們的社會
[00:05:51.000 --> 00:05:57.400]  最終竟然只能夠以這種方式去宣洩這種政治的壓力
[00:05:57.400 --> 00:06:00.600]  這一次政治性的社會地震
[00:06:00.600 --> 00:06:03.800]  也震碎了香港社會一直以來
[00:06:03.800 --> 00:06:09.800]  以為是堅固的社會的地基
[00:06:09.800 --> 00:06:11.600]  我們以為
[00:06:11.600 --> 00:06:14.200]  就算一百萬人上街
[00:06:14.200 --> 00:06:19.600]  都不會砸碎一個櫥窗的玻璃
[00:06:19.600 --> 00:06:21.400]  忽然間地震了
[00:06:21.400 --> 00:06:25.000]  我們立足的大地頓然崩潰
[00:06:25.000 --> 00:06:28.200]  留下無底的深淵
[00:06:28.200 --> 00:06:30.400]  這個深淵能不能夠填補
[00:06:30.400 --> 00:06:32.800]  現在都不能夠知道
[00:06:32.800 --> 00:06:36.400]  願天父看顧香港
[00:06:36.400 --> 00:06:40.400]  如果我們身處在大自然地震的災場
[00:06:40.400 --> 00:06:43.400]  看到有人的生命失去
[00:06:43.400 --> 00:06:47.400]  我們將會有什麼話可以說呢
[00:06:47.400 --> 00:06:51.400]  如果我們身處一個政治的社會地震
[00:06:51.400 --> 00:06:54.000]  如果真的見到有人失去生命
[00:06:54.000 --> 00:06:56.800]  我們又會有什麼想法呢
[00:06:56.800 --> 00:06:59.600]  如果我們將這些事情告訴耶穌
[00:06:59.600 --> 00:07:05.200]  耶穌又會怎樣回應呢
[00:07:05.200 --> 00:07:11.000]  讓我們看看今天講到的經文路加福音第十三章第一至第九節
[00:07:11.000 --> 00:07:15.400]  有些人將一些事情告訴耶穌
[00:07:15.400 --> 00:07:18.000]  耶穌的確是有些反應的
[00:07:18.000 --> 00:07:22.000]  路加福音第十三章第一至第九節
[00:07:22.000 --> 00:07:23.800]  正當那時
[00:07:23.800 --> 00:07:28.200]  有人將比拉多洗加利利人的血
[00:07:28.200 --> 00:07:32.000]  參集在他們祭物中的事告訴耶穌
[00:07:32.000 --> 00:07:33.400]  耶穌說
[00:07:33.400 --> 00:07:37.400]  你們以為這些加利利人比眾加利利人更有罪
[00:07:37.400 --> 00:07:39.600]  所以受者害嗎
[00:07:39.600 --> 00:07:41.800]  我告訴你們不是敵
[00:07:41.800 --> 00:07:45.200]  你們若不悔改都要如此滅亡
[00:07:45.200 --> 00:07:48.600]  從前西諾亞流倒塌
[00:07:48.600 --> 00:07:50.600]  壓死了十八個人
[00:07:50.600 --> 00:07:56.400]  你們以為那些人比一切住在耶路撒冷的人更有罪嗎
[00:07:56.400 --> 00:07:58.400]  我告訴你們不是敵
[00:07:58.400 --> 00:08:02.000]  你們若不悔改都要如此滅亡
[00:08:02.000 --> 00:08:04.400]  於是用一個比喻說
[00:08:04.400 --> 00:08:10.400]  有一個人有一棵無花果樹栽在葡萄園裡
[00:08:10.400 --> 00:08:14.200]  他來到樹前面找果子卻找不著
[00:08:14.200 --> 00:08:15.600]  就對管員的說
[00:08:15.600 --> 00:08:16.600]  看啊
[00:08:16.600 --> 00:08:18.400]  我這三年來
[00:08:18.400 --> 00:08:19.800]  三年了
[00:08:19.800 --> 00:08:23.600]  來到這個無花果樹裡找果子都找不到
[00:08:23.600 --> 00:08:25.200]  把它砍了罷
[00:08:25.200 --> 00:08:28.200]  何必白佔地圖呢
[00:08:28.200 --> 00:08:29.200]  管員的說
[00:08:29.200 --> 00:08:30.000]  主啊
[00:08:30.000 --> 00:08:31.600]  今年且留著
[00:08:31.600 --> 00:08:35.200]  讓我周圍挖開土加上糞
[00:08:35.200 --> 00:08:37.600]  以後若結果子便罷
[00:08:37.600 --> 00:08:40.600]  不然再把它砍了
[00:08:40.600 --> 00:08:43.600]  就在那個時候
