
[00:00:00.000 --> 00:00:03.000]  我們再次低頭禱告提子會
[00:00:03.000 --> 00:00:08.000]  我們在天上的父
[00:00:08.000 --> 00:00:10.000]  你不單止監察
[00:00:10.000 --> 00:00:12.000]  你更加臨格
[00:00:12.000 --> 00:00:14.000]  好讓我們今天早上
[00:00:14.000 --> 00:00:17.000]  每一個人到你面前來敬拜你的人
[00:00:17.000 --> 00:00:19.000]  我們口裡的言語
[00:00:19.000 --> 00:00:20.000]  心裡的意念
[00:00:20.000 --> 00:00:22.000]  都能夠蒙你月亮
[00:00:22.000 --> 00:00:25.000]  求你不單止用寶血遮蓋我們
[00:00:25.000 --> 00:00:28.000]  更加藉著聖靈在我們心中的工作
[00:00:28.000 --> 00:00:31.000]  我們更認識這位愛我們的主
[00:00:31.000 --> 00:00:33.000]  本有恩典憐憫的主
[00:00:33.000 --> 00:00:35.000]  更是一位施恩的神
[00:00:35.000 --> 00:00:37.000]  隨著我們的禱告
[00:00:37.000 --> 00:00:38.000]  因待我們
[00:00:38.000 --> 00:00:41.000]  讓我們在你面前都成為蒙恩的人
[00:00:41.000 --> 00:00:43.000]  奉耶穌明知祈求
[00:00:43.000 --> 00:00:47.000]  感謝天父
[00:00:47.000 --> 00:00:49.000]  今天我們在一個主日裡
[00:00:49.000 --> 00:00:51.000]  我們可以一同來敬拜神
[00:00:51.000 --> 00:00:55.000]  在過去一年裡
[00:00:55.000 --> 00:00:57.000]  等一下我們會有大會
[00:00:58.000 --> 00:01:00.000]  我們說感謝神的恩典
[00:01:00.000 --> 00:01:04.000]  我們都可以說感恩
[00:01:04.000 --> 00:01:05.000]  讚美
[00:01:05.000 --> 00:01:08.000]  讚嘆神在我們中間的作為
[00:01:08.000 --> 00:01:10.000]  在外面看起來
[00:01:10.000 --> 00:01:13.000]  我們聽到和看到
[00:01:13.000 --> 00:01:16.000]  有人願意接受耶穌為救主
[00:01:16.000 --> 00:01:19.000]  這些接受耶穌為救主的人
[00:01:19.000 --> 00:01:20.000]  其中過去
[00:01:20.000 --> 00:01:22.000]  不少人都是
[00:01:22.000 --> 00:01:25.000]  很有他自己的看法
[00:01:25.000 --> 00:01:28.000]  堅持他自己的認知
[00:01:28.000 --> 00:01:30.000]  所以他們不肯信
[00:01:30.000 --> 00:01:31.000]  不肯聽
[00:01:31.000 --> 00:01:33.000]  但是聖靈工作下面
[00:01:33.000 --> 00:01:35.000]  他們願意接受耶穌
[00:01:35.000 --> 00:01:36.000]  這些是我們看到
[00:01:36.000 --> 00:01:38.000]  所聽到的見證
[00:01:38.000 --> 00:01:41.000]  感謝神將得救人數
[00:01:41.000 --> 00:01:44.000]  不斷地增加給教會
[00:01:44.000 --> 00:01:48.000]  藉著教會的一些社會服務工作
[00:01:48.000 --> 00:01:51.000]  藉著一些親子教育的事工
[00:01:51.000 --> 00:01:52.000]  藉著一些我們弟兄姊妹
[00:01:52.000 --> 00:01:55.000]  親自去到不同的地區
[00:01:55.000 --> 00:01:56.000]  發展的工作
[00:01:56.000 --> 00:01:58.000]  看到神的恩典
[00:01:58.000 --> 00:02:00.000]  這些是外在的
[00:02:00.000 --> 00:02:03.000]  在裡面我們察覺到
[00:02:03.000 --> 00:02:05.000]  我相信弟兄姊妹都有這樣的感受
[00:02:05.000 --> 00:02:07.000]  我們個人的生命
[00:02:07.000 --> 00:02:10.000]  是不是有更新呢?
[00:02:10.000 --> 00:02:14.000]  從一個不太願意參與事工
[00:02:14.000 --> 00:02:16.000]  到你參與之後
[00:02:16.000 --> 00:02:18.000]  發覺停不了手
[00:02:18.000 --> 00:02:20.000]  從一個不太願意
[00:02:20.000 --> 00:02:23.000]  將自己的時間精神奉獻給神的人
[00:02:23.000 --> 00:02:25.000]  當你擺出去之後
[00:02:25.000 --> 00:02:27.000]  發覺有的還要隔絕他
[00:02:27.000 --> 00:02:29.000]  那個源源不絕的能力
[00:02:29.000 --> 00:02:31.000]  想想我做不到的
[00:02:31.000 --> 00:02:33.000]  今天怎麼可以做到呢?
[00:02:33.000 --> 00:02:35.000]  還有一樣東西是很奇妙的
[00:02:35.000 --> 00:02:37.000]  過去你對聽道
[00:02:37.000 --> 00:02:40.000]  都是有的聽就聽
[00:02:40.000 --> 00:02:41.000]  沒的聽就算了
[00:02:41.000 --> 00:02:43.000]  現在不是了
[00:02:43.000 --> 00:02:45.000]  很想去學武追求
[00:02:45.000 --> 00:02:48.000]  如果昨晚來參加培靈會那些
[00:02:48.000 --> 00:02:50.000]  你聽完之後更加發覺
[00:02:50.000 --> 00:02:52.000]  原來心很重要
[00:02:52.000 --> 00:02:54.000]  心軟化
[00:02:54.000 --> 00:02:56.000]  肯做事和硬是兩回事
[00:02:56.000 --> 00:02:59.000]  甚至我們有弟兄姊妹
[00:02:59.000 --> 00:03:01.000]  在過去一年裡
[00:03:01.000 --> 00:03:03.000]  放下自己的工作
[00:03:03.000 --> 00:03:05.000]  謀生的工作
[00:03:05.000 --> 00:03:06.000]  職業
[00:03:06.000 --> 00:03:08.000]  願意來跟隨主
[00:03:08.000 --> 00:03:10.000]  有很多弟兄姊妹用時間
[00:03:10.000 --> 00:03:12.000]  作主的門徒
[00:03:12.000 --> 00:03:14.000]  受訓做裝備
[00:03:14.000 --> 00:03:16.000]  投入福音的事工等等
[00:03:16.000 --> 00:03:18.000]  無論是探訪
[00:03:18.000 --> 00:03:20.000]  或者是三福
[00:03:20.000 --> 00:03:21.000]  查經訓練
[00:03:21.000 --> 00:03:24.000]  甚至有些入神學院裝備
[00:03:24.000 --> 00:03:26.000]  也有很多弟兄姊妹
[00:03:26.000 --> 00:03:28.000]  真的去體驗宣教
[00:03:28.000 --> 00:03:30.000]  我相信這些都是
[00:03:30.000 --> 00:03:32.000]  外在神
[00:03:32.000 --> 00:03:34.000]  我們看到神使用我們
[00:03:34.000 --> 00:03:35.000]  在裡面
[00:03:35.000 --> 00:03:36.000]  外在
[00:03:36.000 --> 00:03:38.000]  我們經歷到神更生我們
[00:03:38.000 --> 00:03:41.000]  但這一切的恩典裡面
[00:03:41.000 --> 00:03:43.000]  我們說感謝他的時候
[00:03:43.000 --> 00:03:45.000]  但我們有沒有感受到
[00:03:45.000 --> 00:03:47.000]  其實在這個過程中間
[00:03:47.000 --> 00:03:49.000]  我們有股力量
[00:03:49.000 --> 00:03:51.000]  這股力量
[00:03:51.000 --> 00:03:53.000]  我個人有時覺得
[00:03:53.000 --> 00:03:55.000]  很難勝得過
[00:03:55.000 --> 00:03:57.000]  不知道是什麼力量
[00:03:57.000 --> 00:03:58.000]  可能是一種破壞
[00:03:58.000 --> 00:04:00.000]  可能是一種攻擊
[00:04:00.000 --> 00:04:03.000]  甚至可能拖著後腿
[00:04:03.000 --> 00:04:04.000]  說得不好聽
[00:04:04.000 --> 00:04:06.000]  有時令到我們自己很沮喪
[00:04:06.000 --> 00:04:08.000]  什麼來的呢
[00:04:08.000 --> 00:04:11.000]  是不是心理作用這麼簡單呢
[00:04:11.000 --> 00:04:12.000]  有弟兄姊妹
[00:04:12.000 --> 00:04:14.000]  這些不是心理作用
[00:04:14.000 --> 00:04:17.000]  原來人裡面有罪惡
[00:04:17.000 --> 00:04:19.000]  這種罪惡的力量
[00:04:19.000 --> 00:04:21.000]  一直拖著我們
[00:04:21.000 --> 00:04:23.000]  讓我們要想發力的時候
[00:04:23.000 --> 00:04:24.000]  發不到力
[00:04:24.000 --> 00:04:25.000]  要想作功的時候
[00:04:25.000 --> 00:04:26.000]  作不到功
[00:04:26.000 --> 00:04:29.000]  人是沒有辦法勝得過罪惡
[00:04:29.000 --> 00:04:30.000]  所以今天想和大家
[00:04:30.000 --> 00:04:32.000]  透過剛才我們所讀的經文
[00:04:32.000 --> 00:04:34.000]  羅馬書第五章
[00:04:34.000 --> 00:04:35.000]  去看一下
[00:04:35.000 --> 00:04:39.000]  為什麼說恩典可以勝過罪惡
[00:04:39.000 --> 00:04:41.000]  恩典可以勝過罪惡
[00:04:41.000 --> 00:04:43.000]  羅馬書整本書記載
[00:04:43.000 --> 00:04:45.000]  如果有時間
[00:04:45.000 --> 00:04:48.000]  弟兄姊妹好好去研究查考
[00:04:48.000 --> 00:04:50.000]  是很有意思的
[00:04:50.000 --> 00:04:51.000]  第四章裡面說到
[00:04:51.000 --> 00:04:53.000]  亞伯拉罕因若遜
[00:04:53.000 --> 00:04:54.000]  他被稱義
[00:04:54.000 --> 00:04:56.000]  不是做什麼的
[00:04:56.000 --> 00:04:59.000]  猶太人很尊崇亞伯拉罕
[00:04:59.000 --> 00:05:00.000]  因為覺得
[00:05:00.000 --> 00:05:01.000]  是差不多他始祖
[00:05:01.000 --> 00:05:03.000]  除了亞當是人類始祖之外
[00:05:03.000 --> 00:05:05.000]  對以色列人來說
[00:05:05.000 --> 00:05:07.000]  亞伯拉罕是始祖
[00:05:07.000 --> 00:05:09.000]  但是在過程裡面
[00:05:09.000 --> 00:05:11.000]  他覺得這位這樣蒙神恩道的人
[00:05:11.000 --> 00:05:13.000]  他是靠什麼在上面
[00:05:13.000 --> 00:05:17.000]  在神的面前被稱為義無問題呢?
[00:05:17.000 --> 00:05:18.000]  上帝的問題
[00:05:18.000 --> 00:05:20.000]  不是因為他做了什麼事
[00:05:20.000 --> 00:05:22.000]  而是因著一樣東西
[00:05:22.000 --> 00:05:23.000]  就是上帝呼著他的時候
[00:05:23.000 --> 00:05:24.000]  他肯相信
[00:05:24.000 --> 00:05:26.000]  肯信服去做
[00:05:26.000 --> 00:05:30.000]  所以從亞伯拉罕的身上
[00:05:30.000 --> 00:05:32.000]  看到恩、信、稱、義
[00:05:32.000 --> 00:05:34.000]  後來到摩西時候
[00:05:34.000 --> 00:05:35.000]  神將律法界定下來
[00:05:35.000 --> 00:05:36.000]  告訴他們
[00:05:36.000 --> 00:05:37.000]  這些可以這樣做
[00:05:37.000 --> 00:05:38.000]  這些不可以這樣做
[00:05:38.000 --> 00:05:40.000]  人才知道原來
[00:05:40.000 --> 00:05:41.000]  罪
[00:05:41.000 --> 00:05:43.000]  如果沒有法律制定下面
[00:05:43.000 --> 00:05:44.000]  你很難知道
[00:05:44.000 --> 00:05:45.000]  什麼叫做對
[00:05:45.000 --> 00:05:46.000]  什麼叫做不對
[00:05:46.000 --> 00:05:47.000]  是不是?
[00:05:47.000 --> 00:05:50.000]  我有時候都犯一些毛病
[00:05:50.000 --> 00:05:53.000]  你是心急要過馬路
[00:05:53.000 --> 00:05:56.000]  還明明有個紅燈在那裡
[00:05:56.000 --> 00:05:57.000]  想不想過?
[00:05:57.000 --> 00:05:59.000]  其實腳就很想動的
[00:05:59.000 --> 00:06:00.000]  不過我怕一樣
[00:06:00.000 --> 00:06:01.000]  就是一走過兩步前面
[00:06:01.000 --> 00:06:02.000]  有人說牧師
[00:06:02.000 --> 00:06:04.000]  這樣就真的糟糕了
[00:06:04.000 --> 00:06:05.000]  所以為了這件事
[00:06:05.000 --> 00:06:07.000]  有時候真的趕時間
[00:06:07.000 --> 00:06:10.000]  想一想就頂住
[00:06:10.000 --> 00:06:11.000]  是不是?
[00:06:11.000 --> 00:06:12.000]  他沒有條例
[00:06:12.000 --> 00:06:15.000]  香港沒有定例
[00:06:15.000 --> 00:06:17.000]  我分分鐘可以過
[00:06:17.000 --> 00:06:18.000]  但是你會發覺
[00:06:18.000 --> 00:06:19.000]  每天生活中間
[00:06:19.000 --> 00:06:21.000]  越定得例多
[00:06:21.000 --> 00:06:22.000]  你犯的機會
[00:06:22.000 --> 00:06:24.000]  犯錯的機會越多
[00:06:24.000 --> 00:06:26.000]  但其實還沒定例之前
[00:06:26.000 --> 00:06:27.000]  你會不會犯?
[00:06:27.000 --> 00:06:28.000]  都會犯
[00:06:28.000 --> 00:06:30.000]  所以我相信
[00:06:30.000 --> 00:06:32.000]  今天我們能夠在神面前
[00:06:32.000 --> 00:06:33.000]  蒙恩
[00:06:33.000 --> 00:06:35.000]  成為神的兒女
[00:06:35.000 --> 00:06:37.000]  都是因典
[00:06:37.000 --> 00:06:39.000]  先講因典
[00:06:39.000 --> 00:06:40.000]  有人會問
[00:06:40.000 --> 00:06:42.000]  什麼叫因典呢?
[00:06:42.000 --> 00:06:44.000]  《二波所書》第二章第八節
[00:06:44.000 --> 00:06:47.000]  它說:你們得救是本乎因
