
[00:00:00.000 --> 00:00:04.000]  親愛的父愛的主,我們感謝祢,讓我們有祢寶貴的話語
[00:00:04.000 --> 00:00:08.000]  求祢讓我們有智慧的心,有謙卑的心
[00:00:08.000 --> 00:00:12.000]  讓祢的話語改變,去更新我們的生命
[00:00:12.000 --> 00:00:16.000]  我們去恭敬仰望祢,奉耶穌基督的聖名
[00:00:16.000 --> 00:00:17.000]  阿們
[00:00:17.000 --> 00:00:22.000]  我去年看過一套印度電影,叫做《來自星星的PK》
[00:00:22.000 --> 00:00:25.000]  我不知道大家有多少人看過這套電影
[00:00:25.000 --> 00:00:31.000]  PK在印度語是飲醉酒,不是髒話
[00:00:31.000 --> 00:00:34.000]  這套電影講述一個外星人來到地球
[00:00:34.000 --> 00:00:39.000]  他一踏足印度,就被人搶了太空船的遙控器
[00:00:39.000 --> 00:00:41.000]  他有家歸不得
[00:00:41.000 --> 00:00:43.000]  他向他身邊的人求助
[00:00:43.000 --> 00:00:47.000]  他身邊的人就說:你求神吧,神幫到你
[00:00:47.000 --> 00:00:50.000]  於是這個外星人就參加不同的宗教活動
[00:00:50.000 --> 00:00:56.000]  從求神拜佛想拿回遙控器,回到自己的家鄉
[00:00:56.000 --> 00:00:58.000]  其實這套電影是講什麼呢?
[00:00:58.000 --> 00:01:01.000]  就是講這外星人去求神拜佛的時候
[00:01:01.000 --> 00:01:04.000]  他遇到印度很多不同的宗教
[00:01:04.000 --> 00:01:08.000]  這套電影是諷刺宗教迷信
[00:01:08.000 --> 00:01:10.000]  這套電影有很多對白,其實很有意思
[00:01:10.000 --> 00:01:16.000]  有幾句我很深刻,我到今天都常常記得這幾句對白
[00:01:16.000 --> 00:01:20.000]  主角就說:這個世界有兩個神
[00:01:20.000 --> 00:01:25.000]  一個是創造你的神,一個是你創造的神
[00:01:25.000 --> 00:01:27.000]  你拜誰呢?
[00:01:27.000 --> 00:01:32.000]  很明顯我們應該是拜創造我們的神
[00:01:32.000 --> 00:01:37.000]  但事實可能我們是敬拜後者
[00:01:37.000 --> 00:01:44.000]  我們創造的神,馬門、偶像、心目中的女神
[00:01:44.000 --> 00:01:48.000]  我們是敬拜我們創造的神
[00:01:48.000 --> 00:01:53.000]  究竟我們認不認識我們現在敬拜的這位神是怎樣呢?
[00:01:53.000 --> 00:01:57.000]  即使我們在座大部分都應該去承認
[00:01:57.000 --> 00:02:00.000]  去明白我們正在敬拜的是
[00:02:00.000 --> 00:02:04.000]  聖父、聖子、聖靈三位一體的真神
[00:02:04.000 --> 00:02:09.000]  但我們認不認識這位三位一體的真神是怎樣的神呢?
[00:02:09.000 --> 00:02:18.000]  當然我們怎樣認識是要從這三一真神祂自己的啟示聖經去認識祂
[00:02:18.000 --> 00:02:22.000]  如果我們對神的認識有偏差
[00:02:22.000 --> 00:02:25.000]  我們的信仰一定有偏差
[00:02:25.000 --> 00:02:29.000]  我們的信徒生活一定有問題
[00:02:29.000 --> 00:02:32.000]  我想起美國今年年尾大選
