
[00:00:00.000 --> 00:00:01.120]  各位姐妹早晨
[00:00:01.120 --> 00:00:03.400]  《約翰福音》第七章
[00:00:03.400 --> 00:00:07.080]  記載了耶穌回應當時的猶太人
[00:00:07.080 --> 00:00:08.960]  三個對祂的質詢
[00:00:08.960 --> 00:00:12.360]  或者說回應當時的猶太人
[00:00:12.360 --> 00:00:14.440]  對祂三個的疑問
[00:00:14.440 --> 00:00:16.960]  在一開始
[00:00:16.960 --> 00:00:19.880]  聖經告訴我們
[00:00:19.880 --> 00:00:21.920]  耶穌在住彭哲的時候
[00:00:21.920 --> 00:00:24.720]  再次上到耶路撒冷
[00:00:24.720 --> 00:00:27.200]  在第七章
[00:00:27.200 --> 00:00:29.880]  當耶穌還沒有上到耶路撒冷之前
[00:00:29.880 --> 00:00:31.480]  有一個短短的插曲
[00:00:31.480 --> 00:00:34.880]  就是祂的親生弟弟
[00:00:34.880 --> 00:00:36.560]  對這位哥哥
[00:00:36.560 --> 00:00:38.160]  可能不是太有好感
[00:00:38.160 --> 00:00:39.800]  因為耶穌的言論
[00:00:39.800 --> 00:00:42.480]  使得他們面對很多的難處
[00:00:42.480 --> 00:00:45.360]  於是弟弟就跟哥哥說
[00:00:45.360 --> 00:00:46.600]  他說:哥哥
[00:00:46.600 --> 00:00:48.600]  你真的這麼厲害
[00:00:48.600 --> 00:00:50.280]  你真的這麼威風
[00:00:50.280 --> 00:00:52.640]  你接下來的御節
[00:00:52.640 --> 00:00:55.240]  你上去了風風光光地上去
[00:00:55.240 --> 00:00:56.880]  威風風風地上去
[00:00:56.880 --> 00:00:58.280]  多走一些神蹟騎士
[00:00:58.280 --> 00:01:00.800]  告訴別人你是誰
[00:01:00.800 --> 00:01:03.240]  當然我們回顧那些御戲
[00:01:03.240 --> 00:01:05.240]  我們知道弟弟其實不是尊重他
[00:01:05.240 --> 00:01:07.840]  其實弟弟的意思是
[00:01:07.840 --> 00:01:09.120]  哥哥你不要搞那麼多事情
[00:01:09.120 --> 00:01:12.480]  讓我們這一家人上去過御節
[00:01:12.480 --> 00:01:14.400]  可以
[00:01:14.400 --> 00:01:17.120]  不用那麼多人知道
[00:01:17.120 --> 00:01:19.920]  讓我們都能夠參與裡面的禮儀
[00:01:19.920 --> 00:01:22.600]  讓我們好好地過這個節日
[00:01:22.600 --> 00:01:26.320]  當時耶穌說我不去
[00:01:26.320 --> 00:01:28.080]  不過後來耶穌也去了
[00:01:28.080 --> 00:01:30.200]  於是別人就說:耶穌是不是說謊呢?
[00:01:30.200 --> 00:01:33.240]  不過當然我們知道
[00:01:33.240 --> 00:01:34.960]  耶穌其實說我不去的意思是
[00:01:34.960 --> 00:01:37.160]  我不會按著你們這種想法
[00:01:37.160 --> 00:01:39.360]  來上耶路撒冷
